,unitid,DOE.Institution_Name,Year,ID_School,ID_Conference,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
115,100858,Auburn University,1996-1997,AUB,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
116,100858,Auburn University,1996-1997,AUB,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
117,100858,Auburn University,1996-1997,AUB,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
118,100858,Auburn University,1996-1997,AUB,SEC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
119,100858,Auburn University,1996-1997,AUB,SEC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
120,100858,Auburn University,1996-1997,AUB,SEC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
121,100858,Auburn University,1996-1997,AUB,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,5,5,0,14,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1997Sports.csv
122,100858,Auburn University,1996-1997,AUB,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),8,8,0,5,5,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1997Sports.csv
123,100858,Auburn University,1996-1997,AUB,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,5,5,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1997Sports.csv
124,100858,Auburn University,1996-1997,AUB,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
261,122755,San Jose State University,1996-1997,SJ.ST,MWC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
270,122755,San Jose State University,1996-1997,SJ.ST,MWC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
271,122755,San Jose State University,1996-1997,SJ.ST,MWC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
275,122755,San Jose State University,1996-1997,SJ.ST,MWC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,2,2,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
279,122755,San Jose State University,1996-1997,SJ.ST,MWC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),8,5,3,6,4,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1997Sports.csv
280,122755,San Jose State University,1996-1997,SJ.ST,MWC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,5,3,6,4,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1997Sports.csv
283,122755,San Jose State University,1996-1997,SJ.ST,MWC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,9,8,14,8,6,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,1997Sports.csv
287,122755,San Jose State University,1996-1997,SJ.ST,MWC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
315,122755,San Jose State University,1996-1997,SJ.ST,MWC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
319,122755,San Jose State University,1996-1997,SJ.ST,MWC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
322,122755,San Jose State University,1996-1997,SJ.ST,MWC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
331,122755,San Jose State University,1996-1997,SJ.ST,MWC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),4,2,2,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
346,122755,San Jose State University,1996-1997,SJ.ST,MWC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
361,123961,University of Southern California,1996-1997,USC,PAC12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,15,5,10,9,4,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,1,3,1997Sports.csv
372,123961,University of Southern California,1996-1997,USC,PAC12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),25,10,15,14,5,9,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,8,5,3,1997Sports.csv
383,123961,University of Southern California,1996-1997,USC,PAC12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),15,5,10,9,4,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,1,3,1997Sports.csv
412,123961,University of Southern California,1996-1997,USC,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),10,10,0,7,7,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
413,123961,University of Southern California,1996-1997,USC,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,7,7,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
414,123961,University of Southern California,1996-1997,USC,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
420,123961,University of Southern California,1996-1997,USC,PAC12,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1997Sports.csv
424,123961,University of Southern California,1996-1997,USC,PAC12,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,19,0,11,11,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
429,123961,University of Southern California,1996-1997,USC,PAC12,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,0,3,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1997Sports.csv
