"","games_name","rk","flag.bearer","participants","men","women","sports","gold","silver","bronze","total","top.medalist.s.","country_url","country","table_name","country_games_url","year","games"
"68","1996 Summer","9","Raimundas MaÌÉå_uolis","61","45","16","14",NA,NA,"1","1","11 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/LTU/","Lithuania","country_medals","http://www.sports-reference.com/olympics/countries/LTU/summer/1996/",1996,"Summer"
"69","1996 Summer","9","Sergey Ashikhmin","33","26","7","9",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/KGZ/","Kyrgyzstan","country_medals","http://www.sports-reference.com/olympics/countries/KGZ/summer/1996/",1996,"Summer"
"70","1996 Summer","9","Sergey Bubka","231","146","85","21","9","2","12","23","Liliya Podkopaieva (3 medals)","http://www.sports-reference.com/olympics/countries/UKR/","Ukraine","country_medals","http://www.sports-reference.com/olympics/countries/UKR/summer/1996/",1996,"Summer"
"71","1996 Summer","9","Temur Ibragimov","71","63","8","12",NA,"1","1","2","Karim Tulyaganov and Armen Bagdasarov (1 medal)","http://www.sports-reference.com/olympics/countries/UZB/","Uzbekistan","country_medals","http://www.sports-reference.com/olympics/countries/UZB/summer/1996/",1996,"Summer"
"72","1996 Summer","9","Vadim Vacarciuc","40","35","5","10",NA,"1","1","2","3 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/MDA/","Moldova","country_medals","http://www.sports-reference.com/olympics/countries/MDA/summer/1996/",1996,"Summer"
"73","1996 Summer","9","Yermakhan Ibraimov","96","72","24","14","3","4","4","11","Sergey Belyayev (2 medals)","http://www.sports-reference.com/olympics/countries/KAZ/","Kazakhstan","country_medals","http://www.sports-reference.com/olympics/countries/KAZ/summer/1996/",1996,"Summer"
"74","1998 Winter","8","Aleksandr Popov","59","44","15","9",NA,NA,"2","2","Aleksey Aydarov and Dmitry Dashchinsky (1 medal)","http://www.sports-reference.com/olympics/countries/BLR/","Belarus","country_medals","http://www.sports-reference.com/olympics/countries/BLR/winter/1998/",1998,"Winter"
"75","1998 Winter","8","Aleksandr Tropnikov","1","1","0","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/KGZ/","Kyrgyzstan","country_medals","http://www.sports-reference.com/olympics/countries/KGZ/winter/1998/",1998,"Winter"
"76","1998 Winter","8","Aleksey Prokurorov","122","79","43","12","9","6","3","18","Larisa Lazutina (5 medals)","http://www.sports-reference.com/olympics/countries/RUS/","Russia","country_medals","http://www.sports-reference.com/olympics/countries/RUS/winter/1998/",1998,"Winter"
"77","1998 Winter","8","Alla Mikayelyan","7","4","3","4",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/ARM/","Armenia","country_medals","http://www.sports-reference.com/olympics/countries/ARM/winter/1998/",1998,"Winter"
"78","1998 Winter","8","Andriy Deryzemlia","56","30","26","10",NA,"1",NA,"1","Olena Petrova (1 medal)","http://www.sports-reference.com/olympics/countries/UKR/","Ukraine","country_medals","http://www.sports-reference.com/olympics/countries/UKR/winter/1998/",1998,"Winter"
"79","1998 Winter","8","Ion Bucsa","2","1","1","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/MDA/","Moldova","country_medals","http://www.sports-reference.com/olympics/countries/MDA/winter/1998/",1998,"Winter"
"80","1998 Winter","8","Kalju Ojaste","20","15","5","5",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/EST/","Estonia","country_medals","http://www.sports-reference.com/olympics/countries/EST/winter/1998/",1998,"Winter"
"81","1998 Winter","8","Komil Urunbayev","4","2","2","3",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/UZB/","Uzbekistan","country_medals","http://www.sports-reference.com/olympics/countries/UZB/winter/1998/",1998,"Winter"
"82","1998 Winter","8","Povilas Vanagas","7","5","2","4",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LTU/","Lithuania","country_medals","http://www.sports-reference.com/olympics/countries/LTU/winter/1998/",1998,"Winter"
"83","1998 Winter","8","Sandis PrÌÉåÇsis","29","21","8","6",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/LAT/","Latvia","country_medals","http://www.sports-reference.com/olympics/countries/LAT/winter/1998/",1998,"Winter"
"84","1998 Winter","8","Sofia Akhmeteli","4","3","1","2",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/GEO/","Georgia","country_medals","http://www.sports-reference.com/olympics/countries/GEO/winter/1998/",1998,"Winter"
