,DOE.Institution_Name,Year,SportName,Total.Revenue,Total.Expense,Total.Profit,Men.Revenue,Men.Expense,Men.Profit,Women.Revenue,Women.Expense,Women.Profit,Male.Athletes,Female.Athletes,Men.Team.Expense,Women.Team.Expense,SportCode,Coed.Athletes,Total.Women.Including.Coed.Expense,Total.Men.Including.Coed.Expense,Coed.Expense,Women.Coed.Expense,Men.Coed.Expense,Women.Men.Expense,Women.Including.Coed.Revenue,Men.Including.Coed.Revenue,Coed.Revenue,Women.Coed.Revenue,Men.Coed.Revenue,Total.Men.Women.Revenue,Total.Team.Expense,Total.Women.Team.Expense.Including.Coed,Total.Men.Team.Expense.Including.Coed,Total.Coed.Team.Expense,Total.Women.Coed.Team.Expense,Total.Men.Coed.Team.Expense,Total.Men.Women.Team.Expense,Total.Female.Including.Coed,Total.Male.Including.Coed,Female.Coed.Athletes,Male.Coed.Athletes
39352,Williams College                                  ,2001-2002,Football,253160,253160,0,253160,253160,0,NA,NA,NA,74,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39389,Wilmington College                                ,2000-2001,Football,NA,198402,NA,NA,198402,NA,NA,NA,NA,88,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39414,Wilmington College                                ,2001-2002,Football,0,0,0,0,NA,NA,NA,NA,NA,96,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39435,Wingate University                                ,2000-2001,Football,69889,791210,-721321,69889,791210,-721321,NA,NA,NA,96,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39448,Wingate University                                ,2001-2002,Football,57424,735169,-677745,57424,735169,-677745,NA,NA,NA,79,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39462,Winona State University                           ,2000-2001,Football,219671,283431,-63760,219671,283431,-63760,NA,NA,NA,108,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39476,Winona State University                           ,2001-2002,Football,214862,334507,-119645,214862,334507,-119645,NA,NA,NA,100,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39491,Winston-Salem State University                    ,2000-2001,Football,20000,273000,-253000,20000,273000,-253000,NA,NA,NA,90,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39501,Winston-Salem State University                    ,2001-2002,Football,437460,693230,-255770,437460,693230,-255770,NA,NA,NA,85,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39532,Wisconsin Lutheran College                        ,2000-2001,Football,271421,304696,-33275,271421,304696,-33275,NA,NA,NA,43,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39544,Wisconsin Lutheran College                        ,2001-2002,Football,267905,265555,2350,267905,265555,2350,NA,NA,NA,44,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39557,Wittenberg University                             ,2000-2001,Football,176682,148197,28485,176682,148197,28485,NA,NA,NA,113,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39572,Wittenberg University                             ,2001-2002,Football,181913,184958,-3045,181913,184958,-3045,NA,NA,NA,131,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39586,Wofford College                                   ,2000-2001,Football,251936,1557221,-1305285,251936,1557221,-1305285,NA,NA,NA,90,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39597,Wofford College                                   ,2001-2002,Football,609482,1842088,-1232606,609482,1842088,-1232606,NA,NA,NA,99,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39610,Worcester Polytechnic Institute                   ,2000-2001,Football,6253,42327,-36074,6253,42327,-36074,NA,NA,NA,77,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39626,Worcester Polytechnic Institute                   ,2001-2002,Football,4887,185815,-180928,4887,185815,-180928,NA,NA,NA,88,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39644,Worcester State College                           ,2000-2001,Football,11056,55651,-44595,11056,55651,-44595,NA,NA,NA,52,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39658,Worcester State College                           ,2001-2002,Football,11376,69260,-57884,11376,69260,-57884,NA,NA,NA,68,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39742,Yale University                                   ,2000-2001,Football,902058,230230,671828,902058,230230,671828,NA,NA,NA,105,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39763,Yale University                                   ,2001-2002,Football,1447814,1580619,-132805,1447814,1580619,-132805,NA,NA,NA,110,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39860,Youngstown State University                       ,2000-2001,Football,1300978,1583856,-282878,1300978,1583856,-282878,NA,NA,NA,107,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39873,Youngstown State University                       ,2001-2002,Football,1476625,1785931,-309306,1476625,1785931,-309306,NA,NA,NA,113,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39888,Yuba College                                      ,2000-2001,Football,42000,41053,947,42000,41053,947,NA,NA,NA,44,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39900,Yuba College                                      ,2001-2002,Football,99000,41000,58000,99000,41000,58000,NA,NA,NA,42,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39912,Alabama A &Amp; M University                          ,2001-2002,Football,0,1325736,-1325736,NA,1325736,NA,NA,NA,NA,131,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39925,Alabama State University                          ,2001-2002,Football,1170242,1523902,-353660,1170242,1523902,-353660,NA,NA,NA,80,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39937,Allen University                                  ,2001-2002,Football,157399,42723,114676,157399,42723,114676,NA,NA,NA,65,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39944,American International College                    ,2001-2002,Football,4859,924911,-920052,4859,924911,-920052,NA,NA,NA,78,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40072,City College Of San Francisco                     ,2001-2002,Football,3994,20730,-16736,3994,20730,-16736,NA,NA,NA,68,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40118,Compton Community College                         ,2001-2002,Football,2500,75000,-72500,2500,75000,-72500,NA,NA,NA,100,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40129,Concordia University-Wisconsin                    ,2001-2002,Football,63264,59514,3750,63264,59514,3750,NA,NA,NA,113,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40148,Cornell University-Ny State Statutory Colleges    ,2001-2002,Football,599073,1296008,-696935,599073,1296008,-696935,NA,NA,NA,96,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40219,Edward Waters College                             ,2001-2002,Football,31252,446027,-414775,31252,446027,-414775,NA,NA,NA,75,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40290,Holmes Community College                          ,2001-2002,Football,7881,241825,-233944,7881,241825,-233944,NA,NA,NA,59,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40323,Jackson State University                          ,2001-2002,Football,1424769,1177214,247555,1424769,1177214,247555,NA,NA,NA,102,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40360,Kentucky State University                         ,2001-2002,Football,653068,653068,0,653068,653068,0,NA,NA,NA,73,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40374,Lambuth University                                ,2001-2002,Football,3630,92340,-88710,3630,92340,-88710,NA,NA,NA,120,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40385,Langston University                               ,2001-2002,Football,117118,174118,-57000,117118,174118,-57000,NA,NA,NA,63,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40410,Long Island University-C W Post Campus            ,2001-2002,Football,334251,340466,-6215,334251,340466,-6215,NA,NA,NA,108,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40479,Northwest Mississippi Community College           ,2001-2002,Football,10848,434869,-424021,10848,434869,-424021,NA,NA,NA,55,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40507,Olivet College                                    ,2001-2002,Football,115176,76937,38239,115176,76937,38239,NA,NA,NA,72,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40571,Peru State College                                ,2001-2002,Football,4739,176055,-171316,4739,176055,-171316,NA,NA,NA,82,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40634,Southern Oregon University                        ,2001-2002,Football,132212,132212,0,132212,132212,0,NA,NA,NA,95,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40646,Southwest State University                        ,2001-2002,Football,14680,299664,-284984,14680,299664,-284984,NA,NA,NA,66,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40707,Stillman College                                  ,2001-2002,Football,80741,177000,-96259,80741,177000,-96259,NA,NA,NA,80,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40768,Texas Southern University                         ,2001-2002,Football,1178586,964850,213736,1178586,964850,213736,NA,NA,NA,82,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40795,Trinity International University                  ,2001-2002,Football,5000,85000,-80000,5000,85000,-80000,NA,NA,NA,76,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40805,University Of Arkansas At Pine Bluff              ,2001-2002,Football,603271,168572,434699,603271,168572,434699,NA,NA,NA,86,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40828,University Of Hawaii At Manoa                     ,2001-2002,Football,4292908,4345664,-52756,4292908,4345664,-52756,NA,NA,NA,121,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40862,Waldorf College                                   ,2001-2002,Football,30500,214264,-183764,30500,214264,-183764,NA,NA,NA,51,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40906,,2002-2003,Football,195239,195239,0,195239,195239,0,0,0,0,97,0,73387,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40907,,2002-2003,Football,8124121,3029654,5094467,8124121,3029654,5094467,0,0,0,120,0,1044415,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40936,Abilene Christian University,2002-2003,Football,1262007,1141227,120780,1262007,1141227,120780,0,0,0,102,0,105518,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40946,Abilene Christian University,2004-2005,Football,1262346,1327976,-65630,1262346,1327976,-65630,NA,NA,0,53,NA,108302,0,NA,NA,0,1327976,NA,NA,NA,1327976,0,1262346,NA,NA,NA,1262346,108302,0,108302,NA,NA,NA,108302,0,53,NA,NA
40963,Adams State College,2002-2003,Football,380022,429676,-49654,380022,429676,-49654,0,0,0,149,0,66208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40973,Adams State College,2004-2005,Football,342547,517871,-175324,342547,517871,-175324,NA,NA,0,142,NA,117784,0,NA,NA,0,517871,NA,NA,NA,517871,0,342547,NA,NA,NA,342547,117784,0,117784,NA,NA,NA,117784,0,142,NA,NA
41019,Adrian College,2002-2003,Football,148931,174829,-25898,148931,174829,-25898,0,0,0,98,0,46182,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41030,Adrian College,2004-2005,Football,206741,202277,4464,206741,202277,4464,NA,NA,0,141,NA,202250,0,NA,NA,0,202277,NA,NA,NA,202277,0,206741,NA,NA,NA,206741,202250,0,202250,NA,NA,NA,202250,0,141,NA,NA
41044,Alabama A &Amp; M University,2002-2003,Football,2857578,1373200,1484378,2857578,1373200,1484378,0,0,0,87,0,148869,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41055,Alabama A &Amp; M University,2004-2005,Football,1425174,1425174,0,1425174,1425174,0,NA,NA,0,94,NA,454625,0,NA,NA,0,1425174,NA,NA,NA,1425174,0,1425174,NA,NA,NA,1425174,454625,0,454625,NA,NA,NA,454625,0,94,NA,NA
41076,Alabama State University,2002-2003,Football,674076,1927483,-1253407,674076,1927483,-1253407,0,0,0,80,0,1415103,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41087,Alabama State University,2004-2005,Football,2230847,1596454,634393,2230847,1596454,634393,NA,NA,0,85,NA,449750,0,NA,NA,0,1596454,NA,NA,NA,1596454,0,2230847,NA,NA,NA,2230847,449750,0,449750,NA,NA,NA,449750,0,85,NA,NA
41102,Albany State University,2002-2003,Football,294392,756232,-461840,294392,756232,-461840,0,0,0,79,0,304360,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41110,Albany State University,2004-2005,Football,962311,634979,327332,962311,634979,327332,NA,NA,0,101,NA,282761,0,NA,NA,0,634979,NA,NA,NA,634979,0,962311,NA,NA,NA,962311,282761,0,282761,NA,NA,NA,282761,0,101,NA,NA
41155,Albion College,2002-2003,Football,281656,270143,11513,281656,270143,11513,0,0,0,132,0,108403,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41167,Albion College,2004-2005,Football,293909,269194,24715,293909,269194,24715,NA,NA,0,140,NA,97275,0,NA,NA,0,269194,NA,NA,NA,269194,0,293909,NA,NA,NA,293909,97275,0,97275,NA,NA,NA,97275,0,140,NA,NA
41178,Albright College,2002-2003,Football,226783,226783,0,226783,226783,0,0,0,0,90,0,57589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41193,Albright College,2004-2005,Football,217638,204524,13114,217638,204524,13114,NA,NA,0,101,NA,105118,0,NA,NA,0,204524,NA,NA,NA,204524,0,217638,NA,NA,NA,217638,105118,0,105118,NA,NA,NA,105118,0,101,NA,NA
41208,Alcorn State University,2002-2003,Football,1535820,1111238,424582,1535820,1111238,424582,0,0,0,89,0,1100238,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41220,Alcorn State University,2004-2005,Football,873189,925289,-52100,873189,925289,-52100,NA,NA,0,90,NA,140272,0,NA,NA,0,925289,NA,NA,NA,925289,0,873189,NA,NA,NA,873189,140272,0,140272,NA,NA,NA,140272,0,90,NA,NA
41236,Alfred University,2002-2003,Football,308631,276756,31875,308631,276756,31875,0,0,0,95,0,72000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41249,Alfred University,2004-2005,Football,346992,347899,-907,346992,347899,-907,NA,NA,0,100,NA,75920,0,NA,NA,0,347899,NA,NA,NA,347899,0,346992,NA,NA,NA,346992,75920,0,75920,NA,NA,NA,75920,0,100,NA,NA
41270,Allan Hancock College,2002-2003,Football,88299,115849,-27550,88299,115849,-27550,0,0,0,72,0,43851,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41282,Allan Hancock College,2004-2005,Football,86638,101295,-14657,86638,101295,-14657,NA,NA,0,80,NA,40883,0,NA,NA,0,101295,NA,NA,NA,101295,0,86638,NA,NA,NA,86638,40883,0,40883,NA,NA,NA,40883,0,80,NA,NA
41304,Allegheny College,2002-2003,Football,301271,309601,-8330,301271,309601,-8330,0,0,0,120,0,54971,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41317,Allegheny College,2004-2005,Football,287776,287776,0,287776,287776,0,NA,NA,0,133,NA,53114,0,NA,NA,0,287776,NA,NA,NA,287776,0,287776,NA,NA,NA,287776,53114,0,53114,NA,NA,NA,53114,0,133,NA,NA
41347,Allen University,2004-2005,Football,503909,503029,880,503909,503029,880,NA,NA,0,89,NA,265220,0,NA,NA,0,503029,NA,NA,NA,503029,0,503909,NA,NA,NA,503909,265220,0,265220,NA,NA,NA,265220,0,89,NA,NA
41350,Alma College,2002-2003,Football,162676,162676,0,162676,162676,0,0,0,0,120,0,66970,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41364,Alma College,2004-2005,Football,135022,255750,-120728,135022,255750,-120728,NA,NA,0,103,NA,94194,0,NA,NA,0,255750,NA,NA,NA,255750,0,135022,NA,NA,NA,135022,94194,0,94194,NA,NA,NA,94194,0,103,NA,NA
41413,American International College,2002-2003,Football,795452,795452,0,795452,795452,0,0,0,0,83,0,55140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41427,American International College,2004-2005,Football,1026663,1011663,15000,1026663,1011663,15000,NA,NA,0,81,NA,75113,0,NA,NA,0,1011663,NA,NA,NA,1011663,0,1026663,NA,NA,NA,1026663,75113,0,75113,NA,NA,NA,75113,0,81,NA,NA
41439,American River College,2002-2003,Football,18235,27682,-9447,18235,27682,-9447,0,0,0,60,0,21022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41453,American River College,2004-2005,Football,15300,40603,-25303,15300,40603,-25303,NA,NA,0,67,NA,37805,0,NA,NA,0,40603,NA,NA,NA,40603,0,15300,NA,NA,NA,15300,37805,0,37805,NA,NA,NA,37805,0,67,NA,NA
41496,Amherst College,2002-2003,Football,116365,331843,-215478,116365,331843,-215478,0,0,0,75,0,58822,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41512,Amherst College,2004-2005,Football,72635,446551,-373916,72635,446551,-373916,NA,NA,0,75,NA,81422,0,NA,NA,0,446551,NA,NA,NA,446551,0,72635,NA,NA,NA,72635,81422,0,81422,NA,NA,NA,81422,0,75,NA,NA
41556,Anderson University,2002-2003,Football,162057,200179,-38122,162057,200179,-38122,0,0,0,80,0,115537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41569,Anderson University,2004-2005,Football,204686,195368,9318,204686,195368,9318,NA,NA,0,104,NA,101050,0,NA,NA,0,195368,NA,NA,NA,195368,0,204686,NA,NA,NA,204686,101050,0,101050,NA,NA,NA,101050,0,104,NA,NA
41596,Angelo State University,2002-2003,Football,51067,537595,-486528,51067,537595,-486528,0,0,0,125,0,116780,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41605,Angelo State University,2004-2005,Football,69913,638549,-568636,69913,638549,-568636,NA,NA,0,96,NA,110512,0,NA,NA,0,638549,NA,NA,NA,638549,0,69913,NA,NA,NA,69913,110512,0,110512,NA,NA,NA,110512,0,96,NA,NA
41656,Appalachian State University,2002-2003,Football,518770,1494922,-976152,518770,1494922,-976152,0,0,0,92,0,205872,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41669,Appalachian State University,2004-2005,Football,2898429,1879063,1019366,2898429,1879063,1019366,NA,NA,0,90,NA,318961,0,NA,NA,0,1879063,NA,NA,NA,1879063,0,2898429,NA,NA,NA,2898429,318961,0,318961,NA,NA,NA,318961,0,90,NA,NA
41731,Arizona State University-Main Campus,2002-2003,Football,20625516,9102733,11522783,20625516,9102733,11522783,0,0,0,112,0,899683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41745,Arizona Western College,2002-2003,Football,288205,283776,4429,288205,283776,4429,0,0,0,76,0,80675,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41753,Arizona Western College,2004-2005,Football,343663,343663,0,343663,343663,0,NA,NA,0,85,NA,75900,0,NA,NA,0,343663,NA,NA,NA,343663,0,343663,NA,NA,NA,343663,75900,0,75900,NA,NA,NA,75900,0,85,NA,NA
41765,Arkansas Tech University,2002-2003,Football,734922,734922,0,734922,734922,0,0,0,0,127,0,80700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41775,Arkansas Tech University,2004-2005,Football,729791,729791,0,729791,729791,0,NA,NA,0,103,NA,91985,0,NA,NA,0,729791,NA,NA,NA,729791,0,729791,NA,NA,NA,729791,91985,0,91985,NA,NA,NA,91985,0,103,NA,NA
41814,Ashland University,2002-2003,Football,1292911,1259931,32980,1292911,1259931,32980,0,0,0,104,0,117900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41827,Ashland University,2004-2005,Football,1541846,1533846,8000,1541846,1533846,8000,NA,NA,0,94,NA,126145,0,NA,NA,0,1533846,NA,NA,NA,1533846,0,1541846,NA,NA,NA,1541846,126145,0,126145,NA,NA,NA,126145,0,94,NA,NA
41841,Assumption College,2002-2003,Football,165332,334373,-169041,165332,334373,-169041,0,0,0,79,0,44329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41856,Assumption College,2004-2005,Football,226360,226360,0,226360,226360,0,NA,NA,0,84,NA,57935,0,NA,NA,0,226360,NA,NA,NA,226360,0,226360,NA,NA,NA,226360,57935,0,57935,NA,NA,NA,57935,0,84,NA,NA
41896,Auburn University Main Campus,2002-2003,Football,34331182,12348444,21982738,34331182,12348444,21982738,0,0,0,112,0,10346764,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
