Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2002-2003,100751,The University of Alabama,All other sports combined,144,37,107,107,19,88,3,0,3,3,1,2,1,1,0,1,0,1,0,0,0,29,16,13
2002-2003,100751,The University of Alabama,Baseball,36,36,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2002-2003,100751,The University of Alabama,Basketball,29,13,16,6,0,6,21,12,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
2002-2003,100751,The University of Alabama,Cross-country and/or track,39,16,23,15,5,10,12,4,8,0,0,0,1,1,0,0,0,0,0,0,0,11,6,5
2002-2003,100751,The University of Alabama,Football,88,88,0,28,28,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,100858,Auburn University,All other sports combined,173,55,118,137,43,94,5,0,5,7,0,7,1,0,1,0,0,0,1,0,1,22,12,10
2002-2003,100858,Auburn University,Baseball,27,27,0,23,23,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2002-2003,100858,Auburn University,Basketball,27,12,15,3,1,2,18,10,8,1,0,1,1,1,0,0,0,0,0,0,0,4,0,4
2002-2003,100858,Auburn University,Cross-country and/or track,48,25,23,20,13,7,10,4,6,0,0,0,0,0,0,0,0,0,1,0,1,17,8,9
2002-2003,100858,Auburn University,Football,92,92,0,29,29,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,122755,San Jose State University,All other sports combined,136,28,108,77,12,65,2,0,2,22,8,14,10,4,6,1,0,1,24,4,20,0,0,0
2002-2003,122755,San Jose State University,Baseball,35,35,0,20,20,0,1,1,0,7,7,0,1,1,0,1,1,0,5,5,0,0,0,0
2002-2003,122755,San Jose State University,Basketball,29,12,17,6,2,4,16,8,8,1,1,0,0,0,0,1,0,1,5,1,4,0,0,0
2002-2003,122755,San Jose State University,Cross-country and/or track,16,5,11,7,2,5,0,0,0,3,1,2,2,1,1,1,1,0,3,0,3,0,0,0
2002-2003,122755,San Jose State University,Football,70,70,0,19,19,0,39,39,0,3,3,0,1,1,0,1,1,0,7,7,0,0,0,0
2002-2003,123961,University of Southern California,All other sports combined,158,56,102,91,33,58,9,3,6,4,2,2,9,3,6,2,0,2,2,1,1,41,14,27
2002-2003,123961,University of Southern California,Baseball,19,19,0,14,14,0,0,0,0,3,3,0,1,1,0,0,0,0,1,1,0,0,0,0
2002-2003,123961,University of Southern California,Basketball,22,12,10,4,1,3,14,7,7,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0
2002-2003,123961,University of Southern California,Cross-country and/or track,34,14,20,8,3,5,17,7,10,1,0,1,0,0,0,0,0,0,2,1,1,6,3,3
2002-2003,123961,University of Southern California,Football,86,86,0,28,28,0,42,42,0,5,5,0,7,7,0,0,0,0,4,4,0,0,0,0
2002-2003,131496,Georgetown University,All other sports combined,126,62,64,113,56,57,5,1,4,2,1,1,4,2,2,0,0,0,1,1,0,1,1,0
2002-2003,131496,Georgetown University,Baseball,15,15,0,11,11,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,131496,Georgetown University,Basketball,27,13,14,4,1,3,18,11,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4
2002-2003,131496,Georgetown University,Cross-country and/or track,39,15,24,26,9,17,10,4,6,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1
2002-2003,131496,Georgetown University,Football,29,29,0,10,10,0,15,15,0,1,1,0,2,2,0,0,0,0,1,1,0,0,0,0
2002-2003,134097,Florida State University,All other sports combined,145,48,97,99,35,64,10,1,9,12,3,9,3,0,3,0,0,0,2,0,2,19,9,10
2002-2003,134097,Florida State University,Baseball,40,40,0,39,39,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-2003,134097,Florida State University,Basketball,26,12,14,6,1,5,14,7,7,0,0,0,0,0,0,0,0,0,4,3,1,2,1,1
2002-2003,134097,Florida State University,Cross-country and/or track,67,38,29,29,17,12,27,14,13,1,0,1,0,0,0,1,0,1,2,2,0,7,5,2
2002-2003,134097,Florida State University,Football,89,89,0,15,15,0,67,67,0,2,2,0,2,2,0,0,0,0,2,2,0,1,1,0
2002-2003,134130,University of Florida,All other sports combined,171,57,114,119,35,84,14,2,12,7,4,3,2,1,1,1,0,1,4,1,3,24,14,10
2002-2003,134130,University of Florida,Baseball,39,39,0,32,32,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0
2002-2003,134130,University of Florida,Basketball,27,13,14,7,4,3,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2002-2003,134130,University of Florida,Cross-country and/or track,71,38,33,35,22,13,25,12,13,2,2,0,1,0,1,0,0,0,1,1,0,7,1,6
2002-2003,134130,University of Florida,Football,84,84,0,20,20,0,59,59,0,2,2,0,1,1,0,0,0,0,2,2,0,0,0,0
2002-2003,135726,University of Miami,All other sports combined,90,10,80,51,5,46,3,0,3,10,1,9,0,0,0,1,0,1,5,0,5,20,4,16
