"","A","B","C","D","Season","F","G","H","I","J","Source","Season.Type"
"306",559,"Thomas","Thomas, Tyrus","NBA","CHA","2009-2010","4.2","20100219CLECHA","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"307",560,"Brown","Brown, Shannon","NBA","LAL","2009-2010","2.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"308",561,"Gibson","Gibson, Daniel","NBA","CLE","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"309",563,"Barea","Barea, Jose","NBA","DAL","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"310",564,"Mensah-Bonsu","Mensah-Bonsu, Pops","NBA","HOU","2009-2010","4","SeasonStart","2009-10-26","2009-11-13","Basketball Value","Regular Season"
"311",564,"Mensah-Bonsu","Mensah-Bonsu, Pops","NBA","TOR","2009-2010","4","20091117TORDEN","2009-11-17","2010-07-01","Basketball Value","Regular Season"
"312",565,"Diawara","Diawara, Yakhouba","NBA","MIA","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"313",567,"O'Bryant","O'Bryant, Patrick","NBA","TOR","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"314",569,"Novak","Novak, Steve","NBA","LAC","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"315",573,"Williams","Williams, Shawne","NBA","DAL","2009-2010","3.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"316",574,"Davis","Davis, Paul","NBA","WAS","2009-2010","4.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"317",575,"Farmar","Farmar, Jordan","NBA","LAL","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"318",577,"Gay","Gay, Rudy","NBA","MEM","2009-2010","3.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"319",579,"Lowry","Lowry, Kyle","NBA","HOU","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
