"","A","B","C","D","Season","F","G","H","I","J","Source","Season.Type"
"450",788,"Lee","Lee, Courtney","NBA","NJN","2009-2010","2.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"451",789,"Speights","Speights, Marreese","NBA","PHI","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"452",790,"Dragic","Dragic, Goran","NBA","PHX","2009-2010","1.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"453",791,"Lopez","Lopez, Robin","NBA","PHX","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"454",793,"Hill","Hill, George","NBA","SAS","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"455",794,"Tolliver","Tolliver, Anthony","NBA","POR","2009-2010","5","20091220PORMIA","2009-12-20","2009-12-29","Basketball Value","Regular Season"
"456",794,"Tolliver","Tolliver, Anthony","NBA","GSW","2009-2010","5","20100118CHIGSW","2010-01-17","2010-07-01","Basketball Value","Regular Season"
"457",795,"Jawai","Jawai, Nathan","NBA","MIN","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"458",796,"Ukic","Ukic, Roko","NBA","MIL","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"459",798,"McGee","McGee, JaVale","NBA","WAS","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"460",800,"Morrow","Morrow, Anthony","NBA","GSW","2009-2010","2.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"461",801,"Martin","Martin, Cartier","NBA","WAS","2009-2010","3","20100330WASHOU","2010-03-30","2010-07-01","Basketball Value","Regular Season"
"462",801,"Martin","Martin, Cartier","NBA","GSW","2009-2010","3","20100111CLEGSW","2010-01-11","2010-03-30","Basketball Value","Regular Season"
"463",802,"Hairston","Hairston, Malik","NBA","SAS","2009-2010","2.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"464",806,"Teague","Teague, Jeff","NBA","ATL","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"465",807,"Hudson","Hudson, Lester","NBA","MEM","2009-2010","1.4","Signed","2010-01-08","2010-07-01","Basketball Value","Regular Season"
"466",807,"Hudson","Hudson, Lester","NBA","BOS","2009-2010","1.4","SeasonStart","2009-10-26","2010-01-08","Basketball Value","Regular Season"
"467",808,"Brown","Brown, Derrick","NBA","CHA","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"468",809,"Henderson","Henderson, Gerald","NBA","CHA","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"469",810,"Byars","Byars, Derrick","NBA","CHI","2009-2010","NULL","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"470",811,"Gibson","Gibson, Taj","NBA","CHI","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"471",812,"Johnson","Johnson, James","NBA","CHI","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"472",813,"Green","Green, Danny","NBA","CLE","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"473",814,"Beaubois","Beaubois, Rodrigue","NBA","DAL","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"474",815,"Draper","Draper, Dontaye","NBA","DEN","2009-2010","NULL","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"475",816,"Lawson","Lawson, Ty","NBA","DEN","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"476",817,"Looby","Looby, Kurt","NBA","DEN","2009-2010","NULL","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"477",818,"Daye","Daye, Austin","NBA","DET","2009-2010","3.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"478",819,"Jerebko","Jerebko, Jonas","NBA","DET","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"479",820,"Summers","Summers, DaJuan","NBA","DET","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"480",821,"Curry","Curry, Stephen","NBA","GSW","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"481",822,"Andersen","Andersen, David","NBA","HOU","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"482",823,"Budinger","Budinger, Chase","NBA","HOU","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"483",824,"Taylor","Taylor, Jermaine","NBA","HOU","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"484",825,"Hansbrough","Hansbrough, Tyler","NBA","IND","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"485",826,"Price","Price, A.J.","NBA","IND","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"486",827,"Griffin","Griffin, Blake","NBA","LAC","2009-2010","NULL","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"487",830,"Gaffney","Gaffney, Tony","NBA","LAL","2009-2010","NULL","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"488",831,"Carroll","Carroll, DeMarre","NBA","MEM","2009-2010","3.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"489",832,"Gilder","Gilder, Trey","NBA","MEM","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"490",833,"Thabeet","Thabeet, Hasheem","NBA","MEM","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"491",834,"Young","Young, Sam","NBA","MEM","2009-2010","2.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"492",835,"Ilyasova","Ilyasova, Ersan","NBA","MIL","2009-2010","3.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"493",836,"Jennings","Jennings, Brandon","NBA","MIL","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"494",837,"Meeks","Meeks, Jodie","NBA","MIL","2009-2010","2","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"495",837,"Meeks","Meeks, Jodie","NBA","PHI","2009-2010","2","20100219SASPHI","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"496",838,"Ellington","Ellington, Wayne","NBA","MIN","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"497",839,"Flynn","Flynn, Jonny","NBA","MIN","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"498",840,"T. Williams","Williams, Terrence","NBA","NJN","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"499",841,"Collison","Collison, Darren","NBA","NOH","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"500",842,"Thornton","Thornton, Marcus","NBA","NOH","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"501",843,"Douglas","Douglas, Toney","NBA","NYK","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"502",844,"Hill","Hill, Jordan","NBA","HOU","2009-2010","4","20100224ORLHOU","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"503",844,"Hill","Hill, Jordan","NBA","NYK","2009-2010","4","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"504",845,"Landry","Landry, Marcus","NBA","BOS","2009-2010","3","20100225CLEBOS","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"505",845,"Landry","Landry, Marcus","NBA","NYK","2009-2010","3","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"506",846,"Harden","Harden, James","NBA","OKC","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"507",847,"Ibaka","Ibaka, Serge","NBA","OKC","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"508",848,"Mullens","Mullens, Byron","NBA","OKC","2009-2010","NULL","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"509",849,"Holiday","Holiday, Jrue","NBA","PHI","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"510",850,"Clark","Clark, Earl","NBA","PHX","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"511",851,"Griffin","Griffin, Taylor","NBA","PHX","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"512",852,"Cunningham","Cunningham, Dante","NBA","POR","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"513",853,"Mills","Mills, Patrick","NBA","POR","2009-2010","NULL","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"514",854,"Pendergraph","Pendergraph, Jeff","NBA","POR","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"515",855,"Brockman","Brockman, Jon","NBA","SAC","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"516",856,"Casspi","Casspi, Omri","NBA","SAC","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"517",857,"Evans","Evans, Tyreke","NBA","SAC","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"518",858,"Blair","Blair, DeJuan","NBA","SAS","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"519",859,"Haislip","Haislip, Marcus","NBA","SAS","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"520",860,"DeRozan","Derozan, DeMar","NBA","TOR","2009-2010","2.2","Season Start","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"521",861,"Matthews","Matthews, Wes","NBA","UTA","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"522",862,"Maynor","Maynor, Eric","NBA","UTA","2009-2010","1","SeasonStart","2009-10-26","2009-12-23","Basketball Value","Regular Season"
"523",862,"Maynor","Maynor, Eric","NBA","OKC","2009-2010","1","20091223OKCPHX","2009-12-23","2010-07-01","Basketball Value","Regular Season"
"524",863,"Hunter","Hunter, Chris","NBA","GSW","2009-2010","5","20091120PORGSW","2009-11-20","2010-07-01","Basketball Value","Regular Season"
"525",864,"Bender","Bender, Jonathan","NBA","NYK","2009-2010","4","20091218LACNYK","2009-12-18","2010-07-01","Basketball Value","Regular Season"
"526",865,"Gaines","Gaines, Sundiata","NBA","UTA","2009-2010","NULL","20100106MEMUTA","2010-01-05","2010-07-01","Basketball Value","Regular Season"
"527",866,"C. Jackson","Jackson, Cedric","NBA","CLE","2009-2010","NULL","20100127MINCLE","2010-01-23","2010-03-12","Basketball Value","Regular Season"
"528",866,"Jackson","Jackson, Cedric","NBA","SAS","2009-2010","NULL","20100312SASMIN","2010-03-12","2010-04-04","Basketball Value","Regular Season"
"529",866,"Jackson","Jackson, Cedric","NBA","WAS","2009-2010","NULL","20100404NJNWAS","2010-04-04","2010-07-01","Basketball Value","Regular Season"
"530",867,"Conroy","Conroy, Will","NBA","HOU","2009-2010","NULL","20100131PHXHOU","2010-01-31","2010-07-01","Basketball Value","Regular Season"
"531",868,"Temple","Temple, Garrett","NBA","SAC","2009-2010","NULL","20100303SACHOU","2010-03-03","2010-03-13","Basketball Value","Regular Season"
"532",868,"Temple","Temple, Garrett","NBA","HOU","2009-2010","NULL","20100209HOUMIA","2010-02-08","2010-03-03","Basketball Value","Regular Season"
"533",868,"Temple","Temple, Garrett","NBA","SAS","2009-2010","NULL","20100317SASORL","2010-03-13","2010-07-01","Basketball Value","Regular Season"
"534",869,"Williams","Williams, Reggie","NBA","GSW","2009-2010","NULL","20100302GSWMIA","2010-03-01","2010-07-01","Basketball Value","Regular Season"
"535",870,"Anderson","Anderson, Antonio","NBA","OKC","2009-2010","NULL","20100303OKCDEN","2010-02-22","2010-07-01","Basketball Value","Regular Season"
"536",871,"Jeffers","Jeffers, Othyus","NBA","UTA","2009-2010","NULL","20100306LACUTA","2010-03-06","2010-07-01","Basketball Value","Regular Season"
"537",872,"Gee","Gee, Alonzo","NBA","WAS","2009-2010","NULL","20100311ATLWAS","2010-03-11","2010-07-01","Basketball Value","Regular Season"
"538",873,"Lafayette","Lafayette, Oliver","NBA","BOS","2009-2010","NULL","20100414MILBOS","2010-04-14","2010-07-01","Basketball Value","Regular Season"
