"","PlayerName","PlayerTrueName","League","TeamName3","Season","Comment","StartDate","EndDate","Source","Season.Type"
"1","J. Howard","Howard, Josh","NBA","DAL","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"1","Howard","Howard, Josh","NBA","DAL","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"2","Thomas","Thomas, Kurt","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"2","K. Thomas","Thomas, Kurt","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"3","Dampier","Dampier, Erick","NBA","DAL","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"4","Marion","Marion, Shawn","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"6","Terry","Terry, Jason","NBA","DAL","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"7","Bell","Bell, Raja","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"7","R. Bell","Bell, Raja","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"8","Nash","Nash, Steve","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"10","J. Jones","Jones, James","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"10","Ja. Jones","Jones, James","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"10","Jones","Jones, James","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"12","Diaw","Diaw, Boris","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"15","Harris","Harris, Devin","NBA","DAL","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"15","D. Harris","Harris, Devin","NBA","DAL","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"16","Barbosa","Barbosa, Leandro","NBA","PHX","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"17","Diop","Diop, DeSagana","NBA","DAL","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"20","House","House, Eddie","NBA","NJN","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"21","Martin","Martin, Kenyon","NBA","DEN","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"21","K. Martin","Martin, Kenyon","NBA","DEN","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"22","Nesterovic","Nesterovic, Rasho","NBA","TOR","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"23","Camby","Camby, Marcus","NBA","DEN","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"24","Ginobili","Ginobili, Manu","NBA","SAS","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"25","Anthony","Anthony, Carmelo","NBA","DEN","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"26","Duncan","Duncan, Tim","NBA","SAS","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"28","Bowen","Bowen, Bruce","NBA","SAS","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"28","B. Bowen","Bowen, Bruce","NBA","SAS","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"29","Finley","Finley, Michael","NBA","SAS","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"30","W. Parker","Parker, Tony","NBA","SAS","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
"30","T. Parker","Parker, Tony","NBA","SAS","2007 playoffs","SeasonStart","2007-04-20","2007-07-01","Basketball Value","Playoffs"
