"","PlayerName","PlayerTrueName","League","TeamName3","Season","Comment","StartDate","EndDate","Source","Season.Type"
"1","Jo. Howard","Howard, Josh","NBA","DAL","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"2","Thomas","Thomas, Kurt","NBA","SAS","2008 playoffs","Trade","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"3","Dampier","Dampier, Erick","NBA","DAL","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"6","Terry","Terry, Jason","NBA","DAL","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"7","Bell","Bell, Raja","NBA","PHX","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"8","Nash","Nash, Steve","NBA","PHX","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"12","Diaw","Diaw, Boris","NBA","PHX","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"16","Barbosa","Barbosa, Leandro","NBA","PHX","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"20","House","House, Eddie","NBA","BOS","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"21","Martin","Martin, Kenyon","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"22","Nesterovic","Nesterovic, Rasho","NBA","TOR","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"23","Camby","Camby, Marcus","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"24","Ginobili","Ginobili, Manu","NBA","SAS","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"25","Anthony","Anthony, Carmelo","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"26","Duncan","Duncan, Tim","NBA","SAS","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"28","Bowen","Bowen, Bruce","NBA","SAS","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"29","Finley","Finley, Michael","NBA","SAS","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"30","Parker","Parker, Tony","NBA","SAS","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"31","Miller","Miller, Andre","NBA","PHI","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"32","Horry","Horry, Robert","NBA","SAS","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"33","Barry","Barry, Brent","NBA","SAS","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"34","Nene","Hilario, Nene","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"34","Hilario","Hilario, Nene","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"36","Najera","Najera, Eduardo","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"37","Oberto","Oberto, Fabricio","NBA","SAS","2008 playoffs","Season Start","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"41","Johnson","Johnson, DerMarr","NBA","SAS","2008 playoffs","20071230MEMSAS","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"46","Iverson","Iverson, Allen","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"47","Ford","Ford, T.J.","NBA","TOR","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"50","Hunter","Hunter, Steven","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"51","Magloire","Magloire, Jamaal","NBA","DAL","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"52","Iguodala","Iguodala, Andre","NBA","PHI","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"54","Korver","Korver, Kyle","NBA","UTA","2008 playoffs","20071231PORUTA","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"61","Ollie","Ollie, Kevin","NBA","PHI","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"62","Wells","Wells, Bonzi","NBA","NOH","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"63","Smith","Smith, J.R.","NBA","DEN","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"66","Brown","Brown, Collier (P.J.)","NBA","BOS","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"67","Stojakovic","Stojakovic, Peja","NBA","NOH","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"68","Bibby","Bibby, Mike","NBA","ATL","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"69","West","West, David","NBA","NOH","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"70","Paul","Paul, Chris","NBA","NOH","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
"72","Claxton","Claxton, Speedy","NBA","ATL","2008 playoffs","SeasonStart","2008-04-19","2008-07-01","Basketball Value","Playoffs"
