"","PlayerName","PlayerTrueName","League","TeamName3","Season","Comment","StartDate","EndDate","Source","Season.Type"
"72","Claxton","Claxton, Speedy","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"73","Andersen","Andersen, Chris","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"75","Hart","Hart, Jason","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"76","R. Butler","Butler, Rasual","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"76","Butler","Butler, Rasual","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"83","Bass","Bass, Brandon","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"85","Price","Price, Ronnie","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"86","Johnson","Johnson, Joe","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"88","Pachulia","Pachulia, Zaza","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"93","Foyle","Foyle, Adonal","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"94","J. Smith","Smith, Josh","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"94","Smith","Smith, Josh","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"96","Lue","Lue, Tyronn","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"97","Williams","Williams, Marvin","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"98","Pietrus","Pietrus, Mickael","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"103","Fisher","Fisher, Derek","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"109","Ivey","Ivey, Royal","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"110","Hinrich","Hinrich, Kirk","NBA","CHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"114","Knight","Knight, Brevin","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"116","Rush","Rush, Kareem","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"118","Chandler","Chandler, Tyson","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"119","Gordon","Gordon, Ben","NBA","CHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"122","Deng","Deng, Luol","NBA","CHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"123","Ely","Ely, Melvin","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"125","Ti. Thomas","Thomas, Tim","NBA","CHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"128","Carroll","Carroll, Matt","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"132","Okur","Okur, Mehmet","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"136","Kirilenko","Kirilenko, Andrei","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"137","Collins","Collins, Jarron","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"137","J. Collins","Collins, Jarron","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"138","Harpring","Harpring, Matt","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"139","Williams","Williams, Deron","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"139","D. Williams","Williams, Deron","NBA","UTA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"140","Brown","Brown, Devin","NBA","NOH","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"143","O'Neal","O'Neal, Jermaine","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"144","Battie","Battie, Tony","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"145","Artest","Artest, Ron","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"149","D. Howard","Howard, Dwight","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"149","Howard","Howard, Dwight","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"151","Turkoglu","Turkoglu, Hedo","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"158","Nelson","Nelson, Jameer","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"158","J. Nelson","Nelson, Jameer","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"163","Evans","Evans, Reggie","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"163","R. Evans","Evans, Reggie","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"166","R. Allen","Allen, Ray","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"166","W. Allen","Allen, Ray","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"167","Brand","Brand, Elton","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"168","Petro","Petro, Johan","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"170","Lewis","Lewis, Rashard","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"170","R. Lewis","Lewis, Rashard","NBA","ORL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"174","Murray","Murray, Ronald (Flip)","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"178","Singleton","Singleton, James","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"186","K. Bryant","Bryant, Kobe","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"186","Bryant","Bryant, Kobe","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"187","Odom","Odom, Lamar","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"188","Mihm","Mihm, Chris","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"189","Brown","Brown, Kwame","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"190","George","George, Devean","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"191","Cook","Cook, Brian","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"193","Vujacic","Vujacic, Sasha","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"194","Bynum","Bynum, Andrew","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"194","A. Bynum","Bynum, Andrew","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"197","Gasol","Gasol, Pau","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"198","Battier","Battier, Shane","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"199","Wright","Wright, Lorenzen","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"201","Haslem","Haslem, Udonis","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"204","Wade","Wade, Dwayne","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"212","Jones","Jones, Dahntay","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"214","Wright","Wright, Dorell","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"214","D. Wright","Wright, Dorell","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"222","Kidd","Kidd, Jason","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"231","Vaughn","Vaughn, Jacque","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"236","Blount","Blount, Mark","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"239","West","West, Delonte","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"240","Pierce","Pierce, Paul","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"244","Marbury","Marbury, Stephon","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"245","Ariza","Ariza, Trevor","NBA","LAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"252","Scalabrine","Scalabrine, Brian","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"253","Perkins","Perkins, Kendrick","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"257","Gooden","Gooden, Drew","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"258","Ilgauskas","Ilgauskas, Zydrunas","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"260","L. James","James, LeBron","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"260","James","James, LeBron","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"263","Marshall","Marshall, Donyell","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"265","Pavlovic","Pavlovic, Sasha","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"270","Hamilton","Hamilton, Richard","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"270","R. Hamilton","Hamilton, Richard","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"271","Billups","Billups, Chauncey","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"272","Prince","Prince, Tayshaun","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"273","Wallace","Wallace, Ben","NBA","CLE","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"274","R. Wallace","Wallace, Rasheed","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"274","Wallace","Wallace, Rasheed","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"275","McDyess","McDyess, Antonio","NBA","DET","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"276","Evans","Evans, Maurice","NBA","ATL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
