Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1997-1998,147767,Northwestern University,Baseball,Scholarship Awards,29,29,0,27,27,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
1997-1998,147767,Northwestern University,Basketball,Scholarship Awards,27,12,15,17,5,12,5,3,2,1,0,1,0,0,0,0,0,0,4,4,0,0,0,0
1997-1998,147767,Northwestern University,Football,Scholarship Awards,90,90,0,48,48,0,38,38,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0
1997-1998,204796,Ohio State University-Main Campus,All other sports combined,Scholarship Awards,297,120,177,222,84,138,8,5,3,12,6,6,8,2,6,0,0,0,2,1,1,45,22,23
1997-1998,204796,Ohio State University-Main Campus,Baseball,Scholarship Awards,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,204796,Ohio State University-Main Campus,Basketball,Scholarship Awards,26,14,12,10,3,7,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1997-1998,204796,Ohio State University-Main Campus,Cross-country and/or track,Scholarship Awards,26,12,14,5,3,2,16,5,11,1,1,0,0,0,0,0,0,0,0,0,0,4,3,1
1997-1998,204796,Ohio State University-Main Campus,Football,Scholarship Awards,84,84,0,35,35,0,45,45,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0
1997-1998,207388,Oklahoma State University-Main Campus,All other sports combined,Scholarship Awards,80,31,49,55,21,34,3,2,1,5,1,4,3,2,1,1,0,1,0,0,0,13,5,8
1997-1998,207388,Oklahoma State University-Main Campus,Baseball,Scholarship Awards,34,34,0,29,29,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3,3,0
1997-1998,207388,Oklahoma State University-Main Campus,Basketball,Scholarship Awards,26,12,14,13,7,6,11,5,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1997-1998,207388,Oklahoma State University-Main Campus,Cross-country and/or track,Scholarship Awards,33,10,23,13,5,8,9,0,9,0,0,0,0,0,0,1,1,0,0,0,0,10,4,6
1997-1998,207388,Oklahoma State University-Main Campus,Football,Scholarship Awards,71,71,0,24,24,0,44,44,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0
1997-1998,209542,Oregon State University,All other sports combined,Scholarship Awards,134,51,83,106,43,63,1,0,1,7,2,5,5,0,5,0,0,0,5,3,2,10,3,7
1997-1998,209542,Oregon State University,Baseball,Scholarship Awards,33,33,0,29,29,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0
1997-1998,209542,Oregon State University,Basketball,Scholarship Awards,28,13,15,11,3,8,12,8,4,0,0,0,1,0,1,0,0,0,2,0,2,2,2,0
1997-1998,209542,Oregon State University,Football,Scholarship Awards,84,84,0,33,33,0,36,36,0,6,6,0,4,4,0,1,1,0,4,4,0,0,0,0
1997-1998,186380,Rutgers University-New Brunswick,All other sports combined,Scholarship Awards,260,105,155,218,84,134,11,5,6,6,3,3,6,3,3,1,1,0,6,2,4,12,7,5
1997-1998,186380,Rutgers University-New Brunswick,Baseball,Scholarship Awards,30,30,0,27,27,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,186380,Rutgers University-New Brunswick,Basketball,Scholarship Awards,26,12,14,6,3,3,14,6,8,1,1,0,0,0,0,0,0,0,1,0,1,4,2,2
1997-1998,186380,Rutgers University-New Brunswick,Cross-country and/or track,Scholarship Awards,67,28,39,36,17,19,21,6,15,4,1,3,1,1,0,2,1,1,3,2,1,0,0,0
1997-1998,186380,Rutgers University-New Brunswick,Football,Scholarship Awards,86,86,0,31,31,0,48,48,0,1,1,0,0,0,0,0,0,0,5,5,0,1,1,0
1997-1998,122755,San Jose State University,All other sports combined,Scholarship Awards,117,23,94,75,15,60,4,1,3,15,5,10,7,0,7,2,0,2,14,2,12,0,0,0
1997-1998,122755,San Jose State University,Baseball,Scholarship Awards,27,27,0,22,22,0,1,1,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0
1997-1998,122755,San Jose State University,Basketball,Scholarship Awards,26,12,14,10,4,6,13,8,5,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
1997-1998,122755,San Jose State University,Cross-country and/or track,Scholarship Awards,24,6,18,11,2,9,0,0,0,3,0,3,2,0,2,2,1,1,6,3,3,0,0,0
1997-1998,122755,San Jose State University,Football,Scholarship Awards,65,65,0,27,27,0,22,22,0,5,5,0,4,4,0,2,2,0,5,5,0,0,0,0
1997-1998,228246,Southern Methodist University,All other sports combined,Scholarship Awards,99,40,59,94,37,57,0,0,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0
1997-1998,228246,Southern Methodist University,Basketball,Scholarship Awards,28,14,14,16,6,10,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,228246,Southern Methodist University,Cross-country and/or track,Scholarship Awards,26,12,14,23,11,12,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,228246,Southern Methodist University,Football,Scholarship Awards,82,82,0,37,37,0,41,41,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0
1997-1998,243744,Stanford University,All other sports combined,Scholarship Awards,196,74,122,153,57,96,7,2,5,9,5,4,16,6,10,0,0,0,0,0,0,11,4,7
1997-1998,243744,Stanford University,Baseball,Scholarship Awards,23,23,0,18,18,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0
1997-1998,243744,Stanford University,Basketball,Scholarship Awards,28,13,15,11,4,7,13,7,6,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0
1997-1998,243744,Stanford University,Cross-country and/or track,Scholarship Awards,36,13,23,27,12,15,5,0,5,2,1,1,1,0,1,0,0,0,0,0,0,1,0,1
1997-1998,243744,Stanford University,Football,Scholarship Awards,81,81,0,43,43,0,33,33,0,1,1,0,3,3,0,1,1,0,0,0,0,0,0,0
1997-1998,228723,Texas A & M University-College Station,All other sports combined,Scholarship Awards,142,44,98,119,34,85,0,0,0,8,3,5,1,0,1,1,1,0,1,0,1,12,6,6
1997-1998,228723,Texas A & M University-College Station,Baseball,Scholarship Awards,37,37,0,35,35,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,228723,Texas A & M University-College Station,Basketball,Scholarship Awards,28,13,15,12,3,9,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1997-1998,228723,Texas A & M University-College Station,Cross-country and/or track,Scholarship Awards,68,35,33,39,19,20,21,11,10,1,0,1,2,0,2,0,0,0,1,1,0,4,4,0
1997-1998,228723,Texas A & M University-College Station,Football,Scholarship Awards,90,90,0,32,32,0,52,52,0,1,1,0,3,3,0,0,0,0,2,2,0,0,0,0
1997-1998,100751,The University of Alabama,All other sports combined,Scholarship Awards,121,34,87,92,22,70,2,0,2,6,1,5,2,1,1,1,0,1,0,0,0,18,10,8
1997-1998,100751,The University of Alabama,Baseball,Scholarship Awards,28,28,0,25,25,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100751,The University of Alabama,Basketball,Scholarship Awards,26,13,13,6,1,5,20,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100751,The University of Alabama,Cross-country and/or track,Scholarship Awards,40,18,22,20,11,9,15,4,11,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
1997-1998,100751,The University of Alabama,Football,Scholarship Awards,84,84,0,28,28,0,54,54,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,228778,The University of Texas at Austin,All other sports combined,Scholarship Awards,157,54,103,127,50,77,8,0,8,7,0,7,3,0,3,2,1,1,0,0,0,10,3,7
1997-1998,228778,The University of Texas at Austin,Baseball,Scholarship Awards,39,39,0,36,36,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,228778,The University of Texas at Austin,Basketball,Scholarship Awards,31,14,17,11,3,8,18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1997-1998,228778,The University of Texas at Austin,Cross-country and/or track,Scholarship Awards,64,36,28,28,20,8,23,9,14,5,2,3,0,0,0,1,1,0,0,0,0,7,4,3
1997-1998,228778,The University of Texas at Austin,Football,Scholarship Awards,86,86,0,40,40,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,134130,University of Florida,All other sports combined,Scholarship Awards,131,34,97,105,25,80,8,2,6,5,1,4,1,1,0,1,0,1,1,0,1,10,5,5
1997-1998,134130,University of Florida,Baseball,Scholarship Awards,34,34,0,26,26,0,1,1,0,5,5,0,1,1,0,0,0,0,1,1,0,0,0,0
1997-1998,134130,University of Florida,Basketball,Scholarship Awards,25,12,13,8,5,3,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1997-1998,134130,University of Florida,Cross-country and/or track,Scholarship Awards,68,39,29,39,22,17,24,14,10,3,3,0,0,0,0,0,0,0,1,0,1,1,0,1
1997-1998,134130,University of Florida,Football,Scholarship Awards,83,83,0,23,23,0,57,57,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0
1997-1998,139959,University of Georgia,All other sports combined,Scholarship Awards,130,33,97,110,26,84,5,2,3,0,0,0,1,0,1,2,0,2,0,0,0,12,5,7
1997-1998,139959,University of Georgia,Baseball,Scholarship Awards,35,35,0,33,33,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,139959,University of Georgia,Basketball,Scholarship Awards,23,12,11,6,3,3,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1997-1998,139959,University of Georgia,Cross-country and/or track,Scholarship Awards,39,15,24,15,6,9,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5
1997-1998,139959,University of Georgia,Football,Scholarship Awards,81,81,0,32,32,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,157289,University of Louisville,All other sports combined,Scholarship Awards,110,48,62,94,39,55,3,2,1,0,0,0,3,0,3,0,0,0,0,0,0,10,7,3
