Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1991-1992,142115,Boise State University,Bachelor's degree,Marketing Opers./Market. and Distribution,'08.0000',10,9,1,8,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1991-1992,142115,Boise State University,Bachelor's degree,Mathematics,'27.0000',6,5,1,3,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
1991-1992,142115,Boise State University,Bachelor's degree,Multi/Interdisciplinary Studies,'30.0000',35,29,6,33,27,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1991-1992,142115,Boise State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',30,9,21,24,8,16,0,0,0,1,0,1,0,0,0,0,0,0,5,1,4,0,0,0
1991-1992,142115,Boise State University,Bachelor's degree,Philosophy and Religion,'38.0000',4,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
1991-1992,142115,Boise State University,Bachelor's degree,Physical Sciences,'40.0000',13,8,5,3,2,1,0,0,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,142115,Boise State University,Bachelor's degree,Protective Services,'43.0000',24,12,12,20,10,10,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0
1991-1992,142115,Boise State University,Bachelor's degree,Psychology,'42.0000',26,8,18,24,7,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
1991-1992,142115,Boise State University,Bachelor's degree,Public Administration and Services,'44.0000',41,5,36,36,5,31,0,0,0,1,0,1,0,0,0,0,0,0,4,0,4,0,0,0
1991-1992,142115,Boise State University,Bachelor's degree,Social Sciences and History,'45.0000',120,56,64,93,45,48,0,0,0,4,3,1,2,0,2,0,0,0,18,7,11,3,1,2
