Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1992-1993,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,'01.0000',29,20,9,27,19,8,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Agricultural Sciences,'02.0000',106,65,41,106,65,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Architecture and Related Programs,'04.0000',76,57,19,74,56,18,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',172,77,95,162,73,89,5,1,4,2,1,1,2,1,1,0,0,0,1,1,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Business Management and Admin. Services,'52.0000',1037,613,424,988,586,402,35,19,16,6,2,4,4,2,2,2,2,0,1,1,0,1,1,0
1992-1993,100858,Auburn University,Bachelor's degree,Communications,'09.0000',151,54,97,139,49,90,8,2,6,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,'11.0000',20,10,10,19,10,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Conservation and Renew. Natural Resources,'03.0000',92,83,9,92,83,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Education,'13.0000',458,88,370,441,81,360,11,5,6,1,0,1,3,1,2,1,0,1,0,0,0,1,1,0
1992-1993,100858,Auburn University,Bachelor's degree,Engineering,'14.0000',711,614,97,674,585,89,18,11,7,5,5,0,7,6,1,1,1,0,0,0,0,6,6,0
1992-1993,100858,Auburn University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',38,5,33,33,5,28,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
1992-1993,100858,Auburn University,Bachelor's degree,Health Professions and Related Sciences,'51.0000',210,36,174,200,36,164,4,0,4,1,0,1,3,0,3,0,0,0,0,0,0,2,0,2
1992-1993,100858,Auburn University,Bachelor's degree,Home Economics,'19.0000',108,6,102,103,6,97,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1992-1993,100858,Auburn University,Bachelor's degree,Marketing Opers./Market. and Distribution,'08.0000',22,1,21,22,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Mathematics,'27.0000',49,28,21,44,25,19,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',11,6,5,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Philosophy and Religion,'38.0000',8,7,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Physical Sciences,'40.0000',37,25,12,34,23,11,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1992-1993,100858,Auburn University,Bachelor's degree,Protective Services,'43.0000',51,42,9,44,37,7,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1992-1993,100858,Auburn University,Bachelor's degree,Psychology,'42.0000',178,51,127,167,49,118,9,2,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
