Year,unitid,Institution_Name,Major,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2003-2004,142115,Boise State University,First major,Bachelor's degree,Mathematics and statistics.,'27',4,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',40,27,13,29,19,10,0,0,0,1,1,0,4,4,0,2,0,2,3,2,1,1,1,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Natural resources and conservation.,'03',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Philosophy and religious studies.,'38',6,5,1,5,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Physical sciences.,'40',10,5,5,9,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',76,60,16,63,50,13,0,0,0,1,1,0,2,2,0,0,0,0,5,3,2,5,4,1
2003-2004,142115,Boise State University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',31,15,16,27,15,12,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1
2003-2004,142115,Boise State University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',109,18,91,98,16,82,2,0,2,1,0,1,2,0,2,0,0,0,5,1,4,1,1,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Security and protective services.,'43',62,23,39,52,18,34,3,1,2,5,3,2,0,0,0,0,0,0,2,1,1,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Social sciences.,'45',119,58,61,101,48,53,4,2,2,3,2,1,2,1,1,0,0,0,7,3,4,2,2,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Architecture and related services.,'04',63,33,30,60,32,28,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,English language and literature/letters.,'23',145,40,105,129,37,92,11,1,10,0,0,0,2,1,1,0,0,0,3,1,2,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',61,20,41,54,18,36,1,0,1,0,0,0,1,0,1,1,0,1,3,1,2,1,1,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',173,18,155,141,14,127,16,3,13,3,1,2,1,0,1,1,0,1,11,0,11,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',143,65,78,115,49,66,16,8,8,1,0,1,3,3,0,1,1,0,4,4,0,3,0,3
2003-2004,217882,Clemson University,First major,Bachelor's degree,Engineering.,'14',454,367,87,374,317,57,37,18,19,5,2,3,15,11,4,1,1,0,14,12,2,8,6,2
2003-2004,217882,Clemson University,First major,Bachelor's degree,Visual and performing arts.,'50',126,46,80,112,42,70,5,1,4,1,0,1,3,1,2,1,1,0,4,1,3,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',115,64,51,106,60,46,6,2,4,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Philosophy and religious studies.,'38',7,5,2,5,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Physical sciences.,'40',37,23,14,29,19,10,4,1,3,1,1,0,1,1,0,0,0,0,2,1,1,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Science technologies/technicians.,'41',37,26,11,31,22,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Social sciences.,'45',187,93,94,160,81,79,16,5,11,2,1,1,2,1,1,1,0,1,4,3,1,2,2,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',684,421,263,621,385,236,35,20,15,4,3,1,6,2,4,2,0,2,13,8,5,3,3,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,History,'54',48,33,15,43,29,14,2,2,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Mathematics and statistics.,'27',20,12,8,12,9,3,6,3,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Natural resources and conservation.,'03',39,35,4,39,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',151,79,72,142,77,65,2,0,2,3,0,3,0,0,0,0,0,0,4,2,2,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',105,87,18,76,70,6,11,6,5,3,3,0,5,2,3,0,0,0,8,4,4,2,2,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Education.,'13',306,70,236,281,58,223,17,8,9,0,0,0,1,0,1,1,1,0,6,3,3,0,0,0
2003-2004,217882,Clemson University,First major,Bachelor's degree,Psychology.,'42',119,32,87,104,27,77,10,4,6,1,0,1,0,0,0,1,1,0,2,0,2,1,0,1
2003-2004,198419,Duke University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',36,6,30,31,6,25,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2003-2004,198419,Duke University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',22,10,12,17,8,9,2,0,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0
2003-2004,198419,Duke University,First major,Bachelor's degree,Psychology.,'42',143,29,114,88,18,70,19,3,16,15,3,12,12,3,9,0,0,0,7,2,5,2,0,2
2003-2004,198419,Duke University,First major,Bachelor's degree,English language and literature/letters.,'23',85,30,55,56,21,35,7,3,4,6,3,3,8,2,6,1,0,1,4,1,3,3,0,3
