Year,unitid,Institution_Name,Major,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Philosophy and religious studies.,'38',4,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Public administration and social service professions.,'44',28,5,23,24,4,20,1,1,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Social sciences.,'45',280,163,117,229,131,98,20,12,8,14,9,5,3,2,1,2,2,0,10,5,5,2,2,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Transportation and materials moving.,'49',37,31,6,37,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Visual and performing arts.,'50',123,35,88,107,30,77,3,0,3,3,0,3,2,0,2,2,1,1,3,3,0,3,1,2
2003-2004,155399,Kansas State University,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',102,48,54,98,44,54,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',86,39,47,68,31,37,7,3,4,3,1,2,0,0,0,0,0,0,0,0,0,8,4,4
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Architecture and related services.,'04',114,55,59,94,46,48,2,1,1,3,0,3,3,2,1,2,2,0,5,2,3,5,2,3
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',389,196,193,321,169,152,40,15,25,4,4,0,8,2,6,0,0,0,11,4,7,5,2,3
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Natural resources and conservation.,'03',47,37,10,42,34,8,2,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Visual and performing arts.,'50',140,46,94,114,42,72,8,0,8,0,0,0,4,0,4,2,0,2,8,2,6,4,2,2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Biological and biomedical sciences.,'26',364,159,205,280,131,149,40,10,30,6,3,3,24,9,15,1,0,1,8,5,3,5,1,4
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Computer and information sciences and support services.,'11',45,38,7,24,23,1,2,2,0,1,1,0,7,5,2,0,0,0,2,2,0,9,5,4
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',20,6,14,16,4,12,1,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Philosophy and religious studies.,'38',20,15,5,19,14,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Psychology.,'42',219,49,170,164,32,132,29,8,21,12,5,7,6,0,6,1,1,0,4,3,1,3,0,3
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',996,556,440,822,470,352,71,22,49,23,18,5,30,17,13,1,0,1,16,11,5,33,18,15
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',214,60,154,179,54,125,20,2,18,5,2,3,4,0,4,1,0,1,3,0,3,2,2,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Engineering.,'14',361,288,73,261,212,49,27,17,10,14,12,2,13,8,5,3,3,0,3,3,0,40,33,7
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,English language and literature/letters.,'23',168,60,108,131,47,84,26,6,20,5,3,2,2,1,1,0,0,0,4,3,1,0,0,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',42,0,42,35,0,35,3,0,3,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Physical sciences.,'40',41,21,20,24,12,12,5,1,4,3,2,1,4,2,2,0,0,0,1,1,0,4,3,1
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Social sciences.,'45',312,128,184,237,102,135,42,9,33,13,9,4,7,1,6,1,0,1,9,4,5,3,3,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Education.,'13',505,139,366,426,119,307,41,12,29,14,0,14,9,3,6,2,0,2,8,2,6,5,3,2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',29,11,18,21,9,12,1,0,1,4,0,4,1,1,0,0,0,0,1,0,1,1,1,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',87,1,86,75,1,74,4,0,4,2,0,2,4,0,4,0,0,0,1,0,1,1,0,1
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,History,'54',89,49,40,75,44,31,8,3,5,0,0,0,1,0,1,1,1,0,3,1,2,1,0,1
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,First major,Bachelor's degree,Mathematics and statistics.,'27',20,15,5,16,11,5,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,English language and literature/letters.,'23',53,17,36,33,12,21,3,0,3,5,1,4,3,0,3,0,0,0,8,4,4,1,0,1
2003-2004,147767,Northwestern University,First major,Bachelor's degree,History,'54',82,37,45,59,28,31,3,1,2,4,2,2,8,3,5,0,0,0,6,1,5,2,2,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Legal professions and studies.,'22',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',380,140,240,259,101,158,29,10,19,17,3,14,31,9,22,0,0,0,34,15,19,10,2,8
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Education.,'13',24,5,19,20,4,16,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Engineering.,'14',329,236,93,183,137,46,12,7,5,12,7,5,62,43,19,0,0,0,17,14,3,43,28,15
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',36,11,25,23,7,16,2,0,2,0,0,0,4,1,3,0,0,0,5,2,3,2,1,1
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',17,2,15,11,1,10,2,1,1,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',10,7,3,7,5,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',19,5,14,13,4,9,3,0,3,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',44,37,7,28,22,6,3,3,0,2,2,0,5,4,1,0,0,0,3,3,0,3,3,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Philosophy and religious studies.,'38',40,28,12,22,18,4,2,0,2,2,2,0,10,6,4,0,0,0,3,1,2,1,1,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Public administration and social service professions.,'44',47,14,33,32,8,24,6,3,3,1,1,0,7,1,6,0,0,0,1,1,0,0,0,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',75,36,39,37,17,20,1,1,0,4,3,1,27,13,14,0,0,0,3,1,2,3,1,2
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',13,5,8,8,3,5,4,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Natural resources and conservation.,'03',9,3,6,5,1,4,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Physical sciences.,'40',43,27,16,23,17,6,0,0,0,1,1,0,14,8,6,0,0,0,4,1,3,1,0,1
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Mathematics and statistics.,'27',31,21,10,19,13,6,0,0,0,3,3,0,6,4,2,0,0,0,1,1,0,2,0,2
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Psychology.,'42',198,48,150,106,29,77,16,5,11,8,2,6,52,8,44,1,0,1,12,3,9,3,1,2
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Social sciences.,'45',339,202,137,178,107,71,23,11,12,15,7,8,78,47,31,0,0,0,22,16,6,23,14,9
2003-2004,147767,Northwestern University,First major,Bachelor's degree,Visual and performing arts.,'50',207,73,134,142,52,90,8,2,6,7,6,1,15,4,11,1,0,1,27,8,19,7,1,6
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',274,150,124,240,138,102,20,6,14,1,0,1,3,1,2,1,1,0,1,0,1,8,4,4
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Biological and biomedical sciences.,'26',398,151,247,294,115,179,23,9,14,7,2,5,57,22,35,2,1,1,7,0,7,8,2,6
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Education.,'13',380,101,279,354,91,263,11,2,9,3,1,2,7,5,2,1,0,1,2,1,1,2,1,1
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',801,230,571,655,185,470,76,17,59,17,6,11,33,14,19,3,2,1,5,1,4,12,5,7
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',1293,712,581,934,513,421,51,19,32,21,12,9,97,54,43,2,2,0,15,9,6,173,103,70
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,English language and literature/letters.,'23',352,129,223,302,112,190,24,7,17,2,2,0,17,5,12,3,1,2,3,2,1,1,0,1
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',49,10,39,20,1,19,24,7,17,1,0,1,0,0,0,0,0,0,2,1,1,2,1,1
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Computer and information sciences and support services.,'11',175,150,25,103,89,14,5,3,2,4,4,0,22,18,4,1,1,0,6,6,0,34,29,5
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Engineering technologies/technicians.,'15',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',204,86,118,154,70,84,12,5,7,12,6,6,14,2,12,0,0,0,4,1,3,8,2,6
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',25,12,13,23,11,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Mathematics and statistics.,'27',64,47,17,49,36,13,1,0,1,2,2,0,6,3,3,0,0,0,2,2,0,4,4,0
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',76,40,36,67,34,33,6,4,2,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Physical sciences.,'40',80,57,23,69,51,18,1,0,1,0,0,0,9,6,3,0,0,0,0,0,0,1,0,1
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Public administration and social service professions.,'44',70,8,62,61,7,54,8,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Architecture and related services.,'04',116,75,41,92,59,33,3,3,0,3,1,2,4,4,0,1,1,0,4,3,1,9,4,5
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',454,184,270,378,164,214,36,10,26,10,2,8,16,4,12,2,0,2,4,2,2,8,2,6
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Engineering.,'14',752,629,123,574,491,83,37,26,11,5,5,0,43,28,15,4,4,0,10,10,0,79,65,14
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',427,74,353,353,58,295,27,5,22,7,1,6,23,7,16,0,0,0,10,3,7,7,0,7
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,History,'54',209,154,55,191,142,49,5,5,0,5,4,1,4,1,3,1,0,1,3,2,1,0,0,0
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Natural resources and conservation.,'03',100,56,44,95,55,40,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',86,62,24,65,47,18,14,11,3,1,1,0,1,1,0,0,0,0,0,0,0,5,2,3
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Philosophy and religious studies.,'38',39,29,10,34,26,8,0,0,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Psychology.,'42',432,123,309,356,101,255,30,6,24,12,2,10,22,12,10,3,0,3,4,2,2,5,0,5
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Social sciences.,'45',1082,583,499,861,487,374,95,29,66,27,9,18,50,27,23,2,2,0,15,9,6,32,20,12
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Transportation and materials moving.,'49',56,48,8,49,41,8,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
2003-2004,204796,Ohio State University-Main Campus,First major,Bachelor's degree,Visual and performing arts.,'50',293,113,180,234,90,144,19,8,11,9,4,5,14,6,8,2,0,2,6,3,3,9,2,7
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',286,149,137,253,133,120,1,0,1,3,0,3,0,0,0,23,11,12,0,0,0,6,5,1
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Architecture and related services.,'04',37,20,17,34,20,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Computer and information sciences and support services.,'11',61,53,8,33,31,2,2,2,0,0,0,0,5,3,2,3,2,1,0,0,0,18,15,3
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Engineering technologies/technicians.,'15',97,90,7,72,69,3,6,4,2,4,4,0,1,1,0,10,10,0,0,0,0,4,2,2
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',35,6,29,27,4,23,1,0,1,3,1,2,0,0,0,4,1,3,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Mathematics and statistics.,'27',20,13,7,16,10,6,1,1,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',26,12,14,24,11,13,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Engineering.,'14',272,204,68,204,152,52,5,4,1,4,4,0,9,6,3,15,12,3,0,0,0,35,26,9
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',264,16,248,222,13,209,10,0,10,1,1,0,4,0,4,23,1,22,0,0,0,4,1,3
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,History,'54',31,19,12,29,18,11,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',23,9,14,15,5,10,5,2,3,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Military technologies.,'29',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Philosophy and religious studies.,'38',11,8,3,9,7,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Visual and performing arts.,'50',79,32,47,59,20,39,2,1,1,0,0,0,2,1,1,10,6,4,0,0,0,6,4,2
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Biological and biomedical sciences.,'26',198,93,105,154,73,81,6,0,6,6,5,1,7,2,5,21,11,10,0,0,0,4,2,2
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',998,555,443,779,440,339,29,9,20,23,16,7,22,11,11,58,26,32,0,0,0,87,53,34
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',163,46,117,136,39,97,7,3,4,5,0,5,2,0,2,11,2,9,0,0,0,2,2,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,English language and literature/letters.,'23',56,15,41,48,13,35,2,0,2,2,2,0,0,0,0,4,0,4,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Physical sciences.,'40',19,14,5,17,14,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Social sciences.,'45',155,79,76,124,67,57,5,3,2,3,2,1,0,0,0,22,6,16,0,0,0,1,1,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Transportation and materials moving.,'49',51,44,7,46,40,6,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',7,1,6,6,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Education.,'13',307,120,187,258,97,161,7,5,2,4,1,3,0,0,0,37,17,20,0,0,0,1,0,1
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',20,6,14,18,5,13,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Natural resources and conservation.,'03',20,15,5,17,13,4,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Psychology.,'42',122,35,87,97,27,70,3,2,1,5,1,4,1,0,1,14,5,9,0,0,0,2,0,2
2003-2004,207388,Oklahoma State University-Main Campus,First major,Bachelor's degree,Security and protective services.,'43',30,27,3,27,25,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',471,295,176,380,239,141,2,2,0,20,10,10,36,22,14,4,2,2,18,13,5,11,7,4
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Education.,'13',6,1,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,209542,Oregon State University,First major,Bachelor's degree,English language and literature/letters.,'23',124,48,76,112,44,68,0,0,0,2,1,1,7,2,5,2,1,1,1,0,1,0,0,0
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Liberal arts and sciences- general studies and humanities.,'24',173,59,114,145,49,96,5,4,1,4,0,4,7,4,3,1,0,1,7,2,5,4,0,4
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',151,75,76,113,56,57,0,0,0,1,0,1,20,11,9,2,0,2,10,5,5,5,3,2
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Philosophy and religious studies.,'38',14,7,7,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Physical sciences.,'40',55,39,16,45,32,13,0,0,0,0,0,0,2,2,0,1,0,1,4,3,1,3,2,1
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Visual and performing arts.,'50',94,32,62,73,21,52,0,0,0,4,4,0,8,3,5,0,0,0,7,4,3,2,0,2
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',191,87,104,171,77,94,0,0,0,4,3,1,5,2,3,0,0,0,6,3,3,5,2,3
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',7,4,3,5,3,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',89,81,8,61,60,1,0,0,0,2,2,0,15,11,4,1,1,0,6,5,1,4,2,2
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Engineering.,'14',464,395,69,366,309,57,2,2,0,14,14,0,36,31,5,5,4,1,20,18,2,21,17,4
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',284,26,258,235,21,214,4,1,3,12,0,12,19,3,16,3,0,3,8,1,7,3,0,3
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',41,9,32,29,6,23,0,0,0,3,0,3,3,1,2,2,1,1,3,1,2,1,0,1
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',78,19,59,56,16,40,3,0,3,7,1,6,10,2,8,0,0,0,0,0,0,2,0,2
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Mathematics and statistics.,'27',23,18,5,17,13,4,0,0,0,0,0,0,4,3,1,1,1,0,0,0,0,1,1,0
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',125,63,62,95,47,48,3,1,2,3,2,1,20,10,10,1,1,0,2,2,0,1,0,1
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Natural resources and conservation.,'03',200,122,78,167,100,67,1,1,0,6,4,2,5,3,2,5,5,0,13,6,7,3,3,0
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Psychology.,'42',82,24,58,63,21,42,1,0,1,4,0,4,6,1,5,2,1,1,4,0,4,2,1,1
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Social sciences.,'45',149,75,74,114,60,54,2,0,2,11,4,7,8,6,2,3,0,3,8,3,5,3,2,1
2003-2004,209542,Oregon State University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',199,66,133,161,52,109,4,1,3,4,1,3,14,6,8,0,0,0,9,3,6,7,3,4
2003-2004,209542,Oregon State University,First major,Bachelor's degree,History,'54',58,38,20,49,32,17,0,0,0,1,0,1,5,4,1,0,0,0,3,2,1,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',74,16,58,64,14,50,5,1,4,1,0,1,2,0,2,0,0,0,2,1,1,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',95,25,70,57,11,46,13,5,8,8,3,5,9,2,7,1,1,0,6,2,4,1,1,0
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Biological and biomedical sciences.,'26',451,155,296,225,77,148,37,13,24,30,7,23,115,42,73,1,1,0,30,11,19,13,4,9
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Computer and information sciences and support services.,'11',340,249,91,134,114,20,4,3,1,10,6,4,135,84,51,0,0,0,18,15,3,39,27,12
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',46,6,40,37,5,32,2,0,2,1,1,0,3,0,3,0,0,0,2,0,2,1,0,1
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Security and protective services.,'43',193,99,94,117,61,56,22,11,11,23,11,12,22,12,10,0,0,0,7,3,4,2,1,1
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',469,215,254,235,124,111,34,9,25,28,9,19,120,55,65,0,0,0,27,10,17,25,8,17
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Education.,'13',110,36,74,70,28,42,10,2,8,7,3,4,16,1,15,0,0,0,6,1,5,1,1,0
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,History,'54',232,126,106,182,108,74,10,3,7,10,5,5,20,8,12,0,0,0,10,2,8,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Natural resources and conservation.,'03',77,29,48,64,26,38,1,0,1,2,0,2,5,2,3,0,0,0,4,1,3,1,0,1
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Philosophy and religious studies.,'38',69,35,34,56,28,28,2,2,0,1,0,1,2,2,0,0,0,0,6,2,4,2,1,1
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Social sciences.,'45',1130,615,515,588,332,256,95,44,51,83,38,45,250,142,108,3,2,1,74,39,35,37,18,19
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Architecture and related services.,'04',39,26,13,35,24,11,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,Engineering.,'14',454,354,100,204,166,38,33,25,8,26,17,9,139,107,32,1,1,0,21,19,2,30,19,11
2003-2004,186380,Rutgers University-New Brunswick,First major,Bachelor's degree,English language and literature/letters.,'23',343,102,241,249,82,167,28,2,26,22,7,15,29,6,23,0,0,0,15,5,10,0,0,0
