Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Communication- journalism- and related programs.,'09',Bachelor's degree,First major,209,47,162,170,38,132,22,3,19,7,1,6,3,2,1,1,0,1,4,2,2,2,1,1
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Computer and information sciences and support services.,'11',Bachelor's degree,First major,47,40,7,33,30,3,3,3,0,0,0,0,2,1,1,0,0,0,3,3,0,6,3,3
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Engineering.,'14',Bachelor's degree,First major,403,311,92,291,229,62,24,14,10,13,8,5,19,15,4,0,0,0,10,9,1,46,36,10
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,49,18,31,37,14,23,4,1,3,5,0,5,0,0,0,0,0,0,3,3,0,0,0,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Architecture and related services.,'04',Bachelor's degree,First major,94,36,58,83,31,52,1,1,0,4,0,4,3,3,0,0,0,0,0,0,0,3,1,2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Biological and biomedical sciences.,'26',Bachelor's degree,First major,352,176,176,279,147,132,22,3,19,8,5,3,28,13,15,1,1,0,10,6,4,4,1,3
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,English language and literature/letters.,'23',Bachelor's degree,First major,241,81,160,198,65,133,28,6,22,3,2,1,4,3,1,0,0,0,6,4,2,2,1,1
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Mathematics and statistics.,'27',Bachelor's degree,First major,32,21,11,23,19,4,5,2,3,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Multi/interdisciplinary studies.,'30',Bachelor's degree,First major,29,14,15,20,8,12,1,0,1,1,1,0,1,1,0,0,0,0,4,2,2,2,2,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Philosophy and religious studies.,'38',Bachelor's degree,First major,32,18,14,26,14,12,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Psychology.,'42',Bachelor's degree,First major,237,45,192,196,40,156,22,4,18,5,0,5,3,0,3,1,0,1,6,1,5,4,0,4
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Visual and performing arts.,'50',Bachelor's degree,First major,136,54,82,106,41,65,7,3,4,4,2,2,4,1,3,1,1,0,11,6,5,3,0,3
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Education.,'13',Bachelor's degree,First major,458,93,365,396,81,315,39,7,32,8,2,6,6,1,5,1,0,1,7,2,5,1,0,1
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,77,3,74,72,2,70,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,362,193,169,307,165,142,35,16,19,3,2,1,4,2,2,3,2,1,8,5,3,2,1,1
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Natural resources and conservation.,'03',Bachelor's degree,First major,48,27,21,44,27,17,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Physical sciences.,'40',Bachelor's degree,First major,57,36,21,42,26,16,4,0,4,1,1,0,3,2,1,0,0,0,2,2,0,5,5,0
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Social sciences.,'45',Bachelor's degree,First major,352,154,198,270,125,145,47,14,33,10,3,7,8,4,4,1,1,0,11,5,6,5,2,3
2005-2006,147767,Northwestern University,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,14,4,10,9,3,6,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,147767,Northwestern University,Communication- journalism- and related programs.,'09',Bachelor's degree,First major,384,148,236,257,100,157,31,12,19,30,16,14,30,9,21,1,1,0,21,4,17,14,6,8
2005-2006,147767,Northwestern University,Computer and information sciences and support services.,'11',Bachelor's degree,First major,30,27,3,15,14,1,2,2,0,0,0,0,7,5,2,0,0,0,3,3,0,3,3,0
2005-2006,147767,Northwestern University,Education.,'13',Bachelor's degree,First major,11,3,8,10,3,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,147767,Northwestern University,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,147767,Northwestern University,Multi/interdisciplinary studies.,'30',Bachelor's degree,First major,14,5,9,10,3,7,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,1,0
2005-2006,147767,Northwestern University,Visual and performing arts.,'50',Bachelor's degree,First major,209,77,132,144,54,90,7,2,5,9,5,4,16,6,10,1,1,0,24,7,17,8,2,6
2005-2006,147767,Northwestern University,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,24,5,19,17,4,13,0,0,0,3,0,3,1,0,1,0,0,0,3,1,2,0,0,0
2005-2006,147767,Northwestern University,English language and literature/letters.,'23',Bachelor's degree,First major,66,22,44,43,15,28,2,0,2,5,2,3,6,2,4,1,0,1,8,3,5,1,0,1
2005-2006,147767,Northwestern University,History,'54',Bachelor's degree,First major,116,57,59,81,42,39,3,0,3,7,5,2,17,7,10,1,0,1,6,2,4,1,1,0
2005-2006,147767,Northwestern University,Psychology.,'42',Bachelor's degree,First major,195,55,140,113,28,85,11,3,8,5,1,4,46,15,31,1,1,0,15,5,10,4,2,2
2005-2006,147767,Northwestern University,Public administration and social service professions.,'44',Bachelor's degree,First major,39,8,31,22,4,18,4,1,3,0,0,0,8,1,7,0,0,0,4,2,2,1,0,1
2005-2006,147767,Northwestern University,Social sciences.,'45',Bachelor's degree,First major,418,242,176,225,132,93,16,6,10,25,16,9,94,55,39,1,0,1,26,15,11,31,18,13
2005-2006,147767,Northwestern University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,51,8,43,28,5,23,4,0,4,8,2,6,7,0,7,0,0,0,3,0,3,1,1,0
2005-2006,147767,Northwestern University,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,23,4,19,9,1,8,0,0,0,3,0,3,8,2,6,0,0,0,1,1,0,2,0,2
2005-2006,147767,Northwestern University,Legal professions and studies.,'22',Bachelor's degree,First major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,147767,Northwestern University,Mathematics and statistics.,'27',Bachelor's degree,First major,31,25,6,20,15,5,1,0,1,2,2,0,4,4,0,0,0,0,2,2,0,2,2,0
2005-2006,147767,Northwestern University,Natural resources and conservation.,'03',Bachelor's degree,First major,17,5,12,14,5,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
2005-2006,147767,Northwestern University,Philosophy and religious studies.,'38',Bachelor's degree,First major,25,14,11,14,11,3,0,0,0,3,2,1,6,1,5,0,0,0,2,0,2,0,0,0
2005-2006,147767,Northwestern University,Biological and biomedical sciences.,'26',Bachelor's degree,First major,96,38,58,41,15,26,6,0,6,2,1,1,39,19,20,0,0,0,5,2,3,3,1,2
2005-2006,147767,Northwestern University,Engineering.,'14',Bachelor's degree,First major,302,205,97,136,102,34,6,2,4,14,11,3,87,54,33,0,0,0,13,8,5,46,28,18
2005-2006,147767,Northwestern University,Physical sciences.,'40',Bachelor's degree,First major,31,14,17,16,7,9,3,0,3,0,0,0,6,4,2,0,0,0,2,1,1,4,2,2
2005-2006,204796,Ohio State University-Main Campus,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,First major,277,146,131,246,135,111,15,5,10,3,1,2,4,0,4,1,1,0,5,3,2,3,1,2
2005-2006,204796,Ohio State University-Main Campus,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,1303,755,548,944,564,380,51,19,32,17,8,9,112,56,56,5,1,4,30,20,10,144,87,57
2005-2006,204796,Ohio State University-Main Campus,Family and consumer sciences/human sciences.,'19',Bachelor's degree,First major,774,200,574,635,161,474,68,17,51,10,3,7,38,12,26,3,1,2,9,3,6,11,3,8
2005-2006,204796,Ohio State University-Main Campus,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,212,90,122,173,75,98,7,1,6,9,5,4,14,5,9,1,1,0,2,2,0,6,1,5
2005-2006,204796,Ohio State University-Main Campus,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,556,104,452,437,75,362,35,6,29,14,4,10,46,14,32,4,0,4,14,1,13,6,4,2
2005-2006,204796,Ohio State University-Main Campus,History,'54',Bachelor's degree,First major,173,137,36,157,124,33,4,4,0,5,3,2,2,2,0,0,0,0,5,4,1,0,0,0
2005-2006,204796,Ohio State University-Main Campus,Natural resources and conservation.,'03',Bachelor's degree,First major,82,51,31,73,48,25,1,0,1,0,0,0,1,0,1,0,0,0,6,3,3,1,0,1
2005-2006,204796,Ohio State University-Main Campus,Public administration and social service professions.,'44',Bachelor's degree,First major,73,8,65,59,5,54,11,2,9,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,204796,Ohio State University-Main Campus,Social sciences.,'45',Bachelor's degree,First major,1190,676,514,897,522,375,110,43,67,38,24,14,61,30,31,8,3,5,32,22,10,44,32,12
2005-2006,204796,Ohio State University-Main Campus,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,53,9,44,25,0,25,24,8,16,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0
2005-2006,204796,Ohio State University-Main Campus,Engineering.,'14',Bachelor's degree,First major,769,634,135,556,463,93,28,20,8,21,18,3,53,42,11,2,2,0,21,17,4,88,72,16
2005-2006,204796,Ohio State University-Main Campus,Philosophy and religious studies.,'38',Bachelor's degree,First major,58,41,17,48,35,13,4,1,3,1,1,0,1,1,0,0,0,0,4,3,1,0,0,0
2005-2006,204796,Ohio State University-Main Campus,Physical sciences.,'40',Bachelor's degree,First major,80,59,21,63,49,14,4,2,2,0,0,0,4,4,0,1,0,1,4,3,1,4,1,3
2005-2006,204796,Ohio State University-Main Campus,Psychology.,'42',Bachelor's degree,First major,432,136,296,329,106,223,42,10,32,6,3,3,36,11,25,3,1,2,11,4,7,5,1,4
2005-2006,204796,Ohio State University-Main Campus,Computer and information sciences and support services.,'11',Bachelor's degree,First major,125,110,15,77,72,5,1,1,0,2,2,0,14,11,3,0,0,0,1,1,0,30,23,7
2005-2006,204796,Ohio State University-Main Campus,Education.,'13',Bachelor's degree,First major,191,68,123,170,62,108,10,1,9,3,3,0,4,0,4,2,1,1,0,0,0,2,1,1
2005-2006,204796,Ohio State University-Main Campus,Engineering technologies/technicians.,'15',Bachelor's degree,First major,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,204796,Ohio State University-Main Campus,Mathematics and statistics.,'27',Bachelor's degree,First major,47,35,12,38,28,10,3,2,1,0,0,0,2,1,1,0,0,0,2,2,0,2,2,0
2005-2006,204796,Ohio State University-Main Campus,Transportation and materials moving.,'49',Bachelor's degree,First major,54,47,7,49,43,6,2,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0
2005-2006,204796,Ohio State University-Main Campus,Architecture and related services.,'04',Bachelor's degree,First major,112,75,37,98,66,32,2,2,0,2,1,1,5,3,2,0,0,0,3,2,1,2,1,1
2005-2006,204796,Ohio State University-Main Campus,Biological and biomedical sciences.,'26',Bachelor's degree,First major,476,218,258,334,153,181,25,9,16,11,7,4,71,31,40,2,0,2,11,7,4,22,11,11
2005-2006,204796,Ohio State University-Main Campus,Communication- journalism- and related programs.,'09',Bachelor's degree,First major,564,200,364,452,166,286,51,11,40,17,5,12,18,7,11,1,1,0,16,7,9,9,3,6
2005-2006,204796,Ohio State University-Main Campus,English language and literature/letters.,'23',Bachelor's degree,First major,301,125,176,255,109,146,15,7,8,8,3,5,17,5,12,1,0,1,4,1,3,1,0,1
2005-2006,204796,Ohio State University-Main Campus,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,30,13,17,28,13,15,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
2005-2006,204796,Ohio State University-Main Campus,Multi/interdisciplinary studies.,'30',Bachelor's degree,First major,102,46,56,88,40,48,8,3,5,1,1,0,3,1,2,0,0,0,1,1,0,1,0,1
2005-2006,204796,Ohio State University-Main Campus,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,First major,61,40,21,45,31,14,7,5,2,1,0,1,0,0,0,1,1,0,2,1,1,5,2,3
2005-2006,204796,Ohio State University-Main Campus,Visual and performing arts.,'50',Bachelor's degree,First major,280,105,175,241,90,151,13,5,8,9,2,7,9,3,6,2,2,0,4,2,2,2,1,1
2005-2006,207388,Oklahoma State University-Main Campus,Computer and information sciences and support services.,'11',Bachelor's degree,First major,44,37,7,28,25,3,0,0,0,0,0,0,3,2,1,3,3,0,0,0,0,10,7,3
2005-2006,207388,Oklahoma State University-Main Campus,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,24,8,16,19,5,14,1,1,0,1,0,1,0,0,0,3,2,1,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,History,'54',Bachelor's degree,First major,34,17,17,30,15,15,0,0,0,1,0,1,0,0,0,3,2,1,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,16,6,10,11,4,7,1,0,1,1,0,1,1,1,0,2,1,1,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,1083,618,465,824,470,354,51,23,28,27,17,10,18,12,6,80,43,37,0,0,0,83,53,30
2005-2006,207388,Oklahoma State University-Main Campus,Engineering.,'14',Bachelor's degree,First major,311,241,70,237,185,52,5,4,1,5,4,1,8,5,3,12,10,2,0,0,0,44,33,11
2005-2006,207388,Oklahoma State University-Main Campus,English language and literature/letters.,'23',Bachelor's degree,First major,57,22,35,49,17,32,1,1,0,0,0,0,2,1,1,4,2,2,0,0,0,1,1,0
2005-2006,207388,Oklahoma State University-Main Campus,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,50,19,31,32,13,19,9,3,6,4,1,3,0,0,0,4,1,3,0,0,0,1,1,0
2005-2006,207388,Oklahoma State University-Main Campus,Natural resources and conservation.,'03',Bachelor's degree,First major,33,21,12,19,14,5,1,1,0,0,0,0,0,0,0,5,3,2,0,0,0,8,3,5
2005-2006,207388,Oklahoma State University-Main Campus,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,First major,26,9,17,23,9,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
2005-2006,207388,Oklahoma State University-Main Campus,Physical sciences.,'40',Bachelor's degree,First major,30,23,7,21,17,4,0,0,0,2,1,1,1,1,0,2,1,1,0,0,0,4,3,1
2005-2006,207388,Oklahoma State University-Main Campus,Security and protective services.,'43',Bachelor's degree,First major,58,55,3,53,51,2,0,0,0,1,1,0,1,1,0,3,2,1,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,Social sciences.,'45',Bachelor's degree,First major,188,92,96,142,69,73,14,7,7,4,2,2,3,2,1,19,9,10,0,0,0,6,3,3
2005-2006,207388,Oklahoma State University-Main Campus,Mathematics and statistics.,'27',Bachelor's degree,First major,22,13,9,14,7,7,1,1,0,1,1,0,2,0,2,1,1,0,0,0,0,3,3,0
2005-2006,207388,Oklahoma State University-Main Campus,Military technologies.,'29',Bachelor's degree,First major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,Philosophy and religious studies.,'38',Bachelor's degree,First major,15,13,2,12,11,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,First major,279,146,133,243,131,112,0,0,0,1,0,1,1,1,0,28,10,18,0,0,0,6,4,2
2005-2006,207388,Oklahoma State University-Main Campus,Architecture and related services.,'04',Bachelor's degree,First major,34,23,11,27,18,9,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,4,3,1
2005-2006,207388,Oklahoma State University-Main Campus,Biological and biomedical sciences.,'26',Bachelor's degree,First major,190,90,100,135,69,66,9,2,7,6,2,4,3,2,1,17,7,10,0,0,0,20,8,12
2005-2006,207388,Oklahoma State University-Main Campus,Communication- journalism- and related programs.,'09',Bachelor's degree,First major,155,52,103,124,42,82,7,2,5,1,1,0,0,0,0,17,6,11,0,0,0,6,1,5
2005-2006,207388,Oklahoma State University-Main Campus,Education.,'13',Bachelor's degree,First major,297,99,198,254,80,174,11,7,4,4,1,3,2,1,1,26,10,16,0,0,0,0,0,0
2005-2006,207388,Oklahoma State University-Main Campus,Engineering technologies/technicians.,'15',Bachelor's degree,First major,91,90,1,75,74,1,3,3,0,0,0,0,0,0,0,11,11,0,0,0,0,2,2,0
2005-2006,207388,Oklahoma State University-Main Campus,Family and consumer sciences/human sciences.,'19',Bachelor's degree,First major,298,25,273,257,20,237,4,0,4,8,1,7,2,0,2,22,4,18,0,0,0,5,0,5
2005-2006,207388,Oklahoma State University-Main Campus,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,87,18,69,79,17,62,3,0,3,3,0,3,0,0,0,1,0,1,0,0,0,1,1,0
2005-2006,207388,Oklahoma State University-Main Campus,Psychology.,'42',Bachelor's degree,First major,145,44,101,103,34,69,8,3,5,4,1,3,3,1,2,20,3,17,0,0,0,7,2,5
2005-2006,207388,Oklahoma State University-Main Campus,Transportation and materials moving.,'49',Bachelor's degree,First major,67,61,6,59,54,5,1,1,0,1,1,0,1,1,0,3,2,1,0,0,0,2,2,0
2005-2006,207388,Oklahoma State University-Main Campus,Visual and performing arts.,'50',Bachelor's degree,First major,64,27,37,50,21,29,1,1,0,3,1,2,1,1,0,6,3,3,0,0,0,3,0,3
2005-2006,209542,Oregon State University,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,First major,190,81,109,173,71,102,0,0,0,1,0,1,3,1,2,3,2,1,8,7,1,2,0,2
2005-2006,209542,Oregon State University,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,472,296,176,387,243,144,3,1,2,18,10,8,33,23,10,6,5,1,19,11,8,6,3,3
2005-2006,209542,Oregon State University,Family and consumer sciences/human sciences.,'19',Bachelor's degree,First major,352,21,331,311,19,292,1,0,1,11,1,10,17,0,17,2,0,2,9,1,8,1,0,1
2005-2006,209542,Oregon State University,Biological and biomedical sciences.,'26',Bachelor's degree,First major,224,87,137,172,68,104,1,0,1,7,4,3,28,10,18,1,1,0,14,4,10,1,0,1
2005-2006,209542,Oregon State University,English language and literature/letters.,'23',Bachelor's degree,First major,146,60,86,122,46,76,6,4,2,2,1,1,7,4,3,1,0,1,5,4,1,3,1,2
2005-2006,209542,Oregon State University,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,First major,169,89,80,138,71,67,1,1,0,3,1,2,12,7,5,2,2,0,8,6,2,5,1,4
2005-2006,209542,Oregon State University,Physical sciences.,'40',Bachelor's degree,First major,70,51,19,56,41,15,0,0,0,3,2,1,4,3,1,2,1,1,4,3,1,1,1,0
2005-2006,209542,Oregon State University,Psychology.,'42',Bachelor's degree,First major,108,41,67,81,31,50,0,0,0,9,3,6,6,2,4,0,0,0,11,4,7,1,1,0
2005-2006,209542,Oregon State University,Visual and performing arts.,'50',Bachelor's degree,First major,125,41,84,101,33,68,1,0,1,3,0,3,11,2,9,1,1,0,6,3,3,2,2,0
2005-2006,209542,Oregon State University,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,209542,Oregon State University,Computer and information sciences and support services.,'11',Bachelor's degree,First major,99,83,16,76,66,10,0,0,0,1,1,0,14,12,2,0,0,0,6,4,2,2,0,2
2005-2006,209542,Oregon State University,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,81,20,61,56,13,43,2,1,1,3,1,2,15,4,11,0,0,0,4,1,3,1,0,1
2005-2006,209542,Oregon State University,History,'54',Bachelor's degree,First major,38,24,14,27,20,7,1,0,1,2,0,2,4,2,2,0,0,0,4,2,2,0,0,0
2005-2006,209542,Oregon State University,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,161,57,104,132,48,84,4,4,0,6,1,5,4,0,4,1,0,1,13,3,10,1,1,0
2005-2006,209542,Oregon State University,Education.,'13',Bachelor's degree,First major,38,9,29,35,7,28,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2005-2006,209542,Oregon State University,Engineering.,'14',Bachelor's degree,First major,493,427,66,386,338,48,6,5,1,18,16,2,40,33,7,4,3,1,25,19,6,14,13,1
2005-2006,209542,Oregon State University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,37,8,29,33,6,27,0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0
2005-2006,209542,Oregon State University,Mathematics and statistics.,'27',Bachelor's degree,First major,27,15,12,24,14,10,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2005-2006,209542,Oregon State University,Multi/interdisciplinary studies.,'30',Bachelor's degree,First major,170,64,106,115,41,74,3,1,2,5,1,4,39,17,22,0,0,0,7,3,4,1,1,0
2005-2006,209542,Oregon State University,Natural resources and conservation.,'03',Bachelor's degree,First major,168,93,75,136,76,60,0,0,0,2,0,2,6,4,2,5,1,4,15,11,4,4,1,3
2005-2006,209542,Oregon State University,Philosophy and religious studies.,'38',Bachelor's degree,First major,25,18,7,18,14,4,0,0,0,1,0,1,1,1,0,0,0,0,5,3,2,0,0,0
2005-2006,209542,Oregon State University,Social sciences.,'45',Bachelor's degree,First major,157,75,82,119,54,65,1,0,1,10,4,6,7,5,2,4,1,3,13,10,3,3,1,2
2005-2006,186380,Rutgers University-New Brunswick,Engineering.,'14',Bachelor's degree,First major,509,410,99,248,214,34,19,15,4,31,22,9,164,121,43,0,0,0,20,16,4,27,22,5
2005-2006,186380,Rutgers University-New Brunswick,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,118,34,84,58,21,37,9,2,7,34,7,27,7,0,7,0,0,0,5,1,4,5,3,2
2005-2006,186380,Rutgers University-New Brunswick,Natural resources and conservation.,'03',Bachelor's degree,First major,82,27,55,61,23,38,5,0,5,5,2,3,7,1,6,1,0,1,3,1,2,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,Philosophy and religious studies.,'38',Bachelor's degree,First major,90,54,36,61,39,22,5,4,1,6,3,3,10,5,5,0,0,0,8,3,5,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,Psychology.,'42',Bachelor's degree,First major,523,130,393,330,82,248,39,11,28,47,13,34,81,21,60,1,0,1,15,1,14,10,2,8
2005-2006,186380,Rutgers University-New Brunswick,Public administration and social service professions.,'44',Bachelor's degree,First major,13,1,12,10,1,9,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,Architecture and related services.,'04',Bachelor's degree,First major,32,20,12,26,17,9,1,0,1,3,2,1,0,0,0,0,0,0,1,1,0,1,0,1
2005-2006,186380,Rutgers University-New Brunswick,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,113,32,81,66,18,48,19,8,11,11,2,9,10,3,7,1,0,1,6,1,5,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,Education.,'13',Bachelor's degree,First major,155,60,95,108,40,68,15,3,12,14,10,4,15,5,10,1,1,0,2,1,1,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,English language and literature/letters.,'23',Bachelor's degree,First major,264,91,173,190,80,110,23,2,21,8,1,7,29,6,23,0,0,0,12,2,10,2,0,2
2005-2006,186380,Rutgers University-New Brunswick,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,54,4,50,7,2,5,21,2,19,2,0,2,21,0,21,0,0,0,3,0,3,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,History,'54',Bachelor's degree,First major,265,142,123,201,112,89,17,8,9,12,7,5,23,9,14,2,2,0,8,4,4,2,0,2
2005-2006,186380,Rutgers University-New Brunswick,Multi/interdisciplinary studies.,'30',Bachelor's degree,First major,44,5,39,30,3,27,3,1,2,3,0,3,7,1,6,0,0,0,1,0,1,0,0,0
2005-2006,186380,Rutgers University-New Brunswick,Physical sciences.,'40',Bachelor's degree,First major,78,52,26,53,40,13,4,3,1,2,2,0,13,4,9,1,1,0,2,1,1,3,1,2
2005-2006,186380,Rutgers University-New Brunswick,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,First major,95,25,70,78,20,58,2,0,2,4,2,2,8,2,6,1,0,1,0,0,0,2,1,1
2005-2006,186380,Rutgers University-New Brunswick,Biological and biomedical sciences.,'26',Bachelor's degree,First major,504,217,287,214,110,104,45,13,32,29,4,25,173,72,101,1,0,1,27,15,12,15,3,12
2005-2006,186380,Rutgers University-New Brunswick,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,430,204,226,211,110,101,28,9,19,22,6,16,124,55,69,0,0,0,21,12,9,24,12,12
2005-2006,186380,Rutgers University-New Brunswick,Communication- journalism- and related programs.,'09',Bachelor's degree,First major,551,180,371,351,132,219,52,11,41,48,12,36,65,17,48,1,1,0,25,6,19,9,1,8
2005-2006,186380,Rutgers University-New Brunswick,Social sciences.,'45',Bachelor's degree,First major,1096,609,487,606,345,261,83,34,49,93,46,47,235,139,96,4,4,0,49,29,20,26,12,14
2005-2006,186380,Rutgers University-New Brunswick,Computer and information sciences and support services.,'11',Bachelor's degree,First major,194,162,32,92,86,6,9,4,5,7,4,3,65,56,9,0,0,0,10,7,3,11,5,6
2005-2006,186380,Rutgers University-New Brunswick,Mathematics and statistics.,'27',Bachelor's degree,First major,91,51,40,55,29,26,6,2,4,3,3,0,18,12,6,0,0,0,5,3,2,4,2,2
2005-2006,186380,Rutgers University-New Brunswick,Security and protective services.,'43',Bachelor's degree,First major,237,146,91,134,88,46,30,16,14,29,10,19,31,21,10,1,1,0,11,9,2,1,1,0
2005-2006,186380,Rutgers University-New Brunswick,Visual and performing arts.,'50',Bachelor's degree,First major,236,78,158,173,59,114,17,5,12,8,3,5,25,8,17,1,0,1,11,3,8,1,0,1
2005-2006,122755,San Jose State University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,26,12,14,9,4,5,0,0,0,6,3,3,6,4,2,0,0,0,4,0,4,1,1,0
2005-2006,122755,San Jose State University,History,'54',Bachelor's degree,First major,40,31,9,21,17,4,0,0,0,6,4,2,2,2,0,0,0,0,11,8,3,0,0,0
2005-2006,122755,San Jose State University,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,First major,91,15,76,38,8,30,1,0,1,16,2,14,16,3,13,0,0,0,19,2,17,1,0,1
