Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2005-2006,142115,Boise State University,Philosophy and religious studies.,'38',Bachelor's degree,First major,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,142115,Boise State University,Public administration and social service professions.,'44',Bachelor's degree,First major,42,5,37,32,3,29,0,0,0,3,0,3,1,0,1,0,0,0,5,1,4,1,1,0
2005-2006,142115,Boise State University,Visual and performing arts.,'50',Bachelor's degree,First major,87,30,57,72,24,48,1,0,1,3,3,0,2,0,2,0,0,0,7,3,4,2,0,2
2005-2006,142115,Boise State University,History,'54',Bachelor's degree,First major,27,15,12,23,14,9,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
2005-2006,142115,Boise State University,Security and protective services.,'43',Bachelor's degree,First major,68,28,40,52,21,31,2,2,0,9,2,7,0,0,0,1,0,1,4,3,1,0,0,0
2005-2006,142115,Boise State University,Education.,'13',Bachelor's degree,First major,188,48,140,172,44,128,1,0,1,7,4,3,2,0,2,1,0,1,4,0,4,1,0,1
2005-2006,142115,Boise State University,Engineering.,'14',Bachelor's degree,First major,79,72,7,62,55,7,0,0,0,3,3,0,3,3,0,1,1,0,7,7,0,3,3,0
2005-2006,142115,Boise State University,Mathematics and statistics.,'27',Bachelor's degree,First major,14,11,3,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2005-2006,142115,Boise State University,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,First major,26,9,17,21,9,12,1,0,1,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0
2005-2006,142115,Boise State University,Physical sciences.,'40',Bachelor's degree,First major,29,18,11,26,17,9,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2005-2006,142115,Boise State University,Psychology.,'42',Bachelor's degree,First major,89,22,67,79,19,60,1,0,1,1,1,0,3,0,3,1,0,1,4,2,2,0,0,0
2005-2006,217882,Clemson University,Biological and biomedical sciences.,'26',Bachelor's degree,First major,147,72,75,117,57,60,7,4,3,3,3,0,8,3,5,0,0,0,10,4,6,2,1,1
2005-2006,217882,Clemson University,Computer and information sciences and support services.,'11',Bachelor's degree,First major,60,56,4,46,44,2,4,3,1,1,1,0,3,3,0,0,0,0,6,5,1,0,0,0
2005-2006,217882,Clemson University,Education.,'13',Bachelor's degree,First major,274,71,203,235,53,182,25,15,10,2,0,2,1,0,1,1,0,1,10,3,7,0,0,0
2005-2006,217882,Clemson University,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,217,31,186,178,26,152,23,3,20,2,0,2,2,0,2,1,0,1,11,2,9,0,0,0
2005-2006,217882,Clemson University,History,'54',Bachelor's degree,First major,63,41,22,55,35,20,3,2,1,1,0,1,0,0,0,0,0,0,4,4,0,0,0,0
2005-2006,217882,Clemson University,Mathematics and statistics.,'27',Bachelor's degree,First major,26,14,12,20,10,10,2,2,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0
2005-2006,217882,Clemson University,Science technologies/technicians.,'41',Bachelor's degree,First major,34,23,11,29,19,10,3,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2005-2006,217882,Clemson University,Social sciences.,'45',Bachelor's degree,First major,182,108,74,149,90,59,17,9,8,1,1,0,1,0,1,2,2,0,12,6,6,0,0,0
2005-2006,217882,Clemson University,Visual and performing arts.,'50',Bachelor's degree,First major,103,34,69,89,32,57,3,2,1,0,0,0,1,0,1,0,0,0,10,0,10,0,0,0
2005-2006,217882,Clemson University,Architecture and related services.,'04',Bachelor's degree,First major,83,49,34,70,40,30,5,4,1,1,1,0,0,0,0,1,1,0,5,3,2,1,0,1
2005-2006,217882,Clemson University,Business- management- marketing- and related support services.,'52',Bachelor's degree,First major,591,374,217,516,330,186,26,15,11,2,1,1,10,5,5,2,2,0,31,19,12,4,2,2
2005-2006,217882,Clemson University,Engineering.,'14',Bachelor's degree,First major,476,375,101,384,315,69,39,21,18,4,4,0,7,4,3,0,0,0,33,26,7,9,5,4
2005-2006,217882,Clemson University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,65,23,42,52,20,32,3,2,1,3,1,2,2,0,2,0,0,0,4,0,4,1,0,1
2005-2006,217882,Clemson University,Parks- recreation- leisure- and fitness studies.,'31',Bachelor's degree,First major,107,57,50,93,48,45,10,6,4,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1
2005-2006,217882,Clemson University,English language and literature/letters.,'23',Bachelor's degree,First major,139,34,105,121,28,93,6,1,5,2,1,1,2,2,0,0,0,0,7,2,5,1,0,1
2005-2006,217882,Clemson University,Natural resources and conservation.,'03',Bachelor's degree,First major,38,28,10,35,25,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
2005-2006,217882,Clemson University,Philosophy and religious studies.,'38',Bachelor's degree,First major,9,7,2,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2005-2006,217882,Clemson University,Psychology.,'42',Bachelor's degree,First major,134,37,97,114,32,82,4,1,3,1,0,1,2,1,1,0,0,0,13,3,10,0,0,0
2005-2006,217882,Clemson University,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,First major,149,66,83,136,59,77,3,1,2,0,0,0,0,0,0,0,0,0,10,6,4,0,0,0
2005-2006,217882,Clemson University,Physical sciences.,'40',Bachelor's degree,First major,60,33,27,51,30,21,3,2,1,0,0,0,2,0,2,0,0,0,4,1,3,0,0,0
2005-2006,198419,Duke University,Multi/interdisciplinary studies.,'30',Bachelor's degree,First major,10,4,6,6,2,4,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,0,0,0
2005-2006,198419,Duke University,Public administration and social service professions.,'44',Bachelor's degree,First major,134,55,79,80,36,44,21,8,13,9,4,5,12,4,8,0,0,0,11,2,9,1,1,0
2005-2006,198419,Duke University,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,51,9,42,45,8,37,3,0,3,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0
2005-2006,198419,Duke University,Natural resources and conservation.,'03',Bachelor's degree,First major,12,5,7,9,3,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
2005-2006,198419,Duke University,Philosophy and religious studies.,'38',Bachelor's degree,First major,36,22,14,27,17,10,3,3,0,1,1,0,3,1,2,0,0,0,2,0,2,0,0,0
2005-2006,198419,Duke University,Physical sciences.,'40',Bachelor's degree,First major,54,23,31,32,15,17,5,0,5,2,2,0,9,4,5,0,0,0,4,1,3,2,1,1
2005-2006,198419,Duke University,Psychology.,'42',Bachelor's degree,First major,161,35,126,93,14,79,29,9,20,8,5,3,19,6,13,1,0,1,6,1,5,5,0,5
2005-2006,198419,Duke University,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,First major,30,12,18,12,3,9,9,5,4,0,0,0,8,3,5,0,0,0,1,1,0,0,0,0
2005-2006,198419,Duke University,Biological and biomedical sciences.,'26',Bachelor's degree,First major,126,63,63,70,37,33,3,1,2,7,5,2,31,14,17,2,0,2,9,5,4,4,1,3
2005-2006,198419,Duke University,Computer and information sciences and support services.,'11',Bachelor's degree,First major,14,12,2,7,7,0,0,0,0,2,2,0,1,1,0,0,0,0,2,1,1,2,1,1
2005-2006,198419,Duke University,Social sciences.,'45',Bachelor's degree,First major,450,266,184,247,165,82,48,21,27,52,28,24,71,33,38,2,1,1,24,14,10,6,4,2
2005-2006,198419,Duke University,Engineering.,'14',Bachelor's degree,First major,235,177,58,139,104,35,10,6,4,10,7,3,60,46,14,1,0,1,10,10,0,5,4,1
2005-2006,198419,Duke University,English language and literature/letters.,'23',Bachelor's degree,First major,91,28,63,58,19,39,11,1,10,6,2,4,6,2,4,0,0,0,7,3,4,3,1,2
