Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1990-1991,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,'01.0000',29,25,4,26,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1990-1991,100858,Auburn University,Bachelor's degree,Agricultural Sciences,'02.0000',83,62,21,81,62,19,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Allied Health,'17.0000',13,1,12,11,0,11,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Architecture and Related Programs,'04.0000',84,56,28,82,54,28,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',114,59,55,113,58,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Business and Management,'06.0000',1165,683,482,1128,667,461,28,12,16,2,0,2,4,2,2,1,1,0,0,0,0,2,1,1
1990-1991,100858,Auburn University,Bachelor's degree,Communications,'09.0000',147,37,110,141,37,104,4,0,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,'11.0000',13,10,3,12,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Conservation and Renew. Natural Resources,'03.0000',47,40,7,47,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Education,'13.0000',382,71,311,368,66,302,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Engineering,'14.0000',702,603,99,667,575,92,18,13,5,3,3,0,9,7,2,2,2,0,0,0,0,3,3,0
1990-1991,100858,Auburn University,Bachelor's degree,English Language and Literature/Letters,'23.0000',111,51,60,107,51,56,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',43,8,35,38,6,32,2,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Health Sciences,'18.0000',193,55,138,184,55,129,6,0,6,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Home Economics,'19.0000',88,13,75,85,10,75,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Marketing Opers./Market. and Distribution,'08.0000',34,0,34,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Mathematics,'27.0000',56,35,21,49,28,21,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2,0
1990-1991,100858,Auburn University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',8,3,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Philosophy and Religion,'38.0000',11,9,2,10,8,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Physical Sciences,'40.0000',25,21,4,25,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Protective Services,'43.0000',39,28,11,35,26,9,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Psychology,'42.0000',133,39,94,129,38,91,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Public Administration and Services,'44.0000',37,13,24,35,12,23,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Science Technologies,'41.0000',11,4,7,9,4,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Social Sciences and History,'45.0000',203,140,63,194,134,60,8,5,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1990-1991,100858,Auburn University,Bachelor's degree,Visual and Performing Arts,'50.0000',108,69,39,102,66,36,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,2,1,1
1990-1991,142115,Boise State University,Bachelor's degree,Allied Health,'17.0000',13,7,6,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,142115,Boise State University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,142115,Boise State University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',16,8,8,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,142115,Boise State University,Bachelor's degree,Business and Management,'06.0000',263,151,112,252,146,106,0,0,0,5,1,4,3,1,2,0,0,0,0,0,0,3,3,0
1990-1991,142115,Boise State University,Bachelor's degree,Communications,'09.0000',60,21,39,57,20,37,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0
1990-1991,142115,Boise State University,Bachelor's degree,Computer and Information Sciences,'11.0000',20,13,7,17,11,6,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
1990-1991,142115,Boise State University,Bachelor's degree,Education,'13.0000',165,30,135,154,29,125,1,1,0,7,0,7,1,0,1,2,0,2,0,0,0,0,0,0
1990-1991,142115,Boise State University,Bachelor's degree,Engineering,'14.0000',5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-1991,142115,Boise State University,Bachelor's degree,English Language and Literature/Letters,'23.0000',18,4,14,18,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
