"","Year","Sport","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"385","1998-1999","All other sports combined","OKSTATE",32,45,23,41,3,0,1,2
"386","1998-1999","Baseball","OKSTATE",29,0,27,0,1,0,1,0
"387","1998-1999","Basketball","OKSTATE",10,18,4,9,6,6,0,1
"388","1998-1999","Cross-country and/or track","OKSTATE",10,23,9,9,0,11,0,0
"389","1998-1999","Football","OKSTATE",80,0,27,0,51,0,2,0
"390","1998-1999","All other sports combined","ORE",37,72,31,54,0,2,0,0
"391","1998-1999","Basketball","ORE",13,14,2,8,7,3,0,0
"392","1998-1999","Cross-country and/or track","ORE",26,28,20,22,1,3,0,0
"393","1998-1999","Football","ORE",86,0,38,0,32,0,6,0
"394","1998-1999","All other sports combined","ORE.ST",57,101,45,73,1,1,1,4
"395","1998-1999","Baseball","ORE.ST",36,0,34,0,0,0,0,0
"396","1998-1999","Basketball","ORE.ST",10,15,4,9,2,3,0,0
"397","1998-1999","Football","ORE.ST",85,0,35,0,31,0,4,0
"398","1998-1999","All other sports combined","OSU",102,152,1,0,6,2,77,122
"399","1998-1999","Baseball","OSU",24,0,0,0,1,0,23,0
"400","1998-1999","Basketball","OSU",12,14,0,0,9,5,1,8
"401","1998-1999","Cross-country and/or track","OSU",9,14,0,0,3,8,4,5
"402","1998-1999","Football","OSU",82,0,0,0,46,0,34,0
"403","1998-1999","All other sports combined","SCAR",50,74,33,61,0,3,0,0
"404","1998-1999","Baseball","SCAR",29,0,25,0,2,0,2,0
"405","1998-1999","Basketball","SCAR",13,10,2,2,11,8,0,0
"406","1998-1999","Cross-country and/or track","SCAR",15,24,4,9,9,15,0,0
"407","1998-1999","Football","SCAR",81,0,20,0,60,0,1,0
"408","1998-1999","All other sports combined","SJ.ST",31,117,17,76,1,4,10,11
"409","1998-1999","Baseball","SJ.ST",25,0,21,0,0,0,2,0
"410","1998-1999","Basketball","SJ.ST",13,14,3,4,8,7,0,0
"411","1998-1999","Cross-country and/or track","SJ.ST",4,16,1,9,0,0,0,3
"412","1998-1999","Football","SJ.ST",69,0,29,0,22,0,7,0
"413","1998-1999","All other sports combined","SMU",43,59,27,54,2,0,1,0
"414","1998-1999","Basketball","SMU",12,15,4,9,8,6,0,0
"415","1998-1999","Cross-country and/or track","SMU",14,12,1,0,2,2,0,0
"416","1998-1999","Football","SMU",87,0,42,0,40,0,3,0
"417","1998-1999","All other sports combined","STAN",83,125,60,99,2,5,6,8
"418","1998-1999","Baseball","STAN",23,0,19,0,0,0,1,0
"419","1998-1999","Basketball","STAN",13,13,5,5,7,6,1,1
"420","1998-1999","Cross-country and/or track","STAN",16,24,13,16,0,6,1,1
"421","1998-1999","Football","STAN",82,0,43,0,33,0,2,0
"422","1998-1999","All other sports combined","TAM",46,97,37,80,1,3,1,3
"423","1998-1999","Baseball","TAM",35,0,29,0,2,0,2,0
"424","1998-1999","Basketball","TAM",13,14,3,6,9,8,0,0
"425","1998-1999","Cross-country and/or track","TAM",30,30,21,19,6,7,1,1
"426","1998-1999","Football","TAM",91,0,31,0,53,0,2,0
"427","1998-1999","All other sports combined","UGA",38,97,30,87,1,1,0,2
"428","1998-1999","Baseball","UGA",32,0,30,0,2,0,0,0
"429","1998-1999","Basketball","UGA",12,12,3,4,9,6,0,0
"430","1998-1999","Cross-country and/or track","UGA",13,21,4,6,6,11,0,0
"431","1998-1999","Football","UGA",77,0,28,0,49,0,0,0
"432","1998-1999","All other sports combined","UM",81,145,68,122,1,3,1,4
"433","1998-1999","Baseball","UM",24,0,22,0,1,0,1,0
"434","1998-1999","Basketball","UM",10,16,3,5,7,8,0,1
"435","1998-1999","Cross-country and/or track","UM",22,29,10,15,7,9,0,0
"436","1998-1999","Football","UM",91,0,51,0,38,0,0,0
"437","1998-1999","All other sports combined","UNC",102,140,95,133,3,2,1,1
"438","1998-1999","Baseball","UNC",21,0,21,0,0,0,0,0
"439","1998-1999","Basketball","UNC",16,12,5,4,7,8,2,0
"440","1998-1999","Cross-country and/or track","UNC",22,22,13,11,7,11,0,0
"441","1998-1999","Football","UNC",77,0,21,0,55,0,0,0
"442","1998-1999","All other sports combined","UOFM",8,42,3,22,0,3,2,3
"443","1998-1999","Baseball","UOFM",23,0,14,0,1,0,7,0
"444","1998-1999","Basketball","UOFM",8,8,0,3,7,3,0,0
"445","1998-1999","Cross-country and/or track","UOFM",9,20,4,3,1,11,2,2
"446","1998-1999","Football","UOFM",60,0,18,0,37,0,1,0
"447","1998-1999","All other sports combined","USC",38,83,22,58,1,2,0,1
"448","1998-1999","Baseball","USC",15,0,13,0,0,0,1,0
"449","1998-1999","Basketball","USC",13,15,3,4,9,8,1,0
"450","1998-1999","Cross-country and/or track","USC",18,17,6,2,5,8,0,0
"451","1998-1999","Football","USC",87,0,34,0,43,0,3,0
"452","1998-1999","All other sports combined","UT",60,133,54,106,1,6,0,7
"453","1998-1999","Baseball","UT",27,0,26,0,0,0,1,0
"454","1998-1999","Basketball","UT",12,16,2,6,8,10,0,0
"455","1998-1999","Cross-country and/or track","UT",34,32,17,14,10,11,2,4
"456","1998-1999","Football","UT",84,0,32,0,50,0,2,0
"457","1998-1999","All other sports combined","UTA.ST",16,65,15,59,0,0,0,4
"458","1998-1999","Basketball","UTA.ST",13,0,7,0,5,0,0,0
"459","1998-1999","Cross-country and/or track","UTA.ST",28,30,24,27,1,0,1,0
"460","1998-1999","Football","UTA.ST",77,0,42,0,22,0,3,0
"461","1998-1999","All other sports combined","VANDY",34,50,30,40,0,0,1,1
"462","1998-1999","Baseball","VANDY",18,0,17,0,0,0,0,0
"463","1998-1999","Basketball","VANDY",12,12,3,7,7,4,0,0
"464","1998-1999","Cross-country and/or track","VANDY",0,23,0,14,0,4,0,0
"465","1998-1999","Football","VANDY",90,0,50,0,39,0,0,0
"466","1999-2000","All other sports combined","AUB",53,106,40,91,1,4,1,1
"467","1999-2000","Baseball","AUB",26,0,26,0,0,0,0,0
"468","1999-2000","Basketball","AUB",13,16,3,1,9,14,0,0
"469","1999-2000","Cross-country and/or track","AUB",23,21,9,11,7,6,1,0
"470","1999-2000","Football","AUB",86,0,36,0,50,0,0,0
"471","1999-2000","All other sports combined","BAMA",33,89,13,66,0,4,2,5
"472","1999-2000","Baseball","BAMA",26,0,25,0,1,0,0,0
"473","1999-2000","Basketball","BAMA",12,14,3,5,9,8,0,0
"474","1999-2000","Cross-country and/or track","BAMA",20,25,5,11,9,7,0,0
"475","1999-2000","Football","BAMA",84,0,25,0,59,0,0,0
"476","1999-2000","All other sports combined","BOS.ST",40,59,31,47,1,0,0,1
"477","1999-2000","Basketball","BOS.ST",13,16,4,10,6,5,0,1
"478","1999-2000","Cross-country and/or track","BOS.ST",24,25,18,21,1,1,0,1
"479","1999-2000","Football","BOS.ST",96,0,61,0,30,0,2,0
"480","1999-2000","All other sports combined","CLEM",67,71,46,56,4,2,3,1
"481","1999-2000","Baseball","CLEM",36,0,34,0,1,0,0,0
"482","1999-2000","Basketball","CLEM",13,16,4,4,5,11,0,0
"483","1999-2000","Cross-country and/or track","CLEM",29,28,16,13,10,10,0,0
"484","1999-2000","Football","CLEM",84,0,29,0,55,0,0,0
"485","1999-2000","All other sports combined","DUKE",53,102,40,87,5,5,2,0
"486","1999-2000","Baseball","DUKE",17,0,15,0,1,0,1,0
"487","1999-2000","Basketball","DUKE",10,13,3,7,5,6,0,0
"488","1999-2000","Football","DUKE",78,0,44,0,33,0,0,0
"489","1999-2000","All other sports combined","FLA",48,99,34,82,1,7,3,3
"490","1999-2000","Baseball","FLA",37,0,28,0,1,0,5,0
"491","1999-2000","Basketball","FLA",11,15,4,2,7,11,0,0
"492","1999-2000","Cross-country and/or track","FLA",38,27,26,13,8,10,2,0
"493","1999-2000","Football","FLA",83,0,25,0,56,0,0,0
"494","1999-2000","All other sports combined","FSU",37,79,24,53,3,7,1,7
"495","1999-2000","Baseball","FSU",27,0,27,0,0,0,0,0
"496","1999-2000","Basketball","FSU",10,11,3,7,7,4,0,0
"497","1999-2000","Cross-country and/or track","FSU",25,27,16,11,7,10,0,0
"498","1999-2000","Football","FSU",69,0,9,0,56,0,1,0
"499","1999-2000","All other sports combined","GTOWN",44,47,41,38,1,2,0,3
"500","1999-2000","Baseball","GTOWN",2,0,2,0,0,0,0,0
"501","1999-2000","Basketball","GTOWN",16,14,4,4,10,7,0,0
"502","1999-2000","Cross-country and/or track","GTOWN",18,22,12,15,4,5,1,1
"503","1999-2000","All other sports combined","KAN.ST",9,56,9,54,0,0,0,0
"504","1999-2000","Baseball","KAN.ST",31,0,29,0,2,0,0,0
"505","1999-2000","Basketball","KAN.ST",13,14,6,10,7,3,0,0
"506","1999-2000","Cross-country and/or track","KAN.ST",20,32,13,19,5,13,2,0
"507","1999-2000","Football","KAN.ST",83,0,33,0,46,0,0,0
"508","1999-2000","All other sports combined","LOUIS",51,106,32,78,0,3,1,3
"509","1999-2000","Baseball","LOUIS",30,0,20,0,1,0,6,0
"510","1999-2000","Basketball","LOUIS",11,19,2,11,9,8,0,0
"511","1999-2000","Cross-country and/or track","LOUIS",16,22,13,13,3,7,0,1
"512","1999-2000","Football","LOUIS",76,0,22,0,51,0,1,0
"513","1999-2000","All other sports combined","LSU",39,97,26,76,1,3,2,1
"514","1999-2000","Baseball","LSU",31,0,29,0,2,0,0,0
"515","1999-2000","Basketball","LSU",10,15,2,2,8,12,0,0
"516","1999-2000","Cross-country and/or track","LSU",20,22,5,4,7,12,0,0
"517","1999-2000","Football","LSU",85,0,30,0,54,0,0,0
"518","1999-2000","All other sports combined","ND",74,116,58,106,1,2,3,4
"519","1999-2000","Baseball","ND",28,0,27,0,0,0,1,0
"520","1999-2000","Basketball","ND",13,10,7,4,4,5,0,1
"521","1999-2000","Cross-country and/or track","ND",20,15,15,8,3,4,1,0
"522","1999-2000","Football","ND",85,0,36,0,46,0,0,0
"523","1999-2000","All other sports combined","NEB",65,127,38,97,2,1,3,4
"524","1999-2000","Baseball","NEB",32,0,28,0,1,0,0,0
"525","1999-2000","Basketball","NEB",12,19,3,11,9,8,0,0
"526","1999-2000","Cross-country and/or track","NEB",39,31,28,24,10,1,0,0
"527","1999-2000","Football","NEB",100,0,57,0,36,0,1,0
"528","1999-2000","All other sports combined","NWST",53,110,42,86,2,6,1,4
"529","1999-2000","Baseball","NWST",25,0,24,0,0,0,1,0
"530","1999-2000","Basketball","NWST",13,15,6,11,3,3,0,1
"531","1999-2000","Cross-country and/or track","NWST",0,5,0,5,0,0,0,0
"532","1999-2000","Football","NWST",71,0,35,0,28,0,3,0
"533","1999-2000","All other sports combined","OK",58,86,42,59,5,7,2,5
"534","1999-2000","Baseball","OK",37,0,29,0,1,0,3,0
"535","1999-2000","Basketball","OK",12,15,2,5,7,5,0,0
"536","1999-2000","Cross-country and/or track","OK",26,29,10,11,9,13,1,0
"537","1999-2000","Football","OK",80,0,26,0,49,0,2,0
"538","1999-2000","All other sports combined","OKSTATE",50,106,29,80,5,1,1,5
"539","1999-2000","Baseball","OKSTATE",32,0,30,0,2,0,0,0
"540","1999-2000","Basketball","OKSTATE",14,21,3,12,9,7,0,0
"541","1999-2000","Cross-country and/or track","OKSTATE",23,32,11,14,1,12,1,0
"542","1999-2000","Football","OKSTATE",99,0,35,0,59,0,2,0
"543","1999-2000","All other sports combined","ORE",39,66,31,52,1,1,0,0
"544","1999-2000","Basketball","ORE",12,16,3,9,6,4,0,0
"545","1999-2000","Cross-country and/or track","ORE",26,24,18,19,4,0,0,1
"546","1999-2000","Football","ORE",78,0,34,0,31,0,4,0
"547","1999-2000","All other sports combined","ORE.ST",64,106,51,79,1,0,2,5
"548","1999-2000","Baseball","ORE.ST",42,0,36,0,0,0,1,0
"549","1999-2000","Basketball","ORE.ST",13,17,5,8,5,4,0,0
"550","1999-2000","Football","ORE.ST",92,0,37,0,34,0,2,0
"551","1999-2000","All other sports combined","OSU",131,193,98,152,6,5,6,6
"552","1999-2000","Baseball","OSU",30,0,29,0,1,0,0,0
"553","1999-2000","Basketball","OSU",15,15,2,7,11,7,0,0
"554","1999-2000","Cross-country and/or track","OSU",17,21,8,7,4,10,1,0
"555","1999-2000","Football","OSU",82,0,36,0,43,0,1,0
"556","1999-2000","All other sports combined","RUT",97,149,85,126,1,9,3,1
"557","1999-2000","Baseball","RUT",28,0,24,0,1,0,3,0
"558","1999-2000","Basketball","RUT",14,16,3,2,7,11,1,0
"559","1999-2000","Cross-country and/or track","RUT",28,31,16,15,8,12,1,2
"560","1999-2000","Football","RUT",89,0,41,0,41,0,1,0
"561","1999-2000","All other sports combined","SCAR",48,74,32,61,1,4,0,1
"562","1999-2000","Baseball","SCAR",30,0,25,0,1,0,3,0
"563","1999-2000","Basketball","SCAR",12,14,3,2,8,9,0,0
"564","1999-2000","Cross-country and/or track","SCAR",14,25,3,8,9,16,0,0
"565","1999-2000","Football","SCAR",87,0,25,0,61,0,1,0
"566","1999-2000","All other sports combined","SJ.ST",25,117,12,72,1,4,9,17
"567","1999-2000","Baseball","SJ.ST",25,0,19,0,0,0,4,0
"568","1999-2000","Basketball","SJ.ST",9,11,2,1,5,7,0,1
"569","1999-2000","Cross-country and/or track","SJ.ST",6,12,2,6,1,0,0,3
"570","1999-2000","Football","SJ.ST",69,0,22,0,27,0,9,0
"571","1999-2000","All other sports combined","SMU",44,57,29,51,1,0,3,0
"572","1999-2000","Basketball","SMU",13,13,3,6,10,7,0,0
"573","1999-2000","Cross-country and/or track","SMU",14,16,1,0,1,3,0,1
"574","1999-2000","Football","SMU",75,0,45,0,28,0,2,0
"575","1999-2000","All other sports combined","STAN",92,134,65,109,8,4,6,6
"576","1999-2000","Baseball","STAN",22,0,18,0,0,0,1,0
"577","1999-2000","Basketball","STAN",13,12,5,5,7,5,1,1
"578","1999-2000","Cross-country and/or track","STAN",18,20,16,13,0,4,1,2
"579","1999-2000","Football","STAN",80,0,39,0,36,0,0,0
"580","1999-2000","All other sports combined","TAM",42,106,35,83,1,3,2,5
"581","1999-2000","Baseball","TAM",40,0,35,0,0,0,3,0
"582","1999-2000","Basketball","TAM",17,16,3,8,12,8,0,0
"583","1999-2000","Cross-country and/or track","TAM",24,31,15,20,6,7,1,1
"584","1999-2000","Football","TAM",91,0,29,0,57,0,1,0
"585","1999-2000","All other sports combined","UGA",37,95,31,82,1,1,0,5
"586","1999-2000","Baseball","UGA",32,0,31,0,1,0,0,0
"587","1999-2000","Basketball","UGA",11,14,2,5,9,8,0,0
"588","1999-2000","Cross-country and/or track","UGA",20,23,5,10,11,11,0,0
"589","1999-2000","Football","UGA",79,0,26,0,53,0,0,0
"590","1999-2000","All other sports combined","UM",87,134,72,110,1,4,4,1
"591","1999-2000","Baseball","UM",24,0,20,0,0,0,1,0
"592","1999-2000","Basketball","UM",13,13,5,5,8,5,0,1
"593","1999-2000","Cross-country and/or track","UM",34,30,17,15,5,10,0,0
"594","1999-2000","Football","UM",91,0,51,0,36,0,0,0
"595","1999-2000","All other sports combined","UNC",106,138,95,127,2,3,3,2
"596","1999-2000","Baseball","UNC",21,0,21,0,0,0,0,0
"597","1999-2000","Basketball","UNC",12,13,4,4,6,9,2,0
"598","1999-2000","Cross-country and/or track","UNC",17,17,12,7,5,10,0,0
"599","1999-2000","Football","UNC",76,0,22,0,54,0,0,0
"600","1999-2000","All other sports combined","UOFM",11,56,2,35,1,1,4,7
"601","1999-2000","Baseball","UOFM",20,0,11,0,2,0,6,0
"602","1999-2000","Basketball","UOFM",10,13,0,5,9,4,0,1
"603","1999-2000","Cross-country and/or track","UOFM",8,19,4,3,1,13,1,0
"604","1999-2000","Football","UOFM",78,0,23,0,47,0,2,0
"605","1999-2000","All other sports combined","USC",36,90,23,61,0,3,0,2
"606","1999-2000","Baseball","USC",16,0,11,0,0,0,3,0
"607","1999-2000","Basketball","USC",12,13,4,4,7,9,0,0
"608","1999-2000","Cross-country and/or track","USC",19,15,3,1,7,7,0,1
"609","1999-2000","Football","USC",90,0,34,0,43,0,4,0
"610","1999-2000","All other sports combined","UT",65,136,56,113,1,4,1,8
"611","1999-2000","Baseball","UT",36,0,33,0,1,0,1,0
"612","1999-2000","Basketball","UT",14,17,3,9,8,8,0,0
"613","1999-2000","Cross-country and/or track","UT",44,29,25,10,12,13,3,4
"614","1999-2000","Football","UT",92,0,28,0,63,0,1,0
"615","1999-2000","All other sports combined","UTA.ST",18,67,16,61,0,0,0,3
"616","1999-2000","Basketball","UTA.ST",13,0,6,0,5,0,0,0
"617","1999-2000","Cross-country and/or track","UTA.ST",22,32,18,27,1,0,1,1
"618","1999-2000","Football","UTA.ST",80,0,45,0,19,0,4,0
"619","1999-2000","All other sports combined","VANDY",35,46,29,38,0,0,2,2
"620","1999-2000","Baseball","VANDY",17,0,15,0,0,0,0,0
"621","1999-2000","Basketball","VANDY",10,13,4,6,5,5,0,0
"622","1999-2000","Cross-country and/or track","VANDY",0,22,0,12,0,4,0,0
"623","1999-2000","Football","VANDY",89,0,60,0,27,0,0,0
"624","2000-2001","All other sports combined","AUB",44,101,34,86,1,3,1,1
"625","2000-2001","Baseball","AUB",24,0,20,0,2,0,2,0
"626","2000-2001","Basketball","AUB",11,15,3,3,6,11,0,0
"627","2000-2001","Cross-country and/or track","AUB",16,23,5,11,5,7,1,0
"628","2000-2001","Football","AUB",88,0,34,0,52,0,0,0
"629","2000-2001","All other sports combined","BAMA",38,96,15,70,0,4,2,5
"630","2000-2001","Baseball","BAMA",31,0,29,0,1,0,0,0
"631","2000-2001","Basketball","BAMA",13,16,3,5,10,10,0,0
"632","2000-2001","Cross-country and/or track","BAMA",14,22,2,9,6,5,0,0
"633","2000-2001","Football","BAMA",86,0,25,0,61,0,0,0
"634","2000-2001","All other sports combined","BOS.ST",40,64,26,46,1,0,0,1
"635","2000-2001","Basketball","BOS.ST",13,0,2,0,8,0,0,0
"636","2000-2001","Cross-country and/or track","BOS.ST",24,27,17,23,1,0,0,1
"637","2000-2001","Football","BOS.ST",92,0,56,0,28,0,3,0
"638","2000-2001","All other sports combined","CLEM",8,24,5,24,1,0,1,0
"639","2000-2001","Baseball","CLEM",9,0,9,0,0,0,0,0
"640","2000-2001","Basketball","CLEM",7,6,4,2,3,4,0,0
"641","2000-2001","Cross-country and/or track","CLEM",12,3,5,1,5,1,0,0
"642","2000-2001","Football","CLEM",21,0,6,0,15,0,0,0
"643","2000-2001","All other sports combined","DUKE",69,117,54,95,4,5,3,2
"644","2000-2001","Baseball","DUKE",23,0,21,0,1,0,1,0
"645","2000-2001","Basketball","DUKE",12,14,3,7,8,7,0,0
"646","2000-2001","Football","DUKE",74,0,41,0,32,0,0,0
"647","2000-2001","All other sports combined","FLA",33,95,23,75,0,10,2,2
"648","2000-2001","Baseball","FLA",34,0,26,0,0,0,4,0
"649","2000-2001","Basketball","FLA",10,10,3,1,7,9,0,0
"650","2000-2001","Cross-country and/or track","FLA",30,28,16,11,8,13,3,0
"651","2000-2001","Football","FLA",82,0,23,0,56,0,1,0
"652","2000-2001","All other sports combined","FSU",44,93,26,57,3,9,2,7
"653","2000-2001","Baseball","FSU",31,0,31,0,0,0,0,0
"654","2000-2001","Basketball","FSU",12,14,2,7,10,5,0,0
"655","2000-2001","Cross-country and/or track","FSU",36,33,19,18,13,10,0,0
"656","2000-2001","Football","FSU",86,0,17,0,67,0,1,0
"657","2000-2001","All other sports combined","GTOWN",47,58,44,52,3,3,0,0
"658","2000-2001","Baseball","GTOWN",7,0,4,0,0,0,3,0
"659","2000-2001","Basketball","GTOWN",13,15,1,3,10,8,0,0
"660","2000-2001","Cross-country and/or track","GTOWN",16,23,11,14,3,9,2,0
"661","2000-2001","Football","GTOWN",1,0,0,0,1,0,0,0
"662","2000-2001","All other sports combined","KAN.ST",9,27,9,17,0,0,0,0
"663","2000-2001","Baseball","KAN.ST",28,0,20,0,0,0,1,0
"664","2000-2001","Basketball","KAN.ST",11,12,3,7,6,5,0,0
"665","2000-2001","Cross-country and/or track","KAN.ST",16,24,6,14,5,8,0,0
"666","2000-2001","Football","KAN.ST",88,0,37,0,47,0,0,0
"667","2000-2001","All other sports combined","LOUIS",54,108,31,82,0,4,1,5
"668","2000-2001","Baseball","LOUIS",32,0,23,0,1,0,5,0
"669","2000-2001","Basketball","LOUIS",14,15,1,5,9,7,0,1
"670","2000-2001","Cross-country and/or track","LOUIS",21,26,15,16,5,7,0,1
"671","2000-2001","Football","LOUIS",80,0,27,0,50,0,1,0
"672","2000-2001","All other sports combined","LSU",43,103,31,84,0,4,2,4
"673","2000-2001","Baseball","LSU",39,0,35,0,2,0,0,0
"674","2000-2001","Basketball","LSU",9,11,2,2,7,8,0,0
"675","2000-2001","Cross-country and/or track","LSU",21,25,3,6,9,15,0,0
"676","2000-2001","Football","LSU",84,0,27,0,56,0,0,0
"677","2000-2001","All other sports combined","ND",76,120,59,109,2,2,3,5
"678","2000-2001","Baseball","ND",25,0,23,0,0,0,2,0
"679","2000-2001","Basketball","ND",12,11,5,5,4,5,0,1
"680","2000-2001","Cross-country and/or track","ND",19,18,13,9,4,5,1,1
"681","2000-2001","Football","ND",79,0,32,0,43,0,1,0
"682","2000-2001","All other sports combined","NEB",54,126,35,95,2,3,2,2
"683","2000-2001","Baseball","NEB",33,0,27,0,2,0,0,0
"684","2000-2001","Basketball","NEB",14,17,3,8,9,7,0,1
"685","2000-2001","Cross-country and/or track","NEB",31,34,20,21,9,4,0,0
"686","2000-2001","Football","NEB",92,0,50,0,35,0,0,0
"687","2000-2001","All other sports combined","NWST",10,27,10,23,0,1,0,0
"688","2000-2001","Baseball","NWST",6,0,5,0,0,0,0,0
"689","2000-2001","Basketball","NWST",5,3,4,3,1,0,0,0
"690","2000-2001","Football","NWST",20,0,9,0,9,0,0,0
"691","2000-2001","All other sports combined","OK",57,87,40,67,4,4,3,2
"692","2000-2001","Baseball","OK",39,0,29,0,1,0,3,0
"693","2000-2001","Basketball","OK",12,12,2,4,9,4,0,0
"694","2000-2001","Cross-country and/or track","OK",22,29,8,12,7,13,2,0
"695","2000-2001","Football","OK",92,0,30,0,53,0,2,0
"696","2000-2001","All other sports combined","OKSTATE",39,91,19,65,5,1,1,3
"697","2000-2001","Baseball","OKSTATE",33,0,31,0,0,0,2,0
"698","2000-2001","Basketball","OKSTATE",14,15,2,7,9,6,1,0
"699","2000-2001","Cross-country and/or track","OKSTATE",22,28,10,11,0,10,2,0
"700","2000-2001","Football","OKSTATE",92,0,35,0,54,0,0,0
"701","2000-2001","All other sports combined","ORE",36,62,30,42,2,2,0,1
"702","2000-2001","Basketball","ORE",13,12,5,8,5,4,0,0
"703","2000-2001","Cross-country and/or track","ORE",27,24,18,16,4,4,0,1
"704","2000-2001","Football","ORE",83,0,37,0,38,0,2,0
"705","2000-2001","All other sports combined","ORE.ST",59,102,44,78,1,0,4,5
"706","2000-2001","Baseball","ORE.ST",37,0,32,0,0,0,1,0
"707","2000-2001","Basketball","ORE.ST",13,14,5,7,5,3,1,0
"708","2000-2001","Football","ORE.ST",81,0,35,0,30,0,3,0
"709","2000-2001","All other sports combined","OSU",141,208,107,164,7,6,4,6
"710","2000-2001","Baseball","OSU",31,0,31,0,0,0,0,0
"711","2000-2001","Basketball","OSU",12,14,2,8,7,6,0,0
"712","2000-2001","Cross-country and/or track","OSU",19,18,10,5,4,10,1,0
"713","2000-2001","Football","OSU",86,0,30,0,52,0,2,0
"714","2000-2001","All other sports combined","RUT",116,153,91,125,4,8,5,4
"715","2000-2001","Baseball","RUT",32,0,28,0,1,0,3,0
"716","2000-2001","Basketball","RUT",12,15,3,1,7,11,1,0
"717","2000-2001","Cross-country and/or track","RUT",30,37,18,22,9,13,3,1
"718","2000-2001","Football","RUT",91,0,40,0,42,0,2,0
"719","2000-2001","All other sports combined","SCAR",55,83,50,65,0,3,0,1
"720","2000-2001","Baseball","SCAR",31,0,28,0,1,0,2,0
"721","2000-2001","Basketball","SCAR",13,15,5,1,7,5,0,0
"722","2000-2001","Cross-country and/or track","SCAR",18,23,6,7,11,15,0,0
"723","2000-2001","Football","SCAR",87,0,23,0,64,0,0,0
"724","2000-2001","All other sports combined","SJ.ST",27,103,12,71,0,4,13,7
"725","2000-2001","Baseball","SJ.ST",29,0,20,0,2,0,6,0
"726","2000-2001","Basketball","SJ.ST",12,15,3,4,8,10,0,1
"727","2000-2001","Cross-country and/or track","SJ.ST",6,8,3,5,0,0,0,1
"728","2000-2001","Football","SJ.ST",59,0,16,0,25,0,4,0
"729","2000-2001","All other sports combined","SMU",50,85,34,71,1,1,3,2
"730","2000-2001","Basketball","SMU",12,14,3,6,9,7,0,0
"731","2000-2001","Cross-country and/or track","SMU",11,14,1,0,0,2,0,0
"732","2000-2001","Football","SMU",75,0,47,0,27,0,0,0
"733","2000-2001","All other sports combined","STAN",111,145,80,116,9,6,4,7
"734","2000-2001","Baseball","STAN",20,0,18,0,0,0,1,0
"735","2000-2001","Basketball","STAN",13,13,5,9,7,3,1,0
"736","2000-2001","Cross-country and/or track","STAN",22,23,17,12,0,6,1,3
"737","2000-2001","Football","STAN",82,0,42,0,36,0,0,0
"738","2000-2001","All other sports combined","TAM",42,130,33,103,3,3,1,5
"739","2000-2001","Baseball","TAM",42,0,39,0,0,0,1,0
"740","2000-2001","Basketball","TAM",15,18,4,8,9,10,0,0
"741","2000-2001","Cross-country and/or track","TAM",33,29,19,19,7,6,1,1
"742","2000-2001","Football","TAM",86,0,32,0,48,0,3,0
"743","2000-2001","All other sports combined","UGA",30,97,27,83,0,4,0,4
"744","2000-2001","Baseball","UGA",45,0,43,0,2,0,0,0
"745","2000-2001","Basketball","UGA",10,15,1,7,9,8,0,0
"746","2000-2001","Cross-country and/or track","UGA",29,28,13,12,10,14,0,0
"747","2000-2001","Football","UGA",83,0,25,0,58,0,0,0
"748","2000-2001","All other sports combined","UM",89,151,71,120,3,4,5,5
"749","2000-2001","Baseball","UM",21,0,19,0,0,0,1,0
"750","2000-2001","Basketball","UM",10,11,3,5,7,3,0,1
"751","2000-2001","Cross-country and/or track","UM",28,26,21,15,4,8,0,0
"752","2000-2001","Football","UM",91,0,48,0,32,0,0,0
"753","2000-2001","All other sports combined","UNC",108,139,97,123,6,8,3,4
"754","2000-2001","Baseball","UNC",23,0,22,0,1,0,0,0
"755","2000-2001","Basketball","UNC",12,13,6,4,5,9,1,0
"756","2000-2001","Cross-country and/or track","UNC",21,26,17,13,4,13,0,0
"757","2000-2001","Football","UNC",83,0,23,0,59,0,0,0
"758","2000-2001","All other sports combined","UOFM",10,64,4,40,0,0,4,6
"759","2000-2001","Baseball","UOFM",25,0,15,0,2,0,7,0
"760","2000-2001","Basketball","UOFM",11,14,0,3,9,6,0,0
"761","2000-2001","Cross-country and/or track","UOFM",10,18,6,4,1,12,0,1
"762","2000-2001","Football","UOFM",77,0,21,0,50,0,1,0
"763","2000-2001","All other sports combined","USC",53,90,20,50,0,2,0,2
"764","2000-2001","Baseball","USC",19,0,13,0,0,0,3,0
"765","2000-2001","Basketball","USC",14,14,4,4,6,9,0,0
"766","2000-2001","Cross-country and/or track","USC",17,19,5,1,6,10,0,1
"767","2000-2001","Football","USC",93,0,30,0,41,0,3,0
"768","2000-2001","All other sports combined","UT",60,141,50,114,1,2,0,5
"769","2000-2001","Baseball","UT",45,0,35,0,2,0,5,0
"770","2000-2001","Basketball","UT",15,15,4,7,11,8,0,0
"771","2000-2001","Cross-country and/or track","UT",48,24,27,8,18,11,1,2
"772","2000-2001","Football","UT",87,0,31,0,55,0,1,0
"773","2000-2001","All other sports combined","UTA.ST",15,71,14,63,0,1,0,4
"774","2000-2001","Basketball","UTA.ST",14,0,7,0,5,0,0,0
"775","2000-2001","Cross-country and/or track","UTA.ST",29,29,23,24,3,0,1,1
