"","Year","Sport","ID_School","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females","Other.Males","Other.Females"
"148","2000-2001","Basketball","ORE",5,8,5,4,0,0,3,0
"149","2000-2001","Basketball","ORE.ST",5,7,5,3,1,0,2,4
"150","2000-2001","Basketball","OSU",2,8,7,6,0,0,3,0
"151","2000-2001","Basketball","RUT",3,1,7,11,1,0,1,3
"152","2000-2001","Basketball","SCAR",5,1,7,5,0,0,1,9
"153","2000-2001","Basketball","SJ.ST",3,4,8,10,0,1,1,0
"154","2000-2001","Basketball","SMU",3,6,9,7,0,0,0,1
"155","2000-2001","Basketball","STAN",5,9,7,3,1,0,0,1
"156","2000-2001","Basketball","TAM",4,8,9,10,0,0,2,0
"157","2000-2001","Basketball","UGA",1,7,9,8,0,0,0,0
"158","2000-2001","Basketball","UM",3,5,7,3,0,1,0,2
"159","2000-2001","Basketball","UNC",6,4,5,9,1,0,0,0
"160","2000-2001","Basketball","UOFM",0,3,9,6,0,0,2,5
"161","2000-2001","Basketball","USC",4,4,6,9,0,0,4,1
"162","2000-2001","Basketball","UT",4,7,11,8,0,0,0,0
"163","2000-2001","Basketball","UTA.ST",7,0,5,0,0,0,2,0
"164","2000-2001","Basketball","VANDY",4,8,5,2,0,0,3,3
"165","2001-2002","Basketball","AUB",2,2,10,14,0,0,2,3
"166","2001-2002","Basketball","BAMA",1,5,10,9,0,0,1,1
"167","2001-2002","Basketball","BOS.ST",1,8,7,1,0,1,3,3
"168","2001-2002","Basketball","CLEM",0,0,1,0,0,0,1,0
"169","2001-2002","Basketball","DUKE",3,5,7,8,0,0,0,0
"170","2001-2002","Basketball","FLA",4,3,7,7,0,0,0,1
"171","2001-2002","Basketball","FSU",3,6,10,7,0,0,0,0
"172","2001-2002","Basketball","GTOWN",4,2,11,8,0,0,2,4
"173","2001-2002","Basketball","KAN.ST",1,11,7,3,0,0,3,1
"174","2001-2002","Basketball","LOUIS",0,6,10,6,0,0,3,2
"175","2001-2002","Basketball","LSU",0,1,10,11,0,0,0,0
"176","2001-2002","Basketball","ND",3,6,7,5,0,1,2,0
"177","2001-2002","Basketball","NEB",8,8,6,6,0,0,0,1
"178","2001-2002","Basketball","NWST",3,11,5,3,0,0,4,0
"179","2001-2002","Basketball","OK",2,4,8,5,1,0,2,4
"180","2001-2002","Basketball","OKSTATE",2,8,8,7,0,0,3,2
"181","2001-2002","Basketball","ORE",8,8,3,7,0,0,2,1
"182","2001-2002","Basketball","ORE.ST",5,6,5,4,1,0,1,3
"183","2001-2002","Basketball","OSU",3,7,8,7,0,0,1,0
"184","2001-2002","Basketball","RUT",2,3,10,10,0,0,2,1
"185","2001-2002","Basketball","SCAR",4,1,7,6,0,0,2,5
"186","2001-2002","Basketball","SJ.ST",3,3,7,9,0,0,1,2
"187","2001-2002","Basketball","SMU",6,6,7,7,0,0,0,1
"188","2001-2002","Basketball","STAN",5,11,6,3,1,0,0,2
"189","2001-2002","Basketball","TAM",3,8,7,11,0,0,3,0
"190","2001-2002","Basketball","UGA",1,3,10,10,0,0,0,0
"191","2001-2002","Basketball","UM",3,5,10,6,0,1,0,0
"192","2001-2002","Basketball","UNC",6,4,5,9,1,0,0,0
"193","2001-2002","Basketball","UOFM",0,3,8,8,1,0,2,3
"194","2001-2002","Basketball","USC",0,0,3,2,0,0,0,1
"195","2001-2002","Basketball","UT",5,9,10,8,0,0,1,1
"196","2001-2002","Basketball","UTA.ST",7,0,4,0,0,0,0,0
"197","2001-2002","Basketball","VANDY",4,8,5,4,0,0,4,2
"198","2002-2003","Basketball","AUB",1,2,10,8,0,1,1,4
"199","2002-2003","Basketball","BAMA",0,6,12,9,0,0,1,1
"200","2002-2003","Basketball","BOS.ST",1,9,7,2,0,2,4,3
"201","2002-2003","Basketball","CLEM",0,7,7,8,0,0,4,1
"202","2002-2003","Basketball","DUKE",3,6,8,6,0,0,0,1
"203","2002-2003","Basketball","FLA",4,3,8,10,0,0,1,1
"204","2002-2003","Basketball","FSU",1,5,7,7,0,0,4,2
"205","2002-2003","Basketball","GTOWN",1,3,11,7,0,0,1,4
"206","2002-2003","Basketball","KAN.ST",4,8,7,2,0,0,1,1
"207","2002-2003","Basketball","LOUIS",1,6,11,9,0,0,3,1
"208","2002-2003","Basketball","LSU",1,1,11,12,0,0,2,1
"209","2002-2003","Basketball","ND",3,8,7,3,0,0,2,0
"210","2002-2003","Basketball","NEB",7,7,6,6,0,1,1,0
"211","2002-2003","Basketball","NWST",0,11,2,3,5,0,7,0
"212","2002-2003","Basketball","OK",3,10,10,5,1,0,2,4
"213","2002-2003","Basketball","OKSTATE",1,10,10,8,0,0,2,1
"214","2002-2003","Basketball","ORE",7,8,5,4,0,0,1,3
"215","2002-2003","Basketball","ORE.ST",4,9,7,5,1,1,1,2
"216","2002-2003","Basketball","OSU",3,6,9,7,0,1,1,0
"217","2002-2003","Basketball","RUT",1,2,10,9,0,0,3,2
"218","2002-2003","Basketball","SCAR",2,2,10,5,0,0,1,5
"219","2002-2003","Basketball","SJ.ST",2,4,8,8,1,0,1,5
"220","2002-2003","Basketball","SMU",5,9,10,7,0,0,1,1
"221","2002-2003","Basketball","STAN",4,11,5,3,1,0,1,0
"222","2002-2003","Basketball","TAM",2,5,8,11,0,0,4,0
"223","2002-2003","Basketball","UGA",1,3,10,10,0,0,0,0
"224","2002-2003","Basketball","UM",2,7,11,5,0,1,1,2
"225","2002-2003","Basketball","UNC",3,4,8,9,0,0,1,1
"226","2002-2003","Basketball","UOFM",0,4,8,5,1,0,3,4
"227","2002-2003","Basketball","USC",1,3,7,7,0,0,4,0
"228","2002-2003","Basketball","UT",5,7,9,7,0,0,2,1
"229","2002-2003","Basketball","UTA.ST",5,5,8,0,0,0,0,0
"230","2002-2003","Basketball","VANDY",4,5,6,4,0,0,3,2
"231","2003-2004","Basketball","AUB",0,2,9,9,0,1,0,5
"232","2003-2004","Basketball","BAMA",0,3,10,12,0,0,2,0
"233","2003-2004","Basketball","BOS.ST",1,9,7,0,0,2,5,2
"234","2003-2004","Basketball","CLEM",0,7,7,7,0,0,3,2
"235","2003-2004","Basketball","DUKE",3,3,5,7,0,0,1,1
"236","2003-2004","Basketball","FLA",5,4,6,11,0,0,2,1
"237","2003-2004","Basketball","FSU",1,4,10,8,0,0,3,3
"238","2003-2004","Basketball","GTOWN",1,4,8,6,0,0,1,2
"239","2003-2004","Basketball","KAN.ST",3,10,6,4,0,0,1,1
"240","2003-2004","Basketball","LOUIS",0,5,9,5,0,0,3,2
"241","2003-2004","Basketball","LSU",2,0,8,11,0,0,2,2
"242","2003-2004","Basketball","ND",2,7,9,5,0,0,1,0
"243","2003-2004","Basketball","NEB",5,5,9,6,0,0,0,1
"244","2003-2004","Basketball","NWST",4,9,3,1,0,0,5,2
"245","2003-2004","Basketball","OK",2,9,9,4,0,0,1,1
"246","2003-2004","Basketball","OKSTATE",2,8,8,6,0,0,2,1
"247","2003-2004","Basketball","ORE",8,6,5,4,0,0,0,5
"248","2003-2004","Basketball","ORE.ST",3,6,5,4,0,1,3,1
"249","2003-2004","Basketball","OSU",3,6,9,9,0,1,1,0
"250","2003-2004","Basketball","RUT",1,1,9,10,0,0,1,0
"251","2003-2004","Basketball","SCAR",1,2,10,7,0,0,1,7
"252","2003-2004","Basketball","SJ.ST",2,2,9,11,0,0,1,1
"253","2003-2004","Basketball","SMU",4,8,7,7,0,0,1,0
"254","2003-2004","Basketball","STAN",4,11,6,3,1,0,1,0
"255","2003-2004","Basketball","TAM",3,5,6,12,0,1,5,0
"256","2003-2004","Basketball","UGA",1,3,3,5,0,0,0,0
"257","2003-2004","Basketball","UM",1,7,8,4,0,0,1,1
"258","2003-2004","Basketball","UNC",1,3,10,10,0,0,0,0
"259","2003-2004","Basketball","UOFM",0,2,8,6,1,0,2,6
"260","2003-2004","Basketball","USC",2,4,9,9,0,0,2,1
"261","2003-2004","Basketball","UT",5,4,7,8,0,0,2,1
"262","2003-2004","Basketball","UTA.ST",5,13,6,1,0,0,1,0
"263","2003-2004","Basketball","VANDY",5,7,5,6,0,0,2,2
"264","2004-2005","Basketball","AUB",2,1,9,10,0,1,0,3
"265","2004-2005","Basketball","BAMA",1,4,11,10,0,0,3,0
"266","2004-2005","Basketball","BOS.ST",3,7,8,3,0,2,1,2
"267","2004-2005","Basketball","CLEM",0,5,9,7,0,0,3,3
"268","2004-2005","Basketball","DUKE",2,4,5,6,0,0,0,1
"269","2004-2005","Basketball","FLA",4,3,6,9,0,0,4,0
"270","2004-2005","Basketball","FSU",1,4,7,5,0,0,4,2
"271","2004-2005","Basketball","GTOWN",1,0,4,3,0,1,1,1
"272","2004-2005","Basketball","KAN.ST",2,11,8,0,0,0,3,4
"273","2004-2005","Basketball","LOUIS",3,5,7,5,0,0,3,3
"274","2004-2005","Basketball","LSU",2,0,9,12,0,0,1,2
"275","2004-2005","Basketball","ND",3,6,7,5,0,0,0,0
"276","2004-2005","Basketball","NEB",3,5,10,4,1,0,1,4
"277","2004-2005","Basketball","NWST",4,8,6,1,0,0,6,4
"278","2004-2005","Basketball","OK",2,9,12,4,0,0,2,2
"279","2004-2005","Basketball","OKSTATE",2,7,7,4,0,0,3,3
"280","2004-2005","Basketball","ORE",6,5,7,4,0,0,0,6
"281","2004-2005","Basketball","ORE.ST",1,5,4,4,0,1,3,0
"282","2004-2005","Basketball","OSU",3,5,10,8,0,1,0,1
"283","2004-2005","Basketball","RUT",1,1,10,12,1,0,0,0
"284","2004-2005","Basketball","SCAR",1,1,9,7,0,0,2,5
"285","2004-2005","Basketball","SJ.ST",5,3,10,9,0,2,0,1
"286","2004-2005","Basketball","SMU",0,1,2,2,0,0,0,1
"287","2004-2005","Basketball","STAN",4,10,5,6,1,0,1,0
"288","2004-2005","Basketball","TAM",4,4,9,12,0,0,3,0
"289","2004-2005","Basketball","UGA",3,3,5,10,0,0,1,0
"290","2004-2005","Basketball","UM",1,6,9,6,0,0,1,0
"291","2004-2005","Basketball","UNC",1,2,12,12,0,0,0,0
"292","2004-2005","Basketball","UOFM",0,2,10,6,1,0,0,6
"293","2004-2005","Basketball","USC",1,4,11,11,0,0,2,1
"294","2004-2005","Basketball","UT",4,4,8,9,0,0,2,2
"295","2004-2005","Basketball","UTA.ST",5,11,5,2,0,0,3,1
"296","2004-2005","Basketball","VANDY",3,5,8,5,0,0,2,2
"297","2005-2006","Basketball","AUB",1,1,12,9,0,0,1,3
"298","2005-2006","Basketball","BAMA",1,4,9,10,0,0,1,1
"299","2005-2006","Basketball","BOS.ST",8,6,6,3,0,0,0,5
"300","2005-2006","Basketball","CLEM",0,2,3,2,0,0,0,1
"301","2005-2006","Basketball","DUKE",4,6,5,6,0,0,2,1
"302","2005-2006","Basketball","FLA",1,4,5,9,2,0,2,0
"303","2005-2006","Basketball","FSU",0,5,6,8,0,0,3,2
"304","2005-2006","Basketball","GTOWN",0,6,12,4,0,0,1,0
"305","2005-2006","Basketball","KAN.ST",2,11,8,3,0,0,4,1
"306","2005-2006","Basketball","LOUIS",3,3,9,8,0,0,1,3
"307","2005-2006","Basketball","LSU",2,1,10,9,0,0,1,3
"308","2005-2006","Basketball","ND",6,6,5,5,0,0,0,0
"309","2005-2006","Basketball","NEB",3,6,10,4,1,0,1,3
"310","2005-2006","Basketball","NWST",4,6,3,3,0,0,5,5
"311","2005-2006","Basketball","OK",2,7,8,6,0,0,2,0
"312","2005-2006","Basketball","OKSTATE",0,1,3,0,1,0,1,0
"313","2005-2006","Basketball","ORE",5,4,7,2,0,0,1,6
"314","2005-2006","Basketball","ORE.ST",1,3,3,1,0,1,2,0
"315","2005-2006","Basketball","OSU",2,3,8,9,0,0,1,1
"316","2005-2006","Basketball","RUT",2,3,11,9,0,0,0,0
"317","2005-2006","Basketball","SCAR",1,0,8,9,0,0,3,5
"318","2005-2006","Basketball","SJ.ST",3,5,10,9,0,0,0,1
"319","2005-2006","Basketball","SMU",1,3,2,2,0,0,0,0
"320","2005-2006","Basketball","STAN",4,7,6,6,1,0,1,0
"321","2005-2006","Basketball","TAM",2,2,10,13,0,0,3,1
"322","2005-2006","Basketball","UGA",2,3,9,11,0,0,2,0
"323","2005-2006","Basketball","UM",1,7,10,6,0,0,2,1
"324","2005-2006","Basketball","UNC",3,3,8,15,0,0,0,0
"325","2005-2006","Basketball","UOFM",0,3,9,5,2,0,1,4
"326","2005-2006","Basketball","USC",4,4,6,8,0,0,3,1
"327","2005-2006","Basketball","UT",4,2,8,10,0,1,0,1
"328","2005-2006","Basketball","UTA.ST",5,7,5,4,0,1,3,0
"329","2005-2006","Basketball","VANDY",3,7,8,5,0,0,2,0
