"","Year","Sport","ID_School","White.Males","Black.Males","Hispanic.Males","Other.Males"
"66","1998-1999","Football","BAMA",25,64,1,0
"67","1998-1999","Football","BOS.ST",8,7,0,5
"68","1998-1999","Football","CLEM",32,53,0,0
"69","1998-1999","Football","DUKE",48,32,0,2
"70","1998-1999","Football","FLA",26,58,0,2
"71","1998-1999","Football","FSU",17,63,0,1
"72","1998-1999","Football","KAN.ST",33,43,2,1
"73","1998-1999","Football","LOUIS",22,47,2,0
"74","1998-1999","Football","LSU",24,60,0,1
"75","1998-1999","Football","ND",34,48,0,3
"76","1998-1999","Football","NEB",56,35,2,3
"77","1998-1999","Football","NWST",43,33,1,1
"78","1998-1999","Football","OK",29,54,1,3
"79","1998-1999","Football","OKSTATE",27,51,2,0
"80","1998-1999","Football","ORE",38,32,6,10
"81","1998-1999","Football","ORE.ST",35,31,4,15
"82","1998-1999","Football","OSU",0,46,34,2
"83","1998-1999","Football","SCAR",20,60,1,0
"84","1998-1999","Football","SJ.ST",29,22,7,11
"85","1998-1999","Football","SMU",42,40,3,2
"86","1998-1999","Football","STAN",43,33,2,4
"87","1998-1999","Football","TAM",31,53,2,5
"88","1998-1999","Football","UGA",28,49,0,0
"89","1998-1999","Football","UM",51,38,0,2
"90","1998-1999","Football","UNC",21,55,0,1
"91","1998-1999","Football","UOFM",18,37,1,4
"92","1998-1999","Football","USC",34,43,3,7
"93","1998-1999","Football","UT",32,50,2,0
"94","1998-1999","Football","UTA.ST",42,22,3,10
"95","1998-1999","Football","VANDY",50,39,0,1
"96","1999-2000","Football","AUB",36,50,0,0
"97","1999-2000","Football","BAMA",25,59,0,0
"98","1999-2000","Football","BOS.ST",61,30,2,3
"99","1999-2000","Football","CLEM",29,55,0,0
"100","1999-2000","Football","DUKE",44,33,0,1
"101","1999-2000","Football","FLA",25,56,0,2
"102","1999-2000","Football","FSU",9,56,1,3
"103","1999-2000","Football","KAN.ST",33,46,0,4
"104","1999-2000","Football","LOUIS",22,51,1,2
"105","1999-2000","Football","LSU",30,54,0,1
"106","1999-2000","Football","ND",36,46,0,3
"107","1999-2000","Football","NEB",57,36,1,6
"108","1999-2000","Football","NWST",35,28,3,5
"109","1999-2000","Football","OK",26,49,2,3
"110","1999-2000","Football","OKSTATE",35,59,2,3
"111","1999-2000","Football","ORE",34,31,4,9
"112","1999-2000","Football","ORE.ST",37,34,2,19
"113","1999-2000","Football","OSU",36,43,1,2
"114","1999-2000","Football","RUT",41,41,1,6
"115","1999-2000","Football","SCAR",25,61,1,0
"116","1999-2000","Football","SJ.ST",22,27,9,11
"117","1999-2000","Football","SMU",45,28,2,0
"118","1999-2000","Football","STAN",39,36,0,5
"119","1999-2000","Football","TAM",29,57,1,4
"120","1999-2000","Football","UGA",26,53,0,0
"121","1999-2000","Football","UM",51,36,0,4
"122","1999-2000","Football","UNC",22,54,0,0
"123","1999-2000","Football","UOFM",23,47,2,6
"124","1999-2000","Football","USC",34,43,4,9
"125","1999-2000","Football","UT",28,63,1,0
"126","1999-2000","Football","UTA.ST",45,19,4,12
"127","1999-2000","Football","VANDY",60,27,0,2
"128","2000-2001","Football","AUB",34,52,0,2
"129","2000-2001","Football","BAMA",25,61,0,0
"130","2000-2001","Football","BOS.ST",56,28,3,5
"131","2000-2001","Football","CLEM",6,15,0,0
"132","2000-2001","Football","DUKE",41,32,0,1
"133","2000-2001","Football","FLA",23,56,1,2
"134","2000-2001","Football","FSU",17,67,1,1
"135","2000-2001","Football","GTOWN",0,1,0,0
"136","2000-2001","Football","KAN.ST",37,47,0,4
"137","2000-2001","Football","LOUIS",27,50,1,2
"138","2000-2001","Football","LSU",27,56,0,1
"139","2000-2001","Football","ND",32,43,1,3
"140","2000-2001","Football","NEB",50,35,0,7
"141","2000-2001","Football","NWST",9,9,0,2
"142","2000-2001","Football","OK",30,53,2,7
"143","2000-2001","Football","OKSTATE",35,54,0,3
"144","2000-2001","Football","ORE",37,38,2,6
"145","2000-2001","Football","ORE.ST",35,30,3,13
"146","2000-2001","Football","OSU",30,52,2,2
"147","2000-2001","Football","RUT",40,42,2,7
"148","2000-2001","Football","SCAR",23,64,0,0
"149","2000-2001","Football","SJ.ST",16,25,4,14
"150","2000-2001","Football","SMU",47,27,0,1
"151","2000-2001","Football","STAN",42,36,0,4
"152","2000-2001","Football","TAM",32,48,3,3
"153","2000-2001","Football","UGA",25,58,0,0
"154","2000-2001","Football","UM",48,32,0,11
"155","2000-2001","Football","UNC",23,59,0,1
"156","2000-2001","Football","UOFM",21,50,1,5
"157","2000-2001","Football","USC",30,41,3,19
"158","2000-2001","Football","UT",31,55,1,0
"159","2000-2001","Football","UTA.ST",35,19,4,9
"160","2000-2001","Football","VANDY",58,26,0,1
"161","2001-2002","Football","AUB",29,55,0,0
"162","2001-2002","Football","BAMA",28,61,0,0
"163","2001-2002","Football","BOS.ST",57,23,3,6
"164","2001-2002","Football","CLEM",9,9,0,0
"165","2001-2002","Football","DUKE",49,27,0,2
"166","2001-2002","Football","FLA",24,52,2,2
"167","2001-2002","Football","FSU",17,67,2,1
"168","2001-2002","Football","GTOWN",6,10,0,0
"169","2001-2002","Football","KAN.ST",40,45,0,7
"170","2001-2002","Football","LOUIS",28,54,3,0
"171","2001-2002","Football","LSU",22,64,0,1
"172","2001-2002","Football","ND",34,46,0,3
"173","2001-2002","Football","NEB",66,30,0,16
"174","2001-2002","Football","NWST",41,38,4,6
"175","2001-2002","Football","OK",24,50,1,7
"176","2001-2002","Football","OKSTATE",38,40,2,4
"177","2001-2002","Football","ORE",34,38,4,11
"178","2001-2002","Football","ORE.ST",37,38,2,10
"179","2001-2002","Football","OSU",36,44,1,0
"180","2001-2002","Football","RUT",34,50,1,2
"181","2001-2002","Football","SCAR",17,70,0,0
"182","2001-2002","Football","SJ.ST",19,36,2,13
"183","2001-2002","Football","SMU",50,33,0,2
"184","2001-2002","Football","STAN",38,36,0,4
"185","2001-2002","Football","TAM",28,53,1,1
"186","2001-2002","Football","UGA",26,60,0,0
"187","2001-2002","Football","UM",52,36,0,5
"188","2001-2002","Football","UNC",24,59,0,1
"189","2001-2002","Football","UOFM",15,54,3,5
"190","2001-2002","Football","USC",8,10,1,1
"191","2001-2002","Football","UT",34,53,2,0
"192","2001-2002","Football","UTA.ST",39,20,7,8
"193","2001-2002","Football","VANDY",52,36,0,2
"194","2002-2003","Football","AUB",29,63,0,0
"195","2002-2003","Football","BAMA",28,60,0,0
"196","2002-2003","Football","BOS.ST",58,22,7,10
"197","2002-2003","Football","CLEM",14,69,0,7
"198","2002-2003","Football","DUKE",44,35,0,2
"199","2002-2003","Football","FLA",20,59,2,3
"200","2002-2003","Football","FSU",15,67,2,5
"201","2002-2003","Football","GTOWN",10,15,1,3
"202","2002-2003","Football","KAN.ST",36,46,2,9
"203","2002-2003","Football","LOUIS",25,53,1,1
"204","2002-2003","Football","LSU",27,55,0,2
"205","2002-2003","Football","ND",40,37,0,1
"206","2002-2003","Football","NEB",59,40,0,4
"207","2002-2003","Football","NWST",39,40,3,5
"208","2002-2003","Football","OK",23,59,2,2
"209","2002-2003","Football","OKSTATE",35,48,1,3
"210","2002-2003","Football","ORE",29,39,3,13
"211","2002-2003","Football","ORE.ST",40,32,2,9
"212","2002-2003","Football","OSU",43,42,0,2
"213","2002-2003","Football","RUT",38,48,2,4
"214","2002-2003","Football","SCAR",22,61,0,1
"215","2002-2003","Football","SJ.ST",19,39,3,9
"216","2002-2003","Football","SMU",45,40,0,2
"217","2002-2003","Football","STAN",38,37,1,6
"218","2002-2003","Football","TAM",30,56,2,0
"219","2002-2003","Football","UGA",26,60,0,0
