ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
ORE,MBBALL,2011-2012,33,Carlos Emory,Carlos,Emory,F,6/6/13,225,Jr.,"Bloomington, Minn. (Howard College)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185541,
ORE,MBBALL,2011-2012,34,Devoe Joseph,Devoe,Joseph,G,6/4/13,180,Sr.,"Toronto, Ontario (Minnesota) (Pickering HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185537,
ORE,MBBALL,2011-2012,40,Austin Kuemper,Austin,Kuemper,C,6/9/13,230,Fr.,"Portland, Ore. (Westview HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185545,
ORE,MBBALL,2011-2012,42,Chris Larson,Chris,Larson,C,6/11/13,220,Jr.,"Hudson, Iowa (Black Hawk CC) (Hudson HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185548,
ORE,MBBALL,2011-2012,55,Tony Woods,Tony,Woods,C,6/11/13,250,Jr.,"Rome, Ga. (Wake Forest) (Rome HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185549,
ORE,MBBALL,2010-2011,1,Nicholas Fearn,Nicholas,Fearn,G,6/1/13,188,Jr.,"Seattle, Wash. (Seattle Prep)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320690,
ORE,MBBALL,2010-2011,2,Matt Losli,Matt,Losli,G,6/4/13,185,So.,"Tualatin, Ore. (Tualatin HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205028903,
ORE,MBBALL,2010-2011,3,Garrett Sim,Garrett,Sim,G,6/1/13,181,Jr.,"Portland, Ore. (Sunset HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603562,
ORE,MBBALL,2010-2011,4,Nicholas Lucenti,Nicholas,Lucenti,G,6/3/13,212,Fr.,"Los Angeles, Calif. (Loyola HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205021724,
ORE,MBBALL,2010-2011,10,Johnathan Loyd,Johnathan,Loyd,G,5/8/13,160,Fr.,"Las Vegas, Nev. (Bishop Gorman HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=204965535,
ORE,MBBALL,2010-2011,11,Malcolm Armstead,Malcolm,Armstead,G,6/1/00,195,Jr.,"Florence, Ala. (Chipola College) (Central Park Christian)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748525,
ORE,MBBALL,2010-2011,12,Martin Seiferth,Martin,Seiferth,C,6/10/13,223,Fr.,"Berlin, Germany (VFB Hermsdorf)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205007691,
ORE,MBBALL,2010-2011,15,John Elorriaga,John,Elorriaga,G,6/2/13,205,Jr.,"Portland, Ore. (Jesuit HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320689,
ORE,MBBALL,2010-2011,22,Teondre Williams,Teondre,Williams,G,6/4/13,218,Jr.,"Atlanta, Ga. (Meadowcreek HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603569,
ORE,MBBALL,2010-2011,23,Jeremy Jacob,Jeremy,Jacob,F,6/8/13,226,RJr.,"Baton Rouge, La. (Chipola College) (Hargrave Military Academy)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748532,
ORE,MBBALL,2010-2011,25,E.J. Singler,E.J.,Singler,F,6/6/13,210,So.,"Medford, Ore. (South Medford HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748530,
ORE,MBBALL,2010-2011,31,Tyrone Nared,Tyrone,Nared,F,6/8/13,210,Jr.,"Woonsocket, R.I. (Monroe College) (Woonsocket HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=204965537,
ORE,MBBALL,2010-2011,34,Joevan Catron,Joevan,Catron,F,6/6/13,245,5Sr.,"Phoenix, Ill. (Thornton Township HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623238,
ORE,MBBALL,2010-2011,55,Jay-R Strowbridge,Jay-R,Strowbridge,G,5/11/13,180,Sr.,"Huntsville, Ala. (Jacksonville State)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205012285,
ORE,MBBALL,2009-2010,1,Nicholas Fearn,Nicholas,Fearn,G,6/1/13,190,So.,"Seattle, Wash. (Seattle Prep)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320690,
ORE,MBBALL,2009-2010,3,Garrett Sim,Garrett,Sim,G,6/1/13,180,So.,"Portland, Ore. (Sunset HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603562,
ORE,MBBALL,2009-2010,11,Malcolm Armstead,Malcolm,Armstead,G,6/1/00,204,So.,"Florence, Ala. (Chipola College) (Central Park Christian)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748525,
ORE,MBBALL,2009-2010,12,Tajuan Porter,Tajuan,Porter,G,5/7/13,155,Sr.,"Detroit, Mich. (Renaissance HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623242,
ORE,MBBALL,2009-2010,14,Matthew Humphrey,Matthew,Humphrey,G,6/5/13,185,So.,"Chicago, Ill. (Hales Franciscan HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603561,
ORE,MBBALL,2009-2010,15,John Elorriaga,John,Elorriaga,G,6/2/13,183,So.,"Portland, Ore. (Jesuit HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320689,
ORE,MBBALL,2009-2010,21,Jamil Wilson,Jamil,Wilson,F,6/7/13,209,Fr.,"Racine, Wis. (Horlick HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748528,
ORE,MBBALL,2009-2010,22,Drew Wiley,Drew,Wiley,F,6/7/13,215,So.,"McKenzie River, Ore. (Thurston HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603565,
ORE,MBBALL,2009-2010,23,Jeremy Jacob,Jeremy,Jacob,F,6/8/13,225,RSo.,"Baton Rouge, La. (Chipola College) (Hargrave Military Academy)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748532,
ORE,MBBALL,2009-2010,25,E.J. Singler,E.J.,Singler,F,6/6/13,210,Fr.,"Medford, Ore. (South Medford HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748530,
ORE,MBBALL,2009-2010,32,Teondre Williams,Teondre,Williams,G,6/4/13,199,So.,"Atlanta, Ga. (Meadowcreek HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603569,
ORE,MBBALL,2009-2010,34,Joevan Catron,Joevan,Catron,F,6/6/13,237,Sr.,"Phoenix, Ill. (Thornton Township HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623238,
ORE,MBBALL,2008-2009,3,Garrett Sim,Garrett,Sim,G,6/1/13,175,Fr.,"Portland, Ore. (Sunset HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603562,
ORE,MBBALL,2008-2009,11,Frantz Dorsainvil,Frantz,Dorsainvil,F,6/9/13,260,RSr.,"Montreal, Quebec (Elizabeth HS/Vincennes Univ.)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623240,
ORE,MBBALL,2008-2009,12,Tajuan Porter,Tajuan,Porter,G,5/6/13,150,Jr.,"Detroit, Mich. (Renaissance HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623242,0
ORE,MBBALL,2008-2009,13,Churchill Odia,Churchill,Odia,G,6/6/13,210,RSr.,"Lagos, Nigeria (Montrose Christian HS/Xavier)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=201195,
ORE,MBBALL,2008-2009,14,Matthew Humphrey,Matthew,Humphrey,G,6/5/13,185,Fr.,"Chicago, Ill. (Hales Franciscan HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603561,
ORE,MBBALL,2008-2009,15,John Elorriaga,John,Elorriaga,G,6/2/13,170,RFr.,"Portland, Ore. (Jesuit HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320689,
ORE,MBBALL,2008-2009,21,Nicholas Fearn,Nicholas,Fearn,G,6/1/13,175,RFr.,"Seattle, Wash. (Seattle Prep)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320690,
ORE,MBBALL,2008-2009,22,Drew Wiley,Drew,Wiley,F,6/7/13,200,Fr.,"McKenzie River, Ore. (Thurston HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603565,
ORE,MBBALL,2008-2009,24,LeKendric Longmire,LeKendric,Longmire,G,6/5/13,200,RSo.,"Pascagoula, Miss. (Pascagoula HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623241,
ORE,MBBALL,2008-2009,32,Teondre Williams,Teondre,Williams,G,6/4/13,210,Fr.,"Atlanta, Ga. (Meadowcreek HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603569,
ORE,MBBALL,2008-2009,33,Michael Dunigan,Michael,Dunigan,C,6/10/13,255,Fr.,"Chicago, Ill. (Farragut Academy)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603556,
ORE,MBBALL,2008-2009,50,Joevan Catron,Joevan,Catron,F,6/6/13,235,Jr.,"Phoenix, Ill. (Thornton Township HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=623238,
ORE,MBBALL,2007-2008,1,Malik Hairston,Malik,Hairston,G,6/6/13,220,Sr.,"Detroit, Mich. (Renaissance HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76402,
ORE,MBBALL,2007-2008,2,Ben Voogd,Ben,Voogd,G,6/2/13,175,Jr.,"Florence, Ore. (Siuslaw HS/Louisiana State)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1211784,
ORE,MBBALL,2007-2008,3,Mitch Platt,Mitch,Platt,C,6/10/13,265,Sr.,"Henderson, Nev. (Green Valley HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=22286,
ORE,MBBALL,2007-2008,4,Bryce Taylor,Bryce,Taylor,G,6/4/13,210,Sr.,"Encino, Calif. (Harvard-Westlake HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=76408,
