ID_Sport,ID_School,Season,Number,Player,Player,First_Name,Last_Name,Position,Height,Weight,Class,Experience,Hometown/Prior_School,Player_URL
MBBALL,UF,2007-2008,33,Nick Calathes,Nick Calathes,Nick,Calathes,G/F,6/6/13,185,Fr.,HS,"Winter Park, Fla./Lake Howell",http://gatorzone.com/basketball/men/bios.php?player_id=16
MBBALL,UF,2007-2008,40,Hudson Fricke,Hudson Fricke,Hudson,Fricke,G,6/1/13,185,Fr.,HS,"Greenville, S.C./ Southside Christian",http://www.gatorzone.com/basketball/men/bios.php?player_id=17
MBBALL,UF,2007-2008,15,Walter Hodge,Walter Hodge,Walter,Hodge,G,6/1/00,170,Jr.,2L,"Guaynabo, Puerto Rico/Florida Air Academy",http://gatorzone.com/basketball/men/bios.php?player_id=4
MBBALL,UF,2007-2008,5,Jai Lucas,Jai Lucas,Jai,Lucas,G,5/11/13,150,Fr.,HS,"Houston, Texas/Bellaire Academy",http://gatorzone.com/basketball/men/bios.php?player_id=18
MBBALL,UF,2007-2008,0,Jonathan Mitchell,Jonathan Mitchell,Jonathan,Mitchell,F,6/7/13,243,So.,1L,"Mount Vernon, N.Y./Mount Vernon",http://gatorzone.com/basketball/men/bios.php?player_id=7
MBBALL,UF,2007-2008,25,Chandler Parsons,Chandler Parsons,Chandler,Parsons,F,6/9/13,200,Fr.,HS,"Winter Park, Fla./Lake Howell",http://gatorzone.com/basketball/men/bios.php?player_id=19
MBBALL,UF,2007-2008,34,Marreese Speights,Marreese Speights,Marreese,Speights,F/C,6/10/13,250,So.,1L,"St. Petersburg, Fla./Hargrove Military Academy",http://gatorzone.com/basketball/men/bios.php?player_id=11
MBBALL,UF,2007-2008,23,Alex Tyus,Alex Tyus,Alex,Tyus,F,6/8/13,203,Fr.,HS,"St. Louis, Mo./Harmony Community",http://gatorzone.com/basketball/men/bios.php?player_id=21
MBBALL,UF,2007-2008,21,Dan Werner,Dan Werner,Dan,Werner,F,6/7/13,235,So.,1L,"Middletown, N.J./Christian Brothers Academy",http://gatorzone.com/basketball/men/bios.php?player_id=14
MBBALL,UF,2008-2009,14,Adam Allen,Adam Allen,Adam,Allen,F,6/8/13,225,So.,1L,"Milton, Fla./Milton",http://gatorzone.com/basketball/men/bios.php?player_id=15
MBBALL,UF,2008-2009,33,Nick Calathes,Nick Calathes,Nick,Calathes,G/F,6/6/13,194,So.,1L,"Casselberry, Fla./Lake Howell",http://gatorzone.com/basketball/men/bios.php?player_id=16
MBBALL,UF,2008-2009,24,Allan Chaney,Allan Chaney,Allan,Chaney,F,6/8/13,231,Fr.,HS,"Baltimore, Md./New London (Conn.)",http://gatorzone.com/basketball/men/bios.php?player_id=23
