ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
FSU,MBBALL,2010-2011,4,Deividas Dulkys,Deividas,Dulkys,G,6/5/13,196,Jr.,"Silute, Lithuania/Findlay College (Nev.) Prep",http://seminoles.collegesports.com/sports/m-baskbl/mtt/dulkys_deividas00.html,
FSU,MBBALL,2010-2011,5,Bernard James,Bernard,James,G,6/10/13,240,Jr.,"Savannah, Ga./Tallahassee Community College",http://www.seminoles.com/sports/m-baskbl/mtt/james_bernard00.html,
FSU,MBBALL,2010-2011,10,Okaro White,Okaro,White,G,6/7/13,180,Fr.,"Clearwater, Fla./Clearwater",http://www.seminoles.com/sports/m-baskbl/mtt/white_okaro00.html,
FSU,MBBALL,2010-2011,15,Terrance Shannon,Terrance,Shannon,F,6/8/13,220,So.,"Forsyth, Ga./Mary Persons",http://seminoles.cstv.com/sports/m-baskbl/mtt/shannon_terrance00.html,
FSU,MBBALL,2010-2011,20,Rafael Portuondo,Rafael,Portuondo,G,5/11/13,160,So.,"Miami, Fla./Miami Dade College",http://seminoles.collegesports.com/sports/m-baskbl/mtt/portuondo_rafael00.html,
FSU,MBBALL,2010-2011,21,Michael Snaer,Michael,Snaer,G,6/5/13,200,So.,"Moreno Valley, Calif./Rancho Verde",http://seminoles.cstv.com/sports/m-baskbl/mtt/snaer_michael00.html,
FSU,MBBALL,2010-2011,22,Derwin Kitchen,Derwin,Kitchen,G,6/4/13,204,Sr.,"Jacksonville, Fla./Raines/Iowa Western C.C.",http://seminoles.collegesports.com/sports/m-baskbl/mtt/kitchen_derwin00.html,
FSU,MBBALL,2010-2011,24,Andrew Rutledge,Andrew,Rutledge,F,6/6/13,200,Sr.,"Tallahassee, Fla/The Maclay School",http://seminoles.collegesports.com/sports/m-baskbl/mtt/rutledge_andrew00.html,
FSU,MBBALL,2010-2011,30,Ian Miller,Ian,Miller,G,6/3/13,180,Fr.,"Charlotte, N.C./United Faith Academy",http://www.seminoles.com/sports/m-baskbl/mtt/miller_ian00.html,
FSU,MBBALL,2010-2011,31,Chris Singleton,Chris,Singleton,F,6/9/13,227,Jr.,"Canton, Ga./Dunwoody",http://seminoles.collegesports.com/sports/m-baskbl/mtt/singleton_chris00.html,
FSU,MBBALL,2010-2011,33,Joey Moreau,Joey,Moreau,G,6/2/13,180,So.,"Bradenton, Fla./IMG Academy",http://seminoles.collegesports.com/sports/m-baskbl/mtt/moreau_joey00.html,
FSU,MBBALL,2010-2011,50,Jon Kreft,Jon,Kreft,C,7/1/00,250,Jr.,"Coral Springs, Fla./Stoneman Douglas",http://seminoles.collegesports.com/sports/m-baskbl/mtt/kreft_jon00.html,
FSU,MBBALL,2009-2010,0,Pierre Jordan,Pierre,Jordan,G,6/1/00,160,Fr.,"Atlanta, Ga./Dunwoody",http://seminoles.collegesports.com/sports/m-baskbl/mtt/jordan_pierre00.html,
FSU,MBBALL,2009-2010,1,Xavier Gibson,Xavier,Gibson,F/C,6/11/13,230,Fr.,"Dothan, Ala./Dothan",http://seminoles.collegesports.com/sports/m-baskbl/mtt/gibson_xavier00.html,
FSU,MBBALL,2009-2010,2,Jordan DeMercy,Jordan,DeMercy,F,6/7/13,208,So.,"Norcorss, Ga./Norcross",http://seminoles.collegesports.com/sports/m-baskbl/mtt/demercy_jordan01.html,
FSU,MBBALL,2009-2010,3,Luke Loucks,Luke,Loucks,G,6/5/13,205,Fr.,"Clearwater, Fla./Clearwater",http://seminoles.collegesports.com/sports/m-baskbl/mtt/loucks_luke00.html,
FSU,MBBALL,2009-2010,4,Deividas Dulkys,Deividas,Dulkys,G,6/5/13,195,Fr.,"Silute, Lithuania/Findlay College (Nev.) Prep",http://seminoles.collegesports.com/sports/m-baskbl/mtt/dulkys_deividas00.html,
FSU,MBBALL,2009-2010,21,Brian Hoff,Brian,Hoff,G,6/6/13,197,Sr.,"Jacksonville, Fla./Arlington Country Day",http://seminoles.cstv.com/sports/m-baskbl/mtt/hoff_brian00.html,
FSU,MBBALL,2009-2010,22,Derwin Kitchen,Derwin,Kitchen,G,6/4/13,180,So.,"Jacksonville, Fla./Raines/Iowa Western C.C.",http://seminoles.collegesports.com/sports/m-baskbl/mtt/kitchen_derwin00.html,
FSU,MBBALL,2009-2010,23,Toney Douglas,Toney,Douglas,G,6/2/13,200,Sr.,"Jonesboro, Ga./Auburn University",http://seminoles.collegesports.com/sports/m-baskbl/mtt/douglas_toney00.html,
