Player,Draft Year,Height Without Shoes,Height Without Shoes (inches),Height,Height (inches),Weight (lbs),Wingspan,Wingspan (inches),Reach,Reach (inches),Body Fat (%),Hand Length (inches),Hand Width (inches),No Step Verticle (inches),No Step Verticle Reach,No Step Verticle Reach (inches),Max Verticle (Inches),Max Verticle Reach,Max Verticle Reach (inches),Bench Press (reps of 185lbs.),Lane Agility Drill ,Sprint (3 Quarter Court in seconds),Predraft Rank,Draft Number,Draftexpress_Player_URL,Source,ID.Date
Nick George,2006,"6' 5""",77,"6' 5.75""",77.75,207,"6' 9.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nick-George-519/,Draftexpress,5/1/06
Nick Faust,2010,NA,NA,"6' 5""",77,172,"6' 9.5""",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nick-Faust-6525/,Draftexpress,5/1/10
Nick Faust,2010,NA,NA,"6' 5""",77,172,"6' 9.5""",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nick-Faust-6525/,Draftexpress,5/1/10
Nick Faust,2010,"6' 4""",76,NA,NA,174,"6' 10""",82,"8' 4""",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nick-Faust-6525/,Draftexpress,5/1/10
Nick Davis,1998,"6' 8.5""",80.5,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nick-Davis-36276/,Draftexpress,5/1/98
Nick Collison,2003,"6' 8.75""",80.75,"6' 10""",82,255,"7' 1.5""",NA,"9' 0""",108,17.00%,NA,NA,28,"11' 4""",136,33,"11' 9""",141,8,11.62,3.28,54,12,http://draftexpress.com/profile/Nick-Collison-2031/,Draftexpress,5/1/03
Nick Barbour,2012,"6' 0.75""",72.75,NA,NA,196,"6' 3.5""",75.5,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,11.02,3.33,NA,NA,http://draftexpress.com/profile/Nick-Barbour-20121/,Draftexpress,5/1/12
Nick Anderson,1989,"6' 4.5""",76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,http://draftexpress.com/profile/Nick-Anderson-1510/,Draftexpress,5/1/89
Nerlens Noel,2012,"6' 10""",82,"6' 11""",83,216,"7' 4""",88,"9' 1.5""",109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nerlens-Noel-6455/,Draftexpress,5/1/12
Nerlens Noel,2011,NA,NA,"6' 11.5""",83.5,201,"7' 3""",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nerlens-Noel-6455/,Draftexpress,5/1/11
Nerlens Noel,2011,NA,NA,"6' 11.5""",83.5,201,"7' 3""",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nerlens-Noel-6455/,Draftexpress,5/1/11
Nene Hilario,2002,"6' 9.25""",81.25,"6' 10.25""",82.25,253,"7' 4.5""",NA,"9' 1""",109,NA,NA,NA,30,"11' 7""",139,34,"11' 11""",143,16,10.73,3.19,2,7,http://draftexpress.com/profile/Nene--2826/,Draftexpress,5/1/02
Nemanja Nedovic,2011,"6' 2.80""",74.8,"6' 3.98""",75.98,195,"6' 5.17""",77.17,"7' 7.34""",91.34,5.30%,NA,NA,32.4,"10' 3.74""",123.74,41,"11' 0.34""",132.34,NA,NA,3.26,NA,NA,http://draftexpress.com/profile/Nemanja-Nedovic-6316/,Draftexpress,5/1/11
Nemanja Jaramaz,2012,"6' 5.75""",77.75,"6' 7""",79,223,"6' 8.25""",80.25,"8' 5.5""",101.5,NA,NA,NA,29,"10' 10.5""",130.5,31.5,"11' 1""",133,NA,11.87,3.41,NA,NA,http://draftexpress.com/profile/Nemanja-Jaramaz-40012/,Draftexpress,5/1/12
Nemanja Gordic,2009,"6' 2.25""",74.25,"6' 3.75""",75.75,194,"6' 5""",77,"8' 3""",99,NA,NA,NA,24,"10' 3""",123,32,"10' 11""",131,NA,NA,3.67,NA,NA,http://draftexpress.com/profile/Nemanja-Gordic-5164/,Draftexpress,5/1/09
Nemanja Aleksandrov,2009,"6' 10.25""",82.25,"6' 11.5""",83.5,223,"6' 10.75""",82.75,"8' 11""",107,NA,NA,NA,24,"10' 11""",131,29,"11' 4""",136,NA,NA,3.75,NA,NA,http://draftexpress.com/profile/Nemanja-Aleksandrov-37/,Draftexpress,5/1/09
Nemanja Aleksandrov,2007,NA,NA,"6' 10.5""",82.5,230,"6' 11.5""",NA,"8' 10""",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nemanja-Aleksandrov-37/,Draftexpress,5/1/07
Nemanja Aleksandrov,2005,"6' 10""",82,"7' 0""",84,221,"6' 11""",NA,"9' 2""",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,81,NA,http://draftexpress.com/profile/Nemanja-Aleksandrov-37/,Draftexpress,5/1/05
Nazr Mohammed,1998,"6' 10""",82,NA,NA,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,http://draftexpress.com/profile/Nazr-Mohammed-3634/,Draftexpress,5/1/98
Nate Williams,2004,"6' 8.5""",80.5,"6' 10""",82,240,"7' 1.5""",NA,"9' 1.5""",109.5,NA,NA,NA,23.5,"11' 1""",133,26,"11' 3.5""",135.5,1,12.6,3.35,72,NA,http://draftexpress.com/profile/Nate-Williams-31465/,Draftexpress,5/1/04
Nate Robinson,2004,"5' 7.75""",67.75,"5' 9""",69,181,"6' 1""",NA,"7' 7.5""",91.5,NA,NA,NA,35.5,"10' 7""",127,43.5,"11' 3""",135,13,10.75,2.96,1,21,http://draftexpress.com/profile/Nate-Robinson-67/,Draftexpress,5/1/04
Nate Lubick,2009,NA,NA,"6' 8.5""",80.5,222,"6' 10.5""",82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nate-Lubick-5495/,Draftexpress,5/1/09
Nate Johnson,2000,"6' 6.5""",78.5,"6' 7""",79,212,"6' 8.5""",NA,"8' 8""",104,NA,NA,NA,27,"10' 11""",131,33.5,"11' 5.5""",137.5,13,11.9,3.33,30,NA,http://draftexpress.com/profile/Nate-Johnson-31525/,Draftexpress,5/1/00
Nate Funk,2007,"6' 2.25""",74.25,"6' 3.25""",75.25,194,"6' 6.25""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Nate-Funk-26917/,Draftexpress,5/1/07
Nando De Colo,2009,"6' 4.25""",76.25,"6' 5""",77,186,"6' 5.5""",77.5,"8' 3""",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,NA,NA,http://draftexpress.com/profile/Nando-De-Colo-5087/,Draftexpress,5/1/09
Naadir Tharpe,2010,"5' 11""",71,NA,NA,160,"6' 4""",76,"7' 8""",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Naadir-Tharpe-5794/,Draftexpress,5/1/10
Myles Mack,2011,NA,NA,"5' 10""",70,151,"6' 1""",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myles-Mack-41724/,Draftexpress,5/1/11
Myles Mack,2010,NA,NA,"5' 10""",70,151,"6' 1""",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myles-Mack-41724/,Draftexpress,5/1/10
Myles Mack,2010,"5' 9""",69,NA,NA,154,"6' 2""",74,"7' 5.5""",89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myles-Mack-41724/,Draftexpress,5/1/10
Myles Davis,2010,NA,NA,"6' 2""",74,196,"6' 0""",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myles-Davis-7096/,Draftexpress,5/1/10
Myles Davis,2010,NA,NA,"6' 2""",74,196,"6' 0""",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myles-Davis-7096/,Draftexpress,5/1/10
Mychael Henry,2010,NA,NA,"6' 6.5""",78.5,211,"6' 10.5""",82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myke-Henry-41346/,Draftexpress,5/1/10
Mychael Henry,2010,NA,NA,"6' 6.5""",78.5,211,"6' 10.5""",82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myke-Henry-41346/,Draftexpress,5/1/10
Mykal Riley,2008,"6' 4""",76,"6' 5""",77,186,"6' 10.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mykal-Riley-5103/,Draftexpress,5/1/08
Myck Kabongo,2010,NA,NA,"6' 2""",74,170,"6' 7""",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myck-Kabongo-5693/,Draftexpress,5/1/10
Myck Kabongo,2010,"6' 2""",74,NA,NA,168,"6' 10""",82,"8' 0""",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myck-Kabongo-5693/,Draftexpress,5/1/10
Myck Kabongo,2009,NA,NA,"6' 2""",74,160,"6' 6.5""",78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Myck-Kabongo-5693/,Draftexpress,5/1/09
Mychel Thompson,2011,"6' 5.5""",77.5,"6' 6.5""",78.5,213,"6' 7""",79,"8' 5.5""",101.5,7.20%,9.5,NA,29.5,"10' 11""",131,35,"11' 4.5""",136.5,NA,8.97,4.01,NA,NA,http://draftexpress.com/profile/Mychel-Thompson-17915/,Draftexpress,5/1/11
Mustapha Farrakhan,2011,"6' 3""",75,"6' 4""",76,180,"6' 7""",79,"8' 0""",96,5.50%,9.25,NA,35,"10' 11""",131,41.5,"11' 5.5""",137.5,NA,8.18,3.88,NA,NA,http://draftexpress.com/profile/Mustapha-Farrakhan-16566/,Draftexpress,5/1/11
Mustafa Shakur,2007,"6' 3""",75,"6' 4.5""",76.5,185,"6' 5.5""",NA,"8' 3""",99,4.60%,NA,NA,28.5,"10' 7.5""",127.5,35,"11' 2""",134,11,11.82,3.27,39,NA,http://draftexpress.com/profile/Mustafa-Shakur-163/,Draftexpress,5/1/07
Mustafa Shakur,2006,"6' 2.5""",74.5,"6' 3.25""",75.25,183,"6' 5""",NA,"8' 1""",97,4.60%,NA,NA,31,"10' 8""",128,34.5,"10' 11.5""",131.5,10,11.75,3.28,43,NA,http://draftexpress.com/profile/Mustafa-Shakur-163/,Draftexpress,5/1/06
Mouphtaou Yarou,2011,NA,NA,"6' 9""",81,253,"6' 11""",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mouphtaou-Yarou-5244/,Draftexpress,5/1/11
Moses Morgan,2009,NA,NA,"6' 5""",77,208,"6' 9""",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Moses-Morgan-20248/,Draftexpress,5/1/09
Moses Kingsley,2011,NA,NA,"6' 9""",81,209,"7' 1""",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Moses-Kingsley-7080/,Draftexpress,5/1/11
Morris Almond,2006,"6' 4.75""",76.75,"6' 6""",78,214,"6' 10""",NA,"8' 6.5""",102.5,6.90%,NA,NA,31,"11' 1.5""",133.5,35.5,"11' 6""",138,13,11.45,3.19,19,25,http://draftexpress.com/profile/Morris-Almond-1026/,Draftexpress,5/1/06
Monty Williams,1994,"6' 7.5""",79.5,NA,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,http://draftexpress.com/profile/Monty-Williams-4907/,Draftexpress,5/1/94
Monta Ellis,2005,"6' 2.25""",74.25,"6' 3.25""",75.25,177,"6' 2.75""",NA,"8' 2""",98,NA,NA,NA,26.5,"10' 4.5""",124.5,31.5,"10' 9.5""",129.5,,12.13,3.31,70,40,http://draftexpress.com/profile/Monta-Ellis-289/,Draftexpress,5/1/05
Mohamed Kone,2006,"6' 9.25""",81.25,"6' 10.75""",82.75,235,"7' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mohamed-Kone-528/,Draftexpress,5/1/06
Mohamed Abukar,2007,"6' 8.75""",80.75,"6' 9.75""",81.75,210,"6' 9""",NA,"8' 7""",103,8.90%,NA,NA,30.5,"11' 1.5""",133.5,35,"11' 6""",138,15,11.78,3.37,34,NA,http://draftexpress.com/profile/Mohamed-Abukar-1045/,Draftexpress,5/1/07
Mohamed Abukar,2007,"6' 9.25""",81.25,"6' 10.5""",82.5,210,"6' 9.5""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mohamed-Abukar-1045/,Draftexpress,5/1/07
Moe Harkless,2012,"6' 7.25""",79.25,"6' 8.75""",80.75,207,"7' 0""",84,"8' 6.5""",102.5,5.30%,9.25,10.25,32.5,"11' 3""",135,37,"11' 7.5""",139.5,5,10.87,3.25,NA,15,http://draftexpress.com/profile/Moe-Harkless-6526/,Draftexpress,5/1/12
Mitch McGary,2012,"6' 9""",81,"6' 9.75""",81.75,263,"7' 0""",84,"8' 11.5""",107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mitch-McGary-6431/,Draftexpress,5/1/12
Mitch McGary,2011,NA,NA,"6' 11""",83,258,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mitch-McGary-6431/,Draftexpress,5/1/11
Mitch McGary,2011,NA,NA,"6' 11""",83,258,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mitch-McGary-6431/,Draftexpress,5/1/11
Mitchell Watt,2012,"6' 7.75""",79.75,"6' 9""",81,229,"6' 11.75""",83.75,"8' 10.5""",106.5,7.10%,10,NA,29.5,"11' 4""",136,33,"11' 7.5""",139.5,7,12.31,3.35,NA,NA,http://draftexpress.com/profile/Mitchell-Watt-16219/,Draftexpress,5/1/12
Mitchell Watt,2012,"6' 8""",80,NA,NA,220,"7' 0""",84,NA,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA,NA,11.63,3.4,NA,NA,http://draftexpress.com/profile/Mitchell-Watt-16219/,Draftexpress,5/1/12
Misan Nikagbatse,2004,"6' 3.5""",75.5,"6' 4.75""",76.75,223,"6' 10""",NA,"8' 6""",102,NA,NA,NA,27.5,"10' 9.5""",129.5,32.5,"11' 2.5""",134.5,11,11.27,3.32,39,NA,http://draftexpress.com/profile/Misan-Nikagbatse-36250/,Draftexpress,5/1/04
Mirsad Turkcan,1998,"6' 8""",80,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,http://draftexpress.com/profile/Mirsad-Turkcan-4656/,Draftexpress,5/1/98
Mire Chatman,2002,"6' 0""",72,NA,NA,174,"6' 6""",NA,"8' 2""",98,NA,NA,NA,29,"10' 7""",127,33,"10' 11""",131,1,11.12,3.18,26,NA,http://draftexpress.com/profile/Mire-Chatman-5395/,Draftexpress,5/1/02
Miralem Halilovic,2010,"6' 8.31""",80.31,"6' 9.89""",81.89,210,"6' 11.86""",83.86,"8' 10.69""",106.69,NA,NA,NA,25.2,"10' 11.89""",131.89,33.5,"11' 8.19""",140.19,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Miralem-Halilovic-40239/,Draftexpress,5/1/10
Hailovic Miralem,2009,"6' 8.25""",80.25,"6' 9""",81,201,"6' 11""",83,"8' 10""",106,NA,NA,NA,27,"11' 1""",133,0,NA,NA,NA,NA,3.55,NA,NA,http://draftexpress.com/profile/Miralem-Halilovic-40239/,Draftexpress,5/1/09
Mindaugas Kuzminskas,2011,"6' 8.31""",80.31,"6' 9.5""",81.5,225,"6' 11.07""",83.07,"8' 9.91""",105.91,7.00%,NA,NA,17.2,"10' 3.11""",123.11,32.4,"11' 6.31""",138.31,NA,NA,3.26,NA,NA,http://draftexpress.com/profile/Mindaugas-Kuzminskas-5783/,Draftexpress,5/1/11
Mindaugas Kuzminskas,2010,"6' 7.92""",79.92,"6' 9.10""",81.1,218,"6' 11.07""",83.07,"8' 11.48""",107.48,NA,NA,NA,27.2,"11' 2.68""",134.68,33.9,"11' 9.38""",141.38,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mindaugas-Kuzminskas-5783/,Draftexpress,5/1/10
Mindaugas Kuzminskas,2009,"6' 9""",81,"6' 8.75""",80.75,214,"6' 11""",83,"8' 11""",107,NA,NA,NA,26,"11' 1""",133,32,"11' 7""",139,NA,NA,3.5,NA,NA,http://draftexpress.com/profile/Mindaugas-Kuzminskas-5783/,Draftexpress,5/1/09
Mindaugas Kupsas,2012,"7' 1""",85,"7' 1.5""",85.5,261,"7' 2.25""",86.25,"9' 4""",112,12.60%,9,NA,24,"11' 4""",136,25,"11' 5""",137,5,12.44,3.6,NA,NA,http://draftexpress.com/profile/Mindaugas-Kupsas-49035/,Draftexpress,5/1/12
Mindaugas Katelynas,2005,"6' 7.5""",79.5,"6' 8.5""",80.5,217,"6' 11""",NA,"8' 9.5""",105.5,NA,NA,NA,31.5,"11' 5""",137,35,"11' 8.5""",140.5,7,11.6,3.38,52,NA,http://draftexpress.com/profile/Mindaugas-Katelynas-429/,Draftexpress,5/1/05
Miles Simon,1998,"6' 3""",75,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,http://draftexpress.com/profile/Miles-Simon-4345/,Draftexpress,5/1/98
Miles Plumlee,2012,"6' 10.5""",82.5,"6' 11.75""",83.75,252,"7' 0.75""",84.75,"8' 9.5""",105.5,11.40%,9.25,9,34,"11' 7.5""",139.5,40.5,"12' 2""",146,15,10.64,3.36,NA,26,http://draftexpress.com/profile/Miles-Plumlee-5261/,Draftexpress,5/1/12
Miles Plumlee,2011,NA,NA,"6' 11.5""",83.5,247,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,http://draftexpress.com/profile/Miles-Plumlee-5261/,Draftexpress,5/1/11
Miles Plumlee,2011,NA,NA,"6' 11.5""",83.5,247,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,http://draftexpress.com/profile/Miles-Plumlee-5261/,Draftexpress,5/1/11
Mikhail Torrance,2010,"6' 4""",76,NA,NA,207,"6' 6.75""",78.75,"8' 5.75""",101.75,NA,8.75,9.5,23,"10' 4.75""",124.75,32,"11' 1.75""",133.75,8,11.43,3.17,NA,52,http://draftexpress.com/profile/Mikhail-Torrance-5846/,Draftexpress,5/1/10
Mikhail Torrance,2010,"6' 4""",76,"6' 5""",77,209,"6' 7.5""",79.5,"8' 7""",103,7.00%,8.75,9.5,23,"10' 6""",126,32,"11' 3""",135,8,11.43,3.17,NA,52,http://draftexpress.com/profile/Mikhail-Torrance-5846/,Draftexpress,5/1/10
Mike Williams,2004,"6' 5.5""",77.5,"6' 6.5""",78.5,197,"6' 11.5""",NA,"8' 9.5""",105.5,NA,NA,NA,23.5,"10' 9""",129,27.5,"11' 1""",133,NA,11.59,3.42,69,51,http://draftexpress.com/profile/Mike-Williams-4906/,Draftexpress,5/1/04
Mike Tisdale,2011,"6' 11.75""",83.75,NA,NA,236,"7' 2""",86,"9' 2.5""",110.5,NA,NA,NA,26.5,"11' 5""",137,NA,NA,NA,NA,11.22,3.55,NA,NA,http://draftexpress.com/profile/Mike-Tisdale-6387/,Draftexpress,5/1/11
Mike Taylor,2008,"6' 0.75""",72.75,"6' 2""",74,166,"6' 7.25""",79.25,"8' 2""",98,3.80%,NA,NA,31,"10' 9""",129,39,"11' 5""",137,2,10.98,3.08,NA,55,http://draftexpress.com/profile/Mike-Taylor-5211/,Draftexpress,5/1/08
Mike Sweetney,2003,"6' 7.25""",79.25,"6' 8""",80,262,"7' 1""",NA,"8' 11.5""",107.5,14.10%,NA,NA,28,"11' 3.5""",135.5,31.5,"11' 7""",139,3,12.9,3.28,70,9,http://draftexpress.com/profile/Mike-Sweetney-4527/,Draftexpress,5/1/03
Mike Smith,2011,"6' 4.75""",76.75,NA,NA,223,"6' 7""",79,"8' 3.75""",99.75,NA,NA,NA,28.5,"10' 8.25""",128.25,NA,NA,NA,NA,11.57,3.29,NA,35,http://draftexpress.com/profile/Mike-Smith-4403/,Draftexpress,5/1/11
Mike Smith,2000,"6' 6.5""",78.5,NA,NA,198,"6' 8.5""",NA,"8' 7""",103,NA,NA,NA,33,"11' 4""",136,21,"10' 4""",124,12,11.32,3.22,20,35,http://draftexpress.com/profile/Mike-Smith-4403/,Draftexpress,5/1/00
Mike Shaw,2010,NA,NA,"6' 8""",80,213,"6' 9""",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mike-Shaw-5252/,Draftexpress,5/1/10
Mike Shaw,2010,NA,NA,"6' 8""",80,213,"6' 9""",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mike-Shaw-5252/,Draftexpress,5/1/10
Mike Shaw,2010,"6' 8""",80,NA,NA,220,"6' 10""",82,"8' 7""",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mike-Shaw-5252/,Draftexpress,5/1/10
Mike Shaw,2009,NA,NA,"6' 8""",80,208,"6' 6""",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mike-Shaw-5252/,Draftexpress,5/1/09
Mike Shaw,2009,NA,NA,"6' 8""",80,208,"6' 6""",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mike-Shaw-5252/,Draftexpress,5/1/09
Mike Scott,2012,"6' 7.25""",79.25,"6' 8.75""",80.75,241,"6' 10.75""",82.75,"8' 8""",104,10.60%,8.5,9,27,"10' 11""",131,32.5,"11' 4.5""",136.5,14,11.59,3.44,NA,43,http://draftexpress.com/profile/Mike-Scott-6482/,Draftexpress,5/1/12
Mike Mardesich,2001,"6' 10.25""",82.25,"6' 11.25""",83.25,247,"7' 0.5""",NA,"9' 0.5""",108.5,NA,NA,NA,24,"11' 0.5""",132.5,30,"11' 6.5""",138.5,8,11.65,3.45,67,NA,http://draftexpress.com/profile/Mike-Mardesich-36944/,Draftexpress,5/1/01
Mike Jones,2007,"6' 3.5""",75.5,"6' 5""",77,196,"6' 9.25""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mike-Jones-176/,Draftexpress,5/1/07
Mike Hall,2006,"6' 7.5""",79.5,"6' 8.5""",80.5,234,"7' 2.25""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mike-Hall-1034/,Draftexpress,5/1/06
Mike Green,2008,"6' 0.5""",72.5,"6' 1.75""",73.75,180,"6' 5.75""",77.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mike-Green-5080/,Draftexpress,5/1/08
Mike Glover,2012,"6' 4.5""",76.5,"6' 5.5""",77.5,234,"6' 8.75""",80.75,"8' 7.5""",103.5,14.00%,9,NA,30.5,"11' 2""",134,35.5,"11' 7""",139,13,12.06,3.28,NA,NA,http://draftexpress.com/profile/Mike-Glover-6490/,Draftexpress,5/1/12
Mike Glover,2012,"6' 6""",78,NA,NA,226,"6' 9""",81,NA,NA,NA,NA,NA,29.8,NA,NA,NA,NA,NA,NA,12.41,3.38,NA,NA,http://draftexpress.com/profile/Mike-Glover-6490/,Draftexpress,5/1/12
Mike Dunleavy,2002,"6' 8""",80,"6' 9.5""",81.5,230,"6' 9""",NA,"8' 10""",106,NA,NA,NA,24.5,"10' 10.5""",130.5,29,"11' 3""",135,11,11.55,3.3,53,3,http://draftexpress.com/profile/Mike-Dunleavy-2294/,Draftexpress,5/1/02
Mike Davis,2011,"6' 8.25""",80.25,NA,NA,213,"7' 1""",85,"8' 9.75""",105.75,NA,NA,NA,31.5,"11' 5.25""",137.25,NA,NA,NA,NA,11.29,3.3,NA,NA,http://draftexpress.com/profile/Mike-Davis-5728/,Draftexpress,5/1/11
Mike Conley Jr,2007,"5' 11.75""",71.75,"6' 0.75""",72.75,175,"6' 5.75""",NA,"7' 10.5""",94.5,4.20%,NA,NA,35.5,"10' 10""",130,40.5,"11' 3""",135,13,11.63,3.09,4,4,http://draftexpress.com/profile/Mike-Conley-Jr-1176/,Draftexpress,5/1/07
Mike Bibby,1998,"6' 1""",73,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,http://draftexpress.com/profile/Mike-Bibby-1678/,Draftexpress,5/1/98
Mike Bell,2005,"6' 8.75""",80.75,"6' 9.25""",81.25,206,"7' 1.5""",NA,"8' 8.5""",104.5,NA,NA,NA,33.5,"11' 6""",138,39.5,"12' 0""",144,13,11.73,3.29,19,NA,http://draftexpress.com/profile/Mike-Bell-442/,Draftexpress,5/1/05
Mikael Hopkins,2010,NA,NA,"6' 8""",80,206,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://draftexpress.com/profile/Mikael-Hopkins-6255/,Draftexpress,5/1/10
Mickey McConnell,2011,"5' 11.75""",71.75,NA,NA,187,"6' 1""",73,"7' 8.5""",92.5,NA,NA,NA,25.5,"9' 10""",118,NA,NA,NA,NA,11.62,3.22,NA,NA,http://draftexpress.com/profile/Mickey-McConnell-6385/,Draftexpress,5/1/11
Michel Morandais,2004,"6' 3.75""",75.75,"6' 4.75""",76.75,205,"6' 11.5""",NA,"8' 6""",102,NA,NA,NA,30.5,"11' 0.5""",132.5,33.5,"11' 3.5""",135.5,16,11.45,3.22,20,NA,http://draftexpress.com/profile/Michel-Morandais-5550/,Draftexpress,5/1/04
