year,team,rank,value,value_change,debt_percent,revenue,expenses,operating_income,gate_revenue,media_revenue,stadium_revenue,player_expense,other_revenue,other_expense,name,team_id,wikiurl,imageurl,revenue_multiple,ebitda_multiple,debt,debt_yield,operating_income_yield,league
2013,Dallas Cowboys,1.00,2300.00,0.10,0.12,539.00,288.30,250.70,NA,NA,NA,NA,NA,NA,Cowboys,dal,wikipedia.org/wiki/Dallas_Cowboys,http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/200px-Dallas_Cowboys.svg.png,4.27,9.17,276.00,0.91,0.11,NFL
2013,New England Patriots,2.00,1800.00,0.10,0.14,408.00,268.80,139.20,NA,NA,NA,NA,NA,NA,Patriots,new,wikipedia.org/wiki/New_England_Patriots,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/200px-New_England_Patriots_logo.svg.png,4.41,12.93,252.00,0.55,0.08,NFL
2013,Washington Redskins,3.00,1700.00,0.06,0.26,381.00,276.70,104.30,NA,NA,NA,NA,NA,NA,Redskins,was,wikipedia.org/wiki/Washington_Redskins,http://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/200px-Washington_Redskins_logo.svg.png,4.46,16.30,442.00,0.24,0.06,NFL
2013,New York Giants,4.00,1550.00,0.06,0.42,338.00,273.60,64.40,NA,NA,NA,NA,NA,NA,Giants,nyg,wikipedia.org/wiki/New_York_Giants,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/200px-New_York_Giants_logo.svg.png,4.59,24.07,651.00,0.10,0.04,NFL
2013,Houston Texans,5.00,1450.00,0.11,0.13,320.00,238.50,81.50,NA,NA,NA,NA,NA,NA,Texans,htx,wikipedia.org/wiki/Houston_Texans,http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/200px-Houston_Texans_logo.svg.png,4.53,17.79,188.50,0.43,0.06,NFL
2013,New York Jets,6.00,1380.00,0.07,0.54,321.00,268.20,52.80,NA,NA,NA,NA,NA,NA,Jets,nyj,wikipedia.org/wiki/New_York_Jets,http://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/200px-New_York_Jets_logo.svg.png,4.30,26.14,745.20,0.07,0.04,NFL
2013,Philadelphia Eagles,7.00,1314.00,0.04,0.15,306.00,258.20,47.80,NA,NA,NA,NA,NA,NA,Eagles,phi,wikipedia.org/wiki/Philadelphia_Eagles,http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Philadelphia_Eagles_primary_logo.svg/200px-Philadelphia_Eagles_primary_logo.svg.png,4.29,27.49,197.10,0.24,0.04,NFL
2013,Chicago Bears,8.00,1252.00,0.05,0.09,298.00,234.80,63.20,NA,NA,NA,NA,NA,NA,Bears,chi,wikipedia.org/wiki/Chicago_Bears,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/200px-Chicago_Bears_logo.svg.png,4.20,19.81,112.68,0.56,0.05,NFL
2013,Baltimore Ravens,9.00,1227.00,0.06,0.22,292.00,243.70,48.30,NA,NA,NA,NA,NA,NA,Ravens,rav,wikipedia.org/wiki/Baltimore_Ravens,http://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/100px-Baltimore_Ravens_logo.svg.png,4.20,25.40,269.94,0.18,0.04,NFL
2013,San Francisco 49ers,10.00,1224.00,0.04,0.11,255.00,244.80,10.20,NA,NA,NA,NA,NA,NA,49ers,sfo,wikipedia.org/wiki/San_Francisco_49ers,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/49ers_Logo.svg/200px-49ers_Logo.svg.png,4.80,120.00,134.64,0.08,0.01,NFL
