CombineYear,Player,ReconciledCollege,Position,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,Division,Conference,College
2005,Adam Bergen,Lehigh University,TE,NA,6.4166641,259,4.78,25,38,121,4.11,7.12,NA,Division I-AA,Patriot League,Lehigh
2008,Adam Bishop,University of Nevada,TE,NA,6.4166641,248,4.98,21,27,113,4.28,7.14,NA,Division I,Mountain West,Nevada
2007,Adam Carriker,University of Nebraska,DE,NA,6.4999974,296,4.9,33,33.5,110,4.18,7.06,NA,Division I,Big Ten,Nebraska
2000,Adam Davis,Oklahoma State Universityâ€“Stillwater,OG,NA,6.3333308,309,5.66,NA,26,92,5,8.51,NA,Division I,Big 12,Oklahoma State
2012,Adam Gettis,University of Iowa,OG,NA,6.1666642,293,5,NA,31,112,4.65,7.99,NA,Division I,Big Ten,Iowa
2011,Adam Grant,University of Arizona,OT,NA,6.4999974,325,5.54,25,26.5,99,5,8.25,NA,Division I,Pacific-12,Arizona
2001,Adam Haayer,University of Minnesota,OG,NA,6.4999974,298,5.3,23,NA,NA,NA,NA,NA,Division I,Big Ten,Minnesota
2006,Adam Jennings,"California State University, Fresno",WR,NA,5.7499977,181,4.44,NA,37.5,118,4.16,6.89,NA,Division I,Mountain West,Fresno State
2005,Adam Kieft,Central Michigan University,OT,NA,6.5833307,337,5.52,28,33,110,4.77,7.8,NA,Division I,Mid-American,Central Michigan
2007,Adam Koets,Oregon State University,OT,NA,6.4166641,298,5.08,20,32,106,4.47,7.44,NA,Division I,Pacific-12,Oregon State
2005,Adam Seward,"University of Nevada, Las Vegas",ILB,NA,6.1666642,248,4.6,33,36.5,120,4.11,7.17,NA,Division I,Mountain West,UNLV
2005,Adam Snyder,University of Oregon,OG,NA,6.4999974,316,5.34,21,28.5,93,4.86,7.85,NA,Division I,Pacific-12,Oregon
2008,Adam Tafralis,San Jose State University,QB,NA,6.0833309,221,4.78,NA,32,108,4.33,7.14,NA,Division I,Mountain West,San Jose State
2005,Adam Terry,Syracuse University,OT,NA,6.666664,330,5.4,NA,28,96,4.79,7.9,NA,Division I,Atlantic Coast,Syracuse
2010,Adam Ulatoski,University of Texas,OG,NA,6.4999974,300,5.52,24,26,NA,4.99,7.98,NA,Division I,Big 12,University of Texas
2008,Adarius Bowman,Oklahoma State Universityâ€“Stillwater,WR,NA,6.2499975,223,4.74,14,NA,NA,NA,NA,NA,Division I,Big 12,Oklahoma State
2005,Adell Duckett,Texas Tech University,DE,NA,6.3333308,270,4.93,14,34.5,105,4.35,7.75,NA,Division I,Big 12,Texas Tech
2005,Adrian Awasom,University of North Texas,DE,NA,6.3333308,279,4.93,23,32.5,107,4.4,7.57,NA,Division I,Conference USA,North Texas
2013,Adrian Bushell,University of Louisville,CB,68,5.7499977,186,4.58,17,33,116,4.25,6.92,NA,Division I,Big East,Louisville
2011,Adrian Clayborn,University of Iowa,DE,NA,6.2499975,281,4.78,NA,33,113,4.13,7.3,NA,Division I,Big Ten,Iowa
1999,Adrian Dingle,Clemson University,DE,NA,6.2499975,290,4.94,20,33,112,4.4,7.43,NA,Division I,Atlantic Coast,Clemson
2009,Adrian Grady,University of Louisville,DT,NA,6.1666642,298,5.19,31,32,105,4.72,7.68,NA,Division I,Big East,Louisville
2004,Adrian Jones,University of Kansas,OT,NA,6.3333308,296,4.97,27,31,114,4.6,7.81,NA,Division I,Big 12,Kansas
2000,Adrian Klemm,University of Hawaii,OT,NA,6.3333308,307,4.98,24,NA,NA,NA,NA,NA,Division I,Mountain West,Hawaii
2003,Adrian Madise,Texas Christian University,WR,NA,6.0833309,215,4.49,NA,32,119,4.26,7.32,NA,Division I,Big 12,Texas Christian University
2005,Adrian McPherson,Florida State University,QB,NA,6.3333308,218,4.71,22,34.5,128,4.12,6.94,26,Division I,Atlantic Coast,Florida State
2011,Adrian Moten,University of Maryland,OLB,NA,6.1666642,228,4.53,18,31,114,4.21,7.05,NA,Division I,Atlantic Coast,Maryland
2002,Adrian Peterson,Georgia Southern University,RB,NA,5.833331,214,4.68,14,34,119,4.6,7.59,NA,Division I-AA,Southern,Georgia Southern
