CombineYear,Player,ReconciledCollege,Position,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,Division,Conference,College
2009,Brian Orakpo,University of Texas,DE,NA,6.2499975,263,4.63,31,39.5,NA,NA,NA,NA,Division I,Big 12,University of Texas
2002,Brian Poli-Dixon,"University of California, Los Angeles",WR,NA,6.4166641,210,4.48,NA,NA,NA,NA,NA,NA,Division I,Pacific-12,UCLA
2010,Brian Price,"University of California, Los Angeles",DT,NA,6.0833309,303,5.12,34,28.5,96,NA,NA,NA,Division I,Pacific-12,UCLA
1999,Brian Pukenas,University of West Virginia,OG,NA,6.3333308,303,5.41,25,26.5,98,4.73,8.09,NA,Division I,Big 12,West Virginia
2012,Brian Quick,Appalachian State University,WR,NA,6.3333308,220,4.55,15,34,119,4.23,7.1,NA,Division I-AA,Southern,Appalachian State
2005,Brian Randall,Virginia Polytechnic Institute and State University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Division I,Atlantic Coast,Virginia Tech
2004,Brian Rimpf,East Carolina University,OT,NA,6.4999974,315,5.41,31,28,105,4.66,7.98,NA,Division I,Big East,East Carolina
2009,Brian Robiskie,Ohio State University,WR,NA,6.2499975,209,4.46,NA,37.5,NA,4.19,6.72,NA,Division I,Big Ten,Ohio State
2007,Brian Robison,University of Texas,DE,NA,6.2499975,259,4.67,27,40.5,121,4.26,6.89,NA,Division I,Big 12,University of Texas
1999,Brian Rogers,Oregon State University,ILB,NA,6.1666642,239,4.76,19,36,109,4.39,7.34,NA,Division I,Pacific-12,Oregon State
2011,Brian Rolle,Ohio State University,OLB,NA,5.833331,229,4.53,28,33,115,4.26,6.89,NA,Division I,Big Ten,Ohio State
2013,Brian Schwenke,University of California,C,71,6.25,314,4.99,31,26.5,108,4.74,7.31,NA,Division I,Pacific-12,California
1999,Brian Shay,Emporia State University,RB,NA,5.6666644,213,4.49,17,NA,NA,4.22,7.31,NA,Division II,Mid-America,Emporia State
1999,Brian Smith,University of Alabama at Birmingham,OLB,NA,6.0833309,252,4.94,21,32.5,108,4.67,7.84,NA,Division I,Conference USA,University of Alabama-Birmingham
2003,Brian St. Pierre,Boston College,QB,NA,6.2499975,218,4.82,NA,30,106,NA,NA,27,Division I,Atlantic Coast,Boston College
1999,Brian Uhl,University of Cincinnati,C,NA,6.3333308,294,5.43,14,25,99,4.77,8.04,NA,Division I,Big East,Cincinnati
2000,Brian Urlacher,University of New Mexico,OLB,NA,6.3333308,258,4.59,27,34,122,4.18,6.94,NA,Division I,Mountain West,New Mexico
1999,Brian Waters,University of North Texas,TE,NA,6.1666642,281,5,26,32,114,4.63,7.52,NA,Division I,Conference USA,North Texas
2002,Brian Westbrook,Villanova University,RB,NA,5.7499977,200,4.57,26,37,118,NA,7.09,NA,Division I-AA,Colonial,Villanova
2002,Brian Williams,North Carolina State University,CB,NA,6.0833309,207,4.57,19,39,122,4.2,7.21,NA,Division I,Atlantic Coast,North Carolina State
2013,Brian Winters,Kent State University,OG,71.1,6.33,320,NA,9,NA,NA,NA,NA,NA,Division I,Mid-American,Kent State
2000,Brian Young,University of Texas-El Paso,DE,NA,6.2499975,278,4.94,27,29.5,106,4.47,7.2,NA,Division I,Conference USA,Texas-El Paso
2005,Brock Berlin,University of Miami,QB,NA,6.1666642,218,4.83,NA,29,109,4.54,7.51,13,Division I,Atlantic Coast,University of Miami
1999,Brock Huard,University of Washington,QB,NA,6.4166641,227,5.12,NA,30.5,107,4.44,7.44,25,Division I,Pacific-12,University of Washington
2012,Brock Osweiler,Arizona State University,QB,NA,6.5833307,242,NA,NA,NA,NA,NA,NA,25,Division I,Pacific-12,Arizona State
2001,Brock Williams,Notre Dame University,CB,NA,5.833331,183,4.46,11,42.5,130,4.21,6.7,NA,Division I,I-A Independent,Notre Dame
2002,Broderick Lancaster,Colorado State University,OG,NA,6.3333308,310,5.28,14,NA,NA,NA,NA,NA,Division I,Mountain West,Colorado State
2006,Brodie Croyle,University of Alabama,QB,NA,6.2499975,205,4.88,NA,30.5,104,4.26,7.36,24,Division I,Southeastern,Alabama
2006,Brodrick Bunkley,Florida State University,DT,NA,6.2499975,306,5.01,44,32.5,113,NA,NA,NA,Division I,Atlantic Coast,Florida State
2010,Brody Eldridge,University of Oklahoma,TE,NA,6.4166641,261,4.72,NA,31.5,NA,NA,NA,NA,Division I,Big 12,Oklahoma
2003,Brooks Bollinger,University of Wisconsin,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Division I,Big Ten,Wisconsin
2009,Brooks Foster,University of North Carolina System,WR,NA,6.0833309,201,4.45,27,NA,NA,NA,NA,NA,Division I,Atlantic Coast,North Carolina
2011,Brooks Reed,University of Arizona,OLB,NA,6.2499975,263,4.65,30,30.5,113,4.28,7.11,NA,Division I,Pacific-12,Arizona
2002,Bruce Branch,Pennsylvania State University,CB,NA,5.9166643,192,4.53,NA,35,119,4.47,7.12,NA,Division I,Big Ten,Penn State
2010,Bruce Campbell,University of Maryland,OT,NA,6.5833307,314,4.75,34,32,101,4.69,7.58,NA,Division I,Atlantic Coast,Maryland
2011,Bruce Carter,University of North Carolina System,OLB,NA,6.1666642,241,4.57,25,NA,NA,NA,NA,NA,Division I,Atlantic Coast,North Carolina
2008,Bruce Davis,"University of California, Los Angeles",OLB,NA,6.2499975,252,4.78,19,29,109,4.47,7.34,NA,Division I,Pacific-12,UCLA
2006,Bruce Eugene,Grambling State University,QB,NA,6.0833309,260,5.12,NA,27.5,94,4.78,7.97,41,Division I-AA,Southwestern,Grambling State University
2006,Bruce Gradkowski,University of Toledo,QB,NA,6.1666642,217,4.59,NA,34,107,4.16,7.13,19,Division I,Mid-American,Toledo
2012,Bruce Irvin,University of West Virginia,OLB,NA,6.1666642,245,4.5,23,33,123,4.03,6.7,NA,Division I,Big 12,West Virginia
2009,Bruce Johnson,University of Miami,CB,NA,5.833331,170,4.49,6,34.5,125,4.05,6.71,NA,Division I,Atlantic Coast,University of Miami
2011,Bruce Miller,University of Central Florida,OLB,NA,6.0833309,254,4.81,35,31,113,4.34,7.05,NA,Division I,Big East,Central Florida
2003,Bruce Nelson,University of Iowa,C,NA,6.4166641,301,5.26,21,NA,NA,NA,NA,NA,Division I,Big Ten,Iowa
2013,Bruce Taylor,Virginia Polytechnic Institute and State University,ILB,63.9,6.08,234,5.01,19,30.5,115,4.39,7.21,NA,Division I,Atlantic Coast,Virginia Tech
2004,Bruce Thornton,University of Georgia,CB,NA,5.9166643,197,4.5,NA,37.5,122,NA,NA,NA,Division I,Southeastern,Georgia
2010,Bryan Bulaga,University of Iowa,OT,NA,6.4999974,314,5.2,26,27.5,98,4.75,7.7,NA,Division I,Big Ten,Iowa
2004,Bryan Hickman,Kansas State University,OLB,NA,6.0833309,231,4.68,26,32.5,106,4.04,7.31,NA,Division I,Big 12,Kansas State
1999,Bryan Jones,University of Oregon,OLB,NA,6.3333308,210,4.61,12,35,118,4.28,7.21,NA,Division I,Pacific-12,Oregon
2008,Bryan Kehl,Brigham Young University,OLB,NA,6.1666642,242,4.67,26,34,119,4.23,6.88,NA,Division I,I-A Independent,Brigham Young
2008,Bryan Mattison,University of Iowa,DE,NA,6.2499975,290,5.05,26,24.5,112,4.7,7.61,NA,Division I,Big Ten,Iowa
2005,Bryan Randall,Virginia Polytechnic Institute and State University,QB,NA,6.0833309,225,4.71,NA,33,113,4.09,6.97,19,Division I,Atlantic Coast,Virginia Tech
2003,Bryan Scott,Pennsylvania State University,SS,NA,6.0833309,219,4.6,13,NA,NA,NA,NA,NA,Division I,Big Ten,Penn State
2008,Bryan Smith,McNeese State University,OLB,NA,6.2499975,231,4.74,17,32.5,120,4.4,7.22,NA,Division I-AA,Southland,McNeese State
2002,Bryan Thomas,University of Alabama at Birmingham,DE,NA,6.4166641,266,4.47,33,34.5,NA,NA,NA,NA,Division I,Conference USA,University of Alabama-Birmingham
2005,Bryant McFadden,Florida State University,CB,NA,5.9166643,193,4.53,23,38.5,NA,4.04,NA,NA,Division I,Atlantic Coast,Florida State
2003,Bryant McNeal,Clemson University,DE,NA,6.4166641,248,4.88,22,34.5,117,NA,NA,NA,Division I,Atlantic Coast,Clemson
1999,Bryce Fisher,Air Force Academy,DE,NA,6.3333308,283,5,19,31,106,4.34,7.64,NA,Division I,Mountain West,Air Force
2007,Buster Davis,Florida State University,ILB,NA,5.833331,239,4.64,24,31,104,4.37,7.28,NA,Division I,Atlantic Coast,Florida State
2011,Buster Skrine,University of Tennessee at Chattanooga,CB,NA,5.833331,186,4.37,20,37,122,3.9,6.44,NA,Division I-AA,Southern,Tennessee-Chattanooga
2000,Byron Frisch,Brigham Young University,DE,NA,6.4166641,281,4.73,31,34.5,114,4.41,7.2,NA,Division I,I-A Independent,Brigham Young
2003,Byron Hardmon,University of Florida,ILB,NA,6.0833309,232,4.76,17,32.5,115,4.41,7.55,NA,Division I,Southeastern,Florida
2003,Byron Leftwich,Marshall University,QB,NA,6.4999974,241,5.1,NA,NA,NA,NA,NA,25,Division I,Conference USA,Marshall
2011,Byron Maxwell,Clemson University,CB,NA,6.0833309,202,4.43,24,33,124,NA,NA,NA,Division I,Atlantic Coast,Clemson
2013,C.J. Anderson,University of California,RB,52,5.67,224,4.6,17,32,119,4.12,7.15,NA,Division I,Pacific-12,California
2005,C.J. Brooks,University of Maryland,OG,NA,6.4999974,309,5.18,24,31.5,108,4.59,7.63,NA,Division I,Atlantic Coast,Maryland
2009,C.J. Davis,University of Pittsburgh,OG,NA,6.1666642,308,5.51,21,25.5,88,4.93,8.09,NA,Division I,Big East,Pittsburgh
2007,C.J. Gaddis,Clemson University,FS,NA,6.0833309,203,4.45,20,36.5,121,4.3,7.28,NA,Division I,Atlantic Coast,Clemson
1999,C.J. McLain,University of Arkansas,OLB,NA,6.2499975,243,4.72,21,36,117,4.25,7.2,NA,Division I,Southeastern,Arkansas
2005,C.J. Mosley,University of Missouri,DT,NA,6.1666642,312,5.08,27,27.5,100,4.65,8.21,NA,Division I,Southeastern,Missouri
2010,C.J. Spiller,Clemson University,RB,NA,5.9166643,196,4.27,18,NA,NA,NA,NA,10,Division I,Atlantic Coast,Clemson
2009,C.J. Spillman,Marshall University,FS,NA,6.0833309,197,4.45,NA,41.5,122,4.33,7.05,NA,Division I,Conference USA,Marshall
2007,C.J. Wilson,Baylor University,CB,NA,6.0833309,195,4.62,NA,37.5,127,4.2,6.81,NA,Division I,Big 12,Baylor
2010,C.J. Wilson,East Carolina University,DE,NA,6.2499975,290,4.83,32,33,116,4.77,NA,NA,Division I,Big East,East Carolina
1999,Cade McNown,"University of California, Los Angeles",QB,NA,6.0833309,213,4.73,NA,33.5,113,4.28,7.27,28,Division I,Pacific-12,UCLA
1999,Caitlin Down,"University of California, Los Angeles",QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Division I,Pacific-12,UCLA
2008,Calais Campbell,University of Miami,DE,NA,6.666664,290,5.04,16,29.5,111,4.69,7.45,NA,Division I,Atlantic Coast,University of Miami
2008,Caleb Campbell,United States Military Academy,SS,NA,6.1666642,229,4.57,24,NA,NA,NA,NA,NA,Division I,I-A Independent,Army
2012,Caleb McSurdy,University of Montana - Missoula,ILB,NA,6.0833309,245,4.97,26,30,90,4.28,7.26,NA,Division I-AA,Big Sky,Montana
2004,Caleb Miller,University of Arkansas,ILB,NA,6.2499975,224,4.66,23,34.5,120,3.95,6.85,NA,Division I,Southeastern,Arkansas
2013,Caleb Sturgis,University of Florida,K,59.2,5.83,188,NA,NA,NA,NA,NA,NA,NA,Division I,Southeastern,Florida
2005,Calvin Armstrong,Washington State University,OT,NA,6.5833307,325,5.51,26,34,100,4.66,7.63,NA,Division I,Pacific-12,Washington State
2007,Calvin Johnson,Georgia Institute of Technology,WR,NA,6.4166641,239,4.35,NA,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Georgia Tech
2006,Calvin Lowry,Pennsylvania State University,SS,NA,5.9166643,200,4.54,15,36,120,4.23,7.16,NA,Division I,Big Ten,Penn State
2003,Calvin Pace,Wake Forest University,DE,NA,6.3333308,269,4.79,NA,33,115,NA,NA,NA,Division I,Atlantic Coast,Wake Forest
2012,Cam Johnson,University of Virginia,DE,NA,6.2499975,268,4.81,NA,35,105,4.38,7.2,NA,Division I,Atlantic Coast,Virginia
2011,Cam Newton,Auburn University,QB,NA,6.4166641,248,4.56,NA,35,126,4.18,6.92,21,Division I,Southeastern,Auburn
2010,Cam Thomas,University of North Carolina System,DT,NA,6.3333308,330,5.16,31,29,102,4.78,7.68,NA,Division I,Atlantic Coast,North Carolina
2011,Cameron Graham,University of Louisville,TE,NA,6.2499975,244,5,18,31,105,4.51,7.19,NA,Division I,Big East,Louisville
2011,Cameron Heyward,Ohio State University,DE,NA,6.4166641,294,4.92,NA,30,NA,NA,NA,NA,Division I,Big Ten,Ohio State
2011,Cameron Jordan,University of California,DE,NA,6.3333308,287,4.74,25,31,117,4.37,7.07,NA,Division I,Pacific-12,California
2009,Cameron Morrah,University of California,TE,NA,6.3333308,244,4.65,24,32.5,115,4.36,6.99,NA,Division I,Pacific-12,California
2010,Cameron Sheffield,Troy University,OLB,NA,6.2499975,257,4.92,NA,33,115,4.53,7.23,NA,Division I,Sun Belt,Troy
1999,Cameron Spikes,Texas A&M University,OG,NA,6.2499975,314,5,23,32.5,117,4.36,7.51,NA,Division I,Southeastern,Texas A&M
2007,Cameron Stephenson,Rutgers University,OG,NA,6.2499975,306,5.4,34,28.5,101,4.81,7.72,NA,Division I,Big East,Rutgers
2006,Cameron Vaughn,Louisiana State University,OLB,NA,6.3333308,235,4.65,17,32,117,4.23,7.25,NA,Division I,Southeastern,Louisiana State University
2005,Cameron Wake,Pennsylvania State University,OLB,NA,6.2499975,236,4.65,20,45.5,130,4.13,7.12,NA,Division I,Big Ten,Penn State
2009,Captain Munnerlyn,University of South Carolina,CB,NA,5.7499977,182,4.51,19,37.5,121,4.2,7.15,NA,Division I,Southeastern,South Carolina
2001,Carey Scott,Kentucky State University,CB,NA,5.9166643,208,4.65,NA,30,113,4.18,7.52,NA,Division II,Southern Intercollegiate Athletic Conference,Kentucky State
2010,Carl Ihenacho,San Jose State University,OLB,NA,6.2499975,245,4.86,20,NA,NA,NA,NA,NA,Division I,Mountain West,San Jose State
2011,Carl Johnson,University of Florida,OG,NA,6.4166641,361,5.4,25,25.5,96,5.03,NA,NA,Division I,Southeastern,Florida
2001,Carl Nesmith,University of Kansas,FS,NA,6.1666642,223,4.95,5,31.5,112,NA,NA,NA,Division I,Big 12,Kansas
2008,Carl Nicks,University of Nebraska,OT,NA,6.4166641,341,5.22,31,25.5,109,4.68,7.91,NA,Division I,Big Ten,Nebraska
2008,Carl Stewart,Auburn University,FB,NA,6.0833309,230,4.66,30,39,134,4.5,7.12,NA,Division I,Southeastern,Auburn
2010,Carlos Dunlap,University of Florida,DE,NA,6.4999974,278,4.68,21,31.5,111,4.61,7.21,NA,Division I,Southeastern,Florida
2004,Carlos Francis,Texas Tech University,WR,NA,5.7499977,198,4.33,NA,38.5,114,4.06,6.98,NA,Division I,Big 12,Texas Tech
2002,Carlos Hall,University of Arkansas,DE,NA,6.3333308,259,4.67,20,40,129,4.19,6.97,NA,Division I,Southeastern,Arkansas
2004,Carlos Joseph,University of Miami,OT,NA,6.4999974,345,5.25,29,NA,NA,NA,NA,NA,Division I,Atlantic Coast,University of Miami
2000,Carlos Nuno,Brigham Young University,TE,NA,6.3333308,263,5.03,23,28,NA,NA,NA,NA,Division I,I-A Independent,Brigham Young
2001,Carlos Polk,University of Nebraska,ILB,NA,6.1666642,251,4.76,NA,NA,NA,NA,NA,NA,Division I,Big Ten,Nebraska
2005,Carlos Rogers,Auburn University,CB,NA,6.0833309,196,4.44,15,40.5,126,3.82,6.48,NA,Division I,Southeastern,Auburn
2010,Carlton Mitchell,University of South Florida,WR,NA,6.2499975,215,4.46,16,36,122,4.55,6.96,NA,Division I,Big East,South Florida
2008,Carlton Powell,Virginia Polytechnic Institute and State University,DT,NA,6.1666642,292,5.1,23,22.5,108,4.87,7.78,NA,Division I,Atlantic Coast,Virginia Tech
2005,Carnell Williams,Auburn University,RB,NA,5.9166643,217,4.43,19,35.5,118,4.17,6.95,NA,Division I,Southeastern,Auburn
2003,Carson Palmer,University of Southern California,QB,NA,6.4166641,232,4.65,NA,NA,NA,NA,NA,26,Division I,Pacific-12,University of Southern California
2009,Cary Harris,University of Southern California,CB,NA,6.0833309,187,4.58,18,NA,NA,NA,NA,NA,Division I,Pacific-12,University of Southern California
2012,Case Keenum,University of Houston,QB,NA,6.0833309,208,4.82,NA,32.5,103,NA,NA,NA,Division I,Big East,Houston
2004,Casey Bramlett,University of Wyoming,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Division I,Mountain West,Wyoming
2004,Casey Clausen,University of Tennessee,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Division I,Southeastern,Tennessee
2000,Casey Crawford,University of Virginia,TE,NA,6.4999974,244,4.83,18,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Virginia
2001,Casey Hampton,University of Texas,DT,NA,6.0833309,314,5.25,34,NA,NA,NA,NA,NA,Division I,Big 12,University of Texas
2012,Casey Hayward,Vanderbilt University,CB,NA,5.9166643,185,4.57,19,34,119,3.9,6.76,NA,Division I,Southeastern,Vanderbilt
2011,Casey Matthews,University of Oregon,ILB,NA,6.0833309,231,4.78,13,NA,NA,NA,NA,NA,Division I,Pacific-12,Oregon
2003,Casey Moore,Stanford University,FB,NA,6.1666642,240,4.65,22,32.5,114,4.26,7.29,NA,Division I,Pacific-12,Stanford University
2001,Casey Rabach,University of Wisconsin,C,NA,6.4166641,298,5.23,19,34.5,NA,NA,NA,NA,Division I,Big Ten,Wisconsin
2003,Cato June,University of Michigan,SS,NA,6.0833309,218,4.61,NA,35,113,NA,NA,NA,Division I,Big Ten,Michigan
1999,Cecil Collins,McNeese State University,RB,NA,5.7499977,209,4.51,17,33,117,NA,7.21,NA,Division I-AA,Southland,McNeese State
1999,Cecil Martin,University of Wisconsin,FB,NA,6.0833309,239,4.83,22,35.5,110,4.22,7.31,NA,Division I,Big Ten,Wisconsin
2011,Cecil Shorts,Mount Union College,WR,NA,6.0833309,205,4.5,21,34.5,114,4.07,6.5,NA,Division III,Ohio Athletic Conference,Mount Union
2004,Cedric Cobbs,University of Arkansas,RB,NA,6.0833309,223,4.75,NA,40,123,NA,NA,NA,Division I,Southeastern,Arkansas
2006,Cedric Griffin,University of Texas,FS,NA,6.0833309,199,4.51,17,35.5,125,4.1,6.86,NA,Division I,Big 12,University of Texas
2004,Cedric Hilliard,Notre Dame University,DT,NA,6.0833309,307,5.17,26,29,110,4.79,8.25,NA,Division I,I-A Independent,Notre Dame
2006,Cedric Humes,Virginia Polytechnic Institute and State University,RB,NA,6.0833309,227,4.62,18,30.5,106,4.23,7.07,NA,Division I,Atlantic Coast,Virginia Tech
2001,Cedric James,Texas Christian University,WR,NA,6.1666642,204,4.49,NA,43,134,NA,NA,NA,Division I,Big 12,Texas Christian University
2009,Cedric Peerman,University of Virginia,RB,NA,5.833331,216,4.34,27,40,117,4.29,6.99,NA,Division I,Atlantic Coast,Virginia
2000,Cedric Pittman,University of Nevada,OLB,NA,6.2499975,261,4.9,20,30.5,111,4.52,7.75,NA,Division I,Mountain West,Nevada
2001,Cedric Scott,The University of Southern Mississippi,DE,NA,6.4999974,281,4.86,23,35.5,107,4.37,7.67,NA,Division I,Conference USA,Southern Mississippi
2011,Cedric Thornton,Southern Arkansas University,DT,NA,6.2499975,309,5.25,23,27,101,4.71,7.7,NA,Division II,Great American,Southern Arkansas
2000,Cedric Woodard,University of Texas,DT,NA,6.2499975,290,5.21,23,30.5,109,NA,NA,NA,Division I,Big 12,University of Texas
2005,Cedrick Williams,Kansas State University,CB,NA,5.833331,168,4.5,13,35,121,4.22,7.24,NA,Division I,Big 12,Kansas State
2001,Cedrick Wilson,University of Tennessee,WR,NA,5.833331,179,4.48,NA,38,123,NA,NA,NA,Division I,Southeastern,Tennessee
2002,Chad Beasley,Virginia Polytechnic Institute and State University,DT,NA,6.4999974,303,5.15,27,31.5,104,4.6,7.75,NA,Division I,Atlantic Coast,Virginia Tech
2000,Chad Clifton,University of Tennessee,OT,NA,6.4166641,334,5.05,24,30.5,102,4.73,7.58,NA,Division I,Southeastern,Tennessee
2006,Chad Greenway,University of Iowa,OLB,NA,6.2499975,242,4.76,16,33.5,117,4.22,7.01,NA,Division I,Big Ten,Iowa
2008,Chad Henne,University of Michigan,QB,NA,6.2499975,230,4.92,NA,25.5,106,4.4,7.17,22,Division I,Big Ten,Michigan
2006,Chad Jackson,University of Florida,WR,NA,6.0833309,213,4.32,NA,38.5,122,4.03,6.74,NA,Division I,Southeastern,Florida
2001,Chad Johnson,Oregon State University,WR,NA,6.0833309,192,4.57,NA,33,108,4.14,7.51,NA,Division I,Pacific-12,Oregon State
2010,Chad Jones,Louisiana State University,SS,NA,6.1666642,221,4.59,9,36,115,4.14,6.83,NA,Division I,Southeastern,Louisiana State University
1999,Chad Kelsay,University of Nebraska,OLB,NA,6.2499975,254,4.94,22,35.5,116,4.3,7.09,NA,Division I,Big Ten,Nebraska
2000,Chad Morton,University of Southern California,RB,NA,5.6666644,182,4.5,18,36,121,NA,NA,NA,Division I,Pacific-12,University of Southern California
2007,Chad Nkang,University of Missouri,SS,NA,6.0833309,220,4.52,23,36.5,118,4.34,7.1,NA,Division I,Southeastern,Missouri
2005,Chad Owens,University of Hawaii,WR,NA,5.6666644,183,4.62,23,37,116,3.95,6.71,NA,Division I,Mountain West,Hawaii
1999,Chad Pegues,Illinois State University,DT,NA,6.0833309,289,5.31,25,26,100,4.69,7.88,NA,Division I-AA,Missouri Valley,Illinois State
2000,Chad Pennington,Marshall University,QB,NA,6.3333308,229,4.81,NA,33.5,111,4.16,7.12,25,Division I,Conference USA,Marshall
1999,Chad Plummer,University of Cincinnati,WR,NA,6.2499975,233,4.57,NA,33,113,4.18,7.34,NA,Division I,Big East,Cincinnati
2004,Chad Pugh,Texas Christian University,DT,NA,6.2499975,321,5.38,19,25,98,4.92,8.18,NA,Division I,Big 12,Texas Christian University
2008,Chad Rinehart,Northern Iowa University,OG,NA,6.4166641,320,5.42,26,28.5,106,4.56,7.84,NA,Division I-AA,Missouri Valley,Northern Iowa
2003,Chad Setterstrom,Northern Iowa University,OG,NA,6.2499975,309,5.44,16,28.5,99,4.66,7.93,NA,Division I-AA,Missouri Valley,Northern Iowa
2008,Chad Simpson,Morgan State University,RB,NA,5.7499977,216,4.4,NA,32.5,124,NA,NA,NA,Division I-AA,Mid-Eastern,Morgan State
2007,Chad Upshaw,University of Buffalo,TE,NA,6.4166641,252,4.9,16,33.5,108,4.58,7.23,NA,Division I,Mid-American,Buffalo
2001,Chad Ward,University of Washington,OG,NA,6.4166641,321,5.23,26,32.5,99,4.89,7.98,NA,Division I,Pacific-12,University of Washington
2002,Chad Williams,The University of Southern Mississippi,SS,NA,5.833331,207,4.58,20,36.5,121,NA,6.96,NA,Division I,Conference USA,Southern Mississippi
1999,Champ Bailey,University of Georgia,CB,NA,6.0833309,184,4.28,NA,37,121,3.79,NA,NA,Division I,Southeastern,Georgia
2013,Chance Warmack,University of Alabama,OG,95.9,6.17,317,5.49,NA,NA,110,NA,NA,NA,Division I,Southeastern,Alabama
2012,Chandler Harnish,Northern Illinois University,QB,NA,6.0833309,219,4.76,NA,32.5,112,4.15,6.78,NA,Division I,Mid-American,Northern Illinois
2012,Chandler Jones,Syracuse University,DE,NA,6.4166641,266,4.87,22,35,120,4.38,7.07,NA,Division I,Atlantic Coast,Syracuse
2007,Chandler Williams,Florida International University,WR,NA,5.9166643,184,4.42,NA,32.5,123,4.29,6.99,NA,Division I,Sun Belt,Florida International
2007,Chansi Stuckey,Clemson University,WR,NA,5.9166643,197,4.56,NA,35,120,4.14,6.91,NA,Division I,Atlantic Coast,Clemson
2006,Charles Bennett,Clemson University,DE,NA,6.3333308,258,4.7,19,33.5,115,4.53,7.49,NA,Division I,Atlantic Coast,Clemson
2012,Charles Brown,University of North Carolina System,CB,NA,5.7499977,202,4.63,18,35,114,4.06,6.94,NA,Division I,Atlantic Coast,North Carolina
2010,Charles Brown,University of Southern California,OT,NA,6.4999974,303,5.24,21,31.5,NA,NA,NA,NA,Division I,Pacific-12,University of Southern California
2011,Charles Clay,University of Tulsa,FB,NA,6.2499975,245,4.69,18,33.5,118,4.15,7.07,NA,Division I,Big East,Tulsa
2006,Charles Davis,Purdue University,TE,NA,6.4999974,263,4.87,27,31.5,108,4.37,7.54,NA,Division I,Big Ten,Purdue
1999,Charles Dorsey,Auburn University,DT,NA,6.1666642,283,4.93,24,31,112,4.52,7.48,NA,Division I,Southeastern,Auburn
2003,Charles Drake,University of Michigan,FS,NA,6.0833309,205,4.52,20,NA,NA,NA,NA,NA,Division I,Big Ten,Michigan
1999,Charles Fisher,University of West Virginia,CB,NA,6.0833309,182,4.49,10,38,124,4.16,NA,NA,Division I,Big 12,West Virginia
2005,Charles Frederick,University of Washington,WR,NA,5.9166643,194,4.78,NA,33,108,4.35,7.41,NA,Division I,Pacific-12,University of Washington
2008,Charles Godfrey,University of Iowa,CB,NA,6.0833309,207,4.43,14,32.5,121,4.4,7.28,NA,Division I,Big Ten,Iowa
2006,Charles Gordon,University of Kansas,CB,NA,5.833331,183,4.6,12,35.5,115,4.23,6.96,NA,Division I,Big 12,Kansas
2002,Charles Grant,University of Georgia,DE,NA,6.2499975,282,4.69,24,31,118,4.39,7.69,NA,Division I,Southeastern,Georgia
2002,Charles Hill,University of Maryland,DT,NA,6.1666642,293,5.06,23,33.5,113,4.36,7.37,NA,Division I,Atlantic Coast,Maryland
2007,Charles Johnson,University of Georgia,DE,NA,6.1666642,270,4.84,33,34,118,NA,7.5,NA,Division I,Southeastern,Georgia
2000,Charles Lee,University of Central Florida,WR,NA,6.1666642,202,4.56,NA,35.5,125,4.25,7.3,NA,Division I,Big East,Central Florida
2012,Charles Mitchell,Mississippi State University,SS,NA,5.9166643,202,4.63,19,37,127,4.22,6.93,NA,Division I,Southeastern,Mississippi State
2010,Charles Scott,Louisiana State University,RB,NA,6.0833309,238,4.68,NA,30.5,111,4.47,6.98,26,Division I,Southeastern,Louisiana State University
2006,Charles Spencer,University of Pittsburgh,OG,NA,6.4166641,352,5.25,30,NA,NA,NA,NA,NA,Division I,Big East,Pittsburgh
2002,Charles Stackhouse,University of Mississippi,FB,NA,6.1666642,252,4.93,20,29,111,4.53,7.63,NA,Division I,Southeastern,Ole Miss
2003,Charles Tillman,University of Louisiana at Lafayette,CB,NA,6.0833309,207,4.49,12,40,131,3.89,7.05,NA,Division I,Sun Belt,University of Louisiana-Lafayette
1998,Charlie Batch,Eastern Michigan University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,Division I,Mid-American,Eastern Michigan
2005,Charlie Frye,University of Akron,QB,NA,6.3333308,225,4.79,NA,33,113,4.09,6.95,38,Division I,Mid-American,Akron
2011,Charlie Gantt,Michigan State University,TE,NA,6.3333308,252,4.85,27,30.5,112,4.4,7.15,NA,Division I,Big Ten,Michigan State
2006,Charlie Peprah,University of Alabama,SS,NA,5.9166643,206,4.66,15,37.5,119,4.1,6.81,NA,Division I,Southeastern,Alabama
2006,Charlie Whitehurst,Clemson University,QB,NA,6.4166641,223,4.75,NA,33,112,4.12,7,33,Division I,Atlantic Coast,Clemson
2006,Charlton Keith,University of Kansas,OLB,NA,6.4166641,237,4.78,12,30.5,109,4.42,7.04,NA,Division I,Big 12,Kansas
