Pick,Round,Player,Position,DraftFranchise,CurrentDayFranchise,DBPediaCollege_Name,Conference,Division,FormalStatedMajor,CollegeMajor,DraftYear,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_College,DBPediaData_College,Conference.1,DBPediaURI_Conference,DBPediaData_Conference,DBPediaURI_Player,DBPediaData_Player,DBpediaURI_Position,DBpediaData_Position,DBPediaURI_DraftYear,DBPediaData_DraftYear
21,1,Tyler Eifert,TE,Cincinnati Bengals,Cincinnati Bengals,Notre Dame University,NCAA Division I FBS independent schools,Division I,Finance,Finance,2013,83.3,6.42,250,4.68,22,35.5,119,4.32,6.92,NA,http://live.dbpedia.org/resource/University_of_Notre_Dame,http://live.dbpedia.org/data/University_of_Notre_Dame.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,live.dbpedia.org/resource/Tyler_Eifert,live.dbpedia.org/data/Tyler_Eifert.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
22,1,Desmond Trufant,CB,Atlanta Falcons,Atlanta Falcons,University of Washington,Pacific-12 Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,84.1,6,190,4.38,16,37.5,125,3.85,NA,NA,http://live.dbpedia.org/resource/University_of_Washington,http://live.dbpedia.org/data/University_of_Washington.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Desmond_Trufant,live.dbpedia.org/data/Desmond_Trufant.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
23,1,Sharrif Floyd,DT,Minnesota Vikings,Minnesota Vikings,University of Florida,Southeastern Conference,Division I,Social and Behavioral Sciences,Sociology,2013,90.3,6.25,297,4.92,NA,30,106,4.75,7.4,NA,http://live.dbpedia.org/resource/University_of_Florida,http://live.dbpedia.org/data/University_of_Florida.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Sharrif_Floyd,live.dbpedia.org/data/Sharrif_Floyd.json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
24,1,Bjoern Werner,DE,Indianapolis Colts,Indianapolis Colts,Florida State University,Atlantic Coast Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,90.9,6.25,266,4.83,25,31,111,4.4,7.3,NA,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Bj%C3%B6rn_Werner,live.dbpedia.org/data/Bj%C3%B6rn_Werner.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
25,1,Xavier Rhodes,CB,Minnesota Vikings,Minnesota Vikings,Florida State University,Atlantic Coast Conference,Division I,History,"History, Geography",2013,86.2,6.08,210,4.43,14,40.5,132,NA,NA,NA,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Xavier_Rhodes,live.dbpedia.org/data/Xavier_Rhodes.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
26,1,Datone Jones,DE,Green Bay Packers,Green Bay Packers,"University of California, Los Angeles",Pacific-12 Conference,Division I,History,"History, Geography",2013,85.6,6.33,283,4.8,29,31.5,112,4.32,7.32,NA,"http://live.dbpedia.org/resource/University_of_California,_Los_Angeles","http://live.dbpedia.org/data/University_of_California,_Los_Angeles.json",Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Datone_Jones,live.dbpedia.org/data/Datone_Jones.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
27,1,DeAndre Hopkins,WR,Houston Texans,Houston Texans,Clemson University,Atlantic Coast Conference,Division I,"Community Recreation, Sport & Camp Management","Leisure, Sport, Recreation Studies and Management",2013,87.8,6.08,214,4.57,15,36,115,4.5,NA,NA,http://live.dbpedia.org/resource/Clemson_University,http://live.dbpedia.org/data/Clemson_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/DeAndre_Hopkins,live.dbpedia.org/data/DeAndre_Hopkins.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
28,1,Sylvester Williams,DT,Denver Broncos,Denver Broncos,University of North Carolina at Chapel Hill,Atlantic Coast Conference,Division I,Communications,Communications,2013,80.6,6.25,313,5.03,27,26.5,102,4.8,7.93,NA,http://live.dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,http://live.dbpedia.org/data/University_of_North_Carolina_at_Chapel_Hill.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Sylvester_Williams_(American_football),live.dbpedia.org/data/Sylvester_Williams_(American_football).json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
29,1,Cordarrelle Patterson,WR,Minnesota Vikings,Minnesota Vikings,University of Tennessee,Southeastern Conference,Division I,Arts & Sciences,General Studies,2013,90.6,6.17,216,4.42,NA,37,128,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Tennessee,http://live.dbpedia.org/data/University_of_Tennessee.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Cordarrelle_Patterson,live.dbpedia.org/data/Cordarrelle_Patterson.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
30,1,Alec Ogletree,ILB,St. Louis Rams,St. Louis Rams,University of Georgia,Southeastern Conference,Division I,Child and Family Development,"Child, Family and Community Studies/Development",2013,84,6.17,242,4.7,20,33.5,122,4.39,7.16,NA,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Alec_Ogletree,live.dbpedia.org/data/Alec_Ogletree.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
31,1,Travis Frederick,C,Dallas Cowboys,Dallas Cowboys,University of Wisconsin at Madison,Big Ten Conference,Division I,Computer Engineering,Science and Technology,2013,78.7,6.33,312,5.58,21,28.5,97,4.76,7.81,NA,http://live.dbpedia.org/resource/University_of_Wisconsin%E2%80%93Madison,http://live.dbpedia.org/data/University_of_Wisconsin%E2%80%93Madison.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Travis_Frederick,live.dbpedia.org/data/Travis_Frederick.json,live.dbpedia.org/resource/Center_(American_football),live.dbpedia.org/data/Center_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
32,1,Matt Elam,FS,Baltimore Ravens,Baltimore Ravens,University of Florida,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,80,5.83,208,4.54,17,35.5,118,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Florida,http://live.dbpedia.org/data/University_of_Florida.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Matt_Elam,live.dbpedia.org/data/Matt_Elam.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
33,2,Jonathan Cyprien,SS,Jacksonville Jaguars,Jacksonville Jaguars,Florida International University,Sun Belt Conference,Division I,Physical Therapy,"Physical Therapy, Sports Science, Kinesiology",2013,84.6,6,217,4.56,NA,38.5,NA,NA,NA,NA,http://live.dbpedia.org/resource/Florida_International_University,http://live.dbpedia.org/data/Florida_International_University.json,Sun Belt Conference,http://live.dbpedia.org/resource/Sun_Belt_Conference,http://live.dbpedia.org/data/Sun_Belt_Conference.json,live.dbpedia.org/resource/Johnathan_Cyprien,live.dbpedia.org/data/Johnathan_Cyprien.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
34,2,Justin Hunter,WR,Tennessee Titans,Tennessee Titans,University of Tennessee,Southeastern Conference,Division I,Arts & Sciences,General Studies,2013,81.8,6.33,196,4.44,NA,39.5,136,4.33,NA,NA,http://live.dbpedia.org/resource/University_of_Tennessee,http://live.dbpedia.org/data/University_of_Tennessee.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Justin_Hunter,live.dbpedia.org/data/Justin_Hunter.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
35,2,Zach Ertz,TE,Philadelphia Eagles,Philadelphia Eagles,Stanford University,Pacific-12 Conference,Division I,Management Science and Engineering,Engineering,2013,82.2,6.42,249,4.76,24,30.5,111,4.47,7.08,NA,http://live.dbpedia.org/resource/Stanford_University,http://live.dbpedia.org/data/Stanford_University.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Zach_Ertz,live.dbpedia.org/data/Zach_Ertz.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
