Player,DBPediaCollege_Name,Position,FormalStatedMajor,CollegeMajor,DBPediaURI_Player,DBPediaData_Player,DBPediaURI_College,DBPediaData_College,Conference,DBPediaURI_Conference,DBPediaData_Conference,Division,DraftYear,idPlayer,DraftYear.y,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_DraftYear,DBPediaData_DraftYear
Alec Ogletree,University of Georgia,ILB,Child and Family Development,"Child, Family and Community Studies/Development",http://live.dbpedia.org/resource/Alec_Ogletree,http://live.dbpedia.org/data/Alec_Ogletree.json,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24975,2013,84,6.17,242,4.7,20,33.5,122,4.39,7.16,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Alex Dunnachie,University of Hawaii,P,English,English,http://live.dbpedia.org/resource/Alex_Dunnachie,http://live.dbpedia.org/data/Alex_Dunnachie.json,http://live.dbpedia.org/resource/University_of_Hawaii,http://live.dbpedia.org/data/University_of_Hawaii.json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,Division I,2013,24976,2013,NA,6.25,217,NA,NA,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Alex Okafor,University of Texas at Austin,DE,Corporate Communication,Communications,http://live.dbpedia.org/resource/Alex_Okafor,http://live.dbpedia.org/data/Alex_Okafor.json,http://live.dbpedia.org/resource/University_of_Texas_at_Austin,http://live.dbpedia.org/data/University_of_Texas_at_Austin.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,Division I,2013,24977,2013,85.2,6.4166641,264,4.78,21,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Alvin Bailey,"University of Arkansas, Little Rock",OG,Recreation and Sports Management,"Leisure, Sport, Recreation Studies and Management",http://live.dbpedia.org/resource/Alvin_Bailey,http://live.dbpedia.org/data/Alvin_Bailey.json,http://live.dbpedia.org/resource/University_of_Arkansas,http://live.dbpedia.org/data/University_of_Arkansas.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24978,2013,67,6.2499975,312,4.95,27,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Andre Ellington,Clemson University,RB,"Community Recreation, Sport & Camp Management","Leisure, Sport, Recreation Studies and Management",http://live.dbpedia.org/resource/Andre_Ellington,http://live.dbpedia.org/data/Andre_Ellington.json,http://live.dbpedia.org/resource/Clemson_University,http://live.dbpedia.org/data/Clemson_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,Division I,2013,24979,2013,79.7,5.75,199,4.61,NA,34,122,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Anthony Cantele,Kansas State University,K,Kinesiology,"Physical Therapy, Sports Science, Kinesiology",http://live.dbpedia.org/resource/Anthony_Cantele,http://live.dbpedia.org/data/Anthony_Cantele.json,http://live.dbpedia.org/resource/Kansas_State_University,http://live.dbpedia.org/data/Kansas_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,Division I,2013,24980,2013,NA,5.83,180,NA,NA,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Armonty Bryant,East Central University,DE,Kinesiology,"Physical Therapy, Sports Science, Kinesiology",http://live.dbpedia.org/resource/Armonty_Bryant,http://live.dbpedia.org/data/Armonty_Bryant.json,http://live.dbpedia.org/resource/East_Central_University,http://live.dbpedia.org/data/East_Central_University.json,Great American Conference,http://live.dbpedia.org/resource/Great_American_Conference,http://live.dbpedia.org/data/Great_American_Conference.json,Division II,2013,24981,2013,61,6.3333308,263,4.86,NA,31.5,118,5,7.32,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Arthur Brown,Kansas State University,OLB,Social Sciences,Sociology,http://live.dbpedia.org/resource/Arthur_Brown_(American_football),http://live.dbpedia.org/data/Arthur_Brown_(American_football).json,http://live.dbpedia.org/resource/Kansas_State_University,http://live.dbpedia.org/data/Kansas_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,Division I,2013,24982,2013,90.3,6,241,4.62,NA,NA,116,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
B.W. Webb,College of William & Mary,CB,Kinesiology,"Physical Therapy, Sports Science, Kinesiology",http://live.dbpedia.org/resource/B._W._Webb,http://live.dbpedia.org/data/B._W._Webb.json,http://live.dbpedia.org/resource/College_of_William_%26_Mary,http://live.dbpedia.org/data/College_of_William_%26_Mary.json,Colonial Athletic Association,http://live.dbpedia.org/resource/Colonial_Athletic_Association,http://live.dbpedia.org/data/Colonial_Athletic_Association.json,Division I-AA,2013,24983,2013,74,5.83,184,4.51,14,40.5,132,3.84,6.82,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Bacarri Rambo,University of Georgia,FS,Consumer Economics,Economics,http://live.dbpedia.org/resource/Bacarri_Rambo,http://live.dbpedia.org/data/Bacarri_Rambo.json,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24984,2013,61.4,6,211,4.56,17,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
