"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Miami Heat","22","8",".733","1","4.87","111.3","106.0","","E. Spoelstra (22-8)"
"2","2011-12","NBA","Miami Heat*","46","20",".697","1","5.72","106.6","100.2","Won Finals","E. Spoelstra (46-20)"
"3","2010-11","NBA","Miami Heat*","58","24",".707","1","6.76","111.7","103.5","Lost Finals","E. Spoelstra (58-24)"
"4","2009-10","NBA","Miami Heat*","47","35",".573","3","2.00","106.6","104.1","Lost Eastern Conference First Round","E. Spoelstra (47-35)"
"5","2008-09","NBA","Miami Heat*","43","39",".524","3","0.49","107.8","107.6","Lost Eastern Conference First Round","E. Spoelstra (43-39)"
"6","2007-08","NBA","Miami Heat","15","67",".183","5","-8.53","100.5","110.0","","P. Riley (15-67)"
"7","2006-07","NBA","Miami Heat*","44","38",".537","1","-1.21","104.3","105.3","Lost Eastern Conference First Round","P. Riley (44-38)"
"8","2005-06","NBA","Miami Heat*","52","30",".634","1","3.59","108.7","104.5","Won Finals","S. Van Gundy (11-10), P. Riley (41-20)"
"9","2004-05","NBA","Miami Heat*","59","23",".720","1","5.76","110.2","103.1","Lost Eastern Conference Finals","S. Van Gundy (59-23)"
"10","2003-04","NBA","Miami Heat*","42","40",".512","2","-0.13","102.2","101.7","Lost Eastern Conference Semifinals","S. Van Gundy (42-40)"
"11","2002-03","NBA","Miami Heat","25","57",".305","7","-5.13","96.7","102.4","","P. Riley (25-57)"
"12","2001-02","NBA","Miami Heat","36","46",".439","6","-1.85","98.5","100.2","","P. Riley (36-46)"
"13","2000-01","NBA","Miami Heat*","50","32",".610","2","1.73","101.1","98.5","Lost Eastern Conference First Round","P. Riley (50-32)"
"14","1999-00","NBA","Miami Heat*","52","30",".634","1","2.75","104.5","101.0","Lost Eastern Conference Semifinals","P. Riley (52-30)"
"15","1998-99","NBA","Miami Heat*","33","17",".660","1","5.11","104.7","98.9","Lost Eastern Conference First Round","P. Riley (33-17)"
"16","1997-98","NBA","Miami Heat*","55","27",".671","1","5.09","107.6","102.0","Lost Eastern Conference First Round","P. Riley (55-27)"
"17","1996-97","NBA","Miami Heat*","61","21",".744","1","5.56","106.8","100.6","Lost Eastern Conference Finals","P. Riley (61-21)"
"18","1995-96","NBA","Miami Heat*","42","40",".512","3","1.46","105.3","103.8","Lost Eastern Conference First Round","P. Riley (42-40)"
"19","1994-95","NBA","Miami Heat","32","50",".390","4","-1.85","108.2","109.9","","K. Loughery (17-29), A. Gentry (15-21)"
"20","1993-94","NBA","Miami Heat*","42","40",".512","4","2.40","109.5","106.7","Lost Eastern Conference First Round","K. Loughery (42-40)"
"21","1992-93","NBA","Miami Heat","36","46",".439","5","-0.93","107.7","108.9","","K. Loughery (36-46)"
"22","1991-92","NBA","Miami Heat*","38","44",".463","4","-3.94","106.7","110.9","Lost Eastern Conference First Round","K. Loughery (38-44)"
"23","1990-91","NBA","Miami Heat","24","58",".293","6","-5.91","102.0","108.1","","R. Rothstein (24-58)"
"24","1989-90","NBA","Miami Heat","18","64",".220","5","-9.59","99.3","108.9","","R. Rothstein (18-64)"
"25","1988-89","NBA","Miami Heat","15","67",".183","6","-11.13","97.8","109.0","","R. Rothstein (15-67)"
