"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","1948-49","BAA","Providence Steam Rollers","12","48",".200","6","-8.43","","","","K. Loeffler (12-48)"
"2","1947-48","BAA","Providence Steam Rollers","6","42",".125","4","-10.31","","","","A. Soar (2-17), N. Hickey (4-25)"
"3","1946-47","BAA","Providence Steam Rollers","28","32",".467","4","-1.54","","","","R. Morris (28-32)"
