"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Los Angeles Lakers","15","16",".484","3","2.50","108.7","106.0","","M. Brown (1-4), B. Bickerstaff (4-1), M. D'Antoni (10-11)"
"2","2011-12","NBA","Los Angeles Lakers*","41","25",".621","1","1.96","106.0","104.4","Lost Western Conference Semifinals","M. Brown (41-25)"
"3","2010-11","NBA","Los Angeles Lakers*","57","25",".695","1","6.01","111.0","104.3","Lost Western Conference Semifinals","P. Jackson (57-25)"
"4","2009-10","NBA","Los Angeles Lakers*","57","25",".695","1","4.78","108.8","103.7","Won Finals","P. Jackson (57-25)"
"5","2008-09","NBA","Los Angeles Lakers*","65","17",".793","1","7.11","112.8","104.7","Won Finals","P. Jackson (65-17)"
"6","2007-08","NBA","Los Angeles Lakers*","57","25",".695","1","7.34","113.0","105.5","Lost Finals","P. Jackson (57-25)"
"7","2006-07","NBA","Los Angeles Lakers*","42","40",".512","2","0.24","108.6","108.6","Lost Western Conference First Round","P. Jackson (42-40)"
"8","2005-06","NBA","Los Angeles Lakers*","45","37",".549","3","2.53","108.4","105.7","Lost Western Conference First Round","P. Jackson (45-37)"
"9","2004-05","NBA","Los Angeles Lakers","34","48",".415","4","-2.33","108.1","111.4","","R. Tomjanovich (24-19), F. Hamblen (10-29)"
"10","2003-04","NBA","Los Angeles Lakers*","56","26",".683","1","4.35","105.5","101.3","Lost Finals","P. Jackson (56-26)"
"11","2002-03","NBA","Los Angeles Lakers*","50","32",".610","2","2.71","107.2","104.7","Lost Western Conference Semifinals","P. Jackson (50-32)"
"12","2001-02","NBA","Los Angeles Lakers*","58","24",".707","2","7.15","109.4","101.7","Won Finals","P. Jackson (58-24)"
"13","2000-01","NBA","Los Angeles Lakers*","56","26",".683","1","3.74","108.4","104.8","Won Finals","P. Jackson (56-26)"
"14","1999-00","NBA","Los Angeles Lakers*","67","15",".817","1","8.41","107.3","98.2","Won Finals","P. Jackson (67-15)"
"15","1998-99","NBA","Los Angeles Lakers*","31","19",".620","2","2.68","107.6","104.3","Lost Western Conference Semifinals","D. Harris (6-6), B. Bertka (1-0), K. Rambis (24-13)"
"16","1997-98","NBA","Los Angeles Lakers*","61","21",".744","2","6.88","111.9","103.7","Lost Western Conference Finals","D. Harris (61-21)"
"17","1996-97","NBA","Los Angeles Lakers*","56","26",".683","2","3.66","108.3","103.7","Lost Western Conference Semifinals","D. Harris (56-26)"
"18","1995-96","NBA","Los Angeles Lakers*","53","29",".646","2","4.21","111.4","106.6","Lost Western Conference First Round","D. Harris (53-29)"
"19","1994-95","NBA","Los Angeles Lakers*","48","34",".585","3","-0.01","109.1","109.4","Lost Western Conference Semifinals","D. Harris (48-34)"
"20","1993-94","NBA","Los Angeles Lakers","33","49",".402","5","-3.93","104.8","109.3","","R. Pfund (27-37), B. Bertka (1-1), M. Johnson (5-11)"
"21","1992-93","NBA","Los Angeles Lakers*","39","43",".476","5","-1.20","107.6","108.9","Lost Western Conference First Round","R. Pfund (39-43)"
"22","1991-92","NBA","Los Angeles Lakers*","43","39",".524","6","-0.95","107.7","108.9","Lost Western Conference First Round","M. Dunleavy (43-39)"
"23","1990-91","NBA","Los Angeles Lakers*","58","24",".707","2","6.73","112.1","105.0","Lost Finals","M. Dunleavy (58-24)"
"24","1989-90","NBA","Los Angeles Lakers*","63","19",".768","1","6.74","114.0","107.0","Lost Western Conference Semifinals","P. Riley (63-19)"
"25","1988-89","NBA","Los Angeles Lakers*","57","25",".695","1","6.38","113.8","106.7","Lost Finals","P. Riley (57-25)"
