"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Portland Trail Blazers","16","15",".516","4","-2.90","104.7","107.4","","T. Stotts (16-15)"
"2","2011-12","NBA","Portland Trail Blazers","28","38",".424","4","-0.22","105.7","106.4","","N. McMillan (20-23), K. Canales (8-15)"
"3","2010-11","NBA","Portland Trail Blazers*","48","34",".585","3","1.85","108.8","107.1","Lost Western Conference First Round","N. McMillan (48-34)"
"4","2009-10","NBA","Portland Trail Blazers*","50","32",".610","3","3.18","110.8","107.1","Lost Western Conference First Round","N. McMillan (50-32)"
"5","2008-09","NBA","Portland Trail Blazers*","54","28",".659","2","5.00","113.9","107.8","Lost Western Conference First Round","N. McMillan (54-28)"
"6","2007-08","NBA","Portland Trail Blazers","41","41",".500","3","-0.52","107.3","108.4","","N. McMillan (41-41)"
"7","2006-07","NBA","Portland Trail Blazers","32","50",".390","3","-3.78","105.1","109.9","","N. McMillan (32-50)"
"8","2005-06","NBA","Portland Trail Blazers","21","61",".256","5","-8.91","101.1","111.9","","N. McMillan (21-61)"
"9","2004-05","NBA","Portland Trail Blazers","27","55",".329","4","-3.45","103.2","107.7","","M. Cheeks (22-33), K. Pritchard (5-22)"
"10","2003-04","NBA","Portland Trail Blazers","41","41",".500","3","-0.58","103.7","105.1","","M. Cheeks (41-41)"
"11","2002-03","NBA","Portland Trail Blazers*","50","32",".610","3","2.98","105.5","102.6","Lost Western Conference First Round","M. Cheeks (50-32)"
"12","2001-02","NBA","Portland Trail Blazers*","49","33",".598","3","3.20","107.4","104.0","Lost Western Conference First Round","M. Cheeks (49-33)"
"13","2000-01","NBA","Portland Trail Blazers*","50","32",".610","4","4.52","106.5","101.8","Lost Western Conference First Round","M. Dunleavy (50-32)"
"14","1999-00","NBA","Portland Trail Blazers*","59","23",".720","2","6.37","107.9","100.8","Lost Western Conference Finals","M. Dunleavy (59-23)"
"15","1998-99","NBA","Portland Trail Blazers*","35","15",".700","1","5.67","104.8","97.7","Lost Western Conference Finals","M. Dunleavy (35-15)"
"16","1997-98","NBA","Portland Trail Blazers*","46","36",".561","4","0.83","104.0","102.4","Lost Western Conference First Round","M. Dunleavy (46-36)"
"17","1996-97","NBA","Portland Trail Blazers*","49","33",".598","3","3.56","107.9","103.3","Lost Western Conference First Round","P. Carlesimo (49-33)"
"18","1995-96","NBA","Portland Trail Blazers*","44","38",".537","3","2.21","106.0","103.5","Lost Western Conference First Round","P. Carlesimo (44-38)"
"19","1994-95","NBA","Portland Trail Blazers*","44","38",".537","4","3.79","109.7","105.7","Lost Western Conference First Round","P. Carlesimo (44-38)"
"20","1993-94","NBA","Portland Trail Blazers*","47","35",".573","4","2.60","108.1","105.5","Lost Western Conference First Round","R. Adelman (47-35)"
"21","1992-93","NBA","Portland Trail Blazers*","51","31",".622","3","2.92","108.3","105.2","Lost Western Conference First Round","R. Adelman (51-31)"
"22","1991-92","NBA","Portland Trail Blazers*","57","25",".695","1","6.94","111.4","104.2","Lost Finals","R. Adelman (57-25)"
"23","1990-91","NBA","Portland Trail Blazers*","63","19",".768","1","8.47","112.8","104.3","Lost Western Conference Finals","R. Adelman (63-19)"
"24","1989-90","NBA","Portland Trail Blazers*","59","23",".720","2","6.48","110.5","104.4","Lost Finals","R. Adelman (59-23)"
"25","1988-89","NBA","Portland Trail Blazers*","39","43",".476","5","0.92","109.4","108.0","Lost Western Conference First Round","M. Schuler (25-22), R. Adelman (14-21)"
"26","1987-88","NBA","Portland Trail Blazers*","53","29",".646","2","3.59","111.8","107.4","Lost Western Conference First Round","M. Schuler (53-29)"
"27","1986-87","NBA","Portland Trail Blazers*","49","33",".598","2","2.57","111.5","108.6","Lost Western Conference First Round","M. Schuler (49-33)"
