"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Golden State Warriors","22","10",".688","2","2.83","107.0","103.7","","M. Jackson (22-10)"
"2","2011-12","NBA","Golden State Warriors","23","43",".348","4","-2.79","105.4","109.1","","M. Jackson (23-43)"
"3","2010-11","NBA","Golden State Warriors","36","46",".439","3","-2.00","108.2","110.7","","K. Smart (36-46)"
"4","2009-10","NBA","Golden State Warriors","26","56",".317","4","-3.28","108.1","111.7","","D. Nelson (26-56)"
"5","2008-09","NBA","Golden State Warriors","29","53",".354","3","-3.80","109.5","113.3","","D. Nelson (29-53)"
"6","2007-08","NBA","Golden State Warriors","48","34",".585","3","2.38","111.8","109.5","","D. Nelson (48-34)"
"7","2006-07","NBA","Golden State Warriors*","42","40",".512","3","-0.01","107.0","107.4","Lost Western Conference Semifinals","D. Nelson (42-40)"
"8","2005-06","NBA","Golden State Warriors","34","48",".415","5","-1.11","104.8","106.2","","M. Montgomery (34-48)"
"9","2004-05","NBA","Golden State Warriors","34","48",".415","5","-1.74","104.7","106.9","","M. Montgomery (34-48)"
"10","2003-04","NBA","Golden State Warriors","37","45",".451","4","-0.07","103.0","103.8","","E. Musselman (37-45)"
"11","2002-03","NBA","Golden State Warriors","38","44",".463","6","-0.60","108.3","109.5","","E. Musselman (38-44)"
"12","2001-02","NBA","Golden State Warriors","21","61",".256","7","-4.80","102.8","108.5","","D. Cowens (8-15), B. Winters (13-46)"
"13","2000-01","NBA","Golden State Warriors","17","65",".207","7","-8.11","97.8","107.4","","D. Cowens (17-65)"
"14","1999-00","NBA","Golden State Warriors","19","63",".232","6","-7.62","99.8","108.4","","P. Carlesimo (6-21), G. St. Jean (13-42)"
"15","1998-99","NBA","Golden State Warriors","21","29",".420","6","-2.63","98.4","101.1","","P. Carlesimo (21-29)"
"16","1997-98","NBA","Golden State Warriors","19","63",".232","6","-9.20","95.8","105.7","","P. Carlesimo (19-63)"
"17","1996-97","NBA","Golden State Warriors","30","52",".366","7","-4.90","107.2","112.2","","R. Adelman (30-52)"
"18","1995-96","NBA","Golden State Warriors","36","46",".439","6","-1.42","108.4","109.9","","R. Adelman (36-46)"
"19","1994-95","NBA","Golden State Warriors","26","56",".317","6","-4.91","106.7","112.2","","D. Nelson (14-31), B. Lanier (12-25)"
"20","1993-94","NBA","Golden State Warriors*","50","32",".610","3","1.76","108.3","106.5","Lost Western Conference First Round","D. Nelson (50-32)"
"21","1992-93","NBA","Golden State Warriors","34","48",".415","6","-0.94","109.2","110.2","","D. Nelson (34-48)"
"22","1991-92","NBA","Golden State Warriors*","55","27",".671","2","3.77","113.6","109.9","Lost Western Conference First Round","D. Nelson (55-27)"
"23","1990-91","NBA","Golden State Warriors*","44","38",".537","4","1.72","111.9","110.3","Lost Western Conference Semifinals","D. Nelson (44-38)"
"24","1989-90","NBA","Golden State Warriors","37","45",".451","5","-2.55","109.6","112.6","","D. Nelson (37-45)"
"25","1988-89","NBA","Golden State Warriors*","43","39",".524","4","-0.59","107.4","107.7","Lost Western Conference Semifinals","D. Nelson (43-39)"
"26","1987-88","NBA","Golden State Warriors","20","62",".244","5","-8.38","104.7","112.9","","G. Karl (16-48), E. Gregory (4-14)"
"27","1986-87","NBA","Golden State Warriors*","42","40",".512","3","-2.53","108.9","111.2","Lost Western Conference Semifinals","G. Karl (42-40)"
"28","1985-86","NBA","Golden State Warriors","30","52",".366","6","-3.59","108.3","111.6","","J. Bach (30-52)"
"29","1984-85","NBA","Golden State Warriors","22","60",".268","6","-7.21","106.0","113.0","","J. Bach (22-60)"
"30","1983-84","NBA","Golden State Warriors","37","45",".451","5","-3.35","105.5","108.8","","J. Bach (37-45)"
"31","1982-83","NBA","Golden State Warriors","30","52",".366","5","-3.48","103.9","107.4","","A. Attles (30-52)"
"32","1981-82","NBA","Golden State Warriors","45","37",".549","4","0.80","108.8","107.7","","A. Attles (45-37)"
"33","1980-81","NBA","Golden State Warriors","39","43",".476","4","-1.41","108.5","109.7","","A. Attles (39-43)"
"34","1979-80","NBA","Golden State Warriors","24","58",".293","6","-4.20","102.0","106.3","","A. Attles (18-43), J. Bach (6-15)"
"35","1978-79","NBA","Golden State Warriors","38","44",".463","6","0.46","102.4","102.0","","A. Attles (38-44)"
"36","1977-78","NBA","Golden State Warriors","43","39",".524","5","0.41","99.6","99.3","","A. Attles (43-39)"
"37","1976-77","NBA","Golden State Warriors*","46","36",".561","3","3.10","102.4","99.5","Lost Western Conference Semifinals","A. Attles (46-36)"
"38","1975-76","NBA","Golden State Warriors*","59","23",".720","1","6.23","100.6","94.5","Lost Western Conference Finals","A. Attles (59-23)"
"39","1974-75","NBA","Golden State Warriors*","48","34",".585","1","2.86","100.4","97.3","Won Finals","A. Attles (48-34)"
"40","1973-74","NBA","Golden State Warriors","44","38",".537","2","2.42","100.8","98.4","","A. Attles (44-38)"
"41","1972-73","NBA","Golden State Warriors*","47","35",".573","2","3.12","","","Lost Western Conference Finals","A. Attles (47-35)"
"42","1971-72","NBA","Golden State Warriors*","51","31",".622","2","0.92","","","Lost Western Conference Semifinals","A. Attles (51-31)"
"43","1970-71","NBA","San Francisco Warriors*","41","41",".500","2","-0.83","","","Lost Western Conference Semifinals","A. Attles (41-41)"
"44","1969-70","NBA","San Francisco Warriors","30","52",".366","6","-4.15","","","","G. Lee (22-30), A. Attles (8-22)"
"45","1968-69","NBA","San Francisco Warriors*","41","41",".500","3","-1.53","","","Lost Western Division Semifinals","G. Lee (41-41)"
"46","1967-68","NBA","San Francisco Warriors*","43","39",".524","3","-0.67","","","Lost Western Division Finals","B. Sharman (43-39)"
"47","1966-67","NBA","San Francisco Warriors*","44","37",".543","1","2.58","","","Lost Finals","B. Sharman (44-37)"
"48","1965-66","NBA","San Francisco Warriors","35","45",".438","4","-2.36","","","","A. Hannum (35-45)"
"49","1964-65","NBA","San Francisco Warriors","17","63",".213","5","-5.50","","","","A. Hannum (17-63)"
"50","1963-64","NBA","San Francisco Warriors*","48","32",".600","1","4.39","","","Lost Finals","A. Hannum (48-32)"
"51","1962-63","NBA","San Francisco Warriors","31","49",".388","4","-1.86","","","","B. Feerick (31-49)"
"52","1961-62","NBA","Philadelphia Warriors*","49","31",".613","2","2.63","","","Lost Eastern Division Finals","F. McGuire (49-31)"
"53","1960-61","NBA","Philadelphia Warriors*","46","33",".582","2","0.88","","","Lost Eastern Division Semifinals","N. Johnston (46-33)"
