"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Detroit Pistons","12","22",".353","4","-1.84","104.5","106.2","","L. Frank (12-22)"
"2","2011-12","NBA","Detroit Pistons","25","41",".379","4","-5.19","101.0","106.3","","L. Frank (25-41)"
"3","2010-11","NBA","Detroit Pistons","30","52",".366","4","-3.78","107.7","111.7","","J. Kuester (30-52)"
"4","2009-10","NBA","Detroit Pistons","27","55",".329","5","-5.02","105.6","111.4","","J. Kuester (27-55)"
"5","2008-09","NBA","Detroit Pistons*","39","43",".476","3","-0.36","107.4","108.0","Lost Eastern Conference First Round","M. Curry (39-43)"
"6","2007-08","NBA","Detroit Pistons*","59","23",".720","1","6.67","111.4","102.9","Lost Eastern Conference Finals","F. Saunders (59-23)"
"7","2006-07","NBA","Detroit Pistons*","53","29",".646","1","3.68","108.9","104.2","Lost Eastern Conference Finals","F. Saunders (53-29)"
"8","2005-06","NBA","Detroit Pistons*","64","18",".780","1","6.23","110.8","103.1","Lost Eastern Conference Finals","F. Saunders (64-18)"
"9","2004-05","NBA","Detroit Pistons*","54","28",".659","1","3.31","105.6","101.2","Lost Finals","L. Brown (54-28)"
"10","2003-04","NBA","Detroit Pistons*","54","28",".659","2","5.04","102.0","95.4","Won Finals","L. Brown (54-28)"
"11","2002-03","NBA","Detroit Pistons*","50","32",".610","1","2.98","104.1","99.9","Lost Eastern Conference Finals","R. Carlisle (50-32)"
"12","2001-02","NBA","Detroit Pistons*","50","32",".610","1","1.69","104.8","102.4","Lost Eastern Conference Semifinals","R. Carlisle (50-32)"
"13","2000-01","NBA","Detroit Pistons","32","50",".390","5","-2.08","100.0","101.8","","G. Irvine (32-50)"
"14","1999-00","NBA","Detroit Pistons*","42","40",".512","4","1.13","107.3","105.8","Lost Eastern Conference First Round","A. Gentry (28-30), G. Irvine (14-10)"
"15","1998-99","NBA","Detroit Pistons*","29","21",".580","3","3.97","104.2","100.3","Lost Eastern Conference First Round","A. Gentry (29-21)"
"16","1997-98","NBA","Detroit Pistons","37","45",".451","6","1.95","105.3","103.5","","D. Collins (21-24), A. Gentry (16-21)"
"17","1996-97","NBA","Detroit Pistons*","54","28",".659","3","5.45","110.6","104.4","Lost Eastern Conference First Round","D. Collins (54-28)"
"18","1995-96","NBA","Detroit Pistons*","46","36",".561","5","2.45","107.9","105.1","Lost Eastern Conference First Round","D. Collins (46-36)"
"19","1994-95","NBA","Detroit Pistons","28","54",".341","7","-7.09","105.1","112.9","","D. Chaney (28-54)"
"20","1993-94","NBA","Detroit Pistons","20","62",".244","7","-7.46","102.7","110.9","","D. Chaney (20-62)"
"21","1992-93","NBA","Detroit Pistons","40","42",".488","6","-1.10","107.4","108.9","","R. Rothstein (40-42)"
"22","1991-92","NBA","Detroit Pistons*","48","34",".585","3","2.06","107.5","105.3","Lost Eastern Conference First Round","C. Daly (48-34)"
"23","1990-91","NBA","Detroit Pistons*","50","32",".610","2","3.07","108.2","104.6","Lost Eastern Conference Finals","C. Daly (50-32)"
"24","1989-90","NBA","Detroit Pistons*","59","23",".720","1","5.41","109.9","103.5","Won Finals","C. Daly (59-23)"
"25","1988-89","NBA","Detroit Pistons*","63","19",".768","1","6.24","110.8","104.7","Won Finals","C. Daly (63-19)"
"26","1987-88","NBA","Detroit Pistons*","54","28",".659","1","5.46","110.5","105.3","Lost Finals","C. Daly (54-28)"
"27","1986-87","NBA","Detroit Pistons*","52","30",".634","2","3.52","109.2","105.8","Lost Eastern Conference Finals","C. Daly (52-30)"
"28","1985-86","NBA","Detroit Pistons*","46","36",".561","3","1.44","109.0","107.9","Lost Eastern Conference First Round","C. Daly (46-36)"
