"","Year","ID_School","Sport","White.Males","Black.Males","Hispanic.Males","Other.Males"
"257","2003-2004","UTA.ST","Football",39,23,2,9
"259","2004-2005","AUB","Football",25,62,0,2
"262","2004-2005","CLEM","Football",18,55,1,15
"264","2004-2005","DUKE","Football",36,38,1,2
"266","2004-2005","FSU","Football",16,61,2,6
"269","2004-2005","LOUIS","Football",26,58,1,3
"271","2004-2005","ND","Football",36,42,0,1
"273","2004-2005","NWST","Football",48,45,2,5
"275","2004-2005","OKSTATE","Football",22,62,1,5
"276","2004-2005","ORE","Football",26,41,3,10
"278","2004-2005","ORE.ST","Football",26,18,0,6
"280","2004-2005","RUT","Football",26,59,3,7
"282","2004-2005","SJ.ST","Football",23,45,5,5
"283","2004-2005","SMU","Football",13,9,0,0
"285","2004-2005","TAM","Football",37,54,1,2
"287","2004-2005","UM","Football",40,49,2,1
"289","2004-2005","UOFM","Football",18,49,3,2
"291","2004-2005","UT","Football",28,56,2,0
"292","2004-2005","UTA.ST","Football",36,28,2,12
"294","2005-2006","AUB","Football",23,58,1,3
"297","2005-2006","CLEM","Football",2,10,0,0
"299","2005-2006","DUKE","Football",36,44,1,1
"301","2005-2006","FSU","Football",20,69,1,2
"303","2005-2006","KAN.ST","Football",35,35,2,9
"305","2005-2006","LSU","Football",27,56,0,4
"307","2005-2006","NEB","Football",48,34,0,6
"309","2005-2006","OK","Football",27,58,2,1
"312","2005-2006","OSU","Football",41,41,1,5
"314","2005-2006","SCAR","Football",18,59,0,7
"317","2005-2006","STAN","Football",44,39,5,13
"319","2005-2006","UGA","Football",25,61,0,0
"321","2005-2006","UNC","Football",34,60,2,2
"323","2005-2006","USC","Football",25,47,5,15
"326","2005-2006","VANDY","Football",32,49,0,3
