Season,League,Team,Arena,Capacity,"City, State/Province",Wikipedia_URL,Nickname,Address,Latitude-Longitude,Date Opened,Date Closed,Date Demolished,Year Renovated
1973-74,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1972-73,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1971-72,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1970-71,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1969-70,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1968-69,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1967-68,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1966-67,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1965-66,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1964-65,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1963-64,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1962-63,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1961-62,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
