ID_Sport,ID_School,Season,Name,Last_Name,First_Name,Year,Hometown/Prior_School,Height,Player_URL
UNC,MGOLF,2010-2011,Philip Chauncey,Chauncey,Philip,Sr.,"Durham, N.C. (North Raleigh Christian Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675583&Q
UNC,MGOLF,2010-2011,James Ellis,Ellis,James,Fr.,"Greenville, N.C. (Arendell Parrott Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675518&Q
UNC,MGOLF,2010-2011,Jack Fields,Fields,Jack,Jr.,"Southern Pines, N.C. (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675562&Q
UNC,MGOLF,2010-2011,Sean Jacklin,Jacklin,Sean,Fr.,"Bradenton, Fla. (Manatee)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675538&Q
UNC,MGOLF,2010-2011,Michael McGowan,McGowan,Michael,So.,"Southern Pines, N.C. (O'Neal)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675571&Q
UNC,MGOLF,2010-2011,Kevin O'Connell,O'Connell,Kevin,Sr.,"Cary, N.C. (Green Hope)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675544&Q
UNC,MGOLF,2010-2011,Clark Palmer,Palmer,Clark,So.,"Augusta, Ga. (Academy of Richmond Co.)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675567&Q
UNC,MGOLF,2010-2011,Matt Raudenbush,Raudenbush,Matt,Jr.,"Pine Valley, N.J. (Bishop Eustace Prep, NJ)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675579&Q
UNC,MGOLF,2010-2011,Henry Zaytoun III,Zaytoun III,Henry,Sr.,"Raleigh, N.C. (Ravenscroft School)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675564&Q
UNC,MGOLF,2009-2010,Patrick Barrett,Barrett,Patrick,So.,"Pinehurst, N.C. (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675568&Q
UNC,MGOLF,2009-2010,Philip Chauncey,Chauncey,Philip,RJr.,"Durham, N.C. (North Raleigh Christian Academy)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675583&Q
UNC,MGOLF,2009-2010,Jack Fields,Fields,Jack,So.,"Southern Pines, N.C. (Pinecrest)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675562&Q
UNC,MGOLF,2009-2010,Ryan Holler,Holler,Ryan,RGr.,"Morehead City, N.C. (West Carteret)",,http://www.goheels.com/ViewArticle.dbml?SPSID=668161&SPID=12967&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205675559&Q
