ID_Position,Football_Position
WR,Wide Receiver
TE,Tight End
SS,Strong Safety
S,Safety
RB,Running Back
QB,Quarterback
PK,Place Kicker
P,Punter
OT,Offensive Tackle
OLB,Outside Linebacker
OL,Offensive Linemine
OG,Offensive Guard
OC,Center
NT,Nosetackle
LS,Long Snapper
LB,Linebacker
K,Kicker
ILB,Inside Linebacker
FS,Free Safety
FB,Fullback
DT,Defensive Tackle
DL,Defensive Lineman
DE,Defensive End
DB,Defensive Back
CB,Cornerback
