"","Year","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"909","2009-2010","SCAR",1834,2301,1442,1750,173,286,65,64
"910","2009-2010","SJ.ST",2380,2681,656,806,83,89,357,473
"911","2009-2010","SMU",842,972,620,729,38,35,68,77
"912","2009-2010","STAN",845,826,352,325,77,88,84,100
"913","2009-2010","TAM",4125,4326,3263,3390,76,122,494,537
"914","2009-2010","UGA",2721,3769,2255,3053,125,223,63,89
"915","2009-2010","UM",3250,3207,2078,2118,146,181,146,178
"916","2009-2010","UNC",1767,2629,1272,1796,153,288,76,106
"917","2009-2010","UOFM",1159,1422,587,627,74,113,263,407
"918","2009-2010","USC",2043,2216,958,1025,49,76,262,291
"919","2009-2010","UT",4146,4692,2419,2702,117,244,667,771
"920","2009-2010","UTA.ST",1519,1521,1236,1266,17,11,26,42
"921","2009-2010","VANDY",748,835,482,521,50,81,32,52
"922","2010-2011","AUB",2052,2105,1821,1808,109,180,33,39
"923","2010-2011","BAMA",2032,2431,1761,2076,158,250,45,51
"924","2010-2011","BOS.ST",1008,1400,847,1173,16,12,47,87
"925","2010-2011","CLEM",1713,1605,1434,1322,101,113,19,23
"926","2010-2011","DUKE",742,751,388,375,44,73,33,40
"927","2010-2011","FLA",3818,4867,2420,2901,266,593,591,777
"928","2010-2011","FSU",3460,4426,2535,3149,287,491,399,527
"929","2010-2011","GTOWN",778,1039,539,684,47,56,46,59
"930","2010-2011","KAN.ST",1637,1707,1454,1514,41,32,60,71
"931","2010-2011","LOUIS",1218,1400,1029,1087,95,163,29,39
"932","2010-2011","LSU",2103,2337,1714,1850,147,229,59,89
"933","2010-2011","ND",1086,992,859,702,32,44,85,119
"934","2010-2011","NEB",1834,1787,1531,1487,41,25,66,58
"935","2010-2011","NWST",1008,1127,566,610,28,73,64,83
"936","2010-2011","OK",1796,1933,1236,1317,86,114,17,31
"937","2010-2011","OKSTATE",1891,1764,1424,1403,69,56,65,64
"938","2010-2011","ORE",1837,1994,1353,1512,40,27,70,71
"939","2010-2011","ORE.ST",1746,1732,1305,1255,19,17,68,72
"940","2010-2011","OSU",5248,5043,4228,3989,238,345,135,130
"941","2010-2011","RUT",3103,3076,1782,1597,171,302,227,323
"942","2010-2011","SCAR",2001,2461,1595,1924,172,297,54,67
"943","2010-2011","SJ.ST",2196,2720,670,827,85,103,354,557
"944","2010-2011","SMU",729,896,525,713,29,21,58,62
"945","2010-2011","STAN",845,825,385,333,49,48,117,105
"946","2010-2011","TAM",4267,4481,3250,3454,90,105,521,621
"947","2010-2011","UGA",2898,3947,2382,3095,138,305,79,119
"948","2010-2011","UM",3245,3308,2030,2106,108,174,145,181
"949","2010-2011","UNC",1798,2856,1310,2032,124,315,111,181
"950","2010-2011","UOFM",1062,1321,538,575,55,110,251,381
"951","2010-2011","USC",2464,2451,1140,1045,73,99,302,343
"952","2010-2011","UT",4097,4957,2298,2731,126,227,658,903
"953","2010-2011","UTA.ST",1578,1654,1209,1298,23,12,36,50
"954","2010-2011","VANDY",779,956,522,647,49,109,49,58
"955","2011-2012","AUB",2159,2127,1860,1838,159,188,43,47
"956","2011-2012","BAMA",2017,2465,1768,2038,147,318,30,43
"957","2011-2012","BOS.ST",1155,1432,965,1203,30,14,45,96
"958","2011-2012","CLEM",1769,1672,1492,1405,80,102,32,31
"959","2011-2012","DUKE",849,950,443,503,54,93,42,59
"960","2011-2012","FLA",3709,4892,2330,2864,238,515,584,855
"961","2011-2012","FSU",3558,4302,2546,2951,279,509,477,543
"962","2011-2012","GTOWN",842,1029,583,682,36,62,55,55
"963","2011-2012","KAN.ST",1724,1783,1453,1519,59,47,60,85
"964","2011-2012","LOUIS",1301,1401,1070,1100,96,174,43,46
"965","2011-2012","LSU",2184,2416,1762,1873,141,255,85,95
"966","2011-2012","ND",1105,973,855,739,28,18,102,94
"967","2011-2012","NEB",1914,1805,1606,1506,36,42,66,70
"968","2011-2012","NWST",1041,1143,602,647,34,57,64,81
"969","2011-2012","OK",1888,1994,1310,1336,80,113,41,40
"970","2011-2012","OKSTATE",1874,1907,1427,1469,59,64,83,50
"971","2011-2012","ORE",2066,2206,1534,1656,33,34,74,95
"972","2011-2012","ORE.ST",1962,1970,1403,1452,22,15,91,112
"973","2011-2012","OSU",5509,5417,4388,4155,229,372,151,140
"974","2011-2012","RUT",3457,3386,2005,1729,190,313,296,364
"975","2011-2012","SCAR",2049,2507,1607,1923,195,307,67,85
"976","2011-2012","SJ.ST",2271,2630,647,795,85,92,371,579
"977","2011-2012","SMU",801,915,578,655,39,47,73,93
"978","2011-2012","STAN",870,845,385,344,69,59,126,128
"979","2011-2012","TAM",4472,4601,3365,3454,97,121,601,697
"980","2011-2012","UGA",2820,4041,2307,3190,135,296,78,148
"981","2011-2012","UM",3247,3243,2081,2130,93,173,103,148
"982","2011-2012","UNC",1806,2639,1255,1783,130,275,146,208
"983","2011-2012","UOFM",1135,1294,561,502,72,124,241,376
"984","2011-2012","USC",2185,2354,991,925,63,120,275,317
"985","2011-2012","UT",4135,4686,2242,2521,130,247,711,888
"986","2011-2012","UTA.ST",1615,1756,1296,1387,21,16,52,115
"987","2011-2012","VANDY",811,862,555,557,45,67,41,61
