team,team,colors,city,state.abb,country,name,team_id,dbpedia_url,dbpedia_data_json,sports_reference_URL,wiki_url,logo_image_url,league
Los Angeles Dodgers,Los Angeles,"Dodger blue, white",Los Angeles,CA,US,Dodgers,LAD,live.dbpedia.org/resource/Los_Angeles_Dodgers,live.dbpedia.org/data/Los_Angeles_Dodgers.json,http://www.baseball-reference.com/teams/LAD/,wikipedia.org/wiki/Los_Angeles_Dodgers,http://upload.wikimedia.org/wikipedia/en/thumb/2/20/Los_Angeles_Dodgers_Logo.png/190px-Los_Angeles_Dodgers_Logo.png,MLB
Miami Marlins,Miami,"Black, Red-Orange, Silver, Blue, Yellow, White",Miami,FL,US,Marlins,FLA,live.dbpedia.org/resource/Miami_Marlins,live.dbpedia.org/data/Miami_Marlins.json,http://www.baseball-reference.com/teams/FLA/,wikipedia.org/wiki/Miami_Marlins,http://upload.wikimedia.org/wikipedia/en/thumb/b/b4/MiamiMarlins.svg/182px-MiamiMarlins.svg.png,MLB
Milwaukee Brewers,Milwaukee,"Navy blue, metallic gold, white",Milwaukee,WI,US,Brewers,MIL,live.dbpedia.org/resource/Milwaukee_Brewers,live.dbpedia.org/data/Milwaukee_Brewers.json,http://www.baseball-reference.com/teams/MIL/,wikipedia.org/wiki/Milwaukee_Brewers,http://upload.wikimedia.org/wikipedia/en/thumb/1/11/Milwaukee_Brewers_Logo.svg/360px-Milwaukee_Brewers_Logo.svg.png,MLB
Minnesota Twins,Minnesota,"Navy blue, red, white",Minnesota,MN,US,Twins,MIN,live.dbpedia.org/resource/Minnesota_Twins,live.dbpedia.org/data/Minnesota_Twins.json,http://www.baseball-reference.com/teams/MIN/,wikipedia.org/wiki/Minnesota_Twins,http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/MinnesotaTwins.PNG/201px-MinnesotaTwins.PNG,MLB
Montreal Expos,Montreal,"Blue, White, Red",Montreal,QC,CA,Expos,WSN,live.dbpedia.org/resource/Montreal_Expos,live.dbpedia.org/data/Montreal_Expos.json,http://www.baseball-reference.com/teams/WSN/,wikipedia.org/wiki/Montreal_Expos,http://upload.wikimedia.org/wikipedia/en/thumb/3/32/Montreal_Expos_Logo.svg/200px-Montreal_Expos_Logo.svg.png,MLB
New York Mets,Queens,"Blue, orange, white",Queens,NY,US,Mets,NYM,live.dbpedia.org/resource/New_York_Mets,live.dbpedia.org/data/New_York_Mets.json,http://www.baseball-reference.com/teams/NYM/,wikipedia.org/wiki/New_York_Mets,http://upload.wikimedia.org/wikipedia/en/thumb/7/7b/New_York_Mets.svg/200px-New_York_Mets.svg.png,MLB
New York Yankees,The Bronx,"Navy blue, white, gray",The Bronx,NY,US,Yankees,NYY,live.dbpedia.org/resource/New_York_Yankees,live.dbpedia.org/data/New_York_Yankees.json,http://www.baseball-reference.com/teams/NYY/,wikipedia.org/wiki/New_York_Yankees,http://upload.wikimedia.org/wikipedia/en/thumb/2/25/NewYorkYankees_PrimaryLogo.svg/180px-NewYorkYankees_PrimaryLogo.svg.png,MLB
Oakland Athletics,Oakland,"Hunter green, California gold, white",Oakland,CA,US,Athletics,OAK,live.dbpedia.org/resource/Oakland_Athletics,live.dbpedia.org/data/Oakland_Athletics.json,http://www.baseball-reference.com/teams/OAK/,wikipedia.org/wiki/Oakland_Athletics,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Oakland_athl_primlogo.svg/200px-Oakland_athl_primlogo.svg.png,MLB
Philadelphia Phillies,Philadelphia,"Red, white, blue",Philadelphia,PA,US,Phillies,PHI,live.dbpedia.org/resource/Philadelphia_Phillies,live.dbpedia.org/data/Philadelphia_Phillies.json,http://www.baseball-reference.com/teams/PHI/,wikipedia.org/wiki/Philadelphia_Phillies,http://upload.wikimedia.org/wikipedia/en/thumb/8/84/Philadelphia_Phillies.svg/215px-Philadelphia_Phillies.svg.png,MLB
Pittsburgh Pirates,Pittsburgh,"Black, gold, white",Pittsburgh,PA,US,Pirates,PIT,live.dbpedia.org/resource/Pittsburgh_Pirates,live.dbpedia.org/data/Pittsburgh_Pirates.json,http://www.baseball-reference.com/teams/PIT/,wikipedia.org/wiki/Pittsburgh_Pirates,http://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Pittsburgh_Pirates_MLB_Logo.svg/257px-Pittsburgh_Pirates_MLB_Logo.svg.png,MLB
San Diego Padres,San Diego,"Midnight blue, white, sand",San Diego,CA,US,Padres,SDP,live.dbpedia.org/resource/San_Diego_Padres,live.dbpedia.org/data/San_Diego_Padres.json,http://www.baseball-reference.com/teams/SDP/,wikipedia.org/wiki/San_Diego_Padres,http://upload.wikimedia.org/wikipedia/en/thumb/d/da/2012Padreslogo.jpg/200px-2012Padreslogo.jpg,MLB
San Francisco Giants,San Francisco,"Black, Orange, Cream",San Francisco,CA,US,Giants,SFG,live.dbpedia.org/resource/San_Francisco_Giants,live.dbpedia.org/data/San_Francisco_Giants.json,http://www.baseball-reference.com/teams/SFG/,wikipedia.org/wiki/San_Francisco_Giants,http://upload.wikimedia.org/wikipedia/en/thumb/5/58/San_Francisco_Giants_Logo.svg/379px-San_Francisco_Giants_Logo.svg.png,MLB
Seattle Mariners,Seattle,"Navy blue, Northwest green, metallic silver, white",Seattle,WA,US,Mariners,SEA,live.dbpedia.org/resource/Seattle_Mariners,live.dbpedia.org/data/Seattle_Mariners.json,http://www.baseball-reference.com/teams/SEA/,wikipedia.org/wiki/Seattle_Mariners,http://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Seattle_Mariners_logo.svg/196px-Seattle_Mariners_logo.svg.png,MLB
St. Louis Cardinals,St. Louis,"Red, Navy, White",St. Louis,MO,US,Cardinals,STL,live.dbpedia.org/resource/St._Louis_Cardinals,live.dbpedia.org/data/St._Louis_Cardinals.json,http://www.baseball-reference.com/teams/STL/,wikipedia.org/wiki/St._Louis_Cardinals,http://upload.wikimedia.org/wikipedia/en/thumb/e/e6/St._Louis_Cardinals_Logo.svg/210px-St._Louis_Cardinals_Logo.svg.png,MLB
Tampa Bay Rays,Tampa,"Navy, Columbia Blue, White, Gold",Tampa,FL,US,Rays,TBD,live.dbpedia.org/resource/Tampa_Bay_Rays,live.dbpedia.org/data/Tampa_Bay_Rays.json,http://www.baseball-reference.com/teams/TBD/,wikipedia.org/wiki/Tampa_Bay_Rays,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Tampa_Bay_Rays.svg/200px-Tampa_Bay_Rays.svg.png,MLB
Texas Rangers,Texas,"Red, White, Blue",Texas,TX,US,Rangers,TEX,live.dbpedia.org/resource/Texas_Rangers,live.dbpedia.org/data/Texas_Rangers.json,http://www.baseball-reference.com/teams/TEX/,http://en.wikipedia.org/wiki/Texas_Rangers_(baseball),http://upload.wikimedia.org/wikipedia/en/thumb/4/41/Texas_Rangers.svg/200px-Texas_Rangers.svg.png,MLB
Toronto Blue Jays,Toronto,"Royal blue, navy blue, white, red",Toronto,ON,CA,Blue Jays,TOR,live.dbpedia.org/resource/Toronto_Blue_Jays,live.dbpedia.org/data/Toronto_Blue_Jays.json,http://www.baseball-reference.com/teams/TOR/,wikipedia.org/wiki/Toronto_Blue_Jays,http://upload.wikimedia.org/wikipedia/en/thumb/d/d2/TorontoBlueJays2012primary.png/200px-TorontoBlueJays2012primary.png,MLB
Washington Nationals,Washington D.C.,"Red, Navy, White",Washington D.C.,DC,US,Nationals,WSN,live.dbpedia.org/resource/Washington_Nationals,live.dbpedia.org/data/Washington_Nationals.json,http://www.baseball-reference.com/teams/WSN/,wikipedia.org/wiki/Washington_Nationals,http://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Washington_Nationals_2011.png/200px-Washington_Nationals_2011.png,MLB
