Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,1,19,14,0,14,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,2,1,1
1999-2000,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,1,12,10,0,10,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,5,5,0,11,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,14,0,5,5,0,8,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,9,6,14,9,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,15,9,6,14,9,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,5,2,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
