Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2000-2001,100858,Auburn University,All other sports combined,145,44,101,120,34,86,4,1,3,2,1,1,1,0,1,1,0,1,1,0,1,16,8,8
2000-2001,100858,Auburn University,Baseball,24,24,0,20,20,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Basketball,26,11,15,6,3,3,17,6,11,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2000-2001,100858,Auburn University,Cross-country and/or track,39,16,23,16,5,11,12,5,7,1,1,0,0,0,0,0,0,0,0,0,0,10,5,5
2000-2001,100858,Auburn University,Football,88,88,0,34,34,0,52,52,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2000-2001,142115,Boise State University,All other sports combined,104,40,64,72,26,46,1,1,0,1,0,1,4,0,4,0,0,0,0,0,0,26,13,13
2000-2001,142115,Boise State University,Basketball,13,13,0,2,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2000-2001,142115,Boise State University,Cross-country and/or track,51,24,27,40,17,23,1,1,0,1,0,1,1,1,0,1,1,0,2,1,1,5,3,2
2000-2001,142115,Boise State University,Football,92,92,0,56,56,0,28,28,0,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0
2000-2001,217882,Clemson University,All other sports combined,32,8,24,29,5,24,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,217882,Clemson University,Baseball,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,217882,Clemson University,Basketball,13,7,6,6,4,2,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,217882,Clemson University,Cross-country and/or track,15,12,3,6,5,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2000-2001,217882,Clemson University,Football,21,21,0,6,6,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,198419,Duke University,All other sports combined,186,69,117,149,54,95,9,4,5,5,3,2,4,2,2,0,0,0,6,1,5,13,5,8
2000-2001,198419,Duke University,Baseball,23,23,0,21,21,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,198419,Duke University,Basketball,26,12,14,10,3,7,15,8,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,198419,Duke University,Football,74,74,0,41,41,0,32,32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,All other sports combined,137,44,93,83,26,57,12,3,9,9,2,7,2,0,2,0,0,0,0,0,0,31,13,18
2000-2001,134097,Florida State University,Baseball,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Basketball,26,12,14,9,2,7,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2000-2001,134097,Florida State University,Cross-country and/or track,69,36,33,37,19,18,23,13,10,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5
2000-2001,134097,Florida State University,Football,86,86,0,17,17,0,67,67,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,131496,Georgetown University,All other sports combined,105,47,58,96,44,52,6,3,3,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
2000-2001,131496,Georgetown University,Baseball,7,7,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,131496,Georgetown University,Basketball,28,13,15,4,1,3,18,10,8,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4
2000-2001,131496,Georgetown University,Cross-country and/or track,39,16,23,25,11,14,12,3,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,131496,Georgetown University,Football,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,155399,Kansas State University,All other sports combined,36,9,27,26,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
2000-2001,155399,Kansas State University,Baseball,28,28,0,20,20,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,1,1,0
2000-2001,155399,Kansas State University,Basketball,23,11,12,10,3,7,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2000-2001,155399,Kansas State University,Cross-country and/or track,40,16,24,20,6,14,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2
2000-2001,155399,Kansas State University,Football,88,88,0,37,37,0,47,47,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0
