Player,Team,Agency,Primary_Agent,Secondary_Agent,2011_2012_Salary,Id.Date,Draftexpress_Player_Bio_URL,Draftexpress_Comprehensive_Player_Stats_UR,Draftexpress_Agent_URL,Draftexpress_Team_URL
Elton Brand,76ers,FAME,David Falk,,"$17,059,727.00",6/30/2012,http://draftexpress.com/profile/Elton-Brand-1779/,http://draftexpress.com/profile/Elton-Brand-1779/stats,http://draftexpress.com/agents/agency/FAME-44/,http://draftexpress.com/clubhouse/76-ers-4/
Chris Paul,Clippers,Creative Artists Agency,Leon Rose,,"$16,647,180.00",6/30/2012,http://draftexpress.com/profile/Chris-Paul-14/,http://draftexpress.com/profile/Chris-Paul-14/stats,http://draftexpress.com/agents/agency/Creative-Artists-Agency-3/,http://draftexpress.com/clubhouse/Clippers-27/
Deron Williams,Nets,Excel Sports Management,Jeff Schwartz,,"$16,647,180.00",6/30/2012,http://draftexpress.com/profile/Deron-Williams-72/,http://draftexpress.com/profile/Deron-Williams-72/stats,http://draftexpress.com/agents/agency/Excel-Sports-Management-5/,http://draftexpress.com/clubhouse/Nets-2/
Chris Bosh,Heat,Creative Artists Agency,Henry Thomas,,"$16,022,500.00",6/30/2012,http://draftexpress.com/profile/Chris-Bosh-1740/,http://draftexpress.com/profile/Chris-Bosh-1740/stats,http://draftexpress.com/agents/agency/Creative-Artists-Agency-3/,http://draftexpress.com/clubhouse/Heat-13/
LeBron James,Heat,Creative Artists Agency,Leon Rose,,"$16,022,500.00",6/30/2012,http://draftexpress.com/profile/LeBron-James-2967/,http://draftexpress.com/profile/LeBron-James-2967/stats,http://draftexpress.com/agents/agency/Creative-Artists-Agency-3/,http://draftexpress.com/clubhouse/Heat-13/
Dwyane Wade,Heat,Creative Artists Agency,Henry Thomas,,"$15,691,000.00",6/30/2012,http://draftexpress.com/profile/Dwyane-Wade-4726/,http://draftexpress.com/profile/Dwyane-Wade-4726/stats,http://draftexpress.com/agents/agency/Creative-Artists-Agency-3/,http://draftexpress.com/clubhouse/Heat-13/
Paul Pierce,Celtics,Excel Sports Management,Jeff Schwartz,,"$15,333,334.00",6/30/2012,http://draftexpress.com/profile/Paul-Pierce-3950/,http://draftexpress.com/profile/Paul-Pierce-3950/stats,http://draftexpress.com/agents/agency/Excel-Sports-Management-5/,http://draftexpress.com/clubhouse/Celtics-1/
Zach Randolph,Grizzlies,IAM Sports,Raymond Brothers,,"$15,200,000.00",6/30/2012,http://draftexpress.com/profile/Zach-Randolph-4028/,http://draftexpress.com/profile/Zach-Randolph-4028/stats,http://draftexpress.com/agents/agency/IAM-Sports-94/,http://draftexpress.com/clubhouse/Grizzlies-18/
Antawn Jamison,Cavaliers,Wasserman Media Group,Arn Tellem,,"$15,076,715.00",6/30/2012,http://draftexpress.com/profile/Antawn-Jamison-2968/,http://draftexpress.com/profile/Antawn-Jamison-2968/stats,http://draftexpress.com/agents/agency/Wasserman-Media-Group-14/,http://draftexpress.com/clubhouse/Cavaliers-7/
Rudy Gay,Grizzlies,Octagon,Alex Saratsis,Jeff Austin,"$15,032,144.00",6/30/2012,http://draftexpress.com/profile/Rudy-Gay-34/,http://draftexpress.com/profile/Rudy-Gay-34/stats,http://draftexpress.com/agents/agency/Octagon-10/,http://draftexpress.com/clubhouse/Grizzlies-18/
Brandon Roy,Trailblazers,Wasserman Media Group,Greg Lawrence,,"$14,940,153.00",6/30/2012,http://draftexpress.com/profile/Brandon-Roy-343/,http://draftexpress.com/profile/Brandon-Roy-343/stats,http://draftexpress.com/agents/agency/Wasserman-Media-Group-14/,http://draftexpress.com/clubhouse/Trailblazers-23/
Andrew Bynum,Lakers,David Lee Services,David Lee,,"$14,900,000.00",6/30/2012,http://draftexpress.com/profile/Andrew-Bynum-428/,http://draftexpress.com/profile/Andrew-Bynum-428/stats,http://draftexpress.com/agents/agency/David-Lee-Services-38/,http://draftexpress.com/clubhouse/Lakers-28/
