Number,Player,Last_Name,First_Name,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
46,Josh Anderson,Anderson,Josh,http://www.und.com/sports/m-footbl/mtt/anderson_josh00.html,Wide Receiver,5/9/13,180,FR,"Chatsworth, CA",Chatsworth,CA,Notre Dame,,,,Notre Dame University,2012-2013
4,George Atkinson III,Atkinson III,George,http://www.und.com/sports/m-footbl/mtt/atkinsoniii_george00.html,Running Back,6/1/13,210,SO,"Stockton, CA",Stockton,CA,Granada,,,,Notre Dame University,2012-2013
43,Josh Atkinson,Atkinson,Josh,http://www.und.com/sports/m-footbl/mtt/atkinson_josh00.html,Cornerback,5/11/13,185,SO,"Stockton, CA",Stockton,CA,Granada,,,,Notre Dame University,2012-2013
16,Chris Badger,Badger,Chris,http://www.und.com/sports/m-footbl/mtt/badger_chris00.html,Safety,6/1/00,193,FR,"Provo, UT",Provo,UT,Timpview,,,,Notre Dame University,2012-2013
29,Nicky Baratti,Baratti,Nicky,http://www.und.com/sports/m-footbl/mtt/baratti_nicky00.html,Safety,6/1/13,206,FR,"Tomball, TX",Tomball,TX,Klein Oak,,,,Notre Dame University,2012-2013
49,Blake Breslau,Breslau,Blake,http://www.und.com/sports/m-footbl/mtt/breslau_blake00.html,Safety,5/10/13,185,SR,"San Diego, CA",San Diego,CA,Francis Parker,,,,Notre Dame University,2012-2013
27,Kyle Brindza,Brindza,Kyle,http://www.und.com/sports/m-footbl/mtt/brindza_kyle00.html,Kicker/Punter,6/1/13,225,SO,"Canton, MI",Canton,MI,Plymouth,,,,Notre Dame University,2012-2013
2,Chris Brown,Brown,Chris,http://www.und.com/sports/m-footbl/mtt/brown_chris00.html,Wide Receiver,6/2/13,172,FR,"Hanahan, SC",Hanahan,SC,Hanahan,,,,Notre Dame University,2012-2013
21,Jalen Brown,Brown,Jalen,http://www.und.com/sports/m-footbl/mtt/brown_jalen00.html,Cornerback,6/1/13,199,SO,"Irving, TX",Irving,TX,MacArthur,,,,Notre Dame University,2012-2013
44,Carlo Calabrese,Calabrese,Carlo,http://www.und.com/sports/m-footbl/mtt/calabrese_carlo00.html,Inside Linebacker,6/1/13,245,SR,"Verona, NJ",Verona,NJ,Verona,,,,Notre Dame University,2012-2013
3,Amir Carlisle,Carlisle,Amir,http://www.und.com/sports/m-footbl/mtt/carlisle_amir00.html,Running Back,5/10/13,185,SO,"Santa Clara, CA",Santa Clara,CA,Kings Academy,,,,Notre Dame University,2012-2013
67,Kevin Carr,Carr,Kevin,http://www.und.com/sports/m-footbl/mtt/carr_kevin00.html,Defensive End,6/7/13,325,JR,"Nashville, TN",Nashville,TN,Montgomery Bell Academy,,,,Notre Dame University,2012-2013
47,Connor Cavalaris,Cavalaris,Connor,http://www.und.com/sports/m-footbl/mtt/cavalaris_connor00.html,Safety,6/1/00,194,SO,"Lake Forest, IL",Lake Forest,IL,Lake Forest,,,,Notre Dame University,2012-2013
52,Braxston Cave,Cave,Braxston,http://www.und.com/sports/m-footbl/mtt/cave_braxston00.html,Center,6/3/13,304,GS,"Granger, IN",Granger,IN,Penn,,,,Notre Dame University,2012-2013
28,Austin Collinsworth,Collinsworth,Austin,http://www.und.com/sports/m-footbl/mtt/collinsworth_austin00.html,Safety,6/1/13,202,JR,"Fort Thomas, KY",Fort Thomas,KY,Highlands,,,,Notre Dame University,2012-2013
30,Ben Councell,Councell,Ben,http://www.und.com/sports/m-footbl/mtt/councell_ben00.html,Outside Linebacker,6/5/13,240,SO,"Asheville, NC",Asheville,NC,A.C. Reynolds,,,,Notre Dame University,2012-2013
60,Jordan Cowart,Cowart,Jordan,http://www.und.com/sports/m-footbl/mtt/cowart_jordan00.html,Long Snapper,6/2/13,230,SR,"Plantation, FL",Plantation,FL,St. Thomas Aquinas,,,,Notre Dame University,2012-2013
61,Scott Daly,Daly,Scott,http://www.und.com/sports/m-footbl/mtt/daly_scott00.html,Long Snapper,6/2/13,245,FR,"Downers Grove, IL",Downers Grove,IL,South,,,,Notre Dame University,2012-2013
10,DaVaris Daniels,Daniels,DaVaris,http://www.und.com/sports/m-footbl/mtt/daniels_davaris00.html,Wide Receiver,6/2/13,190,SO,"Vernon Hills, IL",Vernon Hills,IL,Vernon Hills,,,,Notre Dame University,2012-2013
91,Sheldon Day,Day,Sheldon,http://www.und.com/sports/m-footbl/mtt/day_sheldon00.html,Defensive End,6/2/13,286,FR,"Indianapolis, IN",Indianapolis,IN,Warren Central,,,,Notre Dame University,2012-2013
80,Tyler Eifert,Eifert,Tyler,http://www.und.com/sports/m-footbl/mtt/eifert_tyler00.html,Tight End,6/6/13,251,SR,"Ft. Wayne, IN",Ft. Wayne,IN,Bishop Dwenger,,,,Notre Dame University,2012-2013
41,Matthias Farley,Farley,Matthias,http://www.und.com/sports/m-footbl/mtt/farley_matthias00.html,Safety,5/11/13,200,SO,"Charlotte, NC",Charlotte,NC,Christian,,,,Notre Dame University,2012-2013
