Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
63,Justin Addie,http://www.osubeavers.com/sports/m-footbl/mtt/addie_justin00.html,OL,6/2/13,311,RS FR,"Mesa, Ariz.",Mesa,ARIZ,Skyline,,,,,Oregon State University,2012-2013
30,Malcolm Agnew,http://www.osubeavers.com/sports/m-footbl/mtt/agnew_malcolm00.html,RB,5/9/13,204,SO,"Chesterfield, Mo.",Chesterfield,MO,De Smet Jesuit,,,,,Oregon State University,2012-2013
55,Shaydon Akuna,http://www.osubeavers.com/sports/m-footbl/mtt/akuna_shaydon00.html,LB,6/2/13,245,SO,"Nanakuli, Hawai'i",Nanakuli,HI,Kapolei,,,,,Oregon State University,2012-2013
4,D.J. Alexander,http://www.osubeavers.com/sports/m-footbl/mtt/alexander_dj00.html,LB,6/2/13,225,SO,"Palm Desert, Calif.",Palm Desert,CALIF,Palm Desert,,,,,Oregon State University,2012-2013
33,Tyler Anderson,http://www.osubeavers.com/sports/m-footbl/mtt/anderson_tyler00.html,FB,5/10/13,215,SO,"Walnut Creek, Calif.",Walnut Creek,CALIF,De La Salle,,,,,Oregon State University,2012-2013
62,Gavin Andrews,http://www.osubeavers.com/sports/m-footbl/mtt/andrews_gavin00.html,OL,6/5/13,324,FR,"Granite Bay, Calif.",Granite Bay,CALIF,Granite Bay,,,,,Oregon State University,2012-2013
69,Josh Andrews,http://www.osubeavers.com/sports/m-footbl/mtt/andrews_josh00.html,OG,6/3/13,297,JR,"Fontana, Calif.",Fontana,CALIF,Colony,,,,,Oregon State University,2012-2013
9,Peter Ashton,http://www.osubeavers.com/sports/m-footbl/mtt/ashton_peter00.html,S,6/1/13,206,RS FR,"Keller, Texas",Keller,TEXAS,Faith Christian,,,,,Oregon State University,2012-2013
37,Micah Audiss,http://www.osubeavers.com/sports/m-footbl/mtt/audiss_micah00.html,S,6/1/13,207,RS FR,"Roseburg, Ore.",Roseburg,ORE,Roseburg,,,,,Oregon State University,2012-2013
43,Michael Balfour,http://www.osubeavers.com/sports/m-footbl/mtt/balfour_michael00.html,FB,5/11/13,234,RS FR,"Sherwood, Ore.",Sherwood,ORE,Sherwood,,,,,Oregon State University,2012-2013
59,Lavonte Barnett,http://www.osubeavers.com/sports/m-footbl/mtt/barnett_lavonte00.html,DE,6/2/13,245,RS FR,"Lancaster, Calif.",Lancaster,CALIF,Paraclete,,,,,Oregon State University,2012-2013
70,Grant Bays,http://www.osubeavers.com/sports/m-footbl/mtt/bays_grant00.html,OL,6/1/13,300,FR,"Oceanside, Calif.",Oceanside,CALIF,Oceanside,,,,,Oregon State University,2012-2013
54,Brandon Bennett-Jackson,http://www.osubeavers.com/sports/m-footbl/mtt/bennettjackson_brandon00.html,DT,6/3/13,267,RS FR,"Birmingham, Ala.",Birmingham,ALA,Spring ,,,,,Oregon State University,2012-2013
97,John Braun,http://www.osubeavers.com/sports/m-footbl/mtt/braun_john01.html,DE,6/5/13,283,JR,"Lebanon, Ore.",Lebanon,ORE,West Albany,,,,,Oregon State University,2012-2013
1,Chris Brown,http://www.osubeavers.com/sports/m-footbl/mtt/brown_chris00.html,RB,5/10/13,208,FR,"Fresno, Calif.",Fresno,CALIF,San Joaquin Memorial,,,,,Oregon State University,2012-2013
20,Blair Cavanaugh,http://www.osubeavers.com/sports/m-footbl/mtt/cavanaugh_blair00.html,WR,5/8/13,168,FR,"Corvallis, OR",Corvallis,OR,Corvallis,,,,,Oregon State University,2012-2013
29,Steven Christian,http://www.osubeavers.com/sports/m-footbl/mtt/christian_steven00.html,CB,6/1/00,180,SR,"Sacramento, Calif.",Sacramento,CALIF,John F. Kennedy,University of Hawaii,,,,Oregon State University,2012-2013
83,Kellen Clute,http://www.osubeavers.com/sports/m-footbl/mtt/clute_kellen00.html,TE,6/5/13,250,RS FR,"Spokane, Wash.",Spokane,WASH,Mt. Spokane,,,,,Oregon State University,2012-2013
