Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
87,Matt Porter,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529423&Q_SEASON=2012,WR,5/11/13,190,RSO,"Charleston, SC ",Charleston,SC,James Island,,,,Clemson University,2012-2013
88,Eric Mac Lain,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529450&Q_SEASON=2012,TE,6/3/13,260,RFR,"Hope Mills, NC ",Hope Mills,NC,Jack Britt,,,,Clemson University,2012-2013
89,Wes Forbush,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529354&Q_SEASON=2012,WR,6/2/13,185,RSO,"Johnson City, TN ",Johnson City,TN,Science Hill,,,,Clemson University,2012-2013
89,Jay Jay McCullough,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530754&Q_SEASON=2012,TE,6/3/13,230,FR,"Fort Mill, SC ",Fort Mill,SC,Nation Ford,,,,Clemson University,2012-2013
91,Josh Watson,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529343&Q_SEASON=2012,DT,6/4/13,285,RSO,"Wilmington, DE ",Wilmington,DE,John Dickinson,,,,Clemson University,2012-2013
92,Roderick Byers,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529388&Q_SEASON=2012,DE,6/2/13,275,RFR,"Rock Hill, SC ",Rock Hill,SC,Northwestern,,,,Clemson University,2012-2013
92,Bradley Pinion,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530794&Q_SEASON=2012,P,6/5/13,230,FR,"Concord, NC ",Concord,NC,Northwest Cabarrus,,,,Clemson University,2012-2013
93,Corey Crawford,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529455&Q_SEASON=2012,DE,6/5/13,270,SO,"Columbus, GA ",Columbus,GA,G.W. Carver,,,,Clemson University,2012-2013
94,Carlos Watkins,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530763&Q_SEASON=2012,DT,6/3/13,300,FR,"Mooresboro, NC ",Mooresboro,NC,Chase,,,,Clemson University,2012-2013
95,Brian Symmes,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529457&Q_SEASON=2012,PK,5/11/13,190,SR,"Greenville, SC ",Greenville,SC,Eastside,,,,Clemson University,2012-2013
95,Tra Thomas,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529414&Q_SEASON=2012,DT,6/1/00,275,RSO,"Wadesboro, NC ",Wadesboro,NC,Anson,,,,Clemson University,2012-2013
96,Jerome Maybank,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529396&Q_SEASON=2012,DT,6/3/13,345,RFR,"Pawleys Island, SC ",Pawleys Island,SC,Waccamaw,,,,Clemson University,2012-2013
97,Malliciah Goodman,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529374&Q_SEASON=2012,DE,6/4/13,270,SR,"Florence, SC ",Florence,SC,West Florence,,,,Clemson University,2012-2013
98,Kevin Dodd,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530561&Q_SEASON=2012,DT,6/4/13,280,FR,"Taylors, SC ",Taylors,SC,Riverside,,,,Clemson University,2012-2013
99,DeShawn Williams,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529443&Q_SEASON=2012,DT,6/1/13,285,SO,"Central, SC ",Central,SC,D.W. Daniel,,,,Clemson University,2012-2013
