Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
15,Morgan Roberts,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529342&Q_SEASON=2012,QB,6/2/13,200,RFR,"Charlotte, NC ",Charlotte,NC,Charlotte Country Day,,,,Clemson University,2012-2013
16,Adam Humphries,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529383&Q_SEASON=2012,WR,5/11/13,190,SO,"Spartanburg, SC ",Spartanburg,SC,Dorman,,,,Clemson University,2012-2013
17,Bashaud Breeland,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529401&Q_SEASON=2012,CB,6/1/00,195,RSO,"Allendale, SC ",Allendale,SC,Allendale-Fairfax,,,,Clemson University,2012-2013
18,Jaron Brown,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529445&Q_SEASON=2012,WR,6/2/13,205,GR,"Cheraw, SC ",Cheraw,SC,Cheraw,,,,Clemson University,2012-2013
19,Charone Peake,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529407&Q_SEASON=2012,WR,6/3/13,200,SO,"Moore, SC ",Moore,SC,Dorman,,,,Clemson University,2012-2013
20,Lateek Townsend,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529399&Q_SEASON=2012,LB,6/2/13,215,SO,"Bennettsville, SC ",Bennettsville,SC,Marlboro County,,,,Clemson University,2012-2013
21,Darius Robinson,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529467&Q_SEASON=2012,CB,5/10/13,175,JR,"College Park, GA ",College Park,GA,Westlake,,,,Clemson University,2012-2013
22,D.J. Howard,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529347&Q_SEASON=2012,RB,5/11/13,195,RSO,"Lincoln, AL ",Lincoln,AL,Lincoln,,,,Clemson University,2012-2013
23,Andre Ellington,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529408&Q_SEASON=2012,RB,5/9/13,195,RSR,"Moncks Corner, SC ",Moncks Corner,SC,Berkeley,,,,Clemson University,2012-2013
24,Zac Brooks,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530532&Q_SEASON=2012,RB,6/1/13,185,FR,"Jonesboro, AR ",Jonesboro,AR,Jonesboro Senior,,,,Clemson University,2012-2013
25,C.J. Jones,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529341&Q_SEASON=2012,CB,6/1/00,185,RJR,"Lincolnton, GA ",Lincolnton,GA,Lincoln County,,,,Clemson University,2012-2013
25,Roderick McDowell,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529340&Q_SEASON=2012,RB,5/9/13,195,RJR,"Sumter, SC ",Sumter,SC,Sumter,,,,Clemson University,2012-2013
26,Garry Peters,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529460&Q_SEASON=2012,CB,6/1/00,195,RSO,"Conyers, GA ",Conyers,GA,Heritage,,,,Clemson University,2012-2013
27,Robert Smith,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529433&Q_SEASON=2012,S,5/10/13,210,SO,"St. George, SC ",St. George,SC,Woodland,,,,Clemson University,2012-2013
29,Cortez Davis,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529458&Q_SEASON=2012,CB,6/2/13,200,RFR,"Daytona Beach, FL ",Daytona Beach,FL,Mainland,,,,Clemson University,2012-2013
31,Rashard Hall,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529464&Q_SEASON=2012,S,6/1/13,210,GR,"St. Augustine, FL ",St. Augustine,FL,St. Augustine,,,,Clemson University,2012-2013
32,C.J. Davidson,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205685791&Q_SEASON=2012,DB/RB,5/11/13,185,RFR,"Clemson, SC ",Clemson,SC,D.W. Daniel,,,,Clemson University,2012-2013
32,Corbin Jenkins,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529440&Q_SEASON=2012,P/PK,5/10/13,175,RSO,"Conway, SC ",Conway,SC,Conway,,,,Clemson University,2012-2013
33,Spencer Shuey,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529421&Q_SEASON=2012,LB,6/2/13,230,RJR,"Charlotte, NC ",Charlotte,NC,South Mecklenburg,,,,Clemson University,2012-2013
34,Quandon Christian,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529384&Q_SEASON=2012,LB,6/2/13,225,RJR,"Lake View, SC ",Lake View,SC,Lake View,,,,Clemson University,2012-2013
36,Ammon Lakip,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529426&Q_SEASON=2012,PK,5/10/13,185,RFR,"Johns Creek, GA ",Johns Creek,GA,Chattahoochee,,,,Clemson University,2012-2013
36,Jerrodd Williams,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530562&Q_SEASON=2012,S,6/1/00,205,RJR,"Central, SC ",Central,SC,D.W. Daniel,,,,Clemson University,2012-2013
37,Dante Stewart,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529468&Q_SEASON=2012,CB,5/8/13,185,RSO,"Swansea, SC ",Swansea,SC,Calhoun County,,,,Clemson University,2012-2013
38,Chiderah Onyeukwu,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205685521&Q_SEASON=2012,CB,5/11/13,200,RFR,"Dacula, GA ",Dacula,GA,Dacula,,,,Clemson University,2012-2013
38,Julian Patton,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529429&Q_SEASON=2012,WR,5/11/13,190,RJR,"Rock Hill, SC ",Rock Hill,SC,Northwestern,,,,Clemson University,2012-2013
39,Chandler Catanzaro,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529378&Q_SEASON=2012,PK,6/2/13,195,RJR,"Greenville, SC ",Greenville,SC,Christ Church Episcopal,,,,Clemson University,2012-2013
40,Darrell Smith,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529385&Q_SEASON=2012,FB/TE,6/1/13,250,RJR,"Gadsden, AL ",Gadsden,AL,Gadsden City,,,,Clemson University,2012-2013
41,T.J. Burrell,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205530482&Q_SEASON=2012,LB,5/11/13,215,FR,"Goose Creek, SC ",Goose Creek,SC,Goose Creek,,,,Clemson University,2012-2013
42,Corico Wright,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529404&Q_SEASON=2012,LB,5/11/13,230,SR,"Milledgeville, GA ",Milledgeville,GA,Baldwin,,,,Clemson University,2012-2013
43,Chad Richardson,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205685523&Q_SEASON=2012,LB,5/11/13,225,FR,"Sumter, SC ",Sumter,SC,Lakewood,,,,Clemson University,2012-2013
44,B.J. Goodson,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529428&Q_SEASON=2012,LB,6/1/00,240,RFR,"Lamar, SC ",Lamar,SC,Lamar,,,,Clemson University,2012-2013
45,J.P. Hill,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205685789&Q_SEASON=2012,S,6/2/13,195,RSO,"Clemson, SC ",Clemson,SC,D.W. Daniel,,,,Clemson University,2012-2013
46,Jonathan Willard,http://www.clemsontigers.com/ViewArticle.dbml?SPSID=657772&SPID=103701&DB_LANG=C&DB_OEM_ID=28500&ATCLID=205529463&Q_SEASON=2012,LB,6/1/13,225,RSR,"Loris, SC ",Loris,SC,Loris,,,,Clemson University,2012-2013
