"","League","Variable","Facet_Type","Facet_Value","Value_Type","Source","Period","Date","Value","Value_Details","NA.","NA..1"
"1","NHL","Franchises","League",NA,"Franchises","NHL",NA,NA,"30",NA,NA," "
"2","NHL","Total Regular Season Games","League",NA,"Games","NHL",NA,NA,"1230",NA,NA," "
"3","NHL","Franchise Regular Season Home Games","League",NA,"Games","NHL",NA,NA,"31",NA,NA," "
"4","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2000-2001",NA,"16563",NA,NA," "
"5","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2001-2002",NA,"16760",NA,NA," "
"6","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2002-2003",NA,"16592",NA,NA," "
"7","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2003-2004",NA,"16533",NA,NA," "
"8","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2004-2005",NA,"NA","Season Canceled",NA," "
"9","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2005-2006",NA,"16954",NA,NA," "
"10","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2006-2007",NA,"16956",NA,NA," "
"11","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2007-2008",NA,"17308",NA,NA," "
"12","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2008-2009",NA,"17460",NA,NA," "
"13","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2009-2010",NA,"17070",NA,NA," "
"14","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2010-2011",NA,"17132",NA,NA," "
"15","NHL","Average Home Game Attendance","League","League","Average Fans Per Game","NHL","2011-2012",NA,"16737",NA,NA," "
"16","NHL","Average Home Game Attendance","Franchise","Chicago Blackhawks","Average Fans Per Game","NHL","2011-2012",NA,"21553",NA,NA," "
"17","NHL","Average Home Game Attendance","Franchise","Montreal Canadiens","Average Fans Per Game","NHL","2011-2012",NA,"21273",NA,NA," "
"18","NHL","Average Home Game Attendance","Franchise","Philadelphia Flyers","Average Fans Per Game","NHL","2011-2012",NA,"20433",NA,NA," "
"19","NHL","Average Home Game Attendance","Franchise","Detroit Red Wings","Average Fans Per Game","NHL","2011-2012",NA,"20114",NA,NA," "
"20","NHL","Average Home Game Attendance","Franchise","Toronto Maple Leafs","Average Fans Per Game","NHL","2011-2012",NA,"19506",NA,NA," "
"21","NHL","Average Home Game Attendance","Franchise","Ottawa Senators","Average Fans Per Game","NHL","2011-2012",NA,"19356",NA,NA," "
"22","NHL","Average Home Game Attendance","Franchise","Calgary Flames","Average Fans Per Game","NHL","2011-2012",NA,"19289",NA,NA," "
"23","NHL","Average Home Game Attendance","Franchise","Vancouver Canucks","Average Fans Per Game","NHL","2011-2012",NA,"18884",NA,NA," "
