,Sport,Governing_Body,Period,Value,Source,Variable,Value_Type
274,Auto Racing,NA,2008,0.08,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
275,Professional Baseball,MLB,2008,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
276,Bowling,NA,2008,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
277,Boxing,NA,2008,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
278,College Football,NCAA Men's Football,2008,0.12,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
279,Professional Hockey,NHL,2008,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
280,Horse Racing,NA,2008,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
281,Men's College Basketball,NCAA Men's Basketball,2008,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
282,Men's Professional Golf,PGA,2008,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
283,Men's Professional Basketball,NBA,2008,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
284,Men's Professional Soccer,NA,2008,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
285,Men's Professional Tennis,USTA,2008,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
286,Not sure,NA,2008,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
287,Professional Football,NFL,2008,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
288,Swimming,NA,2008,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
289,Track & Field,NA,2008,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
290,Women's College Basketball,NCAA Women's Basketball,2008,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
291,Women's Professional Golf,LPGA,2008,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
292,Women's Professional Basketball,WNBA,2008,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
293,Women's Professional Soccer,NA,2008,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
294,Women's Professional Tennis,WTA,2008,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
295,Auto Racing,NA,2009,0.09,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
296,Professional Baseball,MLB,2009,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
297,Bowling,NA,2009,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
298,Boxing,NA,2009,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
299,College Football,NCAA Men's Football,2009,0.12,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
300,Professional Hockey,NHL,2009,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
301,Horse Racing,NA,2009,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
302,Men's College Basketball,NCAA Men's Basketball,2009,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
303,Men's Professional Golf,PGA,2009,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
304,Men's Professional Basketball,NBA,2009,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
305,Men's Professional Soccer,NA,2009,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
306,Men's Professional Tennis,USTA,2009,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
307,Not sure,NA,2009,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
308,Professional Football,NFL,2009,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
309,Swimming,NA,2009,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
310,Track & Field,NA,2009,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
311,Women's College Basketball,NCAA Women's Basketball,2009,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
312,Women's Professional Golf,LPGA,2009,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
313,Women's Professional Basketball,WNBA,2009,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
314,Women's Professional Soccer,NA,2009,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
315,Women's Professional Tennis,WTA,2009,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
316,Auto Racing,NA,2010,0.07,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
317,Professional Baseball,MLB,2010,0.17,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
318,Bowling,NA,2010,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
319,Boxing,NA,2010,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
320,College Football,NCAA Men's Football,2010,0.12,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
321,Professional Hockey,NHL,2010,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
322,Horse Racing,NA,2010,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
323,Men's College Basketball,NCAA Men's Basketball,2010,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
324,Men's Professional Golf,PGA,2010,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
325,Men's Professional Basketball,NBA,2010,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
326,Men's Professional Soccer,NA,2010,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
327,Men's Professional Tennis,USTA,2010,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
328,Not sure,NA,2010,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
329,Professional Football,NFL,2010,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
330,Swimming,NA,2010,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
331,Track & Field,NA,2010,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
332,Women's College Basketball,NCAA Women's Basketball,2010,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
333,Women's Professional Golf,LPGA,2010,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
334,Women's Professional Basketball,WNBA,2010,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
335,Women's Professional Soccer,NA,2010,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
336,Women's Professional Tennis,WTA,2010,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
337,Auto Racing,NA,2011,0.08,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
338,Professional Baseball,MLB,2011,0.13,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
339,Bowling,NA,2011,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
340,Boxing,NA,2011,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
341,College Football,NCAA Men's Football,2011,0.13,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
342,Professional Hockey,NHL,2011,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
343,Horse Racing,NA,2011,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
344,Men's College Basketball,NCAA Men's Basketball,2011,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
345,Men's Professional Golf,PGA,2011,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
346,Men's Professional Basketball,NBA,2011,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
347,Men's Professional Soccer,NA,2011,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
348,Men's Professional Tennis,USTA,2011,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
349,Not sure,NA,2011,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
350,Professional Football,NFL,2011,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
351,Swimming,NA,2011,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
352,Track & Field,NA,2011,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
353,Women's College Basketball,NCAA Women's Basketball,2011,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
354,Women's Professional Golf,LPGA,2011,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
355,Women's Professional Basketball,WNBA,2011,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
356,Women's Professional Soccer,NA,2011,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
357,Women's Professional Tennis,WTA,2011,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
