,Sport,Governing_Body,Period,Value,Source,Variable,Value_Type
65,Professional Baseball,MLB,1993,0.18,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
66,Bowling,NA,1993,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
67,Boxing,NA,1993,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
68,College Football,NCAA Men's Football,1993,0.08,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
69,Professional Hockey,NHL,1993,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
70,Horse Racing,NA,1993,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
71,Men's College Basketball,NCAA Men's Basketball,1993,0.08,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
72,Men's Professional Golf,PGA,1993,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
73,Men's Professional Basketball,NBA,1993,0.12,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
74,Men's Professional Soccer,NA,1993,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
75,Men's Professional Tennis,USTA,1993,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
76,Not sure,NA,1993,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
77,Professional Football,NFL,1993,0.24,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
78,Swimming,NA,1993,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
79,Track & Field,NA,1993,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
80,Women's College Basketball,NCAA Women's Basketball,1993,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
81,Women's Professional Golf,LPGA,1993,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
82,Women's Professional Basketball,WNBA,1993,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
83,Women's Professional Soccer,NA,1993,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
84,Women's Professional Tennis,WTA,1993,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
85,Auto Racing,NA,1994,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
86,Professional Baseball,MLB,1994,0.17,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
87,Bowling,NA,1994,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
88,Boxing,NA,1994,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
89,College Football,NCAA Men's Football,1994,0.07,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
90,Professional Hockey,NHL,1994,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
91,Horse Racing,NA,1994,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
92,Men's College Basketball,NCAA Men's Basketball,1994,0.08,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
93,Men's Professional Golf,PGA,1994,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
94,Men's Professional Basketball,NBA,1994,0.11,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
95,Men's Professional Soccer,NA,1994,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
96,Men's Professional Tennis,USTA,1994,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
97,Not sure,NA,1994,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
98,Professional Football,NFL,1994,0.24,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
99,Swimming,NA,1994,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
100,Track & Field,NA,1994,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
101,Women's College Basketball,NCAA Women's Basketball,1994,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
102,Women's Professional Golf,LPGA,1994,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
103,Women's Professional Basketball,WNBA,1994,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
104,Women's Professional Soccer,NA,1994,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
105,Women's Professional Tennis,WTA,1994,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
106,Auto Racing,NA,1997,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
107,Professional Baseball,MLB,1997,0.17,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
108,Bowling,NA,1997,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
109,Boxing,NA,1997,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
110,College Football,NCAA Men's Football,1997,0.1,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
111,Professional Hockey,NHL,1997,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
112,Horse Racing,NA,1997,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
113,Men's College Basketball,NCAA Men's Basketball,1997,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
114,Men's Professional Golf,PGA,1997,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
115,Men's Professional Basketball,NBA,1997,0.13,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
116,Men's Professional Soccer,NA,1997,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
117,Men's Professional Tennis,USTA,1997,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
118,Not sure,NA,1997,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
119,Professional Football,NFL,1997,0.28,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
120,Swimming,NA,1997,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
121,Track & Field,NA,1997,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
