,Governing_Body,Variable,Facet_Type,Facet_Value,Value_Type,Source,Period,Date,Value
1,MLS,MLS Fans,Gender,Male,Percent of Total,ESPN Sports Poll,2012,NA,0.61
2,MLS,MLS Fans,Gender,Female,Percent of Total,ESPN Sports Poll,2012,NA,0.39
3,MLS,MLS Fans,Ethnicity,Caucasian,Percent of Total,ESPN Sports Poll,2012,NA,0.61
4,MLS,MLS Fans,Ethnicity,Hispanic-American,Percent of Total,ESPN Sports Poll,2012,NA,0.23
5,MLS,MLS Fans,Ethnicity,African-American,Percent of Total,ESPN Sports Poll,2012,NA,0.09
6,MLS,MLS Fans,Ethnicity,Other,Percent of Total,ESPN Sports Poll,2012,NA,0.07
