"","State","Position","ID_Race","freq"
"122","TX","WR","AA",24
"106","TX","LB","AA",20
"89","OK","WR","C",18
"95","TX","CB","AA",15
"78","OK","OL","C",12
"110","TX","OL","AA",12
"111","TX","OL","C",11
"97","TX","DE","AA",10
"117","TX","RB","AA",10
"118","TX","S","AA",10
"100","TX","DT","AA",8
"75","OK","LB","C",7
"88","OK","WR","AA",7
"123","TX","WR","C",7
"87","OK","TE","C",6
"65","OK","DE","C",5
"72","OK","FB","C",5
"81","OK","QB","C",5
"82","OK","RB","AA",5
"116","TX","QB","C",5
"27","GA","RB","AA",4
"60","OK","CB","AA",4
"85","OK","S","AA",4
"98","TX","DE","C",4
"105","TX","K","C",4
"107","TX","LB","C",4
"22","GA","DT","AA",3
"25","GA","LB","AA",3
"51","MS","DE","AA",3
"74","OK","LB","AA",3
"77","OK","OL","AA",3
"86","OK","S","C",3
"96","TX","DB","AA",3
"99","TX","DL","AA",3
"101","TX","DT","C",3
"104","TX","FB","C",3
"120","TX","TE","AA",3
"4","AR","DT","AA",2
"13","CA","WR","AA",2
"17","FL","OL","C",2
"36","KS","OL","C",2
"48","MO","OL","C",2
"61","OK","CB","C",2
"64","OK","DE","AA",2
"68","OK","DT","AA",2
"73","OK","K","C",2
"76","OK","LS","C",2
"83","OK","RB","C",2
"90","SC","DT","AA",2
"91","SC","S","AA",2
"109","TX","LS","C",2
"113","TX","P","C",2
"124","TX","WR","MIX",2
"1","AK","DT","PI",1
"2","AL","WR","C",1
"3","AR","DB","AA",1
"5","AR","FB","AA",1
"6","AR","WR","AA",1
"7","AZ","TE","AA",1
"8","CA","CB","AA",1
"9","CA","LB","AA",1
"10","CA","LB","PI",1
"11","CA","OL","C",1
"12","CA","QB","C",1
"14","CO","QB","C",1
"15","FL","DB","AA",1
"16","FL","DT","AA",1
"18","FL","RB","AA",1
"19","FL","S","AA",1
"20","GA","CB","AA",1
"21","GA","DE","AA",1
"23","GA","FB","AA",1
"24","GA","FB","C",1
"26","GA","OL","C",1
"28","GA","WR","AA",1
"29","IL","QB","C",1
"30","IN","LB","AA",1
"31","KS","CB","AA",1
"32","KS","CB","C",1
"33","KS","DE","AA",1
"34","KS","DT","C",1
"35","KS","FB","C",1
"37","KS","QB","C",1
"38","KS","RB","AA",1
"39","KS","WR","AA",1
"40","KS","WR","C",1
"41","KS","WR","MIX",1
"42","KY","K","C",1
"43","LA","OL","AA",1
"44","LA","TE","AA",1
"45","LA","WR","AA",1
"46","MI","LB","AA",1
"47","MI","OL","C",1
"49","MO","WR","AA",1
"50","MS","CB","AA",1
"52","MS","OL","C",1
"53","MS","WR","C",1
"54","NC","LB","C",1
"55","NC","LS","C",1
"56","NJ","DT","C",1
"57","NJ","FB","AA",1
"58","NY","K","C",1
"59","OK","C","AA",1
"62","OK","DB","AA",1
"63","OK","DB","C",1
"66","OK","DL","AA",1
"67","OK","DL","C",1
"69","OK","DT","AI",1
"70","OK","DT","C",1
"71","OK","FB","AA",1
"79","OK","P","C",1
"80","OK","P/K","C",1
"84","OK","RB","MIX",1
"92","TN","TE","AA",1
"93","TN","WR","AA",1
"94","TX","C","C",1
"102","TX","DT","MIX",1
"103","TX","FB","AA",1
"108","TX","LB","H",1
"112","TX","OL","H",1
"114","TX","P/K","C",1
"115","TX","QB","AA",1
"119","TX","S","C",1
"121","TX","TE","C",1
"125","UT","QB","C",1
"126","VA","DT","AA",1
"127","VA","OL","AA",1
"128","WI","DT","C",1
