School_Label,CIPFamily,CIPFamilyTitle,Value_Type,Value,Percentage_School
Kansas State,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,4,0.04494382
Kansas State,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,11,0.123595506
Kansas State,40,PHYSICAL SCIENCES.,College Major,1,0.011235955
Kansas State,45,SOCIAL SCIENCES.,College Major,26,0.292134831
Kansas State,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,3,0.033707865
Kansas State,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,17,0.191011236
Louisiana State,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.012195122
Louisiana State,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.012195122
Louisiana State,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.012195122
Louisiana State,13,EDUCATION.,College Major,1,0.012195122
Louisiana State,14,ENGINEERING.,College Major,3,0.036585366
Louisiana State,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,26,0.317073171
Louisiana State,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.012195122
Louisiana State,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.012195122
Louisiana State,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,26,0.317073171
Louisiana State,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.012195122
Louisiana State,42,PSYCHOLOGY.,College Major,2,0.024390244
Louisiana State,45,SOCIAL SCIENCES.,College Major,1,0.012195122
Louisiana State,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,17,0.207317073
Louisville,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,9,0.147540984
Louisville,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.016393443
Louisville,13,EDUCATION.,College Major,3,0.049180328
Louisville,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,8,0.131147541
Louisville,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.032786885
