Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_hd2003.idx_gr:vl-unitid of parent institution reporting graduation rates
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,31,8,23,23,5,18,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,5,3,2,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,5,2,2,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,11,4,7,6,3,3,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,23,23,0,6,6,0,16,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,22,3,19,18,2,16,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,7,3,4,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,10,10,0,4,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,32,9,23,29,8,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,2,6,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,9,2,7,7,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,22,22,0,9,9,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,20,7,13,18,6,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,1,3,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,13,13,0,7,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
