Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_hd2003.idx_gr:vl-unitid of parent institution reporting graduation rates
2002-2003,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,38,6,32,24,3,21,1,0,1,2,1,1,5,0,5,2,0,2,4,2,2,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,1,4,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,11,11,0,3,3,0,3,3,0,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,17,0,17,13,0,13,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,4,4,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,24,8,16,20,6,14,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,3,2,1,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,3,3,0,11,11,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,16,6,10,13,4,9,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,10,10,0,3,3,0,5,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,3,2,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,23,10,13,21,10,11,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,3,4,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,8,2,6,5,0,5,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,23,10,13,21,10,11,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,8,2,6,5,0,5,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,26,7,19,16,2,14,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,5,3,2,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,2,3,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,16,4,12,9,4,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,15,15,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,18,5,13,11,2,9,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,2,2,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,1,3,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,10,3,7,4,3,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,31,12,19,25,10,15,3,0,3,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,2,4,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,17,10,7,12,6,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,18,18,0,6,6,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,22,7,15,19,5,14,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,6,2,4,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,13,6,7,9,3,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,8,8,0,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,3,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,11,4,7,7,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,5,5,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,3,3,0,0,0,4,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,10,5,5,2,1,1,4,1,3,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,13,13,0,3,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,5,1,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,2,2,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,8,3,5,2,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2002-2003,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,8,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,34,10,24,28,9,19,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,3,1,2,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,13,13,0,12,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,9,1,8,3,0,3,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,12,6,6,5,2,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,9,9,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,25,5,20,22,5,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,4,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,7,7,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,15,8,7,13,7,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,-2
2002-2003,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,3,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,11,5,6,8,3,5,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,-2
2002-2003,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,10,10,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,10,4,6,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,2,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,2,4,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,31,11,20,23,6,17,0,0,0,0,0,0,4,3,1,0,0,0,2,1,1,2,1,1,-2
2002-2003,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,3,5,4,1,3,1,0,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,-2
2002-2003,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,18,18,0,7,7,0,9,9,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2002-2003,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,28,10,18,22,6,16,0,0,0,0,0,0,3,2,1,0,0,0,1,1,0,2,1,1,-2
2002-2003,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,6,1,5,4,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,15,15,0,6,6,0,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,48,17,31,44,15,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,5,5,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,4,4,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,8,6,2,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,19,19,0,7,7,0,11,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,47,16,31,43,14,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,-2
2002-2003,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
