Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2006.idx_gr:vl-unitid of parent institution reporting graduation rates
2005-2006,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,4,1,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,3,6,7,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,4,2,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,9,9,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,3,3,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),46,18,28,43,17,26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,-2
2005-2006,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,40,16,24,38,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2005-2006,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,147767,Northwestern University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,5,2,4,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,147767,Northwestern University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,147767,Northwestern University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,147767,Northwestern University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,147767,Northwestern University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,9,9,0,10,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,147767,Northwestern University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,16,16,0,7,7,0,8,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,152080,University of Notre Dame,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),50,20,30,45,17,28,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,-2
2005-2006,152080,University of Notre Dame,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,48,19,29,43,16,27,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,-2
2005-2006,152080,University of Notre Dame,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,152080,University of Notre Dame,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,152080,University of Notre Dame,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,3,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,152080,University of Notre Dame,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,152080,University of Notre Dame,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,6,8,9,4,5,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,152080,University of Notre Dame,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,6,8,9,4,5,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,152080,University of Notre Dame,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,9,9,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,152080,University of Notre Dame,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,13,0,7,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),27,3,24,22,3,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,-2
2005-2006,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,20,3,17,18,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2005-2006,155399,Kansas State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,2,2,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,-2
2005-2006,155399,Kansas State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2005-2006,155399,Kansas State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,0,5,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,155399,Kansas State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,155399,Kansas State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,5,8,9,3,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,155399,Kansas State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,4,5,6,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,155399,Kansas State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,9,9,0,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,-2
2005-2006,155399,Kansas State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,13,0,8,8,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,157289,University of Louisville,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),32,11,21,27,8,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,-2
2005-2006,157289,University of Louisville,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,19,5,14,17,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2005-2006,157289,University of Louisville,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,157289,University of Louisville,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,157289,University of Louisville,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,5,3,0,0,0,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,-2
2005-2006,157289,University of Louisville,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,3,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,157289,University of Louisville,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,5,5,7,5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,157289,University of Louisville,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,1,4,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,157289,University of Louisville,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,5,5,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,157289,University of Louisville,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),41,14,27,37,12,25,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,1,1,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,25,10,15,22,9,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,6,12,4,1,3,11,3,8,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,4,7,2,1,1,8,3,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,23,0,4,4,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,159391,Louisiana State University and Agricultural & Mechanical College,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,170976,University of Michigan-Ann Arbor,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),58,17,41,44,13,31,3,2,1,5,2,3,1,0,1,0,0,0,2,0,2,3,0,3,-2
2005-2006,170976,University of Michigan-Ann Arbor,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,45,9,36,35,8,27,1,1,0,3,0,3,1,0,1,0,0,0,2,0,2,3,0,3,-2
2005-2006,170976,University of Michigan-Ann Arbor,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,170976,University of Michigan-Ann Arbor,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,170976,University of Michigan-Ann Arbor,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,4,4,3,0,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,170976,University of Michigan-Ann Arbor,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,170976,University of Michigan-Ann Arbor,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,6,9,11,5,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,170976,University of Michigan-Ann Arbor,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,2,8,8,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,170976,University of Michigan-Ann Arbor,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,9,9,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,-2
2005-2006,170976,University of Michigan-Ann Arbor,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,12,0,7,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,181464,University of Nebraska-Lincoln,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),39,9,30,30,8,22,1,0,1,2,1,1,1,0,1,1,0,1,0,0,0,4,0,4,-2
2005-2006,181464,University of Nebraska-Lincoln,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,19,4,15,15,4,11,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,-2
2005-2006,181464,University of Nebraska-Lincoln,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,5,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,181464,University of Nebraska-Lincoln,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,181464,University of Nebraska-Lincoln,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,1,4,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,181464,University of Nebraska-Lincoln,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,181464,University of Nebraska-Lincoln,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,4,9,7,3,4,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,-2
2005-2006,181464,University of Nebraska-Lincoln,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,2,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,181464,University of Nebraska-Lincoln,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,181464,University of Nebraska-Lincoln,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,11,0,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,186380,Rutgers University-New Brunswick,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),64,27,37,48,22,26,2,1,1,4,2,2,5,1,4,0,0,0,3,1,2,2,0,2,-2
2005-2006,186380,Rutgers University-New Brunswick,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,53,21,32,40,18,22,0,0,0,4,2,2,4,0,4,0,0,0,3,1,2,2,0,2,-2
2005-2006,186380,Rutgers University-New Brunswick,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,1,3,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,8,5,7,4,3,3,2,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,4,3,4,2,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,10,10,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,186380,Rutgers University-New Brunswick,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,198419,Duke University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),43,13,30,35,12,23,1,0,1,3,1,2,0,0,0,0,0,0,2,0,2,2,0,2,-2
2005-2006,198419,Duke University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,41,13,28,33,12,21,1,0,1,3,1,2,0,0,0,0,0,0,2,0,2,2,0,2,-2
2005-2006,198419,Duke University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,198419,Duke University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,198419,Duke University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,2,5,1,0,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,198419,Duke University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,198419,Duke University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,23,0,14,14,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,198419,Duke University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,21,21,0,14,14,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),57,24,33,43,18,25,9,4,5,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,45,17,28,35,14,21,5,1,4,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,2,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),16,4,12,9,3,6,5,1,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-2
2005-2006,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,2,9,7,2,5,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,4,4,0,13,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2005-2006,199120,University of North Carolina at Chapel Hill,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,2,2,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2005-2006,204796,Ohio State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),76,30,46,57,21,36,2,1,1,2,1,1,0,0,0,0,0,0,2,0,2,13,7,6,-2
2005-2006,204796,Ohio State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,49,20,29,37,15,22,2,1,1,2,1,1,0,0,0,0,0,0,2,0,2,6,3,3,-2
2005-2006,204796,Ohio State University-Main Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,204796,Ohio State University-Main Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,204796,Ohio State University-Main Campus,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,3,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,204796,Ohio State University-Main Campus,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,204796,Ohio State University-Main Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,4,4,3,2,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,204796,Ohio State University-Main Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,3,2,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,204796,Ohio State University-Main Campus,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,21,0,5,5,0,15,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,204796,Ohio State University-Main Campus,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,1,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,207388,Oklahoma State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),26,9,17,18,6,12,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,4,2,2,-2
2005-2006,207388,Oklahoma State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,17,5,12,13,4,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,2,-2
2005-2006,207388,Oklahoma State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2
