"","player","date","season","pst_team","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url"
"116","Jonathan Lucroy","3/27/12",2012,"Brewers","re-signed to a 5-year contract extension through 2016 with an option for 2017","re-signinging",0,5,2012,2016,"an option for 2017",2012,"http://www.baseball-reference.com/players/l/lucrojo01.shtml"
"117","Jonathon Niese","4/7/12",2012,"Mets","re-signed to a 5-year contract extension through 2016 with team options for 2017 and 2018","re-signinging",0,5,2012,2016,"team options for 2017 and 2018",2012,"http://www.baseball-reference.com/players/n/niesejo01.shtml"
"118","Jorge Posada","2/3/02",2002,"Yankees","re-signed to a 5-year contract with a 1-year team option","re-signinging",0,5,2002,2007,"",2002,"http://www.baseball-reference.com/players/p/posadjo01.shtml"
"119","Jorge Soler","6/30/12",2012,"Cubs","signed free agent to a 9-year contract","free agency",0,9,2012,2021,"",2012,"http://www.baseball-reference.com/minors/player.cgi?id=soler-000jor"
"120","Jose Bautista","2/17/11",2011,"Blue Jays","re-signed to a 5-year contract extension","re-signinging",0,5,2011,2016,"",2011,"http://www.baseball-reference.com/players/b/bautijo02.shtml"
"121","Jose Reyes","12/4/11",2012,"Marlins","signed free agent to a 6-year contract through 2017 with a 1-year option for 2018","free agency",0,6,2012,2017,"1-year option for 2018",2011,"http://www.baseball-reference.com/players/r/reyesjo01.shtml"
"122","Jose Tabata","8/19/11",2011,"Pirates","re-signed to a 6-year contract extension through 2016 with options for 2017-19","re-signinging",0,6,2011,2016,"options for 2017-19",2011,"http://www.baseball-reference.com/players/t/tabatjo01.shtml"
"123","Josh Hamilton","12/13/12",2013,"Angels","signed free agent (from Rangers) to a 5-year contract through 2017","free agency",0,5,2013,2017,"",2012,"http://www.baseball-reference.com/players/h/hamiljo03.shtml"
"124","Juan Pierre","11/22/06",2007,"Dodgers","signed free agent to a 5-year contract","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/p/pierrju01.shtml"
"125","Justin Morneau","1/25/08",2008,"Twins","re-signed to a 6-year contract extension","re-signinging",0,6,2008,2014,"",2008,"http://www.baseball-reference.com/players/m/morneju01.shtml"
"126","Justin Upton","3/3/10",2010,"Diamondbacks","re-signed to a 6-year contract through 2015","re-signinging",0,6,2010,2015,"",2010,"http://www.baseball-reference.com/players/u/uptonju01.shtml"
