"","player","date","season","pst_team","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url"
"19","Andruw Jones","11/13/01",2002,"Braves","re-signed to a 6-year contract extension","re-signinging",0,6,2002,2008,"",2001,"http://www.baseball-reference.com/players/j/jonesan01.shtml"
"20","Anibal Sanchez","12/14/12",2013,"Tigers","re-signed free agent to a 5-year contract through 2017 with a 1-year option for 2018","re-signinging",0,5,2013,2017,"1-year option for 2018",2012,"http://www.baseball-reference.com/players/s/sanchan01.shtml"
"21","Anthony Rizzo","5/12/13",2013,"Cubs","re-signed to a 7-year contract extension through 2019 with options for 2020-21","re-signinging",0,7,2013,2019,"options for 2020-21",2013,"http://www.baseball-reference.com/players/r/rizzoan01.shtml"
"22","Aramis Ramirez","11/12/06",2007,"Cubs","re-signed free agent to a 5-year, $75M contract through 2011 with a mutual option for 2012","re-signinging",75,5,2007,2011,"mutual option for 2012",2006,"http://www.baseball-reference.com/players/r/ramirar01.shtml"
"23","Aroldis Chapman","1/11/10",2010,"Reds","signed free agent to a 6-year contract through 2015","free agency",0,6,2010,2015,"",2010,"http://www.baseball-reference.com/players/c/chapmar01.shtml"
"24","B.J. Ryan","11/28/05",2006,"Blue Jays","signed free agent to a 5-year, $47M contract","free agency",47,5,2006,2011,"",2005,"http://www.baseball-reference.com/players/r/ryanb.01.shtml"
"25","B.J. Upton","11/28/12",2013,"Braves","signed free agent to a 5-year contract through 2017","free agency",0,5,2013,2017,"",2012,"http://www.baseball-reference.com/players/u/uptonbj01.shtml"
"26","Barry Bonds","1/14/02",2002,"Giants","re-signed to a 5-year contract","re-signinging",0,5,2002,2007,"",2002,"http://www.baseball-reference.com/players/b/bondsba01.shtml"
"27","Barry Zito","12/29/06",2007,"Giants","signed unrestricted free agent to a 7-year contract through 2013 with a team option for 2014","free agency",0,7,2007,2013,"team option for 2014",2006,"http://www.baseball-reference.com/players/z/zitoba01.shtml"
"28","Bill Buckner","2/18/82",1982,"Cubs","re-signed to a 5-year, $2.6M contract","re-signinging",2.6,5,1982,1987,"",1982,"http://www.baseball-reference.com/players/b/bucknbi01.shtml"
"29","Bobby Abreu","2/20/02",2002,"Phillies","re-signed to a 5-year, $64M contract extension","re-signinging",64,5,2002,2007,"",2002,"http://www.baseball-reference.com/players/a/abreubo01.shtml"
"30","Bobby Bonilla","12/2/91",1992,"Mets","signed free agent (from White Sox) to a 5-year, $29M contract","free agency",29,5,1992,1997,"",1991,"http://www.baseball-reference.com/players/b/bonilbo01.shtml"
"31","Brady Anderson","12/7/97",1998,"Orioles","re-signed free agent to a 5-year, $31M contract","re-signinging",31,5,1998,2003,"",1997,"http://www.baseball-reference.com/players/a/anderbr01.shtml"
"32","Brandon Phillips","4/10/12",2012,"Reds","re-signed to a 6-year contract through 2017","re-signinging",0,6,2012,2017,"",2012,"http://www.baseball-reference.com/players/p/phillbr01.shtml"
"33","Brian McCann","3/22/07",2007,"Braves","re-signed to a 6-year contract through 2012 with a 1-year team option for 2013","re-signinging",0,6,2007,2012,"1-year team option for 2013",2007,"http://www.baseball-reference.com/players/m/mccanbr01.shtml"
"34","Bruce Sutter","12/7/84",1985,"Braves","signed to a 6-year, $10M contract","free agency",10,6,1985,1991,"",1984,"http://www.baseball-reference.com/players/s/suttebr01.shtml"
"35","C.J. Wilson","12/8/11",2012,"Angels","signed free agent to a 5-year contract through 2016","free agency",0,5,2012,2016,"",2011,"http://www.baseball-reference.com/players/w/wilsocj01.shtml"
"36","Cameron Maybin","3/3/12",2012,"Padres","re-signed to a 5-year contract extension through 2016 with an option for 2017","re-signinging",0,5,2012,2016,"an option for 2017",2012,"http://www.baseball-reference.com/players/m/maybica01.shtml"
"37","Carl Crawford","4/1/05",2005,"Devil Rays","re-signed to a 6-year contract","re-signinging",0,6,2005,2011,"",2005,"http://www.baseball-reference.com/players/c/crawfca02.shtml"
"38","Carl Crawford","12/9/10",2011,"Red Sox","signed free agent to a 7-year contract through 2017 (date 12-11 per CBC E MLB)","free agency",0,7,2011,2017,"",2010,"http://www.baseball-reference.com/players/c/crawfca02.shtml"
"39","Carlos Beltran","1/11/05",2005,"Mets","signed free agent to a 7-year, $119M contract","free agency",119,7,2005,2012,"",2005,"http://www.baseball-reference.com/players/b/beltrca01.shtml"
"40","Carlos Gonzalez","1/11/11",2011,"Rockies","re-signed to a 7-year contract extension through 2017","re-signinging",0,7,2011,2017,"",2011,"http://www.baseball-reference.com/players/g/gonzaca01.shtml"
"41","Carlos Lee","11/24/06",2007,"Astros","signed free agent (from Rangers) to a 6-year contract","free agency",0,6,2007,2013,"",2006,"http://www.baseball-reference.com/players/l/leeca01.shtml"
"42","Carlos Santana","4/10/12",2012,"Indians","re-signed to a 5-year contract through 2016 with a team option for 2017","re-signinging",0,5,2012,2016,"team option for 2017",2012,"http://www.baseball-reference.com/players/s/santaca01.shtml"
"43","Carlos Zambrano","8/17/07",2007,"Cubs","re-signed to a 5-year contract extension through 2012 with a 1-year option for 2013","re-signinging",0,5,2007,2012,"1-year option for 2013",2007,"http://www.baseball-reference.com/players/z/zambrca01.shtml"
"44","CC Sabathia","12/11/08",2009,"Yankees","signed free agent to a 7-year contract through 2015 (date 12-18 per CBC E MLB)","free agency",0,7,2009,2015,"",2008,"http://www.baseball-reference.com/players/s/sabatc.01.shtml"
"45","Chan Ho Park","12/22/01",2002,"Rangers","signed free agent (from Dodgers) to a 5-year contract","free agency",0,5,2002,2007,"",2001,"http://www.baseball-reference.com/players/p/parkch01.shtml"
"46","Charles Johnson","12/18/00",2001,"Marlins","signed free agent (from White Sox) to a 5-year contract","free agency",0,5,2001,2006,"",2000,"http://www.baseball-reference.com/players/j/johnsch04.shtml"
"47","Chase Utley","1/21/07",2007,"Phillies","re-signed to a 7-year contract extension","re-signinging",0,7,2007,2014,"",2007,"http://www.baseball-reference.com/players/u/utleych01.shtml"
"48","Chris Carpenter","12/4/06",2007,"Cardinals","re-signed to a 5-year contract extension through 2011 with a team option for 2012","re-signinging",0,5,2007,2011,"team option for 2012",2006,"http://www.baseball-reference.com/players/c/carpech01.shtml"
"49","Chris Sale","3/7/13",2013,"White Sox","re-signed to a 5-year contract extension through 2017 with options for 2018-19","re-signinging",0,5,2013,2017,"options for 2018-19",2013,"http://www.baseball-reference.com/players/s/salech01.shtml"
"50","Chris Young","4/7/08",2008,"Diamondbacks","re-signed to a 5-year, ~$28M contract extension through 2013 with a team option for 2014","re-signinging",28,5,2008,2013,"team option for 2014",2008,"http://www.baseball-reference.com/players/y/youngch04.shtml"
"51","Cliff Lee","12/13/10",2011,"Phillies","signed free agent to a 5-year contract through 2015 with an option for 2016","free agency",0,5,2011,2015,"an option for 2016",2010,"http://www.baseball-reference.com/players/l/leecl02.shtml"
"52","Cole Hamels","7/25/12",2012,"Phillies","re-signed to a 6-year contract extension through 2018 with a 1-year option for 2019","re-signinging",0,6,2012,2018,"1-year option for 2019",2012,"http://www.baseball-reference.com/players/h/hamelco01.shtml"
"53","Craig Swan","3/15/80",1980,"Mets","signed to a 5-year contract","free agency",0,5,1980,1985,"",1980,"http://www.baseball-reference.com/players/s/swancr01.shtml"
"54","Curtis Granderson","2/4/08",2008,"Tigers","re-signed to a 5-year, ~$30M contract with a team option for 2013","re-signinging",30,5,2008,2013,"",2008,"http://www.baseball-reference.com/players/g/grandcu01.shtml"
"55","Daisuke Matsuzaka","12/14/06",2007,"Red Sox","signed free agent to a 6-year contract","free agency",0,6,2007,2013,"",2006,"http://www.baseball-reference.com/players/m/matsuda01.shtml"
"56","Damaso Garcia","2/14/84",1984,"Blue Jays","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/g/garcida01.shtml"
"57","Dan Uggla","1/4/11",2011,"Braves","re-signed to a 5-year contract through 2015","re-signinging",0,5,2011,2015,"",2011,"http://www.baseball-reference.com/players/u/ugglada01.shtml"
"58","Darren Dreifort","12/11/00",2001,"Dodgers","re-signed to a 5-year contract","re-signinging",0,5,2001,2006,"",2000,"http://www.baseball-reference.com/players/d/dreifda01.shtml"
"59","Darryl Strawberry","11/8/90",1991,"Dodgers","signed free agent (from Mets) to a 5-year, $20.3M contract","free agency",20.3,5,1991,1996,"",1990,"http://www.baseball-reference.com/players/s/strawda01.shtml"
"60","Dave Roberts","12/10/80",1981,"Astros","signed free agent to a 5-year, $1.3M contract","free agency",1.3,5,1981,1986,"",1980,"http://www.baseball-reference.com/players/r/roberda06.shtml"
"61","Dave Winfield","12/15/80",1981,"Yankees","signed free agent (from Padres) to a 10-year contract","free agency",0,10,1981,1991,"",1980,"http://www.baseball-reference.com/players/w/winfida01.shtml"
"62","David DeJesus","3/9/06",2006,"Royals","re-signed to a 5-year, $13.5M contract with a 1-year team option for 2011","re-signinging",13.5,5,2006,2011,"",2006,"http://www.baseball-reference.com/players/d/dejesda01.shtml"
"63","David Wright","8/6/06",2006,"Mets","re-signed to a 6-year contract extension with a team option for 2013","re-signinging",0,6,2006,2012,"",2006,"http://www.baseball-reference.com/players/w/wrighda03.shtml"
"64","Denard Span","3/13/10",2010,"Twins","re-signed to a 5-year contract extension through 2014 with an option for 2015","re-signinging",0,5,2010,2014,"an option for 2015",2010,"http://www.baseball-reference.com/players/s/spande01.shtml"
"65","Denny Neagle","12/4/00",2001,"Rockies","signed free agent to a 5-year contract with a 1-year team option","free agency",0,5,2001,2006,"",2000,"http://www.baseball-reference.com/players/n/neaglde01.shtml"
"66","Derek Holland","3/20/12",2012,"Rangers","re-signed to a 5-year contract extension through 2016 with options for 2017-18","re-signinging",0,5,2012,2016,"options for 2017-18",2012,"http://www.baseball-reference.com/players/h/hollade01.shtml"
"67","Derek Jeter","2/9/01",2001,"Yankees","re-signed to a 10-year contract","re-signinging",0,10,2001,2011,"",2001,"http://www.baseball-reference.com/players/j/jeterde01.shtml"
"68","Derrek Lee","4/10/06",2006,"Cubs","re-signed to a 5-year, $65M contract through 2010","re-signinging",65,5,2006,2010,"",2006,"http://www.baseball-reference.com/players/l/leede02.shtml"
"69","Don Mattingly","4/9/90",1990,"Yankees","re-signed to a 5-year contract extension through 1995","re-signinging",0,5,1990,1995,"",1990,"http://www.baseball-reference.com/players/m/mattido01.shtml"
"70","Don Stanhouse","11/17/79",1980,"Dodgers","signed free agent (from Orioles) to a 5-year contract (date 11-19 per AP)","free agency",0,5,1980,1985,"",1979,"http://www.baseball-reference.com/players/s/stanhdo01.shtml"
"71","Doug Flynn","3/16/81",1981,"Mets","signed to a 5-year, $2M contract","free agency",2,5,1981,1986,"",1981,"http://www.baseball-reference.com/players/f/flynndo01.shtml"
"72","Drew Henson","3/25/01",2001,"Yankees","signed to a 6-year contract","free agency",0,6,2001,2007,"",2001,"http://www.baseball-reference.com/players/h/hensodr01.shtml"
"73","Dustin Pedroia","12/3/08",2009,"Red Sox","re-signed to a 6-year contract extension through 2014 with an option for 2015","re-signinging",0,6,2009,2014,"an option for 2015",2008,"http://www.baseball-reference.com/players/p/pedrodu01.shtml"
"74","Eric Chavez","3/18/04",2004,"Athletics","re-signed to a 6-year contract extension","re-signinging",0,6,2004,2010,"",2004,"http://www.baseball-reference.com/players/c/chaveer01.shtml"
"75","Eric Hinske","3/17/03",2003,"Blue Jays","re-signed to a 5-year contract through 2007","re-signinging",0,5,2003,2007,"",2003,"http://www.baseball-reference.com/players/h/hinsker01.shtml"
"76","Evan Longoria","4/18/08",2008,"Rays","re-signed to a 6-year, $17.5M contract extension with a team option for 2014 and a 2-year team option for 2015-16 ($44M if team exercises option years)","re-signinging",0,6,2008,2014,"",2008,"http://www.baseball-reference.com/players/l/longoev01.shtml"
"77","Felix Hernandez","2/12/13",2013,"Mariners","re-signed to a 7-year contract extension through 2019","re-signinging",0,7,2013,2019,"",2013,"http://www.baseball-reference.com/players/h/hernafe02.shtml"
"78","Felix Hernandez","1/19/10",2010,"Mariners","re-signed to a 5-year contract extension through 2014","re-signinging",0,5,2010,2014,"",2010,"http://www.baseball-reference.com/players/h/hernafe02.shtml"
"79","Gary Matthews Jr.","11/22/06",2007,"Angels","signed free agent to a 5-year contract","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/m/matthga02.shtml"
"80","Gerardo Concepcion","3/11/12",2012,"Cubs","signed free agent to a 5-year contract","free agency",0,5,2012,2017,"",2012,"http://www.baseball-reference.com/minors/player.cgi?id=concep000ger"
"81","Gil Meche","12/7/06",2007,"Royals","signed free agent to a 5-year, $53M contract (plus $2M signing bonus)","free agency",0,5,2007,2012,"",2006,"http://www.baseball-reference.com/players/m/mechegi01.shtml"
"82","Gio Gonzalez","1/15/12",2012,"Nationals","re-signed to a 5-year contract extension through 2016 with options for 2017 and 2018","re-signinging",0,5,2012,2016,"options for 2017 and 2018",2012,"http://www.baseball-reference.com/players/g/gonzagi01.shtml"
"83","Grady Sizemore","3/29/06",2006,"Indians","re-signed to a 6-year, $23.45M contract through 2011 with a 1-year team option for 2012","re-signinging",23.45,6,2006,2011,"1-year team option for 2012",2006,"http://www.baseball-reference.com/players/s/sizemgr01.shtml"
