"","rank","team","value","year","value_change","debt_percent","revenue","operating_income","player_expense","gate_receipt","comments"
"40",2,"Philadelphia Flyers","240",2001,14,29,88.9,3.2,49.9,43.8,"Team shares new First Union Center with 76ers."
"41",2,"Philadelphia Flyers","250",2002,4,25,90,12.6,45.1,NA,NA
"61",3,"Philadelphia Flyers","262",2003,5,25,97,4.7,NA,NA,NA
"84",4,"Philadelphia Flyers","252",2004,-4,26,101,4,NA,NA,NA
"99",5,"Philadelphia Flyers","102",1996,NA,NA,NA,NA,NA,NA,NA
"100",5,"Philadelphia Flyers","128",1997,NA,NA,NA,NA,NA,NA,NA
"101",5,"Philadelphia Flyers","246",2006,-7,26,88,0.9,NA,NA,NA
"102",5,"Philadelphia Flyers","273",2009,-1,24,101,3.1,NA,NA,NA
"103",5,"Philadelphia Flyers","275",2008,13,24,102,-1.8,NA,NA,NA
"122",6,"Philadelphia Flyers","244",2007,-1,27,87,5.7,NA,NA,NA
"123",6,"Philadelphia Flyers","301",2010,10,22,121,13.3,NA,NA,NA
"159",8,"Philadelphia Flyers","290",2011,-4,22,111,3.2,NA,NA,NA
"160",8,"Philadelphia Flyers","336",2012,16,19,124,10.9,NA,NA,NA
"161",8,"Philadelphia Flyers","69",1994,NA,NA,NA,NA,NA,NA,NA
"179",9,"Philadelphia Flyers","58",1993,NA,NA,NA,NA,NA,NA,NA
"180",9,"Philadelphia Flyers","85",1995,NA,NA,NA,NA,NA,NA,NA
"220",11,"Philadelphia Flyers","51",1992,NA,NA,NA,NA,NA,NA,NA
"263",13,"Philadelphia Flyers","42.8",1991,NA,NA,NA,NA,NA,NA,NA
"391",19,"Ottawa Senators ","125",2005,7,19,70,-5,NA,NA,NA
"262",13,"Ottawa Senators","207",2008,12,63,96,4.7,NA,NA,NA
"286",14,"Ottawa Senators","159",2006,27,15,76,4.2,NA,NA,NA
"287",14,"Ottawa Senators","186",2007,17,59,93,10.4,NA,NA,NA
"323",16,"Ottawa Senators","220",2012,9,59,113,14.5,NA,NA,NA
"324",16,"Ottawa Senators","56",1995,NA,NA,NA,NA,NA,NA,NA
"347",17,"Ottawa Senators","196",2010,-1,66,96,-3.8,NA,NA,NA
"348",17,"Ottawa Senators","197",2009,-5,66,90,-3.8,NA,NA,NA
"349",17,"Ottawa Senators","201",2011,3,65,100,2.8,NA,NA,NA
"350",17,"Ottawa Senators","50",1994,NA,NA,NA,NA,NA,NA,NA
"367",18,"Ottawa Senators","56",1996,NA,NA,NA,NA,NA,NA,NA
"414",20,"Ottawa Senators","94",1999,NA,71,42.8,1.2,NA,NA,NA
"432",21,"Ottawa Senators","117",2004,23,20,59,-2,NA,NA,NA
"433",21,"Ottawa Senators","67",1997,NA,NA,NA,NA,NA,NA,NA
"492",24,"Ottawa Senators","79.2",2000,NA,NA,NA,NA,NA,NA,NA
"511",25,"Ottawa Senators","84",2001,6,88,46.7,-2.1,25.4,16.7,"Property taxes and debt on arena are onerous. Players buying season tickets."
"540",27,"Ottawa Senators","95",2003,-1,98,57,2,NA,NA,NA
"541",27,"Ottawa Senators","96",2002,14,94,50,-4.5,32.7,NA,NA
"14",1,"New York Rangers ","282",2005,4,89,118,-3.3,NA,NA,NA
"9",1,"New York Rangers","195",1999,NA,95,69.6,-3.9,NA,NA,NA
"10",1,"New York Rangers","234.8",2000,NA,NA,NA,NA,NA,NA,NA
"11",1,"New York Rangers","263",2001,12,57,97.6,-1.4,62,22.5,"Team shares old, rennovated arena with Knicks."
"12",1,"New York Rangers","272",2004,0,92,113,-7,NA,NA,NA
"13",1,"New York Rangers","277",2002,0.05,0.54,103,3.6,59.9,NA,NA
"29",2,"New York Rangers","147",1997,NA,NA,NA,NA,NA,NA,NA
"30",2,"New York Rangers","263",2003,-5,95,103,-2.3,NA,NA,NA
"31",2,"New York Rangers","306",2006,9,82,109,17.7,NA,NA,NA
"32",2,"New York Rangers","365",2007,19,0,122,25.4,NA,NA,NA
"33",2,"New York Rangers","411",2008,12,0,137,30.7,NA,NA,NA
"34",2,"New York Rangers","416",2009,1,0,139,27.7,NA,NA,NA
"35",2,"New York Rangers","461",2010,11,0,154,41.4,NA,NA,NA
"36",2,"New York Rangers","507",2011,10,0,169,41.4,NA,NA,NA
"37",2,"New York Rangers","750",2012,48,0,199,74,NA,NA,NA
"57",3,"New York Rangers","108",1995,NA,NA,NA,NA,NA,NA,NA
"58",3,"New York Rangers","118",1996,NA,NA,NA,NA,NA,NA,NA
"59",3,"New York Rangers","54.4",1991,NA,NA,NA,NA,NA,NA,NA
"60",3,"New York Rangers","76",1993,NA,NA,NA,NA,NA,NA,NA
"83",4,"New York Rangers","62",1992,NA,NA,NA,NA,NA,NA,NA
"98",5,"New York Rangers","81",1994,NA,NA,NA,NA,NA,NA,NA
"246",12,"New York Islanders ","160",2005,5,63,64,-9.5,NA,NA,NA
"97",5,"New York Islanders","51.8",1991,NA,NA,NA,NA,NA,NA,NA
"206",10,"New York Islanders","53",1992,NA,NA,NA,NA,NA,NA,NA
"207",10,"New York Islanders","55",1993,NA,NA,NA,NA,NA,NA,NA
"243",12,"New York Islanders","141.8",2000,NA,NA,NA,NA,NA,NA,NA
"244",12,"New York Islanders","151",2004,-3,66,56,-11,NA,NA,NA
"245",12,"New York Islanders","156",2002,12,64,44,1.4,26.2,NA,NA
"259",13,"New York Islanders","111",1999,NA,36,46.2,12.9,NA,NA,NA
"260",13,"New York Islanders","156",2003,0,64,51,-4.5,NA,NA,NA
"261",13,"New York Islanders","53",1994,NA,NA,NA,NA,NA,NA,NA
"285",14,"New York Islanders","139",2001,-2,63,40.7,5.4,20.4,12.2,"Team will get apx $400 mill in cable revs next 30 yrs, but has horrible lease."
"322",16,"New York Islanders","60",1996,NA,NA,NA,NA,NA,NA,NA
"346",17,"New York Islanders","74",1997,NA,NA,NA,NA,NA,NA,NA
"390",19,"New York Islanders","53",1995,NA,NA,NA,NA,NA,NA,NA
"491",24,"New York Islanders","140",2006,-12,71,56,-9.2,NA,NA,NA
"510",25,"New York Islanders","149",2007,6,67,60,-11.6,NA,NA,NA
"525",26,"New York Islanders","151",2010,1,66,63,-4.5,NA,NA,NA
"539",27,"New York Islanders","155",2012,4,65,66,-16,NA,NA,NA
"552",28,"New York Islanders","149",2009,-3,67,62,-5.6,NA,NA,NA
"562",29,"New York Islanders","149",2011,-1,67,63,-8.1,NA,NA,NA
"563",29,"New York Islanders","154",2008,3,65,64,-8.8,NA,NA,NA
"413",20,"New Jersey Devils ","124",2005,-14,64,61,-13.9,NA,NA,NA
"202",10,"New Jersey Devils","125",1999,NA,0,54.4,4.4,NA,NA,NA
"203",10,"New Jersey Devils","163",2001,21,41,62.5,0.9,35.7,39.3,"Team became part of YankeeNets in 2000. Unfavorable lease."
"204",10,"New Jersey Devils","222",2008,14,113,97,1.9,NA,NA,NA
"205",10,"New Jersey Devils","223",2009,0,112,97,1.4,NA,NA,NA
"217",11,"New Jersey Devils","159",2003,-9,42,61,-3.6,NA,NA,NA
"218",11,"New Jersey Devils","175",2002,7,38,70,6.3,37.7,NA,NA
"219",11,"New Jersey Devils","218",2010,-2,115,104,6.9,NA,NA,NA
"258",13,"New Jersey Devils","195",2007,31,128,65,-15.3,NA,NA,NA
"283",14,"New Jersey Devils","134.7",2000,NA,NA,NA,NA,NA,NA,NA
"284",14,"New Jersey Devils","145",2004,-9,46,73,-9,NA,NA,NA
"306",15,"New Jersey Devils","41",1992,NA,NA,NA,NA,NA,NA,NA
"307",15,"New Jersey Devils","51",1994,NA,NA,NA,NA,NA,NA,NA
"321",16,"New Jersey Devils","79",1997,NA,NA,NA,NA,NA,NA,NA
"344",17,"New Jersey Devils","47",1993,NA,NA,NA,NA,NA,NA,NA
"345",17,"New Jersey Devils","58",1996,NA,NA,NA,NA,NA,NA,NA
"364",18,"New Jersey Devils","148",2006,19,53,62,-6.7,NA,NA,NA
"365",18,"New Jersey Devils","35",1991,NA,NA,NA,NA,NA,NA,NA
"366",18,"New Jersey Devils","54",1995,NA,NA,NA,NA,NA,NA,NA
"389",19,"New Jersey Devils","205",2012,13,112,122,2.8,NA,NA,NA
"412",20,"New Jersey Devils","181",2011,-17,144,100,-6.1,NA,NA,NA
"490",24,"Nashville Predators ","111",2005,10,33,57,6.2,NA,NA,NA
"305",15,"Nashville Predators","130.3",2000,NA,NA,NA,NA,NA,NA,NA
"388",19,"Nashville Predators","129",2001,-1,31,51.6,8.6,21.2,17.6,"Good lease and well marketed, but fan support questionable."
"410",20,"Nashville Predators","131",2002,2,30,53,9.8,24.1,NA,NA
"411",20,"Nashville Predators","132",2003,0,30,53,9,NA,NA,NA
"471",23,"Nashville Predators","164",2008,14,49,70,-1.3,NA,NA,NA
"508",25,"Nashville Predators","163",2011,10,52,82,-7.5,NA,NA,NA
"509",25,"Nashville Predators","167",2012,2,51,88,-3.4,NA,NA,NA
"535",27,"Nashville Predators","101",2004,-24,40,46,-3,NA,NA,NA
"536",27,"Nashville Predators","134",2006,21,28,61,-1.1,NA,NA,NA
"537",27,"Nashville Predators","148",2010,-5,55,74,-5.5,NA,NA,NA
"538",27,"Nashville Predators","156",2009,-5,52,71,-5.7,NA,NA,NA
"570",30,"Nashville Predators","143",2007,7,26,65,-9.4,NA,NA,NA
"158",8,"Montreal Canadiens ","195",2005,15,41,90,7.5,NA,NA,NA
"8",1,"Montreal Canadiens","59.2",1991,NA,NA,NA,NA,NA,NA,NA
"51",3,"Montreal Canadiens","334",2008,18,72,139,39.6,NA,NA,NA
"52",3,"Montreal Canadiens","339",2009,2,71,130,31.3,NA,NA,NA
"53",3,"Montreal Canadiens","408",2010,20,70,163,53.1,NA,NA,NA
"54",3,"Montreal Canadiens","445",2011,9,65,165,47.7,NA,NA,NA
"55",3,"Montreal Canadiens","575",2012,29,50,169,51.6,NA,NA,NA
"56",3,"Montreal Canadiens","62",1992,NA,NA,NA,NA,NA,NA,NA
"80",4,"Montreal Canadiens","283",2007,23,85,109,25.2,NA,NA,NA
"81",4,"Montreal Canadiens","73",1993,NA,NA,NA,NA,NA,NA,NA
"82",4,"Montreal Canadiens","82",1994,NA,NA,NA,NA,NA,NA,NA
"121",6,"Montreal Canadiens","175.2",2000,NA,NA,NA,NA,NA,NA,NA
"139",7,"Montreal Canadiens","167",1999,NA,NA,61.8,8.3,NA,NA,NA
"140",7,"Montreal Canadiens","230",2006,18,104,90,17.5,NA,NA,NA
"156",8,"Montreal Canadiens","191",2001,9,22,73.5,12.7,36,25.7,"Team being neglected by management as Molson prepares to sell."
"157",8,"Montreal Canadiens","86",1995,NA,NA,NA,NA,NA,NA,NA
"178",9,"Montreal Canadiens","86",1996,NA,NA,NA,NA,NA,NA,NA
"199",10,"Montreal Canadiens","170",2004,-9,47,71,-5,NA,NA,NA
"200",10,"Montreal Canadiens","182",2002,-5,11,70,12.2,32.8,NA,NA
"201",10,"Montreal Canadiens","187",2003,3,32,75,6.4,NA,NA,NA
"216",11,"Montreal Canadiens","95",1997,NA,NA,NA,NA,NA,NA,NA
"215",11,"Minnesota Wild ","163",2005,-2,78,71,11.5,NA,NA,NA
"213",11,"Minnesota Wild","166",2004,20,71,79,20,NA,NA,NA
"214",11,"Minnesota Wild","217",2008,21,52,94,0.7,NA,NA,NA
"242",12,"Minnesota Wild","210",2009,-3,54,95,1.3,NA,NA,NA
"257",13,"Minnesota Wild","163",2006,0,79,71,4.7,NA,NA,NA
"281",14,"Minnesota Wild","202",2010,-4,56,92,-2.3,NA,NA,NA
"282",14,"Minnesota Wild","213",2011,5,53,97,-5.9,NA,NA,NA
"304",15,"Minnesota Wild","180",2007,10,71,78,-1.7,NA,NA,NA
"342",17,"Minnesota Wild","139",2003,3,113,61,12.1,NA,NA,NA
"343",17,"Minnesota Wild","218",2012,2,52,99,-3.9,NA,NA,NA
"363",18,"Minnesota Wild","135",2002,NA,56,56,11.1,18.4,NA,NA
"408",20,"Minnesota North Stars","30",1991,NA,NA,NA,NA,NA,NA,NA
"409",20,"Minnesota North Stars","34",1992,NA,NA,NA,NA,NA,NA,NA
"431",21,"Minnesota North Stars","42",1993,NA,NA,NA,NA,NA,NA,NA
