Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1998-1999,100751,The University of Alabama,All other sports combined,Scholarship Awards,118,33,85,82,18,64,5,0,5,5,1,4,4,1,3,1,0,1,0,0,0,21,13,8
1998-1999,100751,The University of Alabama,Baseball,Scholarship Awards,26,26,0,23,23,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Basketball,Scholarship Awards,27,13,14,6,3,3,20,10,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1998-1999,100751,The University of Alabama,Cross-country and/or track,Scholarship Awards,36,16,20,14,5,9,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5
1998-1999,100751,The University of Alabama,Football,Scholarship Awards,90,90,0,25,25,0,64,64,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,All other sports combined,Scholarship Awards,137,41,96,116,31,85,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,15,9,6
1998-1999,100858,Auburn University,Baseball,Scholarship Awards,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,100858,Auburn University,Basketball,Scholarship Awards,26,11,15,5,2,3,19,8,11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1998-1999,100858,Auburn University,Cross-country and/or track,Scholarship Awards,43,22,21,24,14,10,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3
1998-1999,100858,Auburn University,Football,Scholarship Awards,88,88,0,34,34,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,122755,San Jose State University,All other sports combined,Scholarship Awards,148,31,117,93,17,76,5,1,4,21,10,11,9,0,9,2,0,2,18,3,15,0,0,0
1998-1999,122755,San Jose State University,Baseball,Scholarship Awards,25,25,0,21,21,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0
1998-1999,122755,San Jose State University,Basketball,Scholarship Awards,27,13,14,7,3,4,15,8,7,0,0,0,1,0,1,0,0,0,4,2,2,0,0,0
1998-1999,122755,San Jose State University,Cross-country and/or track,Scholarship Awards,20,4,16,10,1,9,0,0,0,3,0,3,4,2,2,0,0,0,3,1,2,0,0,0
1998-1999,122755,San Jose State University,Football,Scholarship Awards,69,69,0,29,29,0,22,22,0,7,7,0,3,3,0,2,2,0,6,6,0,0,0,0
1998-1999,123961,University of Southern California,All other sports combined,Scholarship Awards,121,38,83,80,22,58,3,1,2,1,0,1,5,3,2,0,0,0,4,2,2,28,10,18
1998-1999,123961,University of Southern California,Baseball,Scholarship Awards,15,15,0,13,13,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1998-1999,123961,University of Southern California,Basketball,Scholarship Awards,28,13,15,7,3,4,17,9,8,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0
1998-1999,123961,University of Southern California,Cross-country and/or track,Scholarship Awards,35,18,17,8,6,2,13,5,8,0,0,0,0,0,0,1,0,1,0,0,0,13,7,6
1998-1999,123961,University of Southern California,Football,Scholarship Awards,87,87,0,34,34,0,43,43,0,3,3,0,4,4,0,1,1,0,2,2,0,0,0,0
1998-1999,131496,Georgetown University,All other sports combined,Scholarship Awards,91,41,50,77,40,37,3,1,2,4,0,4,5,0,5,0,0,0,2,0,2,0,0,0
1998-1999,131496,Georgetown University,Baseball,Scholarship Awards,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,131496,Georgetown University,Basketball,Scholarship Awards,24,11,13,6,0,6,14,8,6,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0
1998-1999,131496,Georgetown University,Cross-country and/or track,Scholarship Awards,42,20,22,26,12,14,14,7,7,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
1998-1999,134097,Florida State University,All other sports combined,Scholarship Awards,101,26,75,61,13,48,9,2,7,5,0,5,0,0,0,2,1,1,0,0,0,24,10,14
1998-1999,134097,Florida State University,Baseball,Scholarship Awards,28,28,0,25,25,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Basketball,Scholarship Awards,20,6,14,10,1,9,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,134097,Florida State University,Cross-country and/or track,Scholarship Awards,46,19,27,20,11,9,19,6,13,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5
1998-1999,134097,Florida State University,Football,Scholarship Awards,81,81,0,17,17,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1998-1999,134130,University of Florida,All other sports combined,Scholarship Awards,138,37,101,107,25,82,8,1,7,7,3,4,2,2,0,0,0,0,3,0,3,11,6,5
1998-1999,134130,University of Florida,Baseball,Scholarship Awards,32,32,0,26,26,0,1,1,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0
1998-1999,134130,University of Florida,Basketball,Scholarship Awards,24,12,12,7,5,2,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1998-1999,134130,University of Florida,Cross-country and/or track,Scholarship Awards,70,38,32,41,25,16,24,13,11,1,0,1,0,0,0,0,0,0,2,0,2,2,0,2
1998-1999,134130,University of Florida,Football,Scholarship Awards,86,86,0,26,26,0,58,58,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1998-1999,135726,University of Miami,All other sports combined,Scholarship Awards,50,8,42,25,3,22,3,0,3,5,2,3,0,0,0,0,0,0,1,0,1,16,3,13
1998-1999,135726,University of Miami,Baseball,Scholarship Awards,23,23,0,14,14,0,1,1,0,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0
1998-1999,135726,University of Miami,Basketball,Scholarship Awards,16,8,8,3,0,3,10,7,3,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1
1998-1999,135726,University of Miami,Cross-country and/or track,Scholarship Awards,29,9,20,7,4,3,12,1,11,4,2,2,0,0,0,0,0,0,0,0,0,6,2,4
1998-1999,135726,University of Miami,Football,Scholarship Awards,60,60,0,18,18,0,37,37,0,1,1,0,0,0,0,1,1,0,1,1,0,2,2,0
1998-1999,139959,University of Georgia,All other sports combined,Scholarship Awards,135,38,97,117,30,87,2,1,1,2,0,2,0,0,0,1,0,1,0,0,0,13,7,6
1998-1999,139959,University of Georgia,Baseball,Scholarship Awards,32,32,0,30,30,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,139959,University of Georgia,Basketball,Scholarship Awards,24,12,12,7,3,4,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1998-1999,139959,University of Georgia,Cross-country and/or track,Scholarship Awards,34,13,21,10,4,6,17,6,11,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4
1998-1999,139959,University of Georgia,Football,Scholarship Awards,77,77,0,28,28,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,142115,Boise State University,All other sports combined,Scholarship Awards,21,6,15,17,6,11,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
1998-1999,142115,Boise State University,Basketball,Scholarship Awards,6,3,3,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,142115,Boise State University,Cross-country and/or track,Scholarship Awards,9,6,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
1998-1999,142115,Boise State University,Football,Scholarship Awards,20,20,0,8,8,0,7,7,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0
1998-1999,147767,Northwestern University,All other sports combined,Scholarship Awards,165,56,109,144,48,96,7,2,5,1,0,1,10,6,4,0,0,0,3,0,3,0,0,0
1998-1999,147767,Northwestern University,Baseball,Scholarship Awards,21,21,0,20,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,147767,Northwestern University,Basketball,Scholarship Awards,26,13,13,18,8,10,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0
1998-1999,147767,Northwestern University,Football,Scholarship Awards,78,78,0,43,43,0,33,33,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1998-1999,152080,University of Notre Dame,All other sports combined,Scholarship Awards,181,77,104,159,63,96,3,2,1,5,2,3,2,1,1,0,0,0,0,0,0,12,9,3
1998-1999,152080,University of Notre Dame,Baseball,Scholarship Awards,27,27,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,152080,University of Notre Dame,Basketball,Scholarship Awards,23,12,11,13,8,5,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1998-1999,152080,University of Notre Dame,Cross-country and/or track,Scholarship Awards,37,22,15,26,16,10,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3
1998-1999,152080,University of Notre Dame,Football,Scholarship Awards,85,85,0,34,34,0,48,48,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
1998-1999,155399,Kansas State University,All other sports combined,Scholarship Awards,82,13,69,79,13,66,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0
1998-1999,155399,Kansas State University,Baseball,Scholarship Awards,37,37,0,32,32,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,155399,Kansas State University,Basketball,Scholarship Awards,29,15,14,16,6,10,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,155399,Kansas State University,Cross-country and/or track,Scholarship Awards,50,25,25,32,18,14,16,7,9,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
1998-1999,155399,Kansas State University,Football,Scholarship Awards,79,79,0,33,33,0,43,43,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
1998-1999,157289,University of Louisville,All other sports combined,Scholarship Awards,148,67,81,109,44,65,12,5,7,2,1,1,4,4,0,0,0,0,0,0,0,21,13,8
1998-1999,157289,University of Louisville,Baseball,Scholarship Awards,25,25,0,21,21,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0
1998-1999,157289,University of Louisville,Basketball,Scholarship Awards,26,13,13,11,4,7,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1998-1999,157289,University of Louisville,Cross-country and/or track,Scholarship Awards,21,8,13,15,6,9,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1998-1999,157289,University of Louisville,Football,Scholarship Awards,71,71,0,22,22,0,47,47,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,All other sports combined,Scholarship Awards,127,35,92,98,25,73,3,0,3,1,1,0,0,0,0,2,0,2,0,0,0,23,9,14
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Scholarship Awards,26,26,0,24,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,Scholarship Awards,26,13,13,4,2,2,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Scholarship Awards,39,18,21,10,7,3,16,4,12,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Football,Scholarship Awards,85,85,0,24,24,0,60,60,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1998-1999,170976,University of Michigan-Ann Arbor,All other sports combined,Scholarship Awards,226,81,145,190,68,122,4,1,3,5,1,4,3,0,3,0,0,0,2,1,1,22,10,12
1998-1999,170976,University of Michigan-Ann Arbor,Baseball,Scholarship Awards,24,24,0,22,22,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1999,170976,University of Michigan-Ann Arbor,Basketball,Scholarship Awards,26,10,16,8,3,5,15,7,8,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
1998-1999,170976,University of Michigan-Ann Arbor,Cross-country and/or track,Scholarship Awards,51,22,29,25,10,15,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5
1998-1999,170976,University of Michigan-Ann Arbor,Football,Scholarship Awards,91,91,0,51,51,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1998-1999,181464,University of Nebraska-Lincoln,All other sports combined,Scholarship Awards,204,74,130,134,42,92,7,2,5,8,7,1,6,1,5,1,0,1,0,0,0,48,22,26
1998-1999,181464,University of Nebraska-Lincoln,Baseball,Scholarship Awards,32,32,0,26,26,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0
1998-1999,181464,University of Nebraska-Lincoln,Basketball,Scholarship Awards,31,15,16,17,6,11,13,9,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1998-1999,181464,University of Nebraska-Lincoln,Cross-country and/or track,Scholarship Awards,74,39,35,51,26,25,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5
1998-1999,181464,University of Nebraska-Lincoln,Football,Scholarship Awards,96,96,0,56,56,0,35,35,0,2,2,0,2,2,0,0,0,0,0,0,0,1,1,0
