Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2003-2004,135726,University of Miami,Cross-country and/or track,33,15,18,10,9,1,19,5,14,2,1,1,0,0,0,0,0,0,1,0,1,1,0,1
2003-2004,135726,University of Miami,Football,66,66,0,16,16,0,45,45,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0
2003-2004,139959,University of Georgia,All other sports combined,131,35,96,100,24,76,12,1,11,3,2,1,1,0,1,0,0,0,0,0,0,15,8,7
2003-2004,139959,University of Georgia,Baseball,35,35,0,34,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,Basketball,12,4,8,4,1,3,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,139959,University of Georgia,Cross-country and/or track,50,25,25,26,12,14,14,9,5,0,0,0,1,0,1,0,0,0,0,0,0,9,4,5
2003-2004,139959,University of Georgia,Football,76,76,0,24,24,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,142115,Boise State University,All other sports combined,99,35,64,73,26,47,1,0,1,1,1,0,1,1,0,3,0,3,0,0,0,20,7,13
2003-2004,142115,Boise State University,Basketball,26,13,13,10,1,9,7,7,0,2,0,2,1,0,1,2,1,1,0,0,0,4,4,0
2003-2004,142115,Boise State University,Cross-country and/or track,47,19,28,29,6,23,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4
2003-2004,142115,Boise State University,Football,87,87,0,50,50,0,26,26,0,4,4,0,2,2,0,1,1,0,0,0,0,4,4,0
2003-2004,147767,Northwestern University,All other sports combined,205,66,139,170,53,117,4,1,3,6,5,1,7,0,7,0,0,0,9,4,5,9,3,6
2003-2004,147767,Northwestern University,Baseball,22,22,0,19,19,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,147767,Northwestern University,Basketball,24,12,12,13,4,9,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,6,4,2
2003-2004,147767,Northwestern University,Cross-country and/or track,10,0,10,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
2003-2004,147767,Northwestern University,Football,88,88,0,38,38,0,44,44,0,1,1,0,0,0,0,0,0,0,4,4,0,1,1,0
2003-2004,152080,University of Notre Dame,All other sports combined,256,102,154,226,87,139,2,1,1,5,3,2,5,2,3,1,0,1,0,0,0,17,9,8
2003-2004,152080,University of Notre Dame,Baseball,21,21,0,18,18,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,152080,University of Notre Dame,Basketball,24,12,12,9,2,7,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,152080,University of Notre Dame,Cross-country and/or track,40,20,20,20,10,10,11,4,7,1,1,0,0,0,0,0,0,0,0,0,0,8,5,3
2003-2004,152080,University of Notre Dame,Football,79,79,0,34,34,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,155399,Kansas State University,All other sports combined,156,10,146,140,10,130,0,0,0,2,0,2,1,0,1,0,0,0,5,0,5,8,0,8
2003-2004,155399,Kansas State University,Baseball,38,38,0,26,26,0,1,1,0,4,4,0,0,0,0,4,4,0,1,1,0,2,2,0
2003-2004,155399,Kansas State University,Basketball,25,10,15,13,3,10,10,6,4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
2003-2004,155399,Kansas State University,Cross-country and/or track,65,32,33,32,13,19,14,6,8,2,1,1,1,1,0,0,0,0,7,3,4,9,8,1
2003-2004,155399,Kansas State University,Football,92,92,0,34,34,0,46,46,0,2,2,0,1,1,0,2,2,0,7,7,0,0,0,0
2003-2004,157289,University of Louisville,All other sports combined,161,41,120,107,20,87,10,5,5,4,0,4,0,0,0,0,0,0,0,0,0,40,16,24
2003-2004,157289,University of Louisville,Baseball,29,29,0,24,24,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0
2003-2004,157289,University of Louisville,Basketball,24,12,12,5,0,5,14,9,5,0,0,0,1,0,1,0,0,0,0,0,0,4,3,1
2003-2004,157289,University of Louisville,Cross-country and/or track,51,23,28,37,19,18,10,2,8,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1
2003-2004,157289,University of Louisville,Football,89,89,0,31,31,0,55,55,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,All other sports combined,141,41,100,102,30,72,7,0,7,4,0,4,2,0,2,0,0,0,5,3,2,21,8,13
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,36,36,0,33,33,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,25,12,13,2,2,0,19,8,11,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,51,22,29,13,7,6,31,11,20,0,0,0,0,0,0,0,0,0,1,0,1,6,4,2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Football,88,88,0,31,31,0,54,54,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0
2003-2004,170976,University of Michigan-Ann Arbor,All other sports combined,266,106,160,203,76,127,15,9,6,8,4,4,5,1,4,1,0,1,7,4,3,27,12,15
2003-2004,170976,University of Michigan-Ann Arbor,Baseball,28,28,0,25,25,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
2003-2004,170976,University of Michigan-Ann Arbor,Basketball,22,10,12,8,1,7,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2003-2004,170976,University of Michigan-Ann Arbor,Cross-country and/or track,51,19,32,34,10,24,10,5,5,0,0,0,1,0,1,0,0,0,0,0,0,6,4,2
2003-2004,170976,University of Michigan-Ann Arbor,Football,99,99,0,48,48,0,46,46,0,2,2,0,0,0,0,1,1,0,1,1,0,1,1,0
2003-2004,181464,University of Nebraska-Lincoln,All other sports combined,200,57,143,151,45,106,4,0,4,6,1,5,5,0,5,2,1,1,5,2,3,27,8,19
2003-2004,181464,University of Nebraska-Lincoln,Baseball,35,35,0,33,33,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2003-2004,181464,University of Nebraska-Lincoln,Basketball,26,14,12,10,5,5,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2003-2004,181464,University of Nebraska-Lincoln,Cross-country and/or track,76,38,38,44,20,24,11,10,1,1,0,1,0,0,0,0,0,0,1,0,1,19,8,11
2003-2004,181464,University of Nebraska-Lincoln,Football,92,92,0,50,50,0,33,33,0,0,0,0,1,1,0,0,0,0,5,5,0,3,3,0
2003-2004,186380,Rutgers University-New Brunswick,All other sports combined,266,111,155,220,91,129,13,6,7,10,7,3,8,1,7,3,2,1,12,4,8,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,Baseball,30,30,0,26,26,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,Basketball,22,11,11,2,1,1,19,9,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,Cross-country and/or track,55,23,32,28,13,15,21,7,14,2,1,1,1,1,0,0,0,0,3,1,2,0,0,0
2003-2004,186380,Rutgers University-New Brunswick,Football,91,91,0,29,29,0,54,54,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0
2003-2004,198419,Duke University,All other sports combined,186,58,128,149,48,101,3,1,2,5,3,2,7,2,5,0,0,0,10,1,9,12,3,9
2003-2004,198419,Duke University,Baseball,29,29,0,23,23,0,0,0,0,4,4,0,1,1,0,0,0,0,1,1,0,0,0,0
2003-2004,198419,Duke University,Basketball,20,9,11,6,3,3,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2003-2004,198419,Duke University,Football,77,77,0,39,39,0,35,35,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
2003-2004,199120,University of North Carolina at Chapel Hill,All other sports combined,257,107,150,224,93,131,14,5,9,9,5,4,3,2,1,0,0,0,5,1,4,2,1,1
2003-2004,199120,University of North Carolina at Chapel Hill,Baseball,30,30,0,28,28,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,Basketball,24,11,13,4,1,3,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,43,20,23,27,11,16,15,8,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2003-2004,199120,University of North Carolina at Chapel Hill,Football,91,91,0,26,26,0,64,64,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2003-2004,204796,Ohio State University-Main Campus,All other sports combined,403,164,239,289,119,170,15,8,7,8,4,4,5,2,3,1,0,1,10,5,5,75,26,49
2003-2004,204796,Ohio State University-Main Campus,Baseball,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,204796,Ohio State University-Main Campus,Basketball,29,13,16,9,3,6,18,9,9,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,204796,Ohio State University-Main Campus,Cross-country and/or track,40,16,24,19,11,8,18,4,14,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2003-2004,204796,Ohio State University-Main Campus,Football,92,92,0,42,42,0,45,45,0,2,2,0,0,0,0,1,1,0,1,1,0,1,1,0
2003-2004,207388,Oklahoma State University-Main Campus,All other sports combined,111,33,78,93,27,66,5,2,3,3,0,3,0,0,0,7,4,3,0,0,0,3,0,3
2003-2004,207388,Oklahoma State University-Main Campus,Baseball,26,26,0,20,20,0,1,1,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0
2003-2004,207388,Oklahoma State University-Main Campus,Basketball,27,12,15,10,2,8,14,8,6,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1
2003-2004,207388,Oklahoma State University-Main Campus,Cross-country and/or track,27,13,14,15,7,8,6,1,5,0,0,0,0,0,0,1,1,0,0,0,0,5,4,1
2003-2004,207388,Oklahoma State University-Main Campus,Football,88,88,0,27,27,0,55,55,0,1,1,0,2,2,0,2,2,0,0,0,0,1,1,0
2003-2004,207500,University of Oklahoma Norman Campus,All other sports combined,137,54,83,91,31,60,14,11,3,10,2,8,4,3,1,4,1,3,3,1,2,11,5,6
2003-2004,207500,University of Oklahoma Norman Campus,Baseball,32,32,0,24,24,0,1,1,0,2,2,0,1,1,0,3,3,0,1,1,0,0,0,0
2003-2004,207500,University of Oklahoma Norman Campus,Basketball,26,12,14,11,2,9,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2003-2004,207500,University of Oklahoma Norman Campus,Cross-country and/or track,71,39,32,36,21,15,23,9,14,0,0,0,0,0,0,2,1,1,3,3,0,7,5,2
2003-2004,207500,University of Oklahoma Norman Campus,Football,93,93,0,27,27,0,62,62,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0
2003-2004,209542,Oregon State University,All other sports combined,109,38,71,80,28,52,4,3,1,4,2,2,5,1,4,0,0,0,6,1,5,10,3,7
2003-2004,209542,Oregon State University,Baseball,20,20,0,14,14,0,0,0,0,1,1,0,2,2,0,1,1,0,1,1,0,1,1,0
2003-2004,209542,Oregon State University,Basketball,23,11,12,9,3,6,9,5,4,1,0,1,1,0,1,0,0,0,0,0,0,3,3,0
2003-2004,209542,Oregon State University,Football,76,76,0,38,38,0,29,29,0,2,2,0,3,3,0,0,0,0,4,4,0,0,0,0
2003-2004,209551,University of Oregon,All other sports combined,108,36,72,69,27,42,2,0,2,6,2,4,5,0,5,1,0,1,9,2,7,16,5,11
2003-2004,209551,University of Oregon,Basketball,28,13,15,14,8,6,9,5,4,0,0,0,1,0,1,0,0,0,0,0,0,4,0,4
2003-2004,209551,University of Oregon,Cross-country and/or track,53,31,22,40,25,15,9,6,3,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1
2003-2004,209551,University of Oregon,Football,76,76,0,23,23,0,40,40,0,3,3,0,7,7,0,1,1,0,1,1,0,1,1,0
2003-2004,217882,Clemson University,All other sports combined,182,67,115,135,45,90,10,7,3,2,1,1,1,0,1,0,0,0,19,9,10,15,5,10
2003-2004,217882,Clemson University,Baseball,37,37,0,26,26,0,2,2,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
2003-2004,217882,Clemson University,Basketball,26,10,16,7,0,7,14,7,7,0,0,0,0,0,0,0,0,0,3,1,2,2,2,0
2003-2004,217882,Clemson University,Cross-country and/or track,66,38,28,30,17,13,21,12,9,0,0,0,0,0,0,0,0,0,9,6,3,6,3,3
2003-2004,217882,Clemson University,Football,85,85,0,13,13,0,60,60,0,2,2,0,0,0,0,0,0,0,10,10,0,0,0,0
2003-2004,218663,University of South Carolina-Columbia,All other sports combined,158,55,103,120,38,82,7,1,6,2,1,1,2,0,2,0,0,0,0,0,0,27,15,12
2003-2004,218663,University of South Carolina-Columbia,Baseball,40,40,0,37,37,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,218663,University of South Carolina-Columbia,Basketball,28,12,16,3,1,2,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7
2003-2004,218663,University of South Carolina-Columbia,Cross-country and/or track,48,19,29,13,5,8,31,12,19,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2003-2004,218663,University of South Carolina-Columbia,Football,90,90,0,20,20,0,67,67,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0
2003-2004,221999,Vanderbilt University,All other sports combined,82,36,46,66,27,39,3,2,1,2,1,1,0,0,0,1,1,0,8,3,5,2,2,0
2003-2004,221999,Vanderbilt University,Baseball,21,21,0,20,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,221999,Vanderbilt University,Basketball,27,12,15,12,5,7,11,5,6,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1
2003-2004,221999,Vanderbilt University,Cross-country and/or track,20,0,20,12,0,12,5,0,5,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1
2003-2004,221999,Vanderbilt University,Football,84,84,0,40,40,0,39,39,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0
