Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1996-1997,100858,Auburn University,All other sports combined,Scholarship Awards,130,40,90,109,28,81,5,1,4,1,0,1,2,1,1,1,1,0,0,0,0,12,9,3
1996-1997,100858,Auburn University,Baseball,Scholarship Awards,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Basketball,Scholarship Awards,25,13,12,5,2,3,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
1996-1997,100858,Auburn University,Cross-country and/or track,Scholarship Awards,35,17,18,17,9,8,10,5,5,2,0,2,0,0,0,1,1,0,0,0,0,5,2,3
1996-1997,100858,Auburn University,Football,Scholarship Awards,87,87,0,22,22,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,All other sports combined,Scholarship Awards,10,4,6,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,142115,Boise State University,Basketball,Scholarship Awards,5,1,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,142115,Boise State University,Cross-country and/or track,Scholarship Awards,10,3,7,6,2,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,142115,Boise State University,Football,Scholarship Awards,21,21,0,16,16,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,All other sports combined,Scholarship Awards,132,58,74,112,48,64,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,16,7,9
1996-1997,217882,Clemson University,Baseball,Scholarship Awards,41,41,0,38,38,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Basketball,Scholarship Awards,27,13,14,8,2,6,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
1996-1997,217882,Clemson University,Cross-country and/or track,Scholarship Awards,51,26,25,20,12,8,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7
1996-1997,217882,Clemson University,Football,Scholarship Awards,77,77,0,28,28,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,All other sports combined,Scholarship Awards,117,52,65,106,46,60,1,1,0,2,0,2,1,0,1,0,0,0,0,0,0,7,5,2
1996-1997,198419,Duke University,Baseball,Scholarship Awards,17,17,0,16,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,198419,Duke University,Basketball,Scholarship Awards,26,11,15,10,3,7,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1996-1997,198419,Duke University,Football,Scholarship Awards,83,83,0,46,46,0,34,34,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,All other sports combined,Scholarship Awards,109,33,76,82,23,59,5,1,4,5,1,4,0,0,0,2,1,1,0,0,0,15,7,8
1996-1997,134097,Florida State University,Baseball,Scholarship Awards,29,29,0,23,23,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
