Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2001-2002,100751,The University of Alabama,All other sports combined,141,36,105,93,13,80,4,0,4,4,2,2,4,1,3,1,0,1,0,0,0,35,20,15
2001-2002,100751,The University of Alabama,Baseball,39,39,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,100751,The University of Alabama,Basketball,27,12,15,6,1,5,19,10,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
2001-2002,100751,The University of Alabama,Cross-country and/or track,46,23,23,15,6,9,18,10,8,0,0,0,0,0,0,1,1,0,0,0,0,12,6,6
2001-2002,100751,The University of Alabama,Football,89,89,0,28,28,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,All other sports combined,169,54,115,136,41,95,2,0,2,5,1,4,1,0,1,0,0,0,1,0,1,24,12,12
2001-2002,100858,Auburn University,Baseball,26,26,0,24,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Basketball,33,14,19,4,2,2,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3
2001-2002,100858,Auburn University,Cross-country and/or track,48,26,22,18,10,8,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,17,10,7
2001-2002,100858,Auburn University,Football,84,84,0,29,29,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,122755,San Jose State University,All other sports combined,129,27,102,84,14,70,5,0,5,20,9,11,2,0,2,0,0,0,18,4,14,0,0,0
2001-2002,122755,San Jose State University,Baseball,31,31,0,19,19,0,2,2,0,5,5,0,1,1,0,0,0,0,4,4,0,0,0,0
2001-2002,122755,San Jose State University,Basketball,25,11,14,6,3,3,16,7,9,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0
2001-2002,122755,San Jose State University,Cross-country and/or track,17,5,12,9,2,7,0,0,0,4,1,3,2,1,1,1,1,0,1,0,1,0,0,0
2001-2002,122755,San Jose State University,Football,70,70,0,19,19,0,36,36,0,2,2,0,2,2,0,1,1,0,10,10,0,0,0,0
2001-2002,123961,University of Southern California,All other sports combined,15,5,10,13,5,8,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Baseball,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Basketball,6,3,3,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,123961,University of Southern California,Cross-country and/or track,5,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2001-2002,123961,University of Southern California,Football,20,20,0,8,8,0,10,10,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,All other sports combined,120,55,65,104,47,57,4,1,3,3,1,2,3,2,1,1,1,0,2,2,0,3,1,2
2001-2002,131496,Georgetown University,Baseball,10,10,0,6,6,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Basketball,31,17,14,6,4,2,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4
2001-2002,131496,Georgetown University,Cross-country and/or track,38,17,21,25,10,15,10,4,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0
2001-2002,131496,Georgetown University,Football,16,16,0,6,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,All other sports combined,143,47,96,115,42,73,13,2,11,12,3,9,2,0,2,0,0,0,0,0,0,1,0,1
2001-2002,134097,Florida State University,Baseball,34,34,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,134097,Florida State University,Basketball,26,13,13,9,3,6,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Cross-country and/or track,61,31,30,33,16,17,24,14,10,1,0,1,0,0,0,2,0,2,0,0,0,1,1,0
2001-2002,134097,Florida State University,Football,87,87,0,17,17,0,67,67,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,134130,University of Florida,All other sports combined,158,52,106,114,32,82,13,1,12,5,3,2,1,1,0,0,0,0,4,1,3,21,14,7
2001-2002,134130,University of Florida,Baseball,37,37,0,32,32,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,1,1,0
2001-2002,134130,University of Florida,Basketball,22,11,11,7,4,3,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,134130,University of Florida,Cross-country and/or track,60,34,26,24,16,8,28,14,14,2,2,0,0,0,0,0,0,0,2,1,1,4,1,3
2001-2002,134130,University of Florida,Football,80,80,0,24,24,0,52,52,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0
2001-2002,135726,University of Miami,All other sports combined,95,13,82,58,6,52,1,0,1,13,3,10,1,0,1,1,0,1,2,0,2,19,4,15
2001-2002,135726,University of Miami,Baseball,24,24,0,15,15,0,1,1,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,135726,University of Miami,Basketball,25,11,14,3,0,3,16,8,8,1,1,0,0,0,0,0,0,0,1,0,1,4,2,2
2001-2002,135726,University of Miami,Cross-country and/or track,33,10,23,9,6,3,20,2,18,1,0,1,0,0,0,0,0,0,1,1,0,2,1,1
2001-2002,135726,University of Miami,Football,77,77,0,15,15,0,54,54,0,3,3,0,0,0,0,0,0,0,3,3,0,2,2,0
2001-2002,139959,University of Georgia,All other sports combined,137,34,103,113,25,88,9,1,8,3,1,2,2,1,1,0,0,0,0,0,0,10,6,4
2001-2002,139959,University of Georgia,Baseball,44,44,0,43,43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,139959,University of Georgia,Basketball,24,11,13,4,1,3,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,139959,University of Georgia,Cross-country and/or track,59,31,28,30,16,14,20,10,10,1,1,0,0,0,0,0,0,0,0,0,0,8,4,4
2001-2002,139959,University of Georgia,Football,86,86,0,26,26,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,All other sports combined,103,37,66,80,28,52,0,0,0,1,1,0,5,1,4,0,0,0,1,1,0,16,6,10
2001-2002,142115,Boise State University,Basketball,24,11,13,9,1,8,8,7,1,1,0,1,1,0,1,0,0,0,0,0,0,5,3,2
2001-2002,142115,Boise State University,Cross-country and/or track,51,25,26,31,13,18,7,5,2,1,0,1,1,0,1,2,0,2,0,0,0,9,7,2
2001-2002,142115,Boise State University,Football,89,89,0,57,57,0,23,23,0,3,3,0,6,6,0,0,0,0,0,0,0,0,0,0
2001-2002,147767,Northwestern University,All other sports combined,190,62,128,160,54,106,6,1,5,4,2,2,7,2,5,0,0,0,4,1,3,9,2,7
2001-2002,147767,Northwestern University,Baseball,23,23,0,20,20,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,147767,Northwestern University,Basketball,26,12,14,14,3,11,8,5,3,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0
2001-2002,147767,Northwestern University,Cross-country and/or track,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,147767,Northwestern University,Football,89,89,0,41,41,0,38,38,0,4,4,0,0,0,0,1,1,0,2,2,0,3,3,0
2001-2002,152080,University of Notre Dame,All other sports combined,219,78,141,189,63,126,1,0,1,9,3,6,4,2,2,0,0,0,0,0,0,16,10,6
2001-2002,152080,University of Notre Dame,Baseball,25,25,0,22,22,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,152080,University of Notre Dame,Basketball,24,12,12,9,3,6,12,7,5,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0
2001-2002,152080,University of Notre Dame,Cross-country and/or track,41,19,22,20,11,9,13,4,9,2,1,1,0,0,0,0,0,0,0,0,0,6,3,3
2001-2002,152080,University of Notre Dame,Football,83,83,0,34,34,0,46,46,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0
2001-2002,155399,Kansas State University,All other sports combined,115,9,106,103,9,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
2001-2002,155399,Kansas State University,Baseball,35,35,0,28,28,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0
2001-2002,155399,Kansas State University,Basketball,26,11,15,12,1,11,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
2001-2002,155399,Kansas State University,Cross-country and/or track,53,26,27,27,11,16,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2
2001-2002,155399,Kansas State University,Football,92,92,0,40,40,0,45,45,0,0,0,0,4,4,0,2,2,0,1,1,0,0,0,0
2001-2002,157289,University of Louisville,All other sports combined,143,37,106,100,17,83,4,0,4,4,1,3,2,0,2,0,0,0,0,0,0,33,19,14
2001-2002,157289,University of Louisville,Baseball,26,26,0,19,19,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0
2001-2002,157289,University of Louisville,Basketball,27,13,14,6,0,6,16,10,6,0,0,0,1,0,1,0,0,0,0,0,0,4,3,1
2001-2002,157289,University of Louisville,Cross-country and/or track,41,17,24,25,12,13,12,4,8,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2
2001-2002,157289,University of Louisville,Football,85,85,0,28,28,0,54,54,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,All other sports combined,150,41,109,117,30,87,3,0,3,3,1,2,1,0,1,0,0,0,0,0,0,26,10,16
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,35,35,0,34,34,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,22,10,12,1,0,1,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,49,21,28,11,5,6,26,8,18,0,0,0,0,0,0,0,0,0,2,1,1,10,7,3
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Football,87,87,0,22,22,0,64,64,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,All other sports combined,283,101,182,223,77,146,12,6,6,10,5,5,5,1,4,1,0,1,6,2,4,26,10,16
2001-2002,170976,University of Michigan-Ann Arbor,Baseball,27,27,0,24,24,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,Basketball,25,13,12,8,3,5,16,10,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,Cross-country and/or track,48,26,22,28,18,10,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2001-2002,170976,University of Michigan-Ann Arbor,Football,93,93,0,52,52,0,36,36,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,0
2001-2002,181464,University of Nebraska-Lincoln,All other sports combined,199,71,128,143,53,90,3,0,3,6,3,3,4,0,4,1,1,0,6,2,4,36,12,24
2001-2002,181464,University of Nebraska-Lincoln,Baseball,42,42,0,40,40,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Basketball,29,14,15,16,8,8,12,6,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Cross-country and/or track,84,48,36,51,26,25,19,16,3,1,1,0,0,0,0,0,0,0,1,1,0,12,4,8
2001-2002,181464,University of Nebraska-Lincoln,Football,112,112,0,66,66,0,30,30,0,0,0,0,5,5,0,0,0,0,7,7,0,4,4,0
2001-2002,186380,Rutgers University-New Brunswick,All other sports combined,259,109,150,202,83,119,11,5,6,11,6,5,12,3,9,0,0,0,14,5,9,9,7,2
2001-2002,186380,Rutgers University-New Brunswick,Baseball,32,32,0,27,27,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Basketball,28,14,14,5,2,3,20,10,10,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0
2001-2002,186380,Rutgers University-New Brunswick,Cross-country and/or track,63,30,33,35,18,17,24,9,15,2,2,0,0,0,0,0,0,0,2,1,1,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Football,87,87,0,34,34,0,50,50,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0
2001-2002,198419,Duke University,All other sports combined,185,63,122,140,47,93,3,1,2,8,5,3,6,2,4,0,0,0,10,2,8,18,6,12
2001-2002,198419,Duke University,Baseball,27,27,0,24,24,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
2001-2002,198419,Duke University,Basketball,23,10,13,8,3,5,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,198419,Duke University,Football,78,78,0,49,49,0,27,27,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2001-2002,199120,University of North Carolina at Chapel Hill,All other sports combined,267,106,161,233,93,140,19,7,12,9,4,5,5,2,3,0,0,0,1,0,1,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Baseball,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Basketball,25,12,13,10,6,4,14,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,41,19,22,26,14,12,14,4,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Football,84,84,0,24,24,0,59,59,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2001-2002,204796,Ohio State University-Main Campus,All other sports combined,386,155,231,293,120,173,15,8,7,11,5,6,7,2,5,1,0,1,4,0,4,55,20,35
2001-2002,204796,Ohio State University-Main Campus,Baseball,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Basketball,26,12,14,10,3,7,15,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,204796,Ohio State University-Main Campus,Cross-country and/or track,43,22,21,20,13,7,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2001-2002,204796,Ohio State University-Main Campus,Football,81,81,0,36,36,0,44,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,All other sports combined,127,38,89,85,20,65,4,3,1,4,1,3,0,0,0,10,6,4,0,0,0,24,8,16
2001-2002,207388,Oklahoma State University-Main Campus,Baseball,38,38,0,32,32,0,1,1,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Basketball,30,13,17,10,2,8,15,8,7,0,0,0,0,0,0,1,1,0,0,0,0,4,2,2
2001-2002,207388,Oklahoma State University-Main Campus,Cross-country and/or track,45,20,25,22,11,11,4,0,4,3,2,1,1,0,1,1,1,0,0,0,0,14,6,8
2001-2002,207388,Oklahoma State University-Main Campus,Football,84,84,0,38,38,0,40,40,0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,All other sports combined,125,52,73,90,34,56,5,4,1,5,3,2,1,0,1,7,4,3,8,2,6,9,5,4
2001-2002,207500,University of Oklahoma Norman Campus,Baseball,32,32,0,24,24,0,0,0,0,3,3,0,2,2,0,2,2,0,1,1,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,Basketball,26,13,13,6,2,4,13,8,5,1,1,0,0,0,0,1,0,1,0,0,0,5,2,3
2001-2002,207500,University of Oklahoma Norman Campus,Cross-country and/or track,44,21,23,20,8,12,16,7,9,0,0,0,0,0,0,2,1,1,2,1,1,4,4,0
2001-2002,207500,University of Oklahoma Norman Campus,Football,82,82,0,24,24,0,50,50,0,1,1,0,2,2,0,4,4,0,1,1,0,0,0,0
2001-2002,209542,Oregon State University,All other sports combined,168,62,106,129,48,81,2,2,0,9,5,4,6,2,4,0,0,0,7,1,6,15,4,11
2001-2002,209542,Oregon State University,Baseball,33,33,0,26,26,0,0,0,0,1,1,0,3,3,0,1,1,0,1,1,0,1,1,0
2001-2002,209542,Oregon State University,Basketball,25,12,13,11,5,6,9,5,4,1,1,0,1,0,1,0,0,0,0,0,0,3,1,2
2001-2002,209542,Oregon State University,Football,87,87,0,37,37,0,38,38,0,2,2,0,3,3,0,0,0,0,7,7,0,0,0,0
2001-2002,209551,University of Oregon,All other sports combined,97,33,64,71,26,45,4,2,2,3,1,2,2,0,2,1,0,1,5,1,4,11,3,8
2001-2002,209551,University of Oregon,Basketball,29,13,16,16,8,8,10,3,7,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0
2001-2002,209551,University of Oregon,Cross-country and/or track,51,25,26,34,17,17,7,4,3,2,0,2,1,1,0,0,0,0,2,1,1,5,2,3
2001-2002,209551,University of Oregon,Football,87,87,0,34,34,0,38,38,0,4,4,0,1,1,0,1,1,0,8,8,0,1,1,0
2001-2002,217882,Clemson University,All other sports combined,36,15,21,31,13,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3
2001-2002,217882,Clemson University,Baseball,21,21,0,20,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,217882,Clemson University,Basketball,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,217882,Clemson University,Cross-country and/or track,10,3,7,4,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2001-2002,217882,Clemson University,Football,18,18,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,218663,University of South Carolina-Columbia,All other sports combined,137,51,86,104,39,65,4,1,3,1,0,1,2,1,1,0,0,0,0,0,0,26,10,16
2001-2002,218663,University of South Carolina-Columbia,Baseball,33,33,0,31,31,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,218663,University of South Carolina-Columbia,Basketball,25,13,12,5,4,1,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5
2001-2002,218663,University of South Carolina-Columbia,Cross-country and/or track,38,17,21,9,5,4,27,11,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2001-2002,218663,University of South Carolina-Columbia,Football,87,87,0,17,17,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,221999,Vanderbilt University,All other sports combined,90,40,50,78,36,42,1,0,1,2,0,2,2,1,1,0,0,0,5,2,3,2,1,1
2001-2002,221999,Vanderbilt University,Baseball,18,18,0,17,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2001-2002,221999,Vanderbilt University,Basketball,27,13,14,12,4,8,9,5,4,0,0,0,0,0,0,0,0,0,2,1,1,4,3,1
2001-2002,221999,Vanderbilt University,Cross-country and/or track,21,0,21,9,0,9,6,0,6,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1
2001-2002,221999,Vanderbilt University,Football,90,90,0,52,52,0,36,36,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2001-2002,228246,Southern Methodist University,All other sports combined,150,51,99,114,29,85,2,1,1,3,3,0,1,1,0,3,1,2,0,0,0,27,16,11
2001-2002,228246,Southern Methodist University,Basketball,27,13,14,12,6,6,14,7,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-2002,228246,Southern Methodist University,Cross-country and/or track,28,10,18,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,9,14
2001-2002,228246,Southern Methodist University,Football,85,85,0,50,50,0,33,33,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2001-2002,228723,Texas A & M University-College Station,All other sports combined,206,44,162,169,31,138,6,3,3,5,2,3,1,0,1,2,0,2,6,0,6,17,8,9
2001-2002,228723,Texas A & M University-College Station,Baseball,38,38,0,36,36,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,228723,Texas A & M University-College Station,Basketball,32,13,19,11,3,8,18,7,11,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0
2001-2002,228723,Texas A & M University-College Station,Cross-country and/or track,64,28,36,37,13,24,12,7,5,2,1,1,2,0,2,0,0,0,2,0,2,9,7,2
